filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2005-08-19,2005-05-20,2005-11-18,0.26133114578,0.722436740594,0.279751309417,0.908758286779,0.390123361534,0.896985311926,0.421933102553,0.95172028294,129,297,354,759,406,505,1261,1029,3289,1507,161,1388,708,4998,2119,12242,32343,28422,79702,39446
2005-11-18,2005-08-19,2006-03-15,0.322785563674,0.641690419801,0.17261418849,0.255476365604,0.480623492691,0.777399008069,0.270528869597,0.380632712714,297,354,759,406,180,1261,1029,3289,1507,598,1388,708,4998,2119,255,32343,28422,79702,39446,13578
2006-03-15,2005-11-18,2006-05-19,0.716466486289,0.282250439279,0.265389683481,0.440373254764,0.853807223016,0.426051567441,0.416404505327,0.582904292018,354,759,406,180,619,1029,3289,1507,598,2071,708,4998,2119,255,2296,28422,79702,39446,13578,57751
2006-05-19,2006-03-15,2006-08-18,0.236776708125,0.27158577437,0.615565106002,0.781957553403,0.365744682126,0.422649069279,0.761799280918,0.851110529293,759,406,180,619,222,3289,1507,598,2071,875,4998,2119,255,2296,706,79702,39446,13578,57751,20124
2006-08-18,2006-05-19,2006-11-17,0.238304916926,0.451589045798,0.84647519337,0.86053180714,0.391335482139,0.618616035816,0.903741191601,0.912837736472,406,180,619,222,298,1507,598,2071,875,1125,2119,255,2296,706,1201,39446,13578,57751,20124,30007
2006-11-17,2006-08-18,2007-03-09,0.892307855699,0.438919429143,0.663368659744,0.49225108873,0.968044925404,0.582975964155,0.783216499192,0.642306252657,180,619,222,298,192,598,2071,875,1125,716,255,2296,706,1201,351,13578,57751,20124,30007,15253
2007-03-09,2006-11-17,2007-05-18,0.555523647236,0.607625490575,0.48937593263,0.685665470179,0.717347568986,0.786692945904,0.683574882424,0.8290965301,619,222,298,192,449,2071,875,1125,716,1039,2296,706,1201,351,750,57751,20124,30007,15253,28651
2007-05-18,2007-03-09,2007-08-17,0.680130764882,0.474764999967,0.798077479287,0.725942875611,0.813027504864,0.634445146132,0.915713458418,0.847664035817,222,298,192,449,169,875,1125,716,1039,543,706,1201,351,750,206,20124,30007,15253,28651,12936
2007-08-17,2007-05-18,2007-11-19,0.817326820858,0.656165209522,0.64970350607,0.727546062413,0.903880532595,0.815191667167,0.813129089688,0.829588141412,298,192,449,169,227,1125,716,1039,543,741,1201,351,750,206,579,30007,15253,28651,12936,19252
2007-11-19,2007-08-17,2008-02-29,0.713416576556,0.655167697385,0.707977248271,0.92370364918,0.846009666847,0.821767123099,0.823001071626,0.962020034769,192,449,169,227,259,716,1039,543,741,741,351,750,206,579,616,15253,28651,12936,19252,19731
2008-02-29,2007-11-19,2008-05-23,0.826564559399,0.781030330029,0.651107300283,0.654154789671,0.927343739611,0.893939702702,0.799612285114,0.799620612511,449,169,227,259,359,1039,543,741,741,667,750,206,579,616,275,28651,12936,19252,19731,23534
2008-05-23,2008-02-29,2008-08-22,0.915378434989,0.686237728955,0.685172870508,0.791333455354,0.975492742553,0.812433543967,0.810638249796,0.896335660204,169,227,259,359,168,543,741,741,667,442,206,579,616,275,171,12936,19252,19731,23534,12713
2008-08-22,2008-05-23,2008-11-25,0.800724332183,0.776541892218,0.44191318324,0.473121305304,0.893875662819,0.88219664155,0.621895413442,0.625791028932,227,259,359,168,331,741,741,667,442,900,579,616,275,171,1122,19252,19731,23534,12713,30338
2008-11-25,2008-08-22,2009-03-09,0.716699484938,0.750363379018,0.855620247134,0.45142243179,0.83299010132,0.876061728196,0.927406749405,0.609136691654,259,359,168,331,191,741,667,442,900,491,616,275,171,1122,196,19731,23534,12713,30338,15187
2009-03-09,2008-11-25,2009-05-27,0.745991688055,0.636918379462,0.440915318719,0.626935944486,0.871509916149,0.784867078742,0.649843468475,0.780034165259,359,168,331,191,525,667,442,900,491,1175,275,171,1122,196,1054,23534,12713,30338,15187,33563
