filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-03,1994-10-28,1995-05-02,0.874095835002,0.163238784698,0.160201085873,0.173836219828,0.937397634325,0.327573674764,0.334067760598,0.340080704659,744,27,37,51,916,746,52,49,36,961,1361,21,22,23,1817,33158,2122,2413,2426,39593
1995-05-02,1995-03-03,1995-07-28,0.546955954142,0.480190628565,0.529312045184,0.15839752882,0.883366453237,0.81084563076,0.840954693549,0.323542811596,27,37,51,916,41,52,49,36,961,29,21,22,23,1817,21,2122,2413,2426,39593,2109
1995-07-28,1995-05-02,1995-11-07,0.543845397754,0.503139751015,0.156269671929,0.519883641178,0.86406318729,0.816076639908,0.32271522812,0.822244370983,37,51,916,41,34,49,36,961,29,52,22,23,1817,21,23,2413,2426,39593,2109,2395
1995-11-07,1995-07-28,1996-03-01,0.554023466065,0.159631176087,0.501329756988,0.617086408471,0.86985860414,0.340876397282,0.828043453188,0.86676191346,51,916,41,34,36,36,961,29,52,52,23,1817,21,23,25,2426,39593,2109,2395,2388
1996-03-01,1995-11-07,1996-05-01,0.440304553049,0.334763686512,0.346205297625,0.35401119696,0.629958497494,0.609419216651,0.617999769201,0.629711624908,916,41,34,36,304,961,29,52,52,228,1817,21,23,25,255,39593,2109,2395,2388,13965
1996-05-01,1996-03-01,1996-10-15,0.578643138837,0.454762582566,0.46520877166,0.340583740219,0.898749759957,0.787914100548,0.808650459988,0.608718046004,41,34,36,304,27,29,52,52,228,38,21,23,25,255,28,2109,2395,2388,13965,2146
1996-10-15,1996-05-01,1996-10-31,0.571374122554,0.481764757251,0.35231250539,0.53699002827,0.880860290447,0.815231903224,0.623865486294,0.810701829907,34,36,304,27,38,52,52,228,38,45,23,25,255,28,28,2395,2388,13965,2146,2497
1996-10-31,1996-10-15,1997-03-14,0.606492113251,0.355554075596,0.542243665245,0.641961614465,0.898179739809,0.639731893462,0.835811071182,0.865937019903,36,304,27,38,31,52,228,38,45,42,25,255,28,28,29,2388,13965,2146,2497,2488
1997-03-14,1996-10-31,1997-04-24,0.443957175572,0.135890783489,0.148927200075,0.160332183282,0.615959700581,0.294091362671,0.312704755842,0.335499126213,304,27,38,31,794,228,38,45,42,949,255,28,28,29,1978,13965,2146,2497,2488,39874
1997-04-24,1997-03-14,1997-07-25,0.289588404674,0.246621084958,0.27179044906,0.648056400875,0.501744158462,0.476338969448,0.519733018799,0.76512009851,27,38,31,794,98,38,45,42,949,131,28,28,29,1978,255,2146,2497,2488,39874,7580
1997-07-25,1997-04-24,1997-10-29,0.463909390366,0.372929901065,0.189981877486,0.450958186141,0.727967958148,0.682737264812,0.394521246385,0.655537555325,38,31,794,98,45,45,42,949,131,59,28,29,1978,255,53,2497,2488,39874,7580,4427
1997-10-29,1997-07-25,1998-02-18,0.451604165163,0.184623349254,0.426785138248,0.783576454036,0.738517474564,0.393072732848,0.652070997961,0.920317155145,31,794,98,45,54,42,949,131,59,107,29,1978,255,53,82,2488,39874,7580,4427,4857
1998-02-18,1997-10-29,1998-04-24,0.894193871433,0.650911027265,0.235918290788,0.23802409478,0.942839331288,0.798639365812,0.467234734592,0.471041771549,794,98,45,54,758,949,131,59,107,1008,1978,255,53,82,1743,39874,7580,4427,4857,43800
1998-04-24,1998-02-18,1998-08-07,0.34607524473,0.500978444412,0.527343093015,0.216706793375,0.606246087578,0.799662652278,0.821547242022,0.43284059343,98,45,54,758,34,131,59,107,1008,107,255,53,82,1743,65,7580,4427,4857,43800,3591
1998-08-07,1998-04-24,1998-11-09,0.584240521369,0.519187706544,0.224923133991,0.596965480414,0.864204238466,0.816318409196,0.441880921298,0.830829886082,45,54,758,34,37,59,107,1008,107,108,53,82,1743,65,75,4427,4857,43800,3591,4585
1998-11-09,1998-08-07,1999-03-03,0.522954592116,0.221784891453,0.51475121969,0.63154636009,0.833694480424,0.439421653449,0.808916413404,0.866207525293,54,758,34,37,44,107,1008,107,108,158,82,1743,65,75,82,4857,43800,3591,4585,5473
1999-03-03,1998-11-09,1999-05-04,0.872395507116,0.261799712025,0.298844038395,0.326537073275,0.938127280085,0.521622863457,0.547004784808,0.549756715283,758,34,37,44,531,1008,107,108,158,880,1743,65,75,82,1311,43800,3591,4585,5473,37963
1999-05-04,1999-03-03,1999-08-06,0.472674648413,0.52739128079,0.632039083703,0.308037197195,0.807523721029,0.81514635667,0.86222548543,0.534954704366,34,37,44,531,41,107,108,158,880,159,65,75,82,1311,103,3591,4585,5473,37963,4999
1999-08-06,1999-05-04,1999-11-15,0.509184355581,0.539778100354,0.281806709633,0.685814747525,0.829351196839,0.828055376902,0.51510458588,0.896490389955,37,44,531,41,54,108,158,880,159,198,75,82,1311,103,118,4585,5473,37963,4999,5973
1999-11-15,1999-08-06,2000-03-07,0.533548386136,0.276837460453,0.619080184886,0.717254672612,0.843422056662,0.518329125146,0.878843774583,0.915604385213,44,531,41,54,90,158,880,159,198,249,82,1311,103,118,148,5473,37963,4999,5973,6714
2000-03-07,1999-11-15,2000-05-12,0.853413645649,0.256340804082,0.264536646752,0.274961312637,0.933933636183,0.48129425166,0.476244745266,0.486578052504,531,41,54,90,810,880,159,198,249,1290,1311,103,118,148,2028,37963,4999,5973,6714,48180
2000-05-12,2000-03-07,2000-08-04,0.559226200008,0.570819753757,0.599328163059,0.256722566289,0.860316383799,0.855061807181,0.877213753634,0.450738403141,41,54,90,810,77,159,198,249,1290,196,103,118,148,2028,149,4999,5973,6714,48180,5730
2000-08-04,2000-05-12,2000-11-02,0.326433022998,0.309297775742,0.362998624167,0.413163602914,0.578657511723,0.560142098104,0.572191544157,0.593548733115,54,90,810,77,91,198,249,1290,196,299,118,148,2028,149,488,5973,6714,48180,5730,10473
2000-11-02,2000-08-04,2001-03-01,0.644570217592,0.260344716605,0.753384643148,0.397427345005,0.90485784069,0.455558354304,0.91568792339,0.589093261903,90,810,77,91,77,249,1290,196,299,254,148,2028,149,488,179,6714,48180,5730,10473,6717
