filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-06,1994-10-14,1994-12-14,0.0863555472274,0.0924678263878,0.0598665996733,0.0975090044566,0.26669932314,0.278603370163,0.219796943746,0.289864429788,4,4,127,7,2,5,10,41,11,2,11,11,41,13,1,1181,1097,6095,1318,141
1994-12-14,1994-12-06,1995-01-13,0.211900393317,0.11266745684,0.251089631536,0.256582913295,0.356771872321,0.254379202426,0.388406351906,0.545987963974,4,127,7,2,2,10,41,11,2,0,11,41,13,1,5,1097,6095,1318,141,239
1995-01-13,1994-12-14,1995-04-14,0.228671345142,0.654343048744,0.093204433202,0.226768742951,0.558270927626,0.826847250863,0.286596138153,0.370537337902,127,7,2,2,4,41,11,2,0,6,41,13,1,5,14,6095,1318,141,239,1414
1995-04-14,1995-01-13,1995-08-29,0.645270740021,0.0957269705691,0.215955390861,0.723921459599,0.822501311978,0.286967917374,0.366095395129,0.874264367288,7,2,2,4,4,11,2,0,6,8,13,1,5,14,11,1318,141,239,1414,1364
1995-08-29,1995-04-14,1995-09-06,0.0631658238725,0.122032234889,0.227448651518,0.240726945016,0.211668529805,0.254873211446,0.551633769973,0.563980981225,2,2,4,4,95,2,0,6,8,40,1,5,14,11,41,141,239,1414,1364,5154
1995-09-06,1995-08-29,1995-10-13,0.267053888375,0.208974913318,0.222458789028,0.182297388234,0.452528703351,0.475595009955,0.491788762256,0.396273599013,2,4,4,95,3,0,6,8,40,1,5,14,11,41,9,239,1414,1364,5154,305
1995-10-13,1995-09-06,1996-01-11,0.577907242556,0.609512252635,0.26020771624,0.279724329275,0.822572305177,0.833847540007,0.577552147842,0.566305991242,4,4,95,3,4,6,8,40,1,3,14,11,41,9,7,1414,1364,5154,305,1049
1996-01-11,1995-10-13,1996-04-10,0.565297576177,0.255950523306,0.265639153926,0.76670030713,0.825964650903,0.568320232992,0.540240119253,0.904665763462,4,95,3,4,4,8,40,1,3,3,11,41,9,7,8,1364,5154,305,1049,1138
1996-04-10,1996-01-11,1996-08-28,0.248802793513,0.264724171174,0.71848777386,0.749175988628,0.554666234635,0.531528051787,0.871782159793,0.886627236984,95,3,4,4,4,40,1,3,3,3,41,9,7,8,7,5154,305,1049,1138,1097
1996-08-28,1996-04-10,1996-10-15,0.175641176921,0.281047001807,0.275508908969,0.265896932199,0.3951292152,0.591570903845,0.579264297004,0.563763126588,3,4,4,4,63,1,3,3,3,36,9,7,8,7,39,305,1049,1138,1097,4782
1996-10-15,1996-08-28,1997-01-14,0.639399560683,0.532498679744,0.543234738719,0.292360302253,0.843574545114,0.774076915515,0.769888615198,0.56993162677,4,4,4,63,6,3,3,3,36,3,7,8,7,39,7,1049,1138,1097,4782,858
1997-01-14,1996-10-15,1997-04-10,0.154849643366,0.157263155077,0.0780896170027,0.206226153004,0.251152614921,0.250967578382,0.14724834258,0.288476018729,4,4,63,6,2,3,3,36,3,0,8,7,39,7,1,1138,1097,4782,858,91
1997-04-10,1997-01-14,1997-05-01,0.674507674438,0.269971852782,0.779648253629,0.183975721934,0.86667974427,0.55236727924,0.902156582454,0.269922665516,4,63,6,2,6,3,36,3,0,3,7,39,7,1,7,1097,4782,858,91,938
1997-05-01,1997-04-10,1997-08-27,0.764199698749,0.346585793776,0.0993012110017,0.323682483274,0.874633666684,0.624553005951,0.170972212705,0.608340997903,63,6,2,6,59,36,3,0,3,21,39,7,1,7,29,4782,858,91,938,3631
1997-08-27,1997-05-01,1997-10-09,0.275145114009,0.0731570581017,0.257572697738,0.550766159642,0.551823916348,0.141723806398,0.538100435653,0.820974107281,6,2,6,59,85,3,0,3,21,38,7,1,7,29,42,858,91,938,3631,5391
1997-10-09,1997-08-27,1997-12-30,0.18954848229,0.603894301745,0.303158072526,0.255575751362,0.283472214208,0.864688891021,0.609922811845,0.551671945113,2,6,59,85,5,0,3,21,38,2,1,7,29,42,7,91,938,3631,5391,868
1997-12-30,1997-10-09,1998-03-25,0.602023255098,0.301439645749,0.251213153467,0.622515760829,0.853015351147,0.604590121983,0.543331327776,0.87577536907,6,59,85,5,5,3,21,38,2,2,7,29,42,7,7,938,3631,5391,868,953
1998-03-25,1997-12-30,1998-08-28,0.300295185899,0.242576514584,0.54000968362,0.596596104991,0.614794464523,0.543808469075,0.819113914082,0.832044799845,59,85,5,5,7,21,38,2,2,2,29,42,7,7,7,3631,5391,868,953,1071
1998-08-28,1998-03-25,1998-10-13,0.724485907469,0.234570815933,0.236419296763,0.248940255583,0.865296186043,0.514000688806,0.511458951885,0.545071087072,85,5,5,7,33,38,2,2,2,78,42,7,7,7,44,5391,868,953,1071,5234
1998-10-13,1998-08-28,1998-12-30,0.576351757009,0.489293204408,0.470374920102,0.364294155379,0.832717614183,0.763463183926,0.780512923348,0.623801585063,5,5,7,33,5,2,2,2,78,4,7,7,7,44,7,868,953,1071,5234,1184
1998-12-30,1998-10-13,1999-03-22,0.660931399724,0.4571624829,0.337174549729,0.743090733618,0.855797839551,0.782014305423,0.614207521687,0.886746671236,5,7,33,5,5,2,2,78,4,4,7,7,44,7,8,953,1071,5234,1184,1353
1999-03-22,1998-12-30,1999-08-27,0.633755766115,0.31185532613,0.660314747511,0.702020319086,0.884086405165,0.598181112603,0.854120186281,0.869862718008,7,33,5,5,6,2,78,4,4,5,7,44,7,8,7,1071,5234,1184,1353,1353
1999-08-27,1999-03-22,1999-10-13,0.848707719406,0.309516254319,0.297017407787,0.281665813279,0.934056068835,0.567282006172,0.564518038019,0.557534137757,33,5,5,6,43,78,4,4,5,92,44,7,8,7,58,5234,1184,1353,1353,7421
1999-10-13,1999-08-27,1999-12-02,0.548033953631,0.448370401824,0.425566479577,0.290915504158,0.845642654606,0.772568639464,0.756010260752,0.578646882095,5,5,6,43,12,4,4,5,92,19,7,8,7,58,14,1184,1353,1353,7421,1425
1999-12-02,1999-10-13,2000-01-10,0.159765085994,0.155535248527,0.0771307083112,0.182605412827,0.352945399265,0.337489633284,0.215807033008,0.37269705075,5,6,43,12,2,4,5,92,19,1,8,7,58,14,6,1353,1353,7421,1425,261
2000-01-10,1999-12-02,2000-04-07,0.188895670041,0.148051206097,0.238674626342,0.0863992088781,0.452525838322,0.38655807563,0.485795998993,0.247702825224,6,43,12,2,23,5,92,19,1,64,7,58,14,6,107,1353,7421,1425,261,2962
2000-04-07,2000-01-10,2000-08-28,0.205993810107,0.481249797425,0.166674628557,0.259947254939,0.442719923982,0.749680253972,0.334219537938,0.48382347829,43,12,2,23,8,92,19,1,64,14,58,14,6,107,11,7421,1425,261,2962,1386
