filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-20,1994-11-14,1995-05-09,0.578674971907,0.200472520253,0.295774237158,0.458960343492,0.766979557366,0.422521717366,0.487167302334,0.598477870611,332,202,33,264,467,662,923,23,474,581,1974,1878,22,1617,1467,33066,24506,3376,22657,33784
1995-05-09,1995-03-20,1995-08-07,0.120768162297,0.103934782253,0.329545370109,0.51633280634,0.26560831752,0.189815174782,0.478835169758,0.693727431205,202,33,264,467,382,923,23,474,581,753,1878,22,1617,1467,1238,24506,3376,22657,33784,27027
1995-08-07,1995-05-09,1995-11-09,0.403567907519,0.408552606936,0.507920975248,0.330031030322,0.646126873092,0.626408766595,0.762964529895,0.499034684213,33,264,467,382,95,23,474,581,753,235,22,1617,1467,1238,441,3376,22657,33784,27027,9367
1995-11-09,1995-08-07,1996-03-18,0.299608924386,0.291237592104,0.190263005237,0.288652006527,0.471962248737,0.502728813521,0.343292083272,0.520498749652,264,467,382,95,199,474,581,753,235,624,1617,1467,1238,441,1456,22657,33784,27027,9367,23046
1996-03-18,1995-11-09,1996-05-08,0.751212593946,0.384896172704,0.655378172076,0.300128827358,0.906230259173,0.538240108884,0.837377278557,0.509069447641,467,382,95,199,446,581,753,235,624,588,1467,1238,441,1456,1446,33784,27027,9367,23046,31907
1996-05-08,1996-03-18,1996-08-09,0.136431687788,0.434578998159,0.197790510348,0.381501445562,0.207046872344,0.637515709215,0.342223985069,0.540782436703,382,95,199,446,31,753,235,624,588,15,1238,441,1456,1446,20,27027,9367,23046,31907,2425
1996-08-09,1996-05-08,1996-11-07,0.485700386537,0.193815709553,0.393641512568,0.688738708091,0.710645255127,0.360834140903,0.582170998738,0.857164215309,95,199,446,31,42,235,624,588,15,35,441,1456,1446,20,119,9367,23046,31907,2425,4514
1996-11-07,1996-08-09,1997-03-17,0.232009883351,0.339888546873,0.254838624329,0.233507506606,0.39516332199,0.478207717048,0.370197150547,0.353228131455,199,446,31,42,182,624,588,15,35,468,1456,1446,20,119,1533,23046,31907,2425,4514,22352
1997-03-17,1996-11-07,1997-05-08,0.606356194948,0.407008907502,0.380079255573,0.774574071621,0.768112796132,0.591911964183,0.584937094689,0.82547594102,446,31,42,182,224,588,15,35,468,356,1446,20,119,1533,1058,31907,2425,4514,22352,26631
1997-05-08,1997-03-17,1997-08-11,0.551570732471,0.580177061102,0.260358788088,0.401256166354,0.785357803544,0.799613895291,0.452884812657,0.664635030789,31,42,182,224,32,15,35,468,356,26,20,119,1533,1058,170,2425,4514,22352,26631,4079
1997-08-11,1997-05-08,1997-11-10,0.620061925396,0.302159358069,0.451116293577,0.566699082719,0.838441438001,0.487125487415,0.704653248603,0.813843180387,42,182,224,32,99,35,468,356,26,113,119,1533,1058,170,196,4514,22352,26631,4079,7096
1997-11-10,1997-08-11,1998-03-16,0.238715022272,0.26169433729,0.221075785583,0.257078647129,0.419766091921,0.472870054421,0.447084431671,0.456817033497,182,224,32,99,214,468,356,26,113,613,1533,1058,170,196,1339,22352,26631,4079,7096,23428
1998-03-16,1997-11-10,1998-05-13,0.60593985935,0.386285805938,0.484156498773,0.234495242424,0.76499325675,0.656874746198,0.714459256892,0.431561085,224,32,99,214,188,356,26,113,613,180,1058,170,196,1339,467,26631,4079,7096,23428,19544
1998-05-13,1998-03-16,1998-08-14,0.397296930733,0.657616429101,0.181974159597,0.362455520531,0.690592462567,0.831595035113,0.377953142937,0.576090322774,32,99,214,188,53,26,113,613,180,94,170,196,1339,467,159,4079,7096,23428,19544,5416
1998-08-14,1998-05-13,1998-11-13,0.573616432338,0.186912378152,0.484704338125,0.461898006672,0.780675336577,0.350019739841,0.677210994561,0.613153961704,99,214,188,53,53,113,613,180,94,24,196,1339,467,159,31,7096,23428,19544,5416,4103
1998-11-13,1998-08-14,1999-03-16,0.193538279803,0.191658310355,0.17334332157,0.200707686311,0.527768767621,0.425448953097,0.421662126003,0.407897814441,214,188,53,53,262,613,180,94,24,966,1339,467,159,31,1844,23428,19544,5416,4103,24640
1999-03-16,1998-11-13,1999-05-14,0.53769360869,0.301197669707,0.308500312939,0.258276945841,0.67506172553,0.486113441262,0.446790126392,0.555519206994,188,53,53,262,807,180,94,24,966,788,467,159,31,1844,1763,19544,5416,4103,24640,41475
1999-05-14,1999-03-16,1999-08-16,0.446348846775,0.615584242014,0.187545104807,0.35275337206,0.644104575467,0.83225818775,0.411446925443,0.521123285137,53,53,262,807,41,94,24,966,788,52,159,31,1844,1763,27,5416,4103,24640,41475,3388
1999-08-16,1999-05-14,1999-11-12,0.134588286151,0.667649871249,0.21325658814,0.149602316441,0.324796146022,0.756395653024,0.513746053972,0.354403055004,53,262,807,41,335,24,966,788,52,1186,31,1844,1763,27,1903,4103,24640,41475,3388,31029
1999-11-12,1999-08-16,2000-03-15,0.400549123587,0.391525678423,0.488510735184,0.226636195688,0.696241677897,0.588219674668,0.676982166805,0.528954316241,262,807,41,335,94,966,788,52,1186,194,1844,1763,27,1903,639,24640,41475,3388,31029,10319
2000-03-15,1999-11-12,2000-05-12,0.589247626861,0.499541365392,0.211772051547,0.701964353022,0.731175748987,0.721725891418,0.489156863938,0.799299121012,807,41,335,94,255,788,52,1186,194,360,1763,27,1903,639,1041,41475,3388,31029,10319,24990
2000-05-12,2000-03-15,2000-08-11,0.276221584612,0.210037988583,0.381050353335,0.416774308014,0.443621824246,0.532405973055,0.581654891199,0.605354353255,41,335,94,255,476,52,1186,194,360,669,27,1903,639,1041,1171,3388,31029,10319,24990,20723
2000-08-11,2000-05-12,2000-11-14,0.206709545133,0.503931048232,0.55398120138,0.392421386331,0.5145909762,0.715317978981,0.751467003934,0.554595702834,335,94,255,476,77,1186,194,360,669,102,1903,639,1041,1171,211,31029,10319,24990,20723,8094
2000-11-14,2000-08-11,2001-03-22,0.321807979381,0.348598969013,0.299197209513,0.337337837016,0.574074906873,0.605292522297,0.560363466499,0.570138973967,94,255,476,77,170,194,360,669,102,381,639,1041,1171,211,838,10319,24990,20723,8094,17211
2001-03-22,2000-11-14,2001-05-15,0.81573035257,0.313834886658,0.516436648033,0.347766383334,0.918775856558,0.489978281476,0.697486472852,0.577037327135,255,476,77,170,207,360,669,102,381,214,1041,1171,211,838,400,24990,20723,8094,17211,19281
2001-05-15,2001-03-22,2001-08-10,0.322701749265,0.529688276518,0.305558724531,0.522056205882,0.496084762534,0.771797570313,0.568904434868,0.756682418552,476,77,170,207,32,669,102,381,214,46,1171,211,838,400,68,20723,8094,17211,19281,3663
2001-08-10,2001-05-15,2001-11-14,0.657960500534,0.341458551718,0.530709339193,0.645225932939,0.858079680612,0.603632813584,0.741990950583,0.860124239368,77,170,207,32,69,102,381,214,46,90,211,838,400,68,159,8094,17211,19281,3663,6484
2001-11-14,2001-08-10,2002-03-15,0.177307070682,0.140395652092,0.149791188024,0.197247286893,0.458752907481,0.307593919914,0.338617554501,0.398842537438,170,207,32,69,555,381,214,46,90,2174,838,400,68,159,3503,17211,19281,3663,6484,52468
2002-03-15,2001-11-14,2002-05-15,0.701380727028,0.440611545032,0.511792686512,0.237125439816,0.841204137871,0.679518168119,0.717701969621,0.492984257474,207,32,69,555,412,214,46,90,2174,847,400,68,159,3503,1628,19281,3663,6484,52468,36411
2002-05-15,2002-03-15,2002-08-14,0.563935978846,0.484536969609,0.104584694529,0.394228551778,0.829184783338,0.746229791174,0.25345488114,0.612598827397,32,69,555,412,35,46,90,2174,847,94,68,159,3503,1628,74,3663,6484,52468,36411,4181
2002-08-14,2002-05-15,2002-11-14,0.258338716914,0.197386929143,0.701849516957,0.24318573876,0.450916131456,0.489292323308,0.76167876676,0.402830727873,69,555,412,35,334,90,2174,847,94,1111,159,3503,1628,74,2077,6484,52468,36411,4181,34809
2002-11-14,2002-08-14,2003-03-27,0.143573941191,0.449360009977,0.681703882132,0.27196047986,0.324400860523,0.682180702858,0.865616096031,0.438762207037,555,412,35,334,96,2174,847,94,1111,224,3503,1628,74,2077,158,52468,36411,4181,34809,9066
