filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-08-10,1999-05-14,1999-11-08,0.381373638589,0.301113376457,0.364932112257,0.396020767113,0.555772574822,0.507055735043,0.624540980907,0.563139013815,27,24,155,25,80,10,20,240,51,202,21,21,299,34,467,2918,3135,12786,3290,10249
1999-11-08,1999-08-10,2000-03-07,0.812400326106,0.423951565739,0.723656988419,0.345347647477,0.93946018293,0.683906844663,0.848264211445,0.512954775443,24,155,25,80,34,20,240,51,202,48,21,299,34,467,37,3135,12786,3290,10249,3685
2000-03-07,1999-11-08,2000-05-11,0.754454922888,0.564974762905,0.368643946035,0.487435866443,0.949320202973,0.789189552095,0.60489193049,0.700994628004,155,25,80,34,150,240,51,202,48,116,299,34,467,37,120,12786,3290,10249,3685,11202
2000-05-11,2000-03-07,2000-08-08,0.763549574339,0.34710090632,0.633518976127,0.573522354542,0.9307132728,0.544783167202,0.819293883419,0.763426192367,25,80,34,150,22,51,202,48,116,37,34,467,37,120,35,3290,10249,3685,11202,2996
2000-08-08,2000-05-11,2000-11-09,0.920617762715,0.332804842039,0.387948375534,0.420340242444,0.962934620842,0.543460737972,0.62582471264,0.601085496417,80,34,150,22,63,202,48,116,37,158,467,37,120,35,348,10249,3685,11202,2996,8469
2000-11-09,2000-08-08,2001-03-15,0.835859287859,0.453192088823,0.665492251401,0.381687242281,0.939364642681,0.646229356454,0.802930033002,0.566474304248,34,150,22,63,28,48,116,37,158,39,37,120,35,348,34,3685,11202,2996,8469,3559
2001-03-15,2000-11-09,2001-05-11,0.939631159392,0.578164159631,0.401848386933,0.47036377507,0.986050441756,0.766485356902,0.641237124635,0.656793162464,150,22,63,28,149,116,37,158,39,113,120,35,348,34,120,11202,2996,8469,3559,11053
2001-05-11,2001-03-15,2001-08-10,0.872106678675,0.417410807787,0.677570261688,0.575532944812,0.964469652331,0.608628316252,0.818823756835,0.755627042044,22,63,28,149,22,37,158,39,113,38,35,348,34,120,41,2996,8469,3559,11053,2979
2001-08-10,2001-05-11,2001-11-13,0.976834249138,0.348111032706,0.382103767475,0.416667735018,0.991965316995,0.559790566148,0.62708075577,0.606884662927,63,28,149,22,61,158,39,113,38,155,348,34,120,41,332,8469,3559,11053,2979,8196
2001-11-13,2001-08-10,2002-03-11,0.829140615,0.430695729009,0.591182131467,0.350439304759,0.954663408981,0.650204564851,0.795142435833,0.559828111685,28,149,22,61,21,39,113,38,155,55,34,120,41,332,34,3559,11053,2979,8196,3430
2002-03-11,2001-11-13,2002-05-13,0.61477916887,0.374397437297,0.309003140257,0.298100279006,0.901470487164,0.696729397614,0.626541970596,0.619968355802,149,22,61,21,190,113,38,155,55,308,120,41,332,34,458,11053,2979,8196,3430,16028
2002-05-13,2002-03-11,2002-08-08,0.689611031526,0.334239805187,0.527024637763,0.372399552064,0.881977677949,0.555792042916,0.767325185089,0.71143925703,22,61,21,190,34,38,155,55,308,53,41,332,34,458,45,2979,8196,3430,16028,3941
2002-08-08,2002-05-13,2002-11-14,0.428903635677,0.507626770388,0.327230324022,0.730019170787,0.619279449181,0.766025838075,0.640481211872,0.846231061111,61,21,190,34,52,155,55,308,53,73,332,34,458,45,62,8196,3430,16028,3941,5139
2002-11-14,2002-08-08,2003-03-14,0.610919741002,0.326652065209,0.572491584407,0.557301136621,0.771828908536,0.657441998862,0.744065935009,0.720107968669,21,190,34,52,112,55,308,53,73,308,34,458,45,62,163,3430,16028,3941,5139,10639
2003-03-14,2002-11-14,2003-05-14,0.51600917033,0.506124481874,0.461818926322,0.598682636478,0.812050888161,0.69803772651,0.636430744325,0.809351284471,190,34,52,112,216,308,53,73,308,298,458,45,62,163,282,16028,3941,5139,10639,18462
2003-05-14,2003-03-14,2003-08-13,0.592415020281,0.499883680768,0.543404670358,0.632898898795,0.817321686775,0.713922668552,0.780715033789,0.818387086354,34,52,112,216,61,53,73,308,298,135,45,62,163,282,133,3941,5139,10639,18462,6717
2003-08-13,2003-05-14,2003-11-12,0.720635420122,0.505930809777,0.53694188241,0.698492860236,0.889303403861,0.753635303126,0.730970488715,0.844982375497,52,112,216,61,75,73,308,298,135,122,62,163,282,133,150,5139,10639,18462,6717,8309
2003-11-12,2003-08-13,2004-03-12,0.674070421981,0.504950654322,0.655514443856,0.742845919418,0.844291370523,0.706192515338,0.820279787775,0.860764686772,112,216,61,75,72,308,298,135,122,120,163,282,133,150,134,10639,18462,6717,8309,7908
2004-03-12,2003-11-12,2004-05-07,0.62699886335,0.484705121651,0.457687138333,0.439287998648,0.837947131603,0.741666276289,0.685297857854,0.670468148193,216,61,75,72,297,298,135,122,120,647,282,133,150,134,664,18462,6717,8309,7908,23205
2004-05-07,2004-03-12,2004-08-06,0.536165482183,0.470580979462,0.459630304299,0.493664555222,0.791198146282,0.721565486738,0.721080313489,0.748409461406,61,75,72,297,51,135,122,120,647,137,133,150,134,664,211,6717,8309,7908,23205,7043
2004-08-06,2004-05-07,2004-11-08,0.72116302235,0.509966078079,0.417368031718,0.567374797446,0.873338075941,0.748195352819,0.631364578816,0.768418780196,75,72,297,51,58,122,120,647,137,149,150,134,664,211,138,8309,7908,23205,7043,7567
2004-11-08,2004-08-06,2005-03-16,0.755359601463,0.408441677255,0.543588408684,0.671162544946,0.886511201954,0.621377957076,0.758443088032,0.837093568013,72,297,51,58,57,120,647,137,149,149,134,664,211,138,97,7908,23205,7043,7567,7216
2005-03-16,2004-11-08,2005-05-10,0.664673090657,0.506806072527,0.540901452556,0.533036259594,0.860296849219,0.731228902838,0.716373576957,0.708180805529,297,51,58,57,258,647,137,149,149,421,664,211,138,97,313,23205,7043,7567,7216,19781
2005-05-10,2005-03-16,2005-08-08,0.591107069792,0.577493774121,0.57833147958,0.632136489586,0.807063614975,0.770715772627,0.781171579206,0.76553433094,51,58,57,258,50,137,149,149,421,127,211,138,97,313,86,7043,7567,7216,19781,6252
2005-08-08,2005-05-10,2005-11-08,0.614883601933,0.437929457541,0.450789288845,0.566734509635,0.842383049427,0.726142786306,0.683082892875,0.774724279764,58,57,258,50,115,149,149,421,127,269,138,97,313,86,391,7567,7216,19781,6252,10933
2005-11-08,2005-08-08,2006-03-15,0.805504036132,0.508709240489,0.685156575669,0.539529846907,0.920999822751,0.6853099932,0.832292176504,0.768742368197,57,258,50,115,71,149,421,127,269,134,97,313,86,391,90,7216,19781,6252,10933,7573
2006-03-15,2005-11-08,2006-05-09,0.880253774082,0.611284904008,0.4602169799,0.527118065858,0.969689026641,0.7631349028,0.682987327209,0.693666512424,258,50,115,71,338,421,127,269,134,515,313,86,391,90,345,19781,6252,10933,7573,22662
2006-05-09,2006-03-15,2006-08-09,0.757066621212,0.469218784297,0.551103254603,0.702679196323,0.875852675804,0.70431214398,0.735377334756,0.821774956054,50,115,71,338,149,127,269,134,515,397,86,391,90,345,218,6252,10933,7573,22662,11593
2006-08-09,2006-05-09,2006-11-08,0.649325437268,0.447818471621,0.551991365145,0.648820144775,0.824558923181,0.665684150352,0.730373967291,0.794380281275,115,71,338,149,217,269,134,515,397,529,391,90,345,218,557,10933,7573,22662,11593,18360
2006-11-08,2006-08-09,2007-02-16,0.815728549931,0.60080941534,0.728574392758,0.60654736858,0.901244291266,0.768329196329,0.859018534829,0.783314374713,71,338,149,217,180,134,515,397,529,395,90,345,218,557,231,7573,22662,11593,18360,13468
2007-02-16,2006-11-08,2007-05-10,0.885874792834,0.72877105886,0.603859478781,0.673502403242,0.963983175202,0.839076755725,0.768990185566,0.806149569185,338,149,217,180,412,515,397,529,395,574,345,218,557,231,347,22662,11593,18360,13468,23804
2007-05-10,2007-02-16,2007-08-08,0.833447665075,0.601375201457,0.672423609014,0.715066800933,0.949689262567,0.77487689879,0.838940474639,0.85235674567,149,217,180,412,197,397,529,395,574,472,218,557,231,347,317,11593,18360,13468,23804,12650
2007-08-08,2007-05-10,2007-11-09,0.713972200943,0.675594466456,0.682124791845,0.763570776118,0.833839884435,0.84748207524,0.815203890181,0.87532777396,217,180,412,197,212,529,395,574,472,458,557,231,347,317,253,18360,13468,23804,12650,13584
2007-11-09,2007-08-08,2008-02-28,0.894553427737,0.650652274155,0.721782139509,0.761115961819,0.962279474423,0.804484890581,0.862354133606,0.885131133965,180,412,197,212,221,395,574,472,458,455,231,347,317,253,233,13468,23804,12650,13584,13576
2008-02-28,2007-11-09,2008-05-12,0.531974247485,0.423494848774,0.381759666878,0.370751973235,0.76836938652,0.665555573595,0.604150250082,0.596992218683,412,197,212,221,717,574,472,458,455,1553,347,317,253,233,1957,23804,12650,13584,13576,46509
2008-05-12,2008-02-28,2008-08-08,0.802353374525,0.711402193591,0.694495616107,0.439947558233,0.941073317668,0.84880142495,0.846229256626,0.654908186931,197,212,221,717,240,472,458,455,1553,529,317,253,233,1957,246,12650,13584,13576,46509,13924
2008-08-08,2008-05-12,2008-11-07,0.851722055534,0.672013701813,0.408538707548,0.835776502256,0.948735706465,0.851282408512,0.626795322,0.896498388063,212,221,717,240,299,458,455,1553,529,541,253,233,1957,246,249,13584,13576,46509,13924,16170
2008-11-07,2008-08-08,2009-03-02,0.850186796601,0.385224994015,0.809167086238,0.809438527132,0.946942504173,0.599366666944,0.893846366589,0.902292826582,221,717,240,299,306,455,1553,529,541,576,233,1957,246,249,257,13576,46509,13924,16170,16691
2009-03-02,2008-11-07,2009-05-08,0.515306975457,0.754227840931,0.717194278905,0.710584481229,0.73264062802,0.865664247311,0.837200420685,0.839032968981,717,240,299,306,487,1553,529,541,576,726,1957,246,249,257,410,46509,13924,16170,16691,28211
2009-05-08,2009-03-02,2009-08-07,0.88171286282,0.772829140756,0.768964574824,0.789811935397,0.966795428168,0.879891979807,0.886218431928,0.874764362371,240,299,306,487,249,529,541,576,726,565,246,249,257,410,275,13924,16170,16691,28211,15451
2009-08-07,2009-05-08,2009-11-06,0.238820686759,0.204644800211,0.225834315482,0.238603531762,0.402345690312,0.37285162157,0.394667979351,0.391072333747,299,306,487,249,530,541,576,726,565,3163,249,257,410,275,862,16170,16691,28211,15451,37922
2009-11-06,2009-08-07,2010-02-25,0.225493063452,0.191896043875,0.214022832794,0.964935967165,0.3731801072,0.338423029548,0.354473151472,0.961356312993,306,487,249,530,453,576,726,565,3163,3150,257,410,275,862,476,16691,28211,15451,37922,30529
2010-02-25,2009-11-06,2010-05-07,0.262619243932,0.212247546607,0.957193478128,0.971248240906,0.434546762195,0.377270252441,0.95750497765,0.96748553775,487,249,530,453,768,726,565,3163,3150,4357,410,275,862,476,722,28211,15451,37922,30529,51735
2010-05-07,2010-02-25,2010-08-06,0.172567210389,0.914704895087,0.937206868084,0.932927711999,0.290521571799,0.924177727493,0.95204054065,0.939368931525,249,530,453,768,418,565,3163,3150,4357,3724,275,862,476,722,585,15451,37922,30529,51735,32026
2010-08-06,2010-05-07,2010-11-03,0.886864382943,0.911747523184,0.908261324379,0.9806971965,0.889852464237,0.923025615766,0.90395393447,0.977052654441,530,453,768,418,865,3163,3150,4357,3724,12237,862,476,722,585,941,37922,30529,51735,32026,62094
2010-11-03,2010-08-06,2011-02-23,0.913678522251,0.906938275036,0.979592116196,0.998590068537,0.924782633805,0.901725930536,0.975607605496,0.998422541673,453,768,418,865,869,3150,4357,3724,12237,12758,476,722,585,941,913,30529,51735,32026,62094,63409
2011-02-23,2010-11-03,2011-05-05,0.349202846705,0.295776132689,0.204219880854,0.199966991531,0.441919851874,0.351670145896,0.234276601002,0.228553901456,768,418,865,869,1301,4357,3724,12237,12758,2110,722,585,941,913,1675,51735,32026,62094,63409,96177
2011-05-05,2011-02-23,2011-08-04,0.28819657085,0.202801814102,0.198875979949,0.938329784621,0.348144856212,0.236872664997,0.231290155702,0.93200321025,418,865,869,1301,652,3724,12237,12758,2110,1364,585,941,913,1675,962,32026,62094,63409,96177,45459
2011-08-04,2011-05-05,2011-11-04,0.106251776673,0.101745405185,0.397407608187,0.418235177482,0.170328463066,0.163224111412,0.609008232437,0.630158675531,865,869,1301,652,987,12237,12758,2110,1364,1457,941,913,1675,962,1831,62094,63409,96177,45459,53663
2011-11-04,2011-08-04,2012-02-27,0.099280914503,0.375494342945,0.393767871973,0.97711710856,0.160034563006,0.588235039695,0.605987093381,0.980055125189,869,1301,652,987,912,12758,2110,1364,1457,1494,913,1675,962,1831,1857,63409,96177,45459,53663,53671
2012-02-27,2011-11-04,2012-05-09,0.411076126448,0.377118043237,0.965440967877,0.956227481963,0.62848941785,0.569546752276,0.955831785312,0.952541001569,1301,652,987,912,1655,2110,1364,1457,1494,2098,1675,962,1831,1857,3394,96177,45459,53663,53671,106706
2012-05-09,2012-02-27,2012-08-06,0.14440221965,0.343543602441,0.34132840012,0.340716330432,0.419074547522,0.651281130007,0.650265575047,0.640205286537,652,987,912,1655,747,1364,1457,1494,2098,1434,962,1831,1857,3394,1752,45459,53663,53671,106706,53802
2012-08-06,2012-05-09,2012-11-08,0.218189560432,0.214578111347,0.213689679987,0.989222459878,0.474044034881,0.467045583569,0.457448868088,0.969512822853,987,912,1655,747,853,1457,1494,2098,1434,1537,1831,1857,3394,1752,1800,53663,53671,106706,53802,59372
2012-11-08,2012-08-06,2013-02-26,0.976121925216,0.962525216314,0.34762942943,0.219921011564,0.98444958289,0.955525436849,0.657153326589,0.474273905794,912,1655,747,853,849,1494,2098,1434,1537,1541,1857,3394,1752,1800,1837,53671,106706,53802,59372,55245
2013-02-26,2012-11-08,2013-05-09,0.989936928925,0.342611460783,0.215288581278,0.970065251062,0.993426330961,0.643385987797,0.460409967543,0.961994688262,1655,747,853,849,1751,2098,1434,1537,1541,2386,3394,1752,1800,1837,3721,106706,53802,59372,55245,110038
2013-05-09,2013-02-26,2013-08-07,0.348430603098,0.218662267562,0.98478096206,0.97259807645,0.6614410607,0.472317580271,0.985930614476,0.966318679282,747,853,849,1751,740,1434,1537,1541,2386,1500,1752,1800,1837,3721,1816,53802,59372,55245,110038,53475
2013-08-07,2013-05-09,2013-11-06,0.205359239483,0.921652840268,0.923735724776,0.922706313956,0.442789234292,0.921567837917,0.920916291212,0.922826066245,853,849,1751,740,1733,1537,1541,2386,1500,2383,1800,1837,3721,1816,5398,59372,55245,110038,53475,108679
2013-11-06,2013-08-07,2014-02-25,0.980251026529,0.962821062023,0.975089960545,0.930503022256,0.985696898332,0.960395895739,0.979405919685,0.937111958945,849,1751,740,1733,965,1541,2386,1500,2383,1740,1837,3721,1816,5398,2127,55245,110038,53475,108679,61227
2014-02-25,2013-11-06,2014-05-08,0.988154652675,0.967715062656,0.930318529541,0.97745980033,0.990565012726,0.96215674307,0.933082637335,0.97043963308,1751,740,1733,965,1741,2386,1500,2383,1740,2334,3721,1816,5398,2127,3764,110038,53475,108679,61227,112592
2014-05-08,2014-02-25,2014-08-07,0.769596029511,0.580609812313,0.74631713369,0.71423466063,0.869107382446,0.688730894517,0.844904140557,0.804599068969,740,1733,965,1741,647,1500,2383,1740,2334,1659,1816,5398,2127,3764,1360,53475,108679,61227,112592,47533
2014-08-07,2014-05-08,2014-11-06,0.579091704351,0.74525834456,0.7115727174,0.985226870816,0.690554555222,0.84566355448,0.803131205556,0.987584704567,1733,965,1741,647,684,2383,1740,2334,1659,1702,5398,2127,3764,1360,1406,108679,61227,112592,47533,49376
2014-11-06,2014-08-07,2015-02-27,0.751633490445,0.708665510957,0.976095046107,0.979241448341,0.856535335484,0.805576543981,0.983604351476,0.985705928266,965,1741,647,684,684,1740,2334,1659,1702,1825,2127,3764,1360,1406,1426,61227,112592,47533,49376,51259
2015-02-27,2014-11-06,2015-05-04,0.735281399259,0.939844075813,0.937758795461,0.933674212233,0.84095258313,0.939622679511,0.937641161898,0.938258060249,1741,647,684,684,1242,2334,1659,1702,1825,2379,3764,1360,1406,1426,2614,112592,47533,49376,51259,103776
2015-05-04,2015-02-27,2015-08-06,0.956578174025,0.949777430792,0.943831262494,0.936874328011,0.967750805769,0.959738854007,0.9584885825,0.941769533641,647,684,684,1242,596,1659,1702,1825,2379,1289,1360,1406,1426,2614,1632,47533,49376,51259,103776,51387
2015-08-06,2015-05-04,2015-11-05,0.935635167567,0.91901580267,0.914537966491,0.937163865418,0.962997207468,0.951796877806,0.926304141124,0.956229112753,684,684,1242,596,549,1702,1825,2379,1289,1207,1406,1426,2614,1632,1222,49376,51259,103776,51387,44916
2015-11-05,2015-08-06,2016-02-25,0.930443839648,0.910165684342,0.930796620426,0.981999198527,0.962836139283,0.923085807243,0.952180771991,0.985842685573,684,1242,596,549,538,1825,2379,1289,1207,1207,1426,2614,1632,1222,1152,51259,103776,51387,44916,44621
2016-02-25,2015-11-05,2016-05-06,0.957147593602,0.906936075688,0.948971689933,0.948269633153,0.977883854524,0.926062968249,0.944943898956,0.944487518904,1242,596,549,538,1196,2379,1289,1207,1207,2434,2614,1632,1222,1152,2519,103776,51387,44916,44621,101549
2016-05-06,2016-02-25,2016-08-05,0.931067547171,0.972470137464,0.97509999411,0.954135941981,0.955106669103,0.978812078897,0.981343958549,0.952600477486,596,549,538,1196,556,1289,1207,1207,2434,1131,1632,1222,1152,2519,1209,51387,44916,44621,101549,45769
2016-08-05,2016-05-06,2016-11-07,0.975899275381,0.967971011273,0.947568112599,0.983076761688,0.986067062277,0.978295588266,0.949556718509,0.986440374174,549,538,1196,556,667,1207,1207,2434,1131,1376,1222,1152,2519,1209,1349,44916,44621,101549,45769,52160
