filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-29,1994-11-15,1995-05-12,0.819404204299,0.232827403305,0.244122731331,0.24301280622,0.903488981115,0.439310957153,0.42035780575,0.43164499119,109,27,38,37,202,169,44,32,27,260,334,6,5,5,535,11860,2103,2710,2672,14327
1995-05-12,1995-03-29,1995-08-15,0.722263217284,0.527847095779,0.525681621936,0.209615355922,0.916809561161,0.749946123358,0.768236385303,0.411700584543,27,38,37,202,23,44,32,27,260,45,6,5,5,535,8,2103,2710,2672,14327,2033
1995-08-15,1995-05-12,1995-11-14,0.724855983848,0.642269014098,0.23898626704,0.557482571472,0.923109345188,0.875429527372,0.430821521296,0.778322221187,38,37,202,23,34,32,27,260,45,38,5,5,535,8,6,2710,2672,14327,2033,2705
1995-11-14,1995-08-15,1996-03-29,0.650175217078,0.23120085914,0.556686042507,0.665650093412,0.909299270207,0.430813201764,0.794220675199,0.870161281997,37,202,23,34,33,27,260,45,38,71,5,535,8,6,5,2672,14327,2033,2705,2800
1996-03-29,1995-11-14,1996-05-14,0.623910197766,0.146960572256,0.159718286957,0.178506512749,0.760645786602,0.315001834301,0.318268635551,0.332043678775,202,23,34,33,386,260,45,38,71,830,535,8,6,5,1085,14327,2033,2705,2800,23673
1996-05-14,1996-03-29,1996-08-09,0.622788071993,0.510142590451,0.502066640619,0.171977056376,0.858216699722,0.778692584096,0.793092388147,0.345563784804,23,34,33,386,19,45,38,71,830,59,8,6,5,1085,5,2033,2705,2800,23673,2176
1996-08-09,1996-05-14,1996-11-08,0.427707865698,0.419837662152,0.178882275222,0.423966168425,0.709030104974,0.677723562343,0.349080009187,0.717811242144,34,33,386,19,35,38,71,830,59,72,6,5,1085,5,7,2705,2800,23673,2176,2940
1996-11-08,1996-08-09,1997-03-31,0.425783230427,0.156924369402,0.435821580789,0.591344619853,0.745680216415,0.33867436326,0.723230037826,0.788353062425,33,386,19,35,30,71,830,59,72,69,5,1085,5,7,9,2800,23673,2176,2940,2978
1997-03-31,1996-11-08,1997-04-16,0.587221085172,0.196160456344,0.216080262463,0.220054550384,0.750231736883,0.388723018782,0.42108161907,0.431973176824,386,19,35,30,336,830,59,72,69,702,1085,5,7,9,1265,23673,2176,2940,2978,29125
1997-04-16,1997-03-31,1997-05-12,0.195798183452,0.217261169404,0.221349251349,0.999054506355,0.388024696413,0.422665590079,0.433438973477,0.999756184882,19,35,30,336,336,59,72,69,702,703,5,7,9,1265,1268,2176,2940,2978,29125,29088
1997-05-12,1997-04-16,1997-08-08,0.368040998804,0.357112981487,0.286166129378,0.286477702214,0.70474195379,0.688433968612,0.492866894529,0.492676516814,35,30,336,336,26,72,69,702,703,31,7,9,1265,1268,11,2940,2978,29125,29088,2277
1997-08-08,1997-05-12,1997-11-06,0.339173317669,0.24864495397,0.249908486877,0.492827308176,0.673968281962,0.457520894608,0.45931446115,0.777690675749,30,336,336,26,37,69,702,703,31,117,9,1265,1268,11,26,2978,29125,29088,2277,4320
1997-11-06,1997-08-08,1998-03-31,0.248043192178,0.249749713541,0.452736710266,0.777951493888,0.466309143646,0.468367664362,0.772074892479,0.926764037295,336,336,26,37,36,702,703,31,117,115,1265,1268,11,26,21,29125,29088,2277,4320,3638
1998-03-31,1997-11-06,1998-05-12,0.658765548079,0.172586889687,0.199681493558,0.20223460468,0.782185666075,0.373438316409,0.386259628426,0.391223255284,336,26,37,36,834,703,31,117,115,1977,1268,11,26,21,4944,29088,2277,4320,3638,75445
1998-05-12,1998-03-31,1998-08-11,0.522276865769,0.489865637086,0.500400968953,0.192811643403,0.835769590846,0.80909469166,0.813003131765,0.383476358801,26,37,36,834,24,31,117,115,1977,40,11,26,21,4944,18,2277,4320,3638,75445,2477
1998-08-11,1998-05-12,1998-11-06,0.269697541236,0.260842779335,0.447320142744,0.315738633258,0.49050726665,0.482719231629,0.646598552497,0.493050799686,37,36,834,24,107,117,115,1977,40,368,26,21,4944,18,594,4320,3638,75445,2477,13071
1998-11-06,1998-08-11,1999-03-31,0.575388835944,0.199356581139,0.628704740927,0.388429871241,0.869189982247,0.394270193046,0.846749267663,0.535382160519,36,834,24,107,46,115,1977,40,368,145,21,4944,18,594,42,3638,75445,2477,13071,4342
1999-03-31,1998-11-06,1999-05-11,0.457875593447,0.383223039095,0.521825662381,0.43588027842,0.631130195008,0.639313368095,0.696825956735,0.655420421018,834,24,107,46,212,1977,40,368,145,293,4944,18,594,42,365,75445,2477,13071,4342,14263
1999-05-11,1999-03-31,1999-08-10,0.566816806755,0.232929713242,0.47860771847,0.414842950428,0.851338374788,0.448296779665,0.764615688411,0.651241557392,24,107,46,212,42,40,368,145,293,43,18,594,42,365,19,2477,13071,4342,14263,2821
