filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-30,1994-11-10,1995-05-11,0.822253240443,0.463952641298,0.2776275718,0.466380902465,0.964540289356,0.761401327083,0.487659021592,0.715795769563,263,34,81,59,269,489,82,244,143,531,354,71,459,118,630,24396,3364,8865,4481,27082
1995-05-11,1995-03-30,1995-08-11,0.588979419854,0.271762143445,0.524337399076,0.484244876616,0.905542273598,0.508551705597,0.835342824031,0.780359417408,34,81,59,269,49,82,244,143,531,69,71,459,118,630,50,3364,8865,4481,27082,3349
1995-08-11,1995-05-11,1995-11-13,0.335032985165,0.536467546549,0.455484206525,0.569046330325,0.562746189818,0.853363344207,0.724298789242,0.857937725004,81,59,269,49,47,244,143,531,69,84,459,118,630,50,55,8865,4481,27082,3349,3921
1995-11-13,1995-08-11,1996-03-27,0.64154790111,0.461395817632,0.564693543077,0.62467542188,0.930460096784,0.702535179807,0.854017029709,0.878368594643,59,269,49,47,52,143,531,69,84,97,118,630,50,55,57,4481,27082,3349,3921,4172
1996-03-27,1995-11-13,1996-05-10,0.885800067236,0.484825860662,0.470662665299,0.475982189081,0.981233051417,0.784836309127,0.733015034562,0.707724366575,269,49,47,52,314,531,69,84,97,515,630,50,55,57,574,27082,3349,3921,4172,26605
1996-05-10,1996-03-27,1996-08-09,0.599484923258,0.534163441785,0.550354278043,0.49302520276,0.924134859351,0.853213150736,0.851619268824,0.778884136446,49,47,52,314,54,69,84,97,515,87,50,55,57,574,49,3349,3921,4172,26605,3806
1996-08-09,1996-05-10,1996-11-08,0.653991585581,0.549928431227,0.443710582782,0.51345384073,0.936319704621,0.86484933467,0.71620243728,0.839202812244,47,52,314,54,61,84,97,515,87,119,55,57,574,49,100,3921,4172,26605,3806,4376
1996-11-08,1996-08-09,1997-03-26,0.678025906185,0.478718539687,0.54100656088,0.629927836937,0.938181826795,0.724347466418,0.848908358177,0.890971733362,52,314,54,61,84,97,515,87,119,90,57,574,49,100,56,4172,26605,3806,4376,4585
1997-03-26,1996-11-08,1997-05-09,0.899168380494,0.482015066024,0.437198406285,0.479914864491,0.984248270937,0.773264611239,0.710973005898,0.721562596582,314,54,61,84,334,515,87,119,90,478,574,49,100,56,599,26605,3806,4376,4585,27095
1997-05-09,1997-03-26,1997-08-06,0.305227929996,0.256484825705,0.280359116277,0.26926985096,0.616494324631,0.564902277309,0.572079623896,0.55225393774,54,61,84,334,154,87,119,90,478,142,49,100,56,599,149,3806,4376,4585,27095,5750
1997-08-06,1997-05-09,1997-11-12,0.547271715381,0.485512380081,0.393271897002,0.461925576039,0.851661948174,0.799532856289,0.667443853748,0.716350103389,61,84,334,154,90,119,90,478,142,128,100,56,599,149,156,4376,4585,27095,5750,6164
1997-11-12,1997-08-06,1998-03-25,0.672027631552,0.455081648425,0.285121186775,0.515572211696,0.936376782238,0.704859200461,0.575911930073,0.807938561168,84,334,154,90,100,90,478,142,128,110,56,599,149,156,64,4585,27095,5750,6164,5069
1998-03-25,1997-11-12,1998-05-08,0.893750210328,0.274798050902,0.41037357306,0.479004552974,0.982613421121,0.556001134595,0.682262363381,0.71934643974,334,154,90,100,376,478,142,128,110,547,599,149,156,64,629,27095,5750,6164,5069,30734
1998-05-08,1998-03-25,1998-08-11,0.313756356775,0.43149161101,0.558523698525,0.509856600889,0.620048798098,0.761315308076,0.857898101285,0.786551850288,154,90,100,376,53,142,128,110,547,118,149,156,64,629,55,5750,6164,5069,30734,4430
1998-08-11,1998-05-08,1998-11-06,0.558721681758,0.589229756893,0.482019613264,0.584972952333,0.847436767633,0.875748467428,0.730621326946,0.855804432488,90,100,376,53,81,128,110,547,118,134,156,64,629,55,68,6164,5069,30734,4430,5662
1998-11-06,1998-08-11,1999-03-31,0.635222000582,0.499751970707,0.589735443724,0.705203877364,0.92046409915,0.756930970519,0.876686058315,0.907034314675,100,376,53,81,88,110,547,118,134,205,64,629,55,68,72,5069,30734,4430,5662,6158
1999-03-31,1998-11-06,1999-05-06,0.807127035986,0.463292867587,0.443977884579,0.477559419128,0.933361699832,0.746434530491,0.696026357655,0.722894856178,376,53,81,88,392,547,118,134,205,706,629,55,68,72,1014,30734,4430,5662,6158,34775
1999-05-06,1999-03-31,1999-08-05,0.601075315856,0.534537321171,0.599860255905,0.509830228806,0.89936317839,0.839917003396,0.878189849826,0.772002216771,53,81,88,392,81,118,134,205,706,206,55,68,72,1014,89,4430,5662,6158,34775,6179
1999-08-05,1999-05-06,1999-11-04,0.665023461713,0.629581353304,0.481706220064,0.687841119089,0.92308408648,0.886173336293,0.710508547785,0.886588986905,81,88,392,81,90,134,205,706,206,252,68,72,1014,89,145,5662,6158,34775,6179,7438
1999-11-04,1999-08-05,2000-03-30,0.675013956136,0.49186861522,0.65990978413,0.755202042292,0.926196042803,0.731328317972,0.900901418058,0.9208814548,88,392,81,90,93,205,706,206,252,281,72,1014,89,145,144,6158,34775,6179,7438,7852
2000-03-30,1999-11-04,2000-05-05,0.819934030075,0.516701448997,0.498990028409,0.527930410487,0.938696145868,0.795888693319,0.734687949453,0.763270759217,392,81,90,93,282,706,206,252,281,440,1014,89,145,144,554,34775,6179,7438,7852,25881
2000-05-05,2000-03-30,2000-08-09,0.223374371641,0.206401064844,0.213572399709,0.253466770684,0.403326217461,0.37233153528,0.381960440908,0.431492960869,81,90,93,282,190,206,252,281,440,421,89,145,144,554,905,6179,7438,7852,25881,17037
2000-08-09,2000-05-05,2000-11-08,0.665127718597,0.585610698815,0.512946245769,0.237525413863,0.898093025567,0.859325980167,0.762370488939,0.395414069372,90,93,282,190,72,252,281,440,421,156,145,144,554,905,95,7438,7852,25881,17037,6145
2000-11-08,2000-08-09,2001-03-28,0.640962791369,0.520053255824,0.231904199363,0.694365826486,0.903891597732,0.777617698428,0.403496433034,0.90482341974,93,282,190,72,90,281,440,421,156,177,144,554,905,95,108,7852,25881,17037,6145,6969
2001-03-28,2000-11-08,2001-05-11,0.903056618926,0.332325796549,0.521619394452,0.542330745422,0.982670059533,0.481455234333,0.759812748664,0.78086952697,282,190,72,90,306,440,421,156,177,505,554,905,95,108,628,25881,17037,6145,6969,27341
2001-05-11,2001-03-28,2001-08-09,0.572917747561,0.450377552537,0.458114178839,0.469376880572,0.691311190035,0.722837209414,0.743785617068,0.73571835324,190,72,90,306,87,421,156,177,505,169,905,95,108,628,304,17037,6145,6969,27341,7916
2001-08-09,2001-05-11,2001-11-13,0.741255881314,0.625576246282,0.525679180743,0.530033165284,0.941603514158,0.887006303039,0.768868331232,0.755501367238,72,90,306,87,80,156,177,505,169,189,95,108,628,304,124,6145,6969,27341,7916,6753
2001-11-13,2001-08-09,2002-03-27,0.715657869516,0.528111632345,0.490813831745,0.680718286874,0.939801146021,0.783303378334,0.759021574261,0.8925722698,90,306,87,80,89,177,505,169,189,179,108,628,304,124,122,6969,27341,7916,6753,7579
2002-03-27,2001-11-13,2002-05-15,0.640811304802,0.432046812407,0.372253404523,0.408553531324,0.839520542106,0.699506936554,0.632868772078,0.670411730109,306,87,80,89,451,505,169,189,179,780,628,304,124,122,1412,27341,7916,6753,7579,38303
2002-05-15,2002-03-27,2002-08-09,0.504787467489,0.516550227394,0.548661344706,0.487436176978,0.791100889332,0.801624060832,0.8238995197,0.755151779186,87,80,89,451,84,169,189,179,780,200,304,124,122,1412,234,7916,6753,7579,38303,7833
2002-08-09,2002-05-15,2002-11-12,0.629590636033,0.564705873809,0.406131709401,0.647366748498,0.890723530978,0.850769636655,0.683623131843,0.870239757342,80,89,451,84,90,189,179,780,200,239,124,122,1412,234,153,6753,7579,38303,7833,8903
2002-11-12,2002-08-09,2003-03-17,0.599293884038,0.415768986407,0.588487091281,0.724670060374,0.870023650689,0.69788156618,0.851891704608,0.910912913836,89,451,84,90,109,179,780,200,239,322,122,1412,234,153,160,7579,38303,7833,8903,10388
2003-03-17,2002-11-12,2003-05-09,0.69844039274,0.514470091591,0.51543272342,0.535472524694,0.898840738088,0.782630966629,0.760094576005,0.776137553285,451,84,90,109,317,780,200,239,322,636,1412,234,153,160,843,38303,7833,8903,10388,34213
2003-05-09,2003-03-17,2003-08-12,0.608185093325,0.578820607956,0.599783339996,0.555878186493,0.860372170842,0.834055012465,0.849892447814,0.783815640547,84,90,109,317,73,200,239,322,636,236,234,153,160,843,169,7833,8903,10388,34213,8297
2003-08-12,2003-05-09,2003-11-12,0.652128020148,0.584735010059,0.52947249027,0.738259671075,0.895975855616,0.86076133408,0.761348566111,0.906501700829,90,109,317,73,95,239,322,636,236,256,153,160,843,169,174,8903,10388,34213,8297,9905
2003-11-12,2003-08-12,2004-03-09,0.648263737525,0.536555278397,0.7201974071,0.782861237074,0.903064533299,0.757078794211,0.896825260731,0.933415500477,109,317,73,95,134,322,636,236,256,316,160,843,169,174,183,10388,34213,8297,9905,10790
2004-03-09,2003-11-12,2004-05-07,0.822809049205,0.557229543998,0.555279160632,0.583758018081,0.948402486081,0.796130403351,0.781889761585,0.784614214767,317,73,95,134,478,636,236,256,316,730,843,169,174,183,856,34213,8297,9905,10790,34958
2004-05-07,2004-03-09,2004-08-04,0.739821334906,0.68745586634,0.717854337917,0.608837049375,0.929409851419,0.888245442081,0.889179061173,0.821710973388,73,95,134,478,100,236,256,316,730,268,169,174,183,856,199,8297,9905,10790,34958,10011
2004-08-04,2004-05-07,2004-11-03,0.736101535145,0.702000401614,0.586871105806,0.822952738748,0.930604997654,0.891367168479,0.801535434991,0.934733133785,95,134,478,100,128,256,316,730,268,269,174,183,856,199,213,9905,10790,34958,10011,11231
2004-11-03,2004-08-04,2005-03-03,0.745098196593,0.592060205374,0.788988327962,0.82568422511,0.927109692801,0.810317661026,0.930246415895,0.94157309999,134,478,100,128,143,316,730,268,269,318,183,856,199,213,217,10790,34958,10011,11231,12000
2005-03-03,2004-11-03,2005-05-04,0.808031519375,0.646119232037,0.636942944983,0.662071847696,0.940929769082,0.844230132665,0.827946352287,0.843742337014,478,100,128,143,380,730,268,269,318,623,856,199,213,217,576,34958,10011,11231,12000,37073
2005-05-04,2005-03-03,2005-08-03,0.502263202209,0.469210845558,0.475408070072,0.504826630377,0.781082596884,0.748890249617,0.750567557027,0.757259673101,100,128,143,380,288,268,269,318,623,472,199,213,217,576,595,10011,11231,12000,37073,17726
2005-08-03,2005-05-04,2005-11-03,0.642416616812,0.59311211388,0.60667161358,0.591593554231,0.871323543825,0.835557500919,0.812849076221,0.82426693135,128,143,380,288,148,269,318,623,472,263,213,217,576,595,399,11231,12000,37073,17726,14242
2005-11-03,2005-08-03,2006-03-01,0.721666531134,0.659689593929,0.541323654721,0.693186671309,0.924107753893,0.846960951768,0.788285574141,0.877657405689,143,380,288,148,124,318,623,472,263,290,217,576,595,399,174,12000,37073,17726,14242,13259
2006-03-01,2005-11-03,2006-05-04,0.901408989509,0.489570088534,0.59652925082,0.693643601814,0.970942704315,0.74563072146,0.809840139212,0.855362550553,380,288,148,124,362,623,472,263,290,629,576,595,399,174,619,37073,17726,14242,13259,40531
2006-05-04,2006-03-01,2006-08-03,0.546511461924,0.645652047968,0.745467878325,0.674942385339,0.801363446301,0.857863929231,0.90147503701,0.847466551034,288,148,124,362,86,472,263,290,629,186,595,399,174,619,155,17726,14242,13259,40531,9951
2006-08-03,2006-05-04,2006-11-03,0.42064448197,0.363194661857,0.34538456833,0.376205825156,0.702084715599,0.633561611818,0.596385482823,0.626281001411,148,124,362,86,401,263,290,629,186,486,399,174,619,155,666,14242,13259,40531,9951,19684
2006-11-03,2006-08-03,2007-02-28,0.745885717121,0.626084438799,0.724964217041,0.387343676423,0.930566766909,0.820449820383,0.904315146483,0.632072914539,124,362,86,401,131,290,629,186,486,199,174,619,155,666,138,13259,40531,9951,19684,10663
