filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2008-08-13,2008-05-14,2008-11-13,0.825285348646,0.650549763426,0.643847035083,0.772344773734,0.92523991782,0.800314225879,0.758550590558,0.84895485923,83,115,306,106,138,262,274,864,209,301,221,196,642,153,197,14697,14934,35492,12699,15510
2008-11-13,2008-08-13,2009-02-27,0.79752774098,0.638189361297,0.622998604952,0.635274859275,0.901588615405,0.796424846775,0.791043188245,0.791886762879,115,306,106,138,182,274,864,209,301,549,196,642,153,197,256,14934,35492,12699,15510,19139
2009-02-27,2008-11-13,2009-05-08,0.839011911192,0.614694588051,0.595282017317,0.712436686732,0.930902591781,0.755235512534,0.727258998282,0.823137530521,306,106,138,182,293,864,209,301,549,834,642,153,197,256,554,35492,12699,15510,19139,34732
2009-05-08,2009-02-27,2009-08-06,0.698855981016,0.550330489019,0.628781413934,0.655935428198,0.864654547199,0.7328299229,0.796355267465,0.774995038626,106,138,182,293,107,209,301,549,834,320,153,197,256,554,274,12699,15510,19139,34732,14034
2009-08-06,2009-05-08,2009-11-06,0.738151145804,0.615545914736,0.61362731407,0.725163944082,0.868664503367,0.786262941332,0.734177209801,0.830677231179,138,182,293,107,116,301,549,834,320,298,197,256,554,274,242,15510,19139,34732,14034,15608
2009-11-06,2009-08-06,2010-02-26,0.827795488384,0.570414018356,0.63771104652,0.64061141854,0.915640444461,0.720289314814,0.799949068611,0.796754526881,182,293,107,116,101,549,834,320,298,298,256,554,274,242,192,19139,34732,14034,15608,15502
2010-02-26,2009-11-06,2010-05-07,0.861918756029,0.643110683519,0.599362194872,0.586699395011,0.934561901107,0.768514497988,0.722375826981,0.725902468896,293,107,116,101,388,834,320,298,298,1169,554,274,242,192,959,34732,14034,15608,15502,45170
2010-05-07,2010-02-26,2010-08-06,0.867115069939,0.673425208358,0.652734336658,0.664798654703,0.947952591445,0.805446688218,0.808428549165,0.774965854992,107,116,101,388,78,320,298,298,1169,227,274,242,192,959,161,14034,15608,15502,45170,11716
2010-08-06,2010-05-07,2010-11-04,0.836427274795,0.617009148485,0.634502603241,0.727296929213,0.919686585669,0.785310057949,0.751951930519,0.825873863997,116,101,388,78,174,298,298,1169,227,638,242,192,959,161,430,15608,15502,45170,11716,28842
2010-11-04,2010-08-06,2011-02-25,0.864885308948,0.614726084424,0.703710082214,0.752544682514,0.932899686822,0.749193340123,0.824913331398,0.86620311411,101,388,78,174,187,298,1169,227,638,689,192,959,161,430,478,15502,45170,11716,28842,29464
2011-02-25,2010-11-04,2011-05-06,0.887532828827,0.697167667502,0.71130234602,0.697563448583,0.945834269264,0.797358065592,0.813923298859,0.816210336117,388,78,174,187,473,1169,227,638,689,1783,959,161,430,478,1218,45170,11716,28842,29464,62755
2011-05-06,2011-02-25,2011-08-05,0.886553024563,0.744134849326,0.731699742212,0.762413873999,0.931164738738,0.851361707638,0.855823420163,0.843919379547,78,174,187,473,188,227,638,689,1783,614,161,430,478,1218,409,11716,28842,29464,62755,26653
2011-08-05,2011-05-06,2011-11-03,0.522530514283,0.447149969031,0.45693986239,0.494911794463,0.653423045156,0.606200768874,0.589133145824,0.630326657046,174,187,473,188,451,638,689,1783,614,1487,430,478,1218,409,1051,28842,29464,62755,26653,72725
2011-11-03,2011-08-05,2012-02-24,0.318702066659,0.280099723783,0.286846669825,0.588726191533,0.447305195758,0.407816011304,0.415443415245,0.695055324462,187,473,188,451,921,689,1783,614,1487,1605,478,1218,409,1051,3279,29464,62755,26653,72725,92647
2012-02-24,2011-11-03,2012-05-03,0.385687798936,0.320007063434,0.630323225777,0.959008503325,0.524016619623,0.461008888357,0.728604598638,0.962445696917,473,188,451,921,1382,1783,614,1487,1605,2830,1218,409,1051,3279,4354,62755,26653,72725,92647,142730
2012-05-03,2012-02-24,2012-08-08,0.293174226327,0.610070949137,0.968177226878,0.977636932852,0.416689199492,0.708786113309,0.975059695422,0.974697169043,188,451,921,1382,883,614,1487,1605,2830,1319,409,1051,3279,4354,2805,26653,72725,92647,142730,82642
2012-08-08,2012-05-03,2012-11-08,0.624571522454,0.957908407967,0.965441958511,0.979259894258,0.724481128797,0.967402600258,0.964785886362,0.983159937294,451,921,1382,883,884,1487,1605,2830,1319,1381,1051,3279,4354,2805,2878,72725,92647,142730,82642,88589
2012-11-08,2012-08-08,2013-02-22,0.966907946455,0.964055655059,0.979243587587,0.974588716104,0.97618624032,0.964634185667,0.983421534089,0.981460759557,921,1382,883,884,879,1605,2830,1319,1381,1420,3279,4354,2805,2878,2815,92647,142730,82642,88589,88960
2013-02-22,2012-11-08,2013-05-02,0.986062256873,0.97179922345,0.96581591547,0.974001253507,0.990884096663,0.971141302762,0.966897342788,0.971368481688,1382,883,884,879,1252,2830,1319,1381,1420,2569,4354,2805,2878,2815,3973,142730,82642,88589,88960,128146
2013-05-02,2013-02-22,2013-07-03,0.273220492834,0.265254355161,0.262172475002,0.305994906095,0.390928815862,0.393511976396,0.385791065568,0.441968858006,883,884,879,1252,63,1319,1381,1420,2569,244,2805,2878,2815,3973,128,82642,88589,88960,128146,11997
2013-07-03,2013-05-02,2013-08-08,0.91279235674,0.918651496118,0.90613315974,0.146783179098,0.921342364455,0.925227194547,0.902847567147,0.224644049531,884,879,1252,63,1734,1381,1420,2569,244,1582,2878,2815,3973,128,6706,88589,88960,128146,11997,143710
2013-08-08,2013-07-03,2013-11-07,0.91752155329,0.905278973858,0.156652643452,0.99630305615,0.929503635273,0.907596930414,0.2490276921,0.995379593417,879,1252,63,1734,2050,1420,2569,244,1582,2197,2815,3973,128,6706,7641,88960,128146,11997,143710,173856
2013-11-07,2013-08-08,2014-02-21,0.966823668403,0.272560462677,0.903468160704,0.903769514441,0.965632421761,0.396471453691,0.91010006529,0.916072027689,1252,63,1734,2050,923,2569,244,1582,2197,1619,3973,128,6706,7641,2779,128146,11997,143710,173856,91525
