filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-09-14,1994-06-10,1995-01-26,0.608626973787,0.771767459876,0.0928715371645,0.857644533005,0.793390705709,0.921093558018,0.25509941347,0.950157436817,180,44,19,45,54,341,83,40,118,97,121,30,73,41,31,18214,4344,5109,5060,5019
1995-01-26,1994-09-14,1995-03-13,0.580456034984,0.136024873196,0.595503380668,0.589681649487,0.773805452847,0.330804050382,0.773045326877,0.769155734682,44,19,45,54,219,83,40,118,97,334,30,73,41,31,368,4344,5109,5060,5019,19761
1995-03-13,1995-01-26,1995-04-28,0.0990612361902,0.721781541576,0.709294365507,0.571765511355,0.266592814689,0.894783093062,0.888934622338,0.753438782876,19,45,54,219,28,40,118,97,334,38,73,41,31,368,21,5109,5060,5019,19761,3856
1995-04-28,1995-03-13,1995-06-12,0.0733849475022,0.0706573437607,0.0974461310137,0.0769565010931,0.234471868193,0.232319727302,0.279106165199,0.246236995824,45,54,219,28,21,118,97,334,38,59,41,31,368,21,61,5060,5019,19761,3856,5351
1995-06-12,1995-04-28,1995-09-12,0.0970694903762,0.206513753173,0.107705271423,0.0397161815016,0.178921829406,0.278778274308,0.1897174729,0.135219076596,54,219,28,21,640,97,334,38,59,2089,31,368,21,61,6126,5019,19761,3856,5351,85195
1995-09-12,1995-06-12,1996-01-16,0.666672727665,0.522435047789,0.0619995557397,0.272991055673,0.783472945537,0.722655842094,0.221354032242,0.328307348782,219,28,21,640,46,334,38,59,2089,103,368,21,61,6126,283,19761,3856,5351,85195,7383
1996-01-16,1995-09-12,1996-03-08,0.559449361932,0.103194132386,0.191090990104,0.487658311076,0.757571369409,0.294816923574,0.270306997671,0.690280253715,28,21,640,46,165,38,59,2089,103,234,21,61,6126,283,290,3856,5351,85195,7383,16845
1996-03-08,1996-01-16,1996-04-26,0.0803978038006,0.1061457011,0.514033696291,0.57333557203,0.256097674207,0.188916195114,0.725744599516,0.768204373997,21,640,46,165,37,59,2089,103,234,36,61,6126,283,290,25,5351,85195,7383,16845,3878
1996-04-26,1996-03-08,1996-06-06,0.0445780246848,0.0618756175177,0.0988329175036,0.0779213616594,0.152458925908,0.226354277603,0.292038249209,0.257177459164,640,46,165,37,22,2089,103,234,36,61,6126,283,290,25,56,85195,7383,16845,3878,5059
1996-06-06,1996-04-26,1996-08-30,0.522878470511,0.571130284042,0.803300518907,0.0839185108092,0.731393586898,0.769942655456,0.927197178558,0.266882977653,46,165,37,22,38,103,234,36,61,38,283,290,25,56,35,7383,16845,3878,5059,4563
