filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-05-01,1994-12-14,1995-05-04,0.581674565981,0.230872359959,0.257562286866,0.276381729904,0.846812483511,0.53969614783,0.574733189574,0.608679867502,50,9,10,13,76,52,5,9,5,64,41,5,7,6,274,5329,1162,1524,1623,7159
1995-05-04,1995-05-01,1995-06-14,0.266268252989,0.230437953953,0.218973952578,0.25774948291,0.56353486627,0.489910488877,0.476965894297,0.459009765694,9,10,13,76,4,5,9,5,64,2,5,7,6,274,7,1162,1524,1623,7159,611
1995-06-14,1995-05-04,1995-07-12,0.52847878572,0.514200051325,0.282522716642,0.280700303829,0.823155927456,0.811243842653,0.591845090251,0.561008106912,10,13,76,4,9,9,5,64,2,9,7,6,274,7,5,1524,1623,7159,611,1261
1995-07-12,1995-06-14,1995-09-14,0.32739815579,0.194406171338,0.409054629577,0.533111739,0.542044602065,0.408770013732,0.704230934444,0.671577248399,13,76,4,9,2,5,64,2,9,0,6,274,7,5,7,1623,7159,611,1261,397
1995-09-14,1995-07-12,1995-12-14,0.262412737066,0.062807571425,0.114131159927,0.0707076294819,0.398703040835,0.18857802222,0.258772140554,0.182434908755,76,4,9,2,90,64,2,9,0,489,274,7,5,7,1008,7159,611,1261,397,13968
1995-12-14,1995-09-14,1996-04-29,0.208186628847,0.610629178467,0.320991342968,0.120185063656,0.457683385613,0.861141808869,0.536679109504,0.260636833094,4,9,2,90,11,2,9,0,489,13,7,5,7,1008,5,611,1261,397,13968,1484
1996-04-29,1995-12-14,1996-06-13,0.358741359114,0.229186695819,0.0937393498092,0.329489199294,0.656884595197,0.438460383114,0.226745816462,0.627879741761,9,2,90,11,48,9,0,489,13,89,5,7,1008,5,45,1261,397,13968,1484,5970
1996-06-13,1996-04-29,1996-09-13,0.362418265248,0.107349832676,0.583863413391,0.357933952412,0.612528987417,0.261379213875,0.870320049809,0.66212474558,2,90,11,48,12,0,489,13,89,16,7,1008,5,45,5,397,13968,1484,5970,1319
1996-09-13,1996-06-13,1996-12-13,0.108497227569,0.532467973249,0.33586303336,0.636602233877,0.255917035267,0.834503819195,0.644635952312,0.878090833264,90,11,48,12,20,489,13,89,16,16,1008,5,45,5,9,13968,1484,5970,1319,1698
1996-12-13,1996-09-13,1997-04-28,0.569972822641,0.334539198498,0.641256461594,0.698306836339,0.862048944687,0.643800123555,0.888953039936,0.886436392286,11,48,12,20,19,13,89,16,16,18,5,45,5,9,9,1484,5970,1319,1698,1646
1997-04-28,1996-12-13,1997-06-13,0.804536123401,0.38401204821,0.364827683743,0.371294681271,0.952787531961,0.670847576458,0.653411564574,0.66106865038,48,12,20,19,57,89,16,16,18,57,45,5,9,9,40,5970,1319,1698,1646,5896
1997-06-13,1997-04-28,1997-06-20,0.584455324054,0.521336831837,0.561241247962,0.445298969799,0.875596623452,0.819845669073,0.851405613199,0.707862135119,12,20,19,57,13,16,16,18,57,13,5,9,9,40,9,1319,1698,1646,5896,1522
1997-06-20,1997-06-13,1997-09-11,0.51667557898,0.556072785696,0.444705239536,0.99643859231,0.818588450321,0.849707004088,0.708017022481,0.999023543572,20,19,57,13,13,16,18,57,13,13,9,9,40,9,9,1698,1646,5896,1522,1514
1997-09-11,1997-06-20,1997-12-12,0.525487196719,0.400598921377,0.644103478625,0.641056389394,0.832643643556,0.679322605849,0.876610767511,0.875980562636,19,57,13,13,11,18,57,13,13,15,9,40,9,9,9,1646,5896,1522,1514,1800
1997-12-12,1997-09-11,1998-04-20,0.110469749988,0.109385610052,0.109054297726,0.112143761024,0.243528134812,0.240599225318,0.240087204007,0.237264261442,57,13,13,11,432,57,13,13,15,1140,40,9,9,9,2527,5896,1522,1514,1800,32772
1998-04-20,1997-12-12,1998-06-16,0.385954662434,0.385395013234,0.368867621846,0.116250033487,0.666539800683,0.666586945597,0.639377370735,0.256587660786,13,13,11,432,60,13,13,15,1140,55,9,9,9,2527,46,1522,1514,1800,32772,6372
1998-06-16,1998-04-20,1998-09-14,0.150911693519,0.13024467419,0.199140959496,0.122444195659,0.304431438325,0.286561155665,0.440772408502,0.268274293004,13,11,432,60,68,13,15,1140,55,399,9,9,2527,46,269,1514,1800,32772,6372,6845
1998-09-14,1998-06-16,1998-12-14,0.541334039235,0.0992300768616,0.417314075602,0.161285558277,0.841581575957,0.238655161675,0.700046319697,0.303419912734,11,432,60,68,8,15,1140,55,399,18,9,2527,46,269,12,1800,32772,6372,6845,2010
1998-12-14,1998-09-14,1999-04-26,0.10283962963,0.402228501584,0.153770137607,0.694838381218,0.238278161041,0.682092670289,0.29980056682,0.896829607181,432,60,68,8,15,1140,55,399,18,26,2527,46,269,12,10,32772,6372,6845,2010,2092
1999-04-26,1998-12-14,1999-06-14,0.824599942455,0.12403283291,0.400394401541,0.43841281855,0.960861310611,0.269168436226,0.678312684649,0.680511667914,60,68,8,15,63,55,399,18,26,68,46,269,12,10,46,6372,6845,2010,2092,7224
