filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-11-12,1997-08-08,1998-03-20,0.372403687839,0.180398938014,0.696889044588,0.764670392748,0.618170658096,0.357653230732,0.89390490076,0.920504758487,335,74,24,25,34,781,179,56,65,53,727,249,46,53,42,21072,7388,1815,2028,2039
1998-03-20,1997-11-12,1998-05-11,0.298749074992,0.413287295814,0.429953222624,0.432481957585,0.493129060495,0.674701391577,0.676314766157,0.676140652051,74,24,25,34,266,179,56,65,53,663,249,46,53,42,542,7388,1815,2028,2039,20069
1998-05-11,1998-03-20,1998-08-12,0.641334477161,0.578747429626,0.575182381868,0.428663190686,0.86401765419,0.812395919149,0.812244195293,0.619524672702,24,25,34,266,21,56,65,53,663,58,46,53,42,542,44,1815,2028,2039,20069,2188
1998-08-12,1998-05-11,1998-11-13,0.267111005937,0.24053257852,0.21499439515,0.315721106892,0.498855312347,0.480212741344,0.426630720313,0.51710242092,25,34,266,21,73,65,53,663,58,92,53,42,542,44,145,2028,2039,20069,2188,6059
1998-11-13,1998-08-12,1999-03-31,0.567776039426,0.433015397898,0.701636439255,0.28758613077,0.857786119531,0.68061707633,0.894013799962,0.5121588201,34,266,21,73,32,53,663,58,92,107,42,542,44,145,50,2039,20069,2188,6059,3315
1999-03-31,1998-11-13,1999-04-30,0.628195779394,0.383331117411,0.261349404759,0.397227816553,0.78208980317,0.556055784198,0.494523681339,0.586985680496,266,21,73,32,344,663,58,92,107,693,542,44,145,50,872,20069,2188,6059,3315,25007
1999-04-30,1999-03-31,1999-05-17,0.13010797957,0.121623150018,0.114895817644,0.346733923491,0.277079317044,0.322459662462,0.274675247729,0.652128459036,21,73,32,344,34,58,92,107,693,46,44,145,50,872,58,2188,6059,3315,25007,3215
1999-05-17,1999-04-30,1999-08-13,0.253647618826,0.611185762205,0.526738280152,0.19906474185,0.533292540136,0.824233962189,0.745047407155,0.452481380105,73,32,344,34,38,92,107,693,46,121,145,50,872,58,49,6059,3315,25007,3215,4011
1999-08-13,1999-05-17,1999-11-15,0.593274924132,0.516301471686,0.208370752543,0.78403136328,0.818525475132,0.747575806069,0.464072500249,0.933469476055,32,344,34,38,49,107,693,46,121,124,50,872,58,49,61,3315,25007,3215,4011,4635
1999-11-15,1999-08-13,2000-03-30,0.430066452284,0.159220892646,0.573064417412,0.63301348749,0.660983050603,0.365433537817,0.811929116386,0.843749498088,344,34,38,49,68,693,46,121,124,288,872,58,49,61,134,25007,3215,4011,4635,7874
2000-03-30,1999-11-15,2000-04-27,0.318287559389,0.504499021081,0.53662674033,0.605839077222,0.594382336762,0.769828186411,0.7910543948,0.790458309681,34,38,49,68,387,46,121,124,288,983,58,49,61,134,861,3215,4011,4635,7874,28788
2000-04-27,2000-03-30,2000-08-03,0.513539947548,0.47409076841,0.576776973348,0.574673945328,0.813550170505,0.780249800142,0.824162093308,0.743919333078,38,49,68,387,62,121,124,288,983,138,49,61,134,861,109,4011,4635,7874,28788,5853
2000-08-03,2000-04-27,2000-11-14,0.258405454428,0.260215131773,0.371520467463,0.298139613816,0.472428295566,0.464547361274,0.555562290237,0.462137597183,49,68,387,62,322,124,288,983,138,1151,61,134,861,109,2080,4635,7874,28788,5853,35922
2000-11-14,2000-08-03,2001-04-02,0.634073398442,0.575119144327,0.592867127142,0.342482544327,0.880924775413,0.765814604193,0.827845214004,0.535243187824,68,387,62,322,113,288,983,138,1151,259,134,861,109,2080,309,7874,28788,5853,35922,10452
2001-04-02,2000-11-14,2001-05-03,0.756369174343,0.526991089405,0.338324980875,0.615798239548,0.876786524939,0.75175020027,0.526435768942,0.784519088736,387,62,322,113,416,983,138,1151,259,789,861,109,2080,309,728,28788,5853,35922,10452,28059
2001-05-03,2001-04-02,2001-08-09,0.65755366037,0.255338424215,0.505856168712,0.559705544706,0.87807421884,0.439077649673,0.75694226608,0.766666673661,62,322,113,416,65,138,1151,259,789,113,109,2080,309,728,92,5853,35922,10452,28059,4724
2001-08-09,2001-05-03,2001-10-31,0.281170378501,0.503853473292,0.530827414528,0.682749256819,0.448053387535,0.756824326237,0.73303573799,0.849604120695,322,113,416,65,71,1151,259,789,113,157,2080,309,728,92,111,35922,10452,28059,4724,6499
2001-10-31,2001-08-09,2002-03-04,0.323955693264,0.325297226993,0.276150833563,0.320498565244,0.51722291573,0.518289923794,0.45485962867,0.468954161512,113,416,65,71,256,259,789,113,157,906,309,728,92,111,1544,10452,28059,4724,6499,27545
2002-03-04,2001-10-31,2002-05-13,0.858573788325,0.578090515049,0.622254796472,0.33728929001,0.949509010382,0.788517202615,0.787035375359,0.49545275601,416,65,71,256,434,789,113,157,906,840,728,92,111,1544,607,28059,4724,6499,27545,28637
2002-05-13,2002-03-04,2002-08-13,0.680894431365,0.586393711024,0.25133912141,0.564247501249,0.882340415628,0.800764230063,0.426410327273,0.764298749099,65,71,256,434,74,113,157,906,840,132,92,111,1544,607,69,4724,6499,27545,28637,5324
2002-08-13,2002-05-13,2002-10-31,0.590814293412,0.362584392306,0.518164379701,0.611162298845,0.758898277927,0.533349358597,0.702243304348,0.776794455748,71,256,434,74,124,157,906,840,132,281,111,1544,607,69,382,6499,27545,28637,5324,11236
2002-10-31,2002-08-13,2003-02-28,0.427278045308,0.489403084865,0.521364095537,0.750379581956,0.613059878155,0.707425480763,0.729056980601,0.888470237798,256,434,74,124,146,906,840,132,281,372,1544,607,69,382,636,27545,28637,5324,11236,14376
2003-02-28,2002-10-31,2003-04-30,0.784653234537,0.533170752636,0.606473033352,0.55884574737,0.897436345681,0.715209835388,0.769181418297,0.7596273337,434,74,124,146,548,840,132,281,372,996,607,69,382,636,966,28637,5324,11236,14376,33006
2003-04-30,2003-02-28,2003-07-31,0.642619396745,0.505911559004,0.492304098786,0.531051923702,0.859614204499,0.729232426828,0.729281571794,0.72433660239,74,124,146,548,65,132,281,372,996,129,69,382,636,966,103,5324,11236,14376,33006,6182
2003-07-31,2003-04-30,2003-10-31,0.707925681296,0.549023737883,0.571556115213,0.617319385992,0.882564143929,0.804017095898,0.766239467775,0.80622775523,124,146,548,65,110,281,372,996,129,225,382,636,966,103,337,11236,14376,33006,6182,10280
2003-10-31,2003-07-31,2004-02-27,0.418059821837,0.33861485169,0.282673606431,0.369745852689,0.610334261257,0.52006457198,0.465160003499,0.552698010368,146,548,65,110,313,372,996,129,225,1187,636,966,103,337,2078,14376,33006,6182,10280,36741
