filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-08-05,1997-05-14,1997-12-08,0.702135100487,0.11046960099,0.497222426376,0.30768123663,0.905183116775,0.225782407022,0.719051317213,0.459140053505,11,351,11,26,13,18,1000,9,81,26,12,2085,11,239,18,1616,35026,1579,4734,2344
1997-12-08,1997-08-05,1998-01-27,0.75602672472,0.215754052314,0.251976450986,0.228192923007,0.813161832728,0.441230124028,0.462250594227,0.428963897483,351,11,26,13,183,1000,9,81,26,415,2085,11,239,18,714,35026,1579,4734,2344,17570
1998-01-27,1997-12-08,1998-05-14,0.507986312623,0.215401298477,0.398204281281,0.2406181363,0.796984895727,0.424611311244,0.637474454542,0.486620675232,11,26,13,183,16,9,81,26,415,23,11,239,18,714,55,1579,4734,2344,17570,2226
1998-05-14,1998-01-27,1998-08-06,0.243946210975,0.287210858426,0.272597778166,0.271292934108,0.441496924666,0.522395029757,0.504168116157,0.493929826265,26,13,183,16,33,81,26,415,23,52,239,18,714,55,228,4734,2344,17570,2226,5360
1998-08-06,1998-05-14,1998-12-10,0.189886528889,0.530953750873,0.261804115905,0.22394294818,0.327406902376,0.67795140649,0.451249918079,0.372362387557,13,183,16,33,184,26,415,23,52,694,18,714,55,228,1685,2344,17570,2226,5360,22803
1998-12-10,1998-08-06,1999-02-16,0.412632368478,0.331279745906,0.507801179473,0.32819717525,0.674514439801,0.589332729787,0.703648729629,0.489616798764,183,16,33,184,135,415,23,52,694,233,714,55,228,1685,352,17570,2226,5360,22803,14285
1999-02-16,1998-12-10,1999-05-12,0.286414237514,0.259844877464,0.313589862592,0.358906354849,0.535099804947,0.492598054857,0.484302123789,0.597454568613,16,33,184,135,32,23,52,694,233,94,55,228,1685,352,259,2226,5360,22803,14285,5871
1999-05-12,1999-02-16,1999-07-30,0.355726816186,0.154628177266,0.384843124444,0.331478352582,0.586108101601,0.289406706732,0.600203215399,0.501703256255,33,184,135,32,22,52,694,233,94,36,228,1685,352,259,26,5360,22803,14285,5871,3363
1999-07-30,1999-05-12,1999-12-10,0.18487760948,0.380468276408,0.311449609271,0.668801982199,0.3125173037,0.595751188563,0.485314832692,0.795231349497,184,135,32,22,21,694,233,94,36,36,1685,352,259,26,25,22803,14285,5871,3363,3309
1999-12-10,1999-07-30,2000-02-11,0.399428998404,0.30665591398,0.17915424793,0.179288990562,0.542859558621,0.474087160948,0.305733554451,0.304209863935,135,32,22,21,417,233,94,36,36,1000,352,259,26,25,2026,14285,5871,3363,3309,38971
2000-02-11,1999-12-10,2000-05-12,0.393851524331,0.587630954969,0.578062476863,0.197338116323,0.579308243482,0.758573936977,0.753441646762,0.332600428573,32,22,21,417,21,94,36,36,1000,18,259,26,25,2026,17,5871,3363,3309,38971,2403
2000-05-12,2000-02-11,2000-08-11,0.306986315737,0.214759940851,0.268340510323,0.246467492695,0.548707284365,0.448759004453,0.46591078524,0.46254976221,22,21,417,21,86,36,36,1000,18,227,26,25,2026,17,537,3363,3309,38971,2403,10480
2000-08-11,2000-05-12,2000-12-13,0.336739707724,0.205705730167,0.271123084586,0.18725742087,0.640443767403,0.431180743528,0.548132375086,0.474496890546,21,417,21,86,77,36,1000,18,227,250,25,2026,17,537,698,3309,38971,2403,10480,9584
2000-12-13,2000-08-11,2001-02-13,0.340916109439,0.517321472991,0.255561380678,0.272001645888,0.475874619929,0.703497805725,0.481911299008,0.576621112496,417,21,86,77,138,1000,18,227,250,114,2026,17,537,698,100,38971,2403,10480,9584,11753
2001-02-13,2000-12-13,2001-05-15,0.757245247013,0.229552123631,0.24901334941,0.554710146122,0.887961715314,0.445410822217,0.512998646268,0.721804979156,21,86,77,138,40,18,227,250,114,16,17,537,698,100,17,2403,10480,9584,11753,3789
2001-05-15,2001-02-13,2001-08-14,0.317756161429,0.258956056363,0.473431112505,0.434281409564,0.593160988753,0.597534791956,0.723132622352,0.633270369685,86,77,138,40,99,227,250,114,16,173,537,698,100,17,492,10480,9584,11753,3789,9406
2001-08-14,2001-05-15,2001-11-20,0.316333959268,0.456669343446,0.47077000653,0.4578364696,0.676053736127,0.695683285582,0.676189029541,0.721129303042,77,138,40,99,45,250,114,16,173,59,698,100,17,492,142,9584,11753,3789,9406,7093
2001-11-20,2001-08-14,2002-02-14,0.844108159412,0.526646612121,0.483095574606,0.504397681409,0.954604126208,0.696315222653,0.738025942588,0.716991793943,138,40,99,45,125,114,16,173,59,157,100,17,492,142,157,11753,3789,9406,7093,13160
2002-02-14,2001-11-20,2002-05-15,0.79881721847,0.436610266386,0.483232439616,0.563802154173,0.930152802514,0.676248208822,0.709083534937,0.743578473491,40,99,45,125,26,16,173,59,157,38,17,492,142,157,25,3789,9406,7093,13160,4153
2002-05-15,2002-02-14,2002-08-13,0.298202769787,0.341087087623,0.223480542538,0.167398046028,0.499421260912,0.506108051813,0.409677408738,0.318776865998,99,45,125,26,314,173,59,157,38,1020,492,142,157,25,2632,9406,7093,13160,4153,50256
2002-08-13,2002-05-15,2002-12-13,0.397269626796,0.36233481753,0.417723115161,0.21331504692,0.652870354555,0.607296367565,0.644373318414,0.388902591741,45,125,26,314,118,59,157,38,1020,217,142,157,25,2632,453,7093,13160,4153,50256,11325
2002-12-13,2002-08-13,2003-02-14,0.380158042437,0.248345419482,0.307426065598,0.316553096513,0.547546693177,0.408411230352,0.46370297363,0.487254284316,125,26,314,118,560,157,38,1020,217,1452,157,25,2632,453,3106,13160,4153,50256,11325,58158
2003-02-14,2002-12-13,2003-02-18,0.564108686095,0.177057126251,0.327286109229,0.272658317933,0.813067360479,0.34874773969,0.601414536997,0.461847501475,26,314,118,560,46,38,1020,217,1452,101,25,2632,453,3106,228,4153,50256,11325,58158,6861
2003-02-18,2003-02-14,2003-05-13,0.177030550448,0.32703316357,0.272932865329,0.995081537477,0.349037324626,0.601160875148,0.462401326548,0.999091445386,314,118,560,46,46,1020,217,1452,101,108,2632,453,3106,228,231,50256,11325,58158,6861,6937
2003-05-13,2003-02-18,2003-08-14,0.359314939927,0.242742771108,0.548738003762,0.548839356153,0.596405796102,0.397917521892,0.745369411844,0.746060724185,118,560,46,46,55,217,1452,101,108,77,453,3106,228,231,39,11325,58158,6861,6937,6430
2003-08-14,2003-05-13,2003-12-12,0.558578008872,0.396547955952,0.396996396497,0.461239786032,0.729236192841,0.67081109397,0.671368482264,0.676828906215,560,46,46,55,97,1452,101,108,77,173,3106,228,231,39,544,58158,6861,6937,6430,12369
2003-12-12,2003-08-14,2004-02-06,0.450767050884,0.451806479831,0.522934669543,0.433085885678,0.696976260429,0.698933386789,0.693576010229,0.663959782304,46,46,55,97,145,101,108,77,173,255,228,231,39,544,157,6861,6937,6430,12369,19136
2004-02-06,2003-12-12,2004-05-10,0.545037270133,0.536382858489,0.532287148669,0.508822138088,0.829468794788,0.755162246245,0.754210938807,0.719590026072,46,55,97,145,41,108,77,173,255,73,231,39,544,157,157,6937,6430,12369,19136,6328
2004-05-10,2004-02-06,2004-08-13,0.303144040408,0.47174962186,0.274810813737,0.344319803659,0.447043407257,0.687874314671,0.432050022166,0.534169560637,55,97,145,41,308,77,173,255,73,809,39,544,157,157,1637,6430,12369,19136,6328,29959
2004-08-13,2004-05-10,2004-12-10,0.537568329304,0.548737631275,0.612802739752,0.28396017322,0.768103127129,0.724344970025,0.810505323643,0.429217645105,97,145,41,308,62,173,255,73,809,68,544,157,157,1637,44,12369,19136,6328,29959,6483
2004-12-10,2004-08-13,2005-02-08,0.890050984625,0.483061533287,0.273692417026,0.539175425759,0.963459876306,0.701275649612,0.431947896701,0.70697628471,145,41,308,62,152,255,73,809,68,267,157,157,1637,44,210,19136,6328,29959,6483,18673
2005-02-08,2004-12-10,2005-05-04,0.689559066912,0.277565568098,0.686639200321,0.572659148639,0.898388593888,0.430453983005,0.836828131255,0.738802299818,41,308,62,152,51,73,809,68,267,78,157,1637,44,210,50,6328,29959,6483,18673,6357
2005-05-04,2005-02-08,2005-08-09,0.527731802059,0.542276701149,0.474418779659,0.630601581268,0.709499143068,0.74872463199,0.682746774281,0.777355335657,308,62,152,51,72,809,68,267,78,183,1637,44,210,50,323,29959,6483,18673,6357,10993
2005-08-09,2005-05-04,2005-12-14,0.38721453597,0.306568553885,0.366146082773,0.52437472428,0.621336770807,0.541775651559,0.581566541778,0.783250815061,62,152,51,72,103,68,267,78,183,233,44,210,50,323,538,6483,18673,6357,10993,16241
2005-12-14,2005-08-09,2006-02-02,0.699874555905,0.473150132793,0.564526916832,0.467685111026,0.868025773414,0.686548662251,0.750143208115,0.665275845529,152,51,72,103,247,267,78,183,233,537,210,50,323,538,1131,18673,6357,10993,16241,28231
2006-02-02,2005-12-14,2006-05-08,0.418360351773,0.33322615769,0.224393646935,0.395757727652,0.651592136377,0.582450687866,0.4675299874,0.639745935827,51,72,103,247,134,78,183,233,537,242,50,323,538,1131,636,6357,10993,16241,28231,17750
2006-05-08,2006-02-02,2006-08-08,0.630007234373,0.330455974392,0.477829770439,0.416841651201,0.837549334062,0.579255423751,0.709583210014,0.650770797884,72,103,247,134,99,183,233,537,242,166,323,538,1131,636,199,10993,16241,28231,17750,11393
2006-08-08,2006-05-08,2006-12-12,0.401524455674,0.466841205896,0.369441548276,0.655322212079,0.638724953496,0.681071904104,0.591533087483,0.815424130018,103,247,134,99,79,233,537,242,166,180,538,1131,636,199,95,16241,28231,17750,11393,10940
2006-12-12,2006-08-08,2007-02-05,0.581282160557,0.435756467212,0.555346634332,0.517655174406,0.815187311476,0.672457467615,0.746867354457,0.717994420831,247,134,99,79,353,537,242,166,180,774,1131,636,199,95,802,28231,17750,11393,10940,33181
2007-02-05,2006-12-12,2007-05-04,0.385463967463,0.552155574033,0.598804690201,0.52338917177,0.644238203932,0.779467566998,0.792820323586,0.746362176325,134,99,79,353,97,242,166,180,774,348,636,199,95,802,254,17750,11393,10940,33181,12569
2007-05-04,2007-02-05,2007-08-09,0.402267540588,0.337522341852,0.314899553302,0.366437117163,0.724848595982,0.635356537244,0.601223198433,0.66449483053,99,79,353,97,85,166,180,774,348,298,199,95,802,254,241,11393,10940,33181,12569,15199
2007-08-09,2007-05-04,2007-11-27,0.778728266418,0.482111468964,0.6079086535,0.370999229239,0.922101110096,0.694756135108,0.788668426354,0.6522725279,79,353,97,85,102,180,774,348,298,497,95,802,254,241,125,10940,33181,12569,15199,13575
