filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2009-11-03,2009-08-04,2010-02-22,0.716507277885,0.613996577697,0.632587694414,0.367976343724,0.866340296442,0.79090211817,0.742953122064,0.416975100487,153,484,239,528,484,277,1153,666,5118,910,85,836,709,466,417,15184,46737,22749,54888,45143
2010-02-22,2009-11-03,2010-04-30,0.408844483217,0.299820845202,0.942775912024,0.395093273203,0.499129767901,0.384159111633,0.961427493257,0.477888669704,484,239,528,484,868,1153,666,5118,910,7307,836,709,466,417,627,46737,22749,54888,45143,93134
2010-04-30,2010-02-22,2010-08-03,0.165390138749,0.908398706747,0.199757204534,0.897071569451,0.205214097367,0.945701600488,0.245561615608,0.92123881886,239,528,484,868,233,666,5118,910,7307,5162,709,466,417,627,358,22749,54888,45143,93134,40629
2010-08-03,2010-04-30,2010-11-02,0.842735148556,0.0531090291396,0.81367056656,0.952386711049,0.888685977685,0.0640778388027,0.84272431343,0.965172617109,528,484,868,233,701,5118,910,7307,5162,48893,466,417,627,358,1092,54888,45143,93134,40629,139494
2010-11-02,2010-08-03,2011-02-18,0.0811920400548,0.83232053196,0.964250163979,0.995928881317,0.0959097640789,0.859434038836,0.975431633555,0.997605359001,484,868,233,701,831,910,7307,5162,48893,37091,417,627,358,1092,1528,45143,93134,40629,139494,140948
2011-02-18,2010-11-02,2011-04-29,0.408822185128,0.31626376893,0.118451431523,0.178235526278,0.423439099731,0.303002155706,0.108614728102,0.162686452692,868,233,701,831,1527,7307,5162,48893,37091,3947,627,358,1092,1528,2454,93134,40629,139494,140948,177592
2011-04-29,2011-02-18,2011-08-04,0.322242720583,0.120878027338,0.179591444737,0.953777366351,0.308686974701,0.11207790021,0.1653489376,0.958865283855,233,701,831,1527,486,5162,48893,37091,3947,816,358,1092,1528,2454,747,40629,139494,140948,177592,62803
2011-08-04,2011-04-29,2011-11-02,0.0672380855475,0.096630640038,0.435747520511,0.435991992224,0.0785957996403,0.113482551483,0.604297321667,0.609566932908,701,831,1527,486,792,48893,37091,3947,816,911,1092,1528,2454,747,2002,139494,140948,177592,62803,69538
2011-11-02,2011-08-04,2012-02-17,0.091129512541,0.410292744015,0.402275573785,0.964727272756,0.107649657241,0.578364157279,0.574202215976,0.973345030116,831,1527,486,792,866,37091,3947,816,911,1154,1528,2454,747,2002,2329,140948,177592,62803,69538,74801
2012-02-17,2011-11-02,2012-05-08,0.456667972277,0.417643434803,0.966155700522,0.958560271228,0.634557036216,0.597136860161,0.970739643583,0.964517872841,1527,486,792,866,1969,3947,816,911,1154,3028,2454,747,2002,2329,4457,177592,62803,69538,74801,165689
2012-05-08,2012-02-17,2012-07-31,0.424705569255,0.972611309117,0.961182347256,0.973115710627,0.602846081727,0.978847522483,0.967990696586,0.974319164779,486,792,866,1969,770,816,911,1154,3028,996,747,2002,2329,4457,2450,62803,69538,74801,165689,75384
2012-07-31,2012-05-08,2012-11-06,0.973442370652,0.946379845802,0.959630751378,0.971383053001,0.982508650159,0.959989584498,0.965499157655,0.980126030123,792,866,1969,770,786,911,1154,3028,996,934,2002,2329,4457,2450,2236,69538,74801,165689,75384,75725
2012-11-06,2012-07-31,2013-02-14,0.961808505127,0.963699700214,0.972940393701,0.980224562617,0.971602334025,0.968019443681,0.979992348132,0.98543738644,866,1969,770,786,863,1154,3028,996,934,1121,2329,4457,2450,2236,2468,74801,165689,75384,75725,80250
2013-02-14,2012-11-06,2013-02-19,0.981490245166,0.96675575458,0.967757107028,0.972315641105,0.990327952136,0.974326657537,0.972552688058,0.975983922241,1969,770,786,863,1877,3028,996,934,1121,3370,4457,2450,2236,2468,5421,165689,75384,75725,80250,168715
2013-02-19,2013-02-14,2013-05-07,0.966639427831,0.967645444102,0.972176600235,0.999868787382,0.974273922675,0.97247234003,0.975879725321,0.999965924288,770,786,863,1877,1877,996,934,1121,3370,3376,2450,2236,2468,5421,5439,75384,75725,80250,168715,168943
2013-05-07,2013-02-19,2013-07-30,0.976778310373,0.98153886121,0.975065866047,0.974957754925,0.981291802918,0.984763539391,0.979076277914,0.978997842346,786,863,1877,1877,1033,934,1121,3370,3376,1367,2236,2468,5421,5439,3191,75725,80250,168715,168943,91470
2013-07-30,2013-05-07,2013-10-31,0.901156230154,0.897104012974,0.896862313494,0.908847464206,0.916233554067,0.910765052681,0.91053267288,0.922779548529,863,1877,1877,1033,2894,1121,3370,3376,1367,2277,2468,5421,5439,3191,10194,80250,168715,168943,91470,215456
