filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-03-31,1996-12-24,1997-04-07,0.46021466834,0.219646933501,0.55676779415,0.558627887225,0.714207255264,0.445905164845,0.779991156419,0.779261792216,50,176,59,64,216,85,650,119,152,449,54,1123,96,97,313,5607,18938,7695,8332,21095
1997-04-07,1997-03-31,1997-04-30,0.16383767249,0.105257528852,0.10278064482,0.141446714184,0.433664017104,0.208840773126,0.205946581221,0.269133888221,176,59,64,216,289,650,119,152,449,788,1123,96,97,313,1541,18938,7695,8332,21095,20031
1997-04-30,1997-04-07,1997-05-12,0.269376047272,0.257155131206,0.278229513556,0.140605244867,0.419226501267,0.401476247904,0.440145159005,0.239266938403,59,64,216,289,24,119,152,449,788,12,96,97,313,1541,62,7695,8332,21095,20031,3550
1997-05-12,1997-04-30,1997-08-12,0.303538252655,0.383884313555,0.122604289346,0.115241625646,0.600193566983,0.673982214106,0.329615633162,0.307359246184,64,216,289,24,65,152,449,788,12,195,97,313,1541,62,195,8332,21095,20031,3550,6513
1997-08-12,1997-05-12,1997-11-14,0.261812512575,0.160685305855,0.0992094425835,0.229253418669,0.487004369085,0.37580164377,0.224498754689,0.468064463962,216,289,24,65,136,449,788,12,195,719,313,1541,62,195,685,21095,20031,3550,6513,13522
1997-11-14,1997-08-12,1997-12-05,0.167779374769,0.141081144353,0.253315388127,0.220921474071,0.343178686369,0.265683357668,0.507889620415,0.42366132606,289,24,65,136,163,788,12,195,719,547,1541,62,195,685,903,20031,3550,6513,13522,21396
1997-12-05,1997-11-14,1998-03-20,0.173597321988,0.324257853479,0.238179025292,0.56352764696,0.319035435179,0.619015769939,0.429265086139,0.651104066869,24,65,136,163,53,12,195,719,547,148,62,195,685,903,70,3550,6513,13522,21396,8019
1998-03-20,1997-12-05,1998-05-13,0.319936472557,0.253579771919,0.415404950363,0.601271406269,0.631209891538,0.472137656503,0.588642380147,0.782485975758,65,136,163,53,264,195,719,547,148,630,195,685,903,70,346,6513,13522,21396,8019,23707
1998-05-13,1998-03-20,1998-08-06,0.145046653784,0.143854427776,0.127281959952,0.168273711231,0.343387246368,0.326868236377,0.298839850493,0.365190052155,136,163,53,264,144,719,547,148,630,714,685,903,70,346,903,13522,21396,8019,23707,18639
1998-08-06,1998-05-13,1998-11-10,0.27754162122,0.279203751017,0.285941136193,0.310158174638,0.534965694032,0.531904633772,0.524812630582,0.509211386223,163,53,264,144,77,547,148,630,714,456,903,70,346,903,592,21396,8019,23707,18639,11039
1998-11-10,1998-08-06,1999-03-17,0.576775536199,0.431513319001,0.146082163099,0.375736251226,0.805623393813,0.6625920125,0.322098900304,0.600372460033,53,264,144,77,43,148,630,714,456,255,70,346,903,592,134,8019,23707,18639,11039,5884
1999-03-17,1998-11-10,1999-05-17,0.640622696114,0.278574722721,0.656312572229,0.427430659071,0.869111425614,0.476947660859,0.743576567141,0.649122080154,264,144,77,43,263,630,714,456,255,931,346,903,592,134,950,23707,18639,11039,5884,27640
1999-05-17,1999-03-17,1999-08-09,0.133212035744,0.279211683337,0.535386733848,0.510808401863,0.331452208999,0.553781196402,0.792521308722,0.73860502413,144,77,43,263,44,714,456,255,931,278,903,592,134,950,164,18639,11039,5884,27640,6294
1999-08-09,1999-05-17,1999-11-02,0.368768174605,0.554560827471,0.485127083402,0.80514001624,0.628233683187,0.816103229946,0.704371942917,0.903387611144,77,43,263,44,57,456,255,931,278,260,592,134,950,164,164,11039,5884,27640,6294,7359
1999-11-02,1999-08-09,2000-03-13,0.679192542414,0.476445456402,0.716939794216,0.767811550406,0.904968648562,0.694560762236,0.879734616478,0.89836010071,43,263,44,57,57,255,931,278,260,274,134,950,164,164,194,5884,27640,6294,7359,7562
2000-03-13,1999-11-02,2000-04-27,0.692851290186,0.477114043853,0.487616777186,0.509717277821,0.883318441601,0.709186779844,0.68898124591,0.68456483204,263,44,57,57,263,931,278,260,274,768,950,164,164,194,715,27640,6294,7359,7562,25788
2000-04-27,2000-03-13,2000-08-01,0.149720945664,0.148281615675,0.15540459852,0.215463583394,0.320375374178,0.298471022343,0.3011967219,0.388648240962,44,57,57,263,245,278,260,274,768,1966,164,164,194,715,2912,6294,7359,7562,25788,35898
2000-08-01,2000-04-27,2000-11-14,0.684062186052,0.59732069545,0.48848617996,0.161405667344,0.903901348191,0.836628468389,0.669235258697,0.310033792582,57,57,263,245,57,260,274,768,1966,371,164,194,715,2912,294,7359,7562,25788,35898,7806
2000-11-14,2000-08-01,2001-03-13,0.257714439329,0.286388842078,0.188114148071,0.267331600321,0.398286745521,0.428126472829,0.366093913486,0.380339718507,57,263,245,57,433,274,768,1966,371,1114,194,715,2912,294,2005,7562,25788,35898,7806,35638
2001-03-13,2000-11-14,2001-05-03,0.786861323317,0.175116007137,0.56000095379,0.29884145912,0.921083592427,0.353666904106,0.736583531999,0.429930518974,263,245,57,433,251,768,1966,371,1114,987,715,2912,294,2005,756,25788,35898,7806,35638,25396
2001-05-03,2001-03-13,2001-07-19,0.361000113747,0.32780809252,0.194067497515,0.381414016259,0.589369212236,0.555125374249,0.371434875007,0.575376585731,245,57,433,251,131,1966,371,1114,987,1006,2912,294,2005,756,1123,35898,7806,35638,25396,15382
2001-07-19,2001-05-03,2001-10-23,0.253776068517,0.564196377845,0.284150248935,0.347886181432,0.422023047122,0.798676127223,0.46695905891,0.558319739339,57,433,251,131,335,371,1114,987,1006,1887,294,2005,756,1123,3182,7806,35638,25396,15382,41009
2001-10-23,2001-07-19,2002-02-28,0.254139159644,0.554706546355,0.391541727902,0.279745445807,0.386191430791,0.72977138089,0.606565302614,0.427825338343,433,251,131,335,85,1114,987,1006,1887,775,2005,756,1123,3182,567,35638,25396,15382,41009,12290
2002-02-28,2001-10-23,2002-05-02,0.532317544158,0.258878765839,0.577811329837,0.359384020888,0.689625974565,0.476791333228,0.800522224485,0.510620030141,251,131,335,85,749,987,1006,1887,775,2177,756,1123,3182,567,3155,25396,15382,41009,12290,67890
2002-05-02,2002-02-28,2002-08-14,0.305016653629,0.410494179997,0.417986103713,0.500779685815,0.583289780743,0.68879894199,0.626520977841,0.746940815861,131,335,85,749,189,1006,1887,775,2177,1131,1123,3182,567,3155,1418,15382,41009,12290,67890,22027
2002-08-14,2002-05-02,2002-09-20,0.260005491561,0.599056281737,0.367987915438,0.498846152551,0.444063782665,0.839587548682,0.536961941739,0.67410888205,335,85,749,189,125,1887,775,2177,1131,850,3182,567,3155,1418,572,41009,12290,67890,22027,15108
2002-09-20,2002-08-14,2002-11-14,0.0782191505833,0.296310336689,0.170481058592,0.0906413907209,0.15694898227,0.38042047037,0.290828473496,0.171191241283,85,749,189,125,9,775,2177,1131,850,27,567,3155,1418,572,113,12290,67890,22027,15108,1972
2002-11-14,2002-09-20,2003-03-04,0.271779564684,0.404668037889,0.394129766042,0.150215029282,0.500864207083,0.653465437342,0.592657429419,0.239777218287,749,189,125,9,238,2177,1131,850,27,1677,3155,1418,572,113,1699,67890,22027,15108,1972,32178
2003-03-04,2002-11-14,2003-05-06,0.462487239351,0.453644654223,0.21997478338,0.332094633621,0.70811406057,0.615724583637,0.313939966891,0.53618640165,189,125,9,238,516,1131,850,27,1677,1883,1418,572,113,1699,2171,22027,15108,1972,32178,51427
2003-05-06,2003-03-04,2003-08-13,0.528778251056,0.15902644426,0.431144545502,0.454661938685,0.751475498744,0.237887105639,0.653341397691,0.641887080713,125,9,238,516,137,850,27,1677,1883,1093,572,113,1699,2171,946,15108,1972,32178,51427,17029
2003-08-13,2003-05-06,2003-11-10,0.117929084153,0.305739402871,0.465746766424,0.56552056169,0.221210788278,0.555236851869,0.659734667971,0.742175709216,9,238,516,137,167,27,1677,1883,1093,887,113,1699,2171,946,1085,1972,32178,51427,17029,19753
2003-11-10,2003-08-13,2004-03-26,0.206479395096,0.760512191627,0.284011888574,0.295191777352,0.392727493378,0.838486791705,0.42153793239,0.440406980271,238,516,137,167,1205,1677,1883,1093,887,2973,1699,2171,946,1085,5827,32178,51427,17029,19753,100083
2004-03-26,2003-11-10,2004-03-29,0.606372518036,0.493198234935,0.510012879445,0.318824748845,0.783108473699,0.711769772969,0.697766037138,0.455771248473,516,137,167,1205,339,1883,1093,887,2973,1281,2171,946,1085,5827,1062,51427,17029,19753,100083,36195
2004-03-29,2004-03-26,2004-05-06,0.493265893906,0.510200644385,0.318919551832,0.999844527592,0.711730049099,0.69797186904,0.455862427785,0.999967911626,137,167,1205,339,339,1093,887,2973,1281,1281,946,1085,5827,1062,1065,17029,19753,100083,36195,36240
2004-05-06,2004-03-29,2004-08-09,0.496409942476,0.297010980082,0.509600507436,0.509644694539,0.704953919169,0.442967300367,0.712696019843,0.712618967219,167,1205,339,339,179,887,2973,1281,1281,962,1085,5827,1062,1065,1071,19753,100083,36195,36240,19125
2004-08-09,2004-05-06,2004-11-09,0.204510085992,0.572377239929,0.572285576032,0.655016937213,0.317714877465,0.748967097529,0.748697759435,0.789861868477,1205,339,339,179,152,2973,1281,1281,962,751,5827,1062,1065,1071,649,100083,36195,36240,19125,16401
2004-11-09,2004-08-09,2005-03-16,0.571370509006,0.571248172201,0.615731533169,0.834032359061,0.751054029618,0.750762113396,0.76939817486,0.920920801303,339,339,179,152,147,1281,1281,962,751,761,1062,1065,1071,649,620,36195,36240,19125,16401,16089
2005-03-16,2004-11-09,2005-04-28,0.798845875985,0.584089242498,0.663581953799,0.667799277982,0.938139093772,0.76147136899,0.804095888833,0.806467124859,339,179,152,147,430,1281,962,751,761,1426,1065,1071,649,620,1067,36240,19125,16401,16089,39617
2005-04-28,2005-03-16,2005-05-05,0.130826834193,0.13279538594,0.129076755332,0.174920471251,0.292190678259,0.27271054265,0.268580696828,0.337603095201,179,152,147,430,36,962,751,761,1426,37,1071,649,620,1067,32,19125,16401,16089,39617,3407
2005-05-05,2005-04-28,2005-05-06,0.680922902601,0.674720760752,0.642591744405,0.139326218161,0.860661854252,0.858578166051,0.801180510191,0.306443802186,152,147,430,36,168,751,761,1426,37,923,649,620,1067,32,863,16401,16089,39617,3407,17414
2005-05-06,2005-05-05,2005-08-09,0.674145331545,0.642822737509,0.140810376665,0.998923398529,0.858339443581,0.801986861954,0.308589000794,0.999779417598,147,430,36,168,168,761,1426,37,923,924,620,1067,32,863,871,16089,39617,3407,17414,17477
2005-08-09,2005-05-06,2005-11-08,0.675143985243,0.133619704649,0.746733680699,0.74617354715,0.810845523738,0.270633161614,0.890305420385,0.890184702479,430,36,168,168,190,1426,37,923,924,846,1067,32,863,871,685,39617,3407,17414,17477,17742
2005-11-08,2005-08-09,2006-03-15,0.128247570902,0.741656228759,0.740835536237,0.805027034839,0.267721238952,0.895620926547,0.895101664246,0.909954707181,36,168,168,190,226,37,923,924,846,1104,32,863,871,685,924,3407,17414,17477,17742,21214
2006-03-15,2005-11-08,2006-05-10,0.587467294205,0.587685466688,0.670445814556,0.662564540275,0.772558108356,0.773272429498,0.8036463231,0.802092240112,168,168,190,226,501,923,924,846,1104,1518,863,871,685,924,860,17414,17477,17742,21214,43074
