filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-05-15,1997-03-28,1997-08-12,0.163461805789,0.161760285835,0.29448463129,0.161004604507,0.416018473217,0.366756945645,0.52529077761,0.366593542902,25,34,172,127,126,143,138,719,318,645,221,318,1670,537,1284,5327,5434,21891,14499,18346
1997-08-12,1997-05-15,1997-11-14,0.437594845412,0.287127331076,0.37821946261,0.141446039668,0.752780424036,0.431521013863,0.688056959089,0.310951487401,34,172,127,126,14,138,719,318,645,26,318,1670,537,1284,66,5434,21891,14499,18346,2781
1997-11-14,1997-08-12,1998-03-30,0.318030673794,0.37425724422,0.134269855861,0.782075623262,0.460875121239,0.678849908962,0.305349615666,0.919828719933,172,127,126,14,18,719,318,645,26,28,1670,537,1284,66,82,21891,14499,18346,2781,2678
1998-03-30,1997-11-14,1998-05-13,0.418878788713,0.153177251212,0.277130749425,0.268691431899,0.760161955581,0.338568447284,0.59243665654,0.58490799232,127,126,14,18,182,318,645,26,28,463,537,1284,66,82,662,14499,18346,2781,2678,16113
1998-05-13,1998-03-30,1998-08-13,0.0922631118282,0.440340255611,0.452319659905,0.310836587147,0.229645872003,0.754937894168,0.765042529716,0.613517699315,126,14,18,182,12,645,26,28,463,22,1284,66,82,662,13,18346,2781,2678,16113,1693
1998-08-13,1998-05-13,1998-11-13,0.196926984198,0.196775610625,0.211811001796,0.125035541818,0.365748071588,0.370312810879,0.400279033916,0.259908273228,14,18,182,12,217,26,28,463,22,914,66,82,662,13,1896,2781,2678,16113,1693,24683
1998-11-13,1998-08-13,1999-03-25,0.580970861774,0.262367757797,0.520352820499,0.194674724739,0.859649312411,0.603007878372,0.813004252823,0.354824608059,18,182,12,217,23,28,463,22,914,50,82,662,13,1896,63,2678,16113,1693,24683,2922
1999-03-25,1998-11-13,1999-05-13,0.403742896911,0.395449699972,0.166560052171,0.505430833925,0.708710183102,0.706023875411,0.328056662233,0.769520189847,182,12,217,23,121,463,22,914,50,184,662,13,1896,63,130,16113,1693,24683,2922,11528
1999-05-13,1999-03-25,1999-08-10,0.475352595987,0.118862463495,0.409978504847,0.481518009701,0.815615030277,0.281879986798,0.746934486093,0.738917810735,12,217,23,121,13,22,914,50,184,45,13,1896,63,130,15,1693,24683,2922,11528,2259
1999-08-10,1999-05-13,1999-11-12,0.450348633837,0.137903456275,0.146079988451,0.104496958995,0.690962244961,0.291884983758,0.283437501604,0.222876535083,217,23,121,13,780,914,50,184,45,2506,1896,63,130,15,5001,24683,2922,11528,2259,64176
