filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2009-05-13,2009-03-26,2009-08-13,0.653631664167,0.56141341595,0.536178325968,0.586233865089,0.834230191145,0.780292474007,0.779334381273,0.769519027992,119,137,199,466,148,271,336,466,826,401,166,209,532,396,356,11010,14427,17636,33180,14486
2009-08-13,2009-05-13,2009-11-05,0.791133231792,0.540167943108,0.576380497737,0.626267423147,0.905730201874,0.761338587865,0.725803710221,0.805795295893,137,199,466,148,135,336,466,826,401,291,209,532,396,356,215,14427,17636,33180,14486,13357
2009-11-05,2009-08-13,2010-03-01,0.754419837251,0.578538588146,0.606834321874,0.657089241574,0.896494563466,0.736269447372,0.803000313045,0.822106503718,199,466,148,135,135,466,826,401,291,289,532,396,356,215,238,17636,33180,14486,13357,13701
2010-03-01,2009-11-05,2010-05-06,0.862593149678,0.584797676781,0.572333323201,0.557094133665,0.938415781561,0.763840828433,0.716979210041,0.71409913002,466,148,135,135,557,826,401,291,289,1116,396,356,215,238,767,33180,14486,13357,13701,41416
2010-05-06,2010-03-01,2010-07-29,0.570310442154,0.410144466915,0.401844808612,0.517785162504,0.766226286451,0.622618861614,0.619944574552,0.706526316228,148,135,135,557,617,401,291,289,1116,1091,356,215,238,767,1997,14486,13357,13701,41416,47880
2010-07-29,2010-05-06,2010-08-23,0.869582672086,0.562899353045,0.514863051509,0.410949991274,0.938398102448,0.759633711674,0.663209311472,0.610198154925,135,135,557,617,133,291,289,1116,1091,216,215,238,767,1997,185,13357,13701,41416,47880,12956
2010-08-23,2010-07-29,2010-10-27,0.494740350399,0.489221730199,0.456248426768,0.798305610892,0.64846156871,0.61476809247,0.649129462168,0.827290780156,135,557,617,133,292,289,1116,1091,216,459,238,767,1997,185,418,13701,41416,47880,12956,23339
2010-10-27,2010-08-23,2011-02-22,0.532355710342,0.463054219077,0.61498447015,0.742115396519,0.672724941077,0.669482562642,0.756665440299,0.862014219587,557,617,133,292,333,1116,1091,216,459,631,767,1997,185,418,498,41416,47880,12956,23339,35637
2011-02-22,2010-10-27,2011-04-27,0.185261565599,0.175156134996,0.234786988665,0.229719204621,0.396199858349,0.330689977637,0.41372380376,0.411755862395,617,133,292,333,2521,1091,216,459,631,2972,1997,185,418,498,2908,47880,12956,23339,35637,186470
2011-04-27,2011-02-22,2011-07-27,0.212130570245,0.282182735064,0.275278927647,0.911638590237,0.391989179696,0.488423682456,0.48425719232,0.920126357478,133,292,333,2521,496,216,459,631,2972,1085,185,418,498,2908,1254,12956,23339,35637,186470,72004
2011-07-27,2011-04-27,2011-10-26,0.315334636863,0.273666390702,0.382290170905,0.394154285862,0.450689388711,0.430383382666,0.558711385009,0.595413586163,292,333,2521,496,917,459,631,2972,1085,983,418,498,2908,1254,2609,23339,35637,186470,72004,76824
2011-10-26,2011-07-27,2011-10-27,0.90374213759,0.245871721331,0.291489945887,0.29408518521,0.953197061646,0.432806737977,0.500881092625,0.444968213316,333,2521,496,917,306,631,2972,1085,983,426,498,2908,1254,2609,318,35637,186470,72004,76824,27545
2011-10-27,2011-10-26,2012-02-22,0.355785514636,0.359643408903,0.971556135326,0.284495534585,0.521811666679,0.548300964273,0.972889812669,0.401667824987,2521,496,917,306,825,2972,1085,983,426,807,2908,1254,2609,318,2574,186470,72004,76824,27545,64515
2012-02-22,2011-10-27,2012-04-25,0.389993065359,0.970981547724,0.28229914839,0.961648243706,0.594207911899,0.967429347581,0.43548048312,0.957043702381,496,917,306,825,2405,1085,983,426,807,1943,1254,2609,318,2574,4789,72004,76824,27545,64515,154457
2012-04-25,2012-02-22,2012-07-26,0.982557295542,0.266372301739,0.974007468449,0.97626446138,0.984366467536,0.412845838316,0.976214319688,0.97240977412,917,306,825,2405,835,983,426,807,1943,879,2609,318,2574,4789,2562,76824,27545,64515,154457,71842
2012-07-26,2012-04-25,2012-10-24,0.285759134346,0.961841660085,0.962867142999,0.978385668217,0.435273829025,0.966273689944,0.960958578309,0.982350163316,306,825,2405,835,868,426,807,1943,879,1017,318,2574,4789,2562,2866,27545,64515,154457,71842,74543
2012-10-24,2012-07-26,2013-02-21,0.973723452761,0.963635342598,0.978684985185,0.977131046161,0.976347999328,0.961747748221,0.982844573689,0.982563951555,825,2405,835,868,867,807,1943,879,1017,942,2574,4789,2562,2866,2532,64515,154457,71842,74543,72166
2013-02-21,2012-10-24,2013-04-24,0.991153906753,0.971491454624,0.964695867864,0.96586427325,0.994141870369,0.967290731047,0.960691272814,0.961711263935,2405,835,868,867,2586,1943,879,1017,942,1908,4789,2562,2866,2532,4638,154457,71842,74543,72166,148747
2013-04-24,2013-02-21,2013-07-24,0.991422000161,0.978051904922,0.979019504271,0.972002149891,0.993401115052,0.982150657065,0.98295695375,0.967335855085,835,868,867,2586,912,879,1017,942,1908,948,2562,2866,2532,4638,2718,71842,74543,72166,148747,74248
