filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-04-28,1995-03-30,1995-08-09,0.104452777115,0.0992877787049,0.0993449560883,0.192736966002,0.241347625711,0.23232912374,0.2226877756,0.301972333859,11,11,18,45,4,12,14,13,43,1,12,12,13,33,17,1562,1586,1835,6736,579
1995-08-09,1995-04-28,1995-11-14,0.55751006634,0.451873322918,0.248201085116,0.0921537349661,0.84548692997,0.748454254981,0.508614250109,0.215704771537,11,18,45,4,13,14,13,43,1,10,12,13,33,17,15,1586,1835,6736,579,2248
1995-11-14,1995-08-09,1996-02-21,0.605287401385,0.247197622891,0.0833334966424,0.622656531198,0.868655843287,0.517000982787,0.198145973914,0.797986074234,18,45,4,13,21,13,43,1,10,8,13,33,17,15,11,1835,6736,579,2248,2448
1996-02-21,1995-11-14,1996-03-22,0.618845510637,0.144244691332,0.169919828594,0.182944305296,0.699533960549,0.291602062647,0.360720261129,0.385726310504,45,4,13,21,294,43,1,10,8,492,33,17,15,11,1189,6736,579,2248,2448,26766
1996-03-22,1996-02-21,1996-05-14,0.11051025378,0.17295305287,0.18174920453,0.710980651116,0.200726929256,0.412716153262,0.427187998392,0.697803816122,4,13,21,294,92,1,10,8,492,66,17,15,11,1189,49,579,2248,2448,26766,10835
1996-05-14,1996-03-22,1996-08-12,0.473969580979,0.482579341683,0.208390731106,0.224833339999,0.743495655795,0.754473025711,0.388884027317,0.468907842455,13,21,294,92,28,10,8,492,66,12,15,11,1189,49,20,2248,2448,26766,10835,2956
1996-08-12,1996-05-14,1996-11-12,0.429994521864,0.188914444626,0.202363268061,0.662100013113,0.731007908452,0.364344951091,0.439997897449,0.828145483101,21,294,92,28,33,8,492,66,12,8,11,1189,49,20,12,2448,26766,10835,2956,3245
1996-11-12,1996-08-12,1997-03-17,0.192759745727,0.20303145979,0.611732405522,0.625002851088,0.370188545864,0.436067740411,0.807757226313,0.808527605832,294,92,28,33,34,492,66,12,8,15,1189,49,20,12,16,26766,10835,2956,3245,3424
1997-03-17,1996-11-12,1997-05-13,0.921429017034,0.206155353653,0.191962359003,0.199439662827,0.959680575123,0.438156152728,0.413814649775,0.415210603267,92,28,33,34,92,66,12,8,15,75,49,20,12,16,162,10835,2956,3245,3424,13091
1997-05-13,1997-03-17,1997-08-12,0.794521674443,0.593053323762,0.632976831343,0.206882328684,0.938288956308,0.799167125133,0.812811973312,0.425148635096,28,33,34,92,27,12,8,15,75,17,20,12,16,162,12,2956,3245,3424,13091,2654
1997-08-12,1997-05-13,1997-11-14,0.812474802863,0.570184096162,0.180877857424,0.668003735265,0.940064447494,0.803256777033,0.395729901996,0.82668588604,33,34,92,27,29,8,15,75,17,18,12,16,162,12,16,3245,3424,13091,2654,3153
1997-11-14,1997-08-12,1998-03-20,0.842302394987,0.187830042541,0.655237867592,0.650804745992,0.962005537705,0.404964445891,0.826601215904,0.831123601108,34,92,27,29,28,15,75,17,18,19,16,162,12,16,16,3424,13091,2654,3153,3175
1998-03-20,1997-11-14,1998-05-15,0.855886287611,0.195154642106,0.178418573799,0.186622445323,0.882072107547,0.391441951975,0.377484786714,0.389424873568,92,27,29,28,108,75,17,18,19,216,162,12,16,16,557,13091,2654,3153,3175,19510
1998-05-15,1998-03-20,1998-08-13,0.903983401408,0.644328821174,0.651603994598,0.202443401059,0.969972440517,0.818294826198,0.819582144525,0.404569865348,27,29,28,108,26,17,18,19,216,17,12,16,16,557,12,2654,3153,3175,19510,2820
1998-08-13,1998-05-15,1998-11-12,0.677229289682,0.474677950028,0.233301103645,0.532060618772,0.836273585435,0.715111412123,0.472275410337,0.741441369199,29,28,108,26,40,18,19,216,17,73,16,16,557,12,138,3153,3175,19510,2820,5155
1998-11-12,1998-08-13,1999-03-29,0.881667146776,0.18557083053,0.671614629437,0.508837546543,0.970517097449,0.390071715324,0.833586213436,0.72629962508,28,108,26,40,32,19,216,17,73,23,16,557,12,138,17,3175,19510,2820,5155,3428
1999-03-29,1998-11-12,1999-05-14,0.564189918151,0.162021210498,0.187807346264,0.148399636088,0.711051839637,0.376968903269,0.44901469536,0.360493303562,108,26,40,32,175,216,17,73,23,298,557,12,138,17,775,19510,2820,5155,3428,25645
1999-05-14,1999-03-29,1999-08-16,0.674374823671,0.442399897697,0.555785211983,0.214033782374,0.881507718409,0.72645195572,0.78445024328,0.467818677071,26,40,32,175,41,17,73,23,298,62,12,138,17,775,28,2820,5155,3428,25645,4425
1999-08-16,1999-05-14,1999-11-15,0.566654053779,0.536068945135,0.158671248273,0.649364150487,0.800694649778,0.783460068336,0.399042942533,0.844514640628,40,32,175,41,39,73,23,298,62,42,138,17,775,28,19,5155,3428,25645,4425,4459
1999-11-15,1999-08-16,2000-03-30,0.725406380836,0.18450254523,0.651563843864,0.684506255345,0.89007555246,0.429896579627,0.843383235817,0.852498500804,32,175,41,39,39,23,298,62,42,48,17,775,28,19,13,3428,25645,4425,4459,4625
2000-03-30,1999-11-15,2000-05-15,0.553333918054,0.111855081266,0.111765006173,0.130385472613,0.69426974702,0.317854654495,0.304409562348,0.316669607333,175,41,39,39,142,298,62,42,48,65,775,28,19,13,45,25645,4425,4459,4625,19626
2000-05-15,2000-03-30,2000-08-11,0.625862837325,0.570823252542,0.642096191818,0.132584882754,0.867172899068,0.814064497998,0.829664307333,0.313360932175,41,39,39,142,28,62,42,48,65,18,28,19,13,45,12,4425,4459,4625,19626,3347
2000-08-11,2000-05-15,2000-11-13,0.726587809903,0.564363276677,0.113347377297,0.697587376162,0.917267397608,0.793437268804,0.283790978902,0.838381396619,39,39,142,28,32,42,48,65,18,19,19,13,45,12,13,4459,4625,19626,3347,3958
2000-11-13,2000-08-11,2001-03-28,0.762329827334,0.118199937404,0.711241889203,0.7113141848,0.91913407729,0.290218720808,0.841068546631,0.845704080273,39,142,28,32,32,48,65,18,19,19,13,45,12,13,12,4625,19626,3347,3958,3898
2001-03-28,2000-11-13,2001-05-15,0.531654403805,0.219002756993,0.193687016576,0.201617017031,0.699362740861,0.37556770253,0.345138730182,0.352556341899,142,28,32,32,116,65,18,19,19,118,45,12,13,12,350,19626,3347,3958,3898,18477
2001-05-15,2001-03-28,2001-08-14,0.832573308065,0.639995130494,0.658642383146,0.200408951748,0.948523263282,0.821510515011,0.825156332552,0.365902700906,28,32,32,116,32,18,19,19,118,26,12,13,12,350,18,3347,3958,3898,18477,3375
2001-08-14,2001-05-15,2001-11-14,0.86511744011,0.610008872849,0.177567037489,0.686550608452,0.964968980156,0.823078461656,0.342516113511,0.843876501655,32,32,116,32,32,19,19,118,26,29,13,12,350,18,18,3958,3898,18477,3375,3790
2001-11-14,2001-08-14,2002-03-15,0.799833658858,0.167583602611,0.608066065715,0.597157678735,0.937303428284,0.337157091008,0.801165329946,0.809315102767,32,116,32,32,40,19,118,26,29,29,12,350,18,18,16,3898,18477,3375,3790,4277
