filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-12-19,1996-12-12,1997-03-24,0.246841747445,0.582426486462,0.221560948218,0.584778535989,0.427903933729,0.833735523886,0.388695099067,0.831219204011,168,13,106,14,15,223,50,186,46,57,467,6,431,14,9,14490,1675,10588,1652,2050
1997-03-24,1996-12-19,1997-08-15,0.559127666842,0.21891875153,0.563983410727,0.599880261768,0.830331931403,0.380496295962,0.830359615359,0.840886646682,13,106,14,15,16,50,186,46,57,41,6,431,14,9,8,1675,10588,1652,2050,2040
1997-08-15,1997-03-24,1997-10-02,0.465241406049,0.260140758243,0.253151417794,0.250291705963,0.650920405168,0.533601132716,0.509946973646,0.517429569067,106,14,15,16,183,186,46,57,41,361,431,14,9,8,630,10588,1652,2050,2040,13880
1997-10-02,1997-08-15,1997-12-18,0.268883873524,0.218269555566,0.225190926134,0.179782011405,0.556746939585,0.496666679474,0.507316590808,0.485841595803,14,15,16,183,22,46,57,41,361,71,14,9,8,630,68,1652,2050,2040,13880,3736
1997-12-18,1997-10-02,1998-03-27,0.674941507524,0.515881965207,0.268245470439,0.291590205134,0.901937065661,0.812740256037,0.535308510715,0.551592094226,15,16,183,22,17,57,41,361,71,37,9,8,630,68,8,2050,2040,13880,3736,1892
1998-03-27,1997-12-18,1998-08-20,0.647503232293,0.239557897499,0.261537606359,0.711266284766,0.885372543135,0.501759903866,0.528177163994,0.874711002525,16,183,22,17,19,41,361,71,37,18,8,630,68,8,9,2040,13880,3736,1892,1801
1998-08-20,1998-03-27,1998-10-09,0.475493333187,0.193651751124,0.19522870627,0.177301880995,0.678477888057,0.473947892541,0.378318013834,0.337802789533,183,22,17,19,276,361,71,37,18,501,630,68,8,9,1120,13880,3736,1892,1801,25995
1998-10-09,1998-08-20,1999-01-12,0.260837125079,0.484994858656,0.51555643317,0.209211400195,0.544755564214,0.763392350033,0.77959863162,0.419643931278,22,17,19,276,20,71,37,18,501,28,68,8,9,1120,11,3736,1892,1801,25995,1985
1999-01-12,1998-10-09,1999-04-13,0.628879618422,0.563547448162,0.205819924981,0.814742340559,0.863150806887,0.82278457359,0.397029183249,0.910797920399,17,19,276,20,24,37,18,501,28,28,8,9,1120,11,11,1892,1801,25995,1985,2492
1999-04-13,1999-01-12,1999-08-23,0.712852607179,0.204888420594,0.796784877202,0.792563056088,0.896346335895,0.398399760212,0.909198697851,0.917719047946,19,276,20,24,22,18,501,28,28,31,9,1120,11,11,8,1801,25995,1985,2492,2450
1999-08-23,1999-04-13,1999-10-07,0.589492990161,0.400423517382,0.386307524501,0.387326019627,0.768651224894,0.628733640702,0.597658449136,0.597258044905,276,20,24,22,194,501,28,28,31,295,1120,11,11,8,387,25995,1985,2492,2450,15482
1999-10-07,1999-08-23,2000-01-12,0.393185659041,0.360144390332,0.364620292184,0.591622247086,0.562976780859,0.528567826145,0.536039588295,0.751904459859,20,24,22,194,43,28,28,31,295,56,11,11,8,387,119,1985,2492,2450,15482,3602
2000-01-12,1999-10-07,2000-04-11,0.749836524153,0.594933446967,0.339418714782,0.406789012915,0.927126231391,0.85193618548,0.553574533669,0.538012260508,24,22,194,43,24,28,31,295,56,20,11,8,387,119,16,2492,2450,15482,3602,2340
2000-04-11,2000-01-12,2000-08-21,0.694440564156,0.347512606915,0.383363507167,0.70567559044,0.90351519704,0.588124806876,0.544201164104,0.878410473515,22,194,43,24,37,31,295,56,20,40,8,387,119,16,31,2450,15482,3602,2340,2756
2000-08-21,2000-04-11,2000-10-10,0.908240184292,0.605151156942,0.339681958076,0.386016622117,0.975265338103,0.769985417244,0.543377235796,0.595012385062,194,43,24,37,199,295,56,20,40,272,387,119,16,31,380,15482,3602,2340,2756,15480
