filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-03-25,1996-11-08,1997-05-01,0.370927417229,0.177782902853,0.275345295244,0.199626992717,0.514730783131,0.34426764218,0.446695597311,0.359432473047,896,277,19,182,304,1947,523,83,195,503,5369,1555,124,919,2522,82943,22341,5915,21440,49110
1997-05-01,1997-03-25,1997-07-28,0.353271611763,0.801008117493,0.317138240034,0.279202006954,0.533631696643,0.93668437388,0.45304333127,0.455282090675,277,19,182,304,42,523,83,195,503,96,1555,124,919,2522,179,22341,5915,21440,49110,6580
1997-07-28,1997-05-01,1997-10-27,0.803924191101,0.299657578045,0.258464689841,0.799254985994,0.944686362089,0.433507365469,0.428028112622,0.936548497689,19,182,304,42,9,83,195,503,96,68,124,919,2522,179,154,5915,21440,49110,6580,5163
1997-10-27,1997-07-28,1998-02-24,0.360083769443,0.247937396739,0.425674740192,0.427861029626,0.538838595674,0.405937718019,0.570080906628,0.544187347543,182,304,42,9,295,195,503,96,68,748,919,2522,179,154,2046,21440,49110,6580,5163,29362
1998-02-24,1997-10-27,1998-04-27,0.264807120937,0.44287739994,0.372162819687,0.564114544715,0.449390719109,0.641631224366,0.572795814897,0.759803028002,304,42,9,295,672,503,96,68,748,1093,2522,179,154,2046,2623,49110,6580,5163,29362,46380
1998-04-27,1998-02-24,1998-08-14,0.210367380293,0.198043147701,0.273520482418,0.252910081595,0.348614001732,0.324031494011,0.440530691607,0.422212004276,42,9,295,672,290,96,68,748,1093,564,179,154,2046,2623,3223,6580,5163,29362,46380,40857
1998-08-14,1998-04-27,1998-10-28,0.232772787769,0.449357407659,0.411302358685,0.289647645564,0.356397380453,0.668461656958,0.63225465567,0.490879323582,9,295,672,290,444,68,748,1093,564,910,154,2046,2623,3223,2840,5163,29362,46380,40857,49404
1998-10-28,1998-08-14,1999-02-25,0.413007382071,0.399833258553,0.21251028144,0.256016634364,0.535661196959,0.586354158931,0.331468046731,0.363321081809,295,672,290,444,24,748,1093,564,910,76,2046,2623,3223,2840,218,29362,46380,40857,49404,5981
1999-02-25,1998-10-28,1999-04-28,0.717799860408,0.260883383429,0.707992517206,0.325798612807,0.846282072174,0.435019494342,0.858291792342,0.479745114654,672,290,444,24,886,1093,564,910,76,1426,2623,3223,2840,218,3915,46380,40857,49404,5981,69214
1999-04-28,1999-02-25,1999-07-29,0.237138703836,0.338447220482,0.577372709788,0.393283762696,0.389517993032,0.508936081572,0.712485554863,0.589651316722,290,444,24,886,87,564,910,76,1426,185,3223,2840,218,3915,587,40857,49404,5981,69214,11966
1999-07-29,1999-04-28,1999-11-08,0.317185935264,0.471487059691,0.349830841638,0.476893854401,0.523156322757,0.661916913179,0.571372388246,0.709574766092,444,24,886,87,92,910,76,1426,185,316,2840,218,3915,587,897,49404,5981,69214,11966,16214
1999-11-08,1999-07-29,2000-02-23,0.363232443519,0.44949951497,0.459983107299,0.38580721726,0.502610480382,0.655237999145,0.615863360787,0.622464888139,24,886,87,92,302,76,1426,185,316,676,218,3915,587,897,2392,5981,69214,11966,16214,35319
2000-02-23,1999-11-08,2000-05-12,0.665810888856,0.437320420321,0.41297592896,0.569387185622,0.815042171039,0.668547980812,0.686514510891,0.740503740836,886,87,92,302,708,1426,185,316,676,1340,3915,587,897,2392,3150,69214,11966,16214,35319,54696
2000-05-12,2000-02-23,2000-08-11,0.48286294341,0.457272283027,0.669925603732,0.544426611847,0.689891610154,0.740315551207,0.794623719115,0.740169966743,87,92,302,708,135,185,316,676,1340,226,587,897,2392,3150,731,11966,16214,35319,54696,16681
2000-08-11,2000-05-12,2000-11-13,0.489929903281,0.385490586682,0.421869969391,0.605836307919,0.673728741994,0.519741455837,0.591203119978,0.75128554062,92,302,708,135,30,316,676,1340,226,76,897,2392,3150,731,186,16214,35319,54696,16681,7456
2000-11-13,2000-08-11,2001-03-01,0.691092372418,0.512123879394,0.607184003215,0.523332753057,0.801166053929,0.719292455957,0.754113373264,0.669240726514,302,708,135,30,258,676,1340,226,76,434,2392,3150,731,186,1368,35319,54696,16681,7456,30998
2001-03-01,2000-11-13,2001-05-11,0.612974599825,0.634303380258,0.207101187282,0.591062633472,0.690246948405,0.712198766618,0.321122799227,0.694325152582,708,135,30,258,968,1340,226,76,434,1900,3150,731,186,1368,8229,54696,16681,7456,30998,119843
2001-05-11,2001-03-01,2001-08-14,0.36821829913,0.241453839551,0.656114393221,0.382050120662,0.53401574957,0.361125137157,0.781410482491,0.551910931166,135,30,258,968,698,226,76,434,1900,1331,731,186,1368,8229,3788,16681,7456,30998,119843,77117
2001-08-14,2001-05-11,2001-11-14,0.232169937441,0.361586891882,0.38878732061,0.409624380435,0.384353390476,0.598622650657,0.554787782657,0.695216122278,30,258,968,698,269,76,434,1900,1331,563,186,1368,8229,3788,1418,7456,30998,119843,77117,22829
2001-11-14,2001-08-14,2002-03-29,0.280144191432,0.301494275775,0.296169585773,0.855745560514,0.502866172353,0.431029555052,0.555512907401,0.891412752934,258,968,698,269,286,434,1900,1331,563,481,1368,8229,3788,1418,1095,30998,119843,77117,22829,19334
2002-03-29,2001-11-14,2002-05-15,0.276215435027,0.288210153815,0.327746912537,0.252692686197,0.458457355309,0.490613291287,0.558049590536,0.475247682955,968,698,269,286,378,1900,1331,563,481,1117,8229,3788,1418,1095,2178,119843,77117,22829,19334,44703
2002-05-15,2002-03-29,2002-08-14,0.311104157699,0.448224636623,0.263065667137,0.379306560814,0.503638562197,0.640581011172,0.484434535131,0.594207316207,698,269,286,378,43,1331,563,481,1117,119,3788,1418,1095,2178,282,77117,22829,19334,44703,7126
2002-08-14,2002-05-15,2002-11-14,0.260185695501,0.199885787232,0.234703914004,0.228752084552,0.576268107216,0.484195361383,0.51196015616,0.458068788745,269,286,378,43,540,563,481,1117,119,1186,1418,1095,2178,282,3798,22829,19334,44703,7126,53650
2002-11-14,2002-08-14,2003-03-24,0.846606550574,0.213344230498,0.235206951849,0.181837983822,0.95971649496,0.451642193135,0.450962923629,0.475669313762,286,378,43,540,554,481,1117,119,1186,916,1095,2178,282,3798,2195,19334,44703,7126,53650,35990
2003-03-24,2002-11-14,2003-05-15,0.382629183082,0.509520954906,0.169426222275,0.202343505604,0.555017325071,0.709515722483,0.3279263716,0.378391381193,378,43,540,554,242,1117,119,1186,916,479,2178,282,3798,2195,668,44703,7126,53650,35990,24594
2003-05-15,2003-03-24,2003-08-14,0.60335190517,0.267620962156,0.250473157397,0.494991713989,0.801739278354,0.530634275592,0.483791881161,0.662337330107,43,540,554,242,137,119,1186,916,479,369,282,3798,2195,668,719,7126,53650,35990,24594,14505
2003-08-14,2003-05-15,2003-11-07,0.148262900574,0.184089642343,0.636589225121,0.521246000046,0.327053474836,0.382666447169,0.847430764552,0.688723385443,540,554,242,137,117,1186,916,479,369,247,3798,2195,668,719,228,53650,35990,24594,14505,11474
2003-11-07,2003-08-14,2004-03-03,0.848999792162,0.238378871113,0.298065229379,0.25566449647,0.963216194218,0.405826373572,0.500790351882,0.424659901753,554,242,137,117,577,916,479,369,247,1061,2195,668,719,228,2382,35990,24594,14505,11474,40519
2004-03-03,2003-11-07,2004-05-05,0.854604480134,0.46943864166,0.643889533596,0.257572240406,0.960053444885,0.636739994907,0.84348526589,0.42011852344,242,137,117,577,370,479,369,247,1061,617,668,719,228,2382,726,24594,14505,11474,40519,30283
2004-05-05,2004-03-03,2004-08-05,0.460672032889,0.628997300569,0.234114630043,0.702297712306,0.646170978059,0.862437668517,0.410198954242,0.866114568853,137,117,577,370,115,369,247,1061,617,192,719,228,2382,726,223,14505,11474,40519,30283,9447
2004-08-05,2004-05-05,2004-11-08,0.240297778835,0.592632106172,0.261725661085,0.259153148875,0.396744756645,0.709698718652,0.394412683003,0.379835493781,117,577,370,115,571,247,1061,617,192,1468,228,2382,726,223,3283,11474,40519,30283,9447,55617
2004-11-08,2004-08-05,2005-03-15,0.274682266839,0.59725473718,0.666582407513,0.329233884847,0.483758296149,0.794824459244,0.831719991014,0.493181082168,577,370,115,571,251,1061,617,192,1468,419,2382,726,223,3283,603,40519,30283,9447,55617,17980
2005-03-15,2004-11-08,2005-05-10,0.713986104058,0.558681275971,0.358247913138,0.592503492605,0.886487900304,0.774850493902,0.548727865243,0.821478353234,370,115,571,251,514,617,192,1468,419,909,726,223,3283,603,1273,30283,9447,55617,17980,42742
2005-05-10,2005-03-15,2005-06-24,0.685424576867,0.235762011749,0.593889362904,0.620267793414,0.88666113262,0.384483924386,0.803818266476,0.829328861751,115,571,251,514,179,192,1468,419,909,255,223,3283,603,1273,236,9447,55617,17980,42742,12886
