filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2007-03-22,2007-03-01,2007-05-10,0.418922857991,0.267853714073,0.48563501659,0.670871145234,0.630566614218,0.458117428399,0.677750844838,0.808068140916,386,1792,652,1105,135,1601,4763,1401,2115,302,1958,8734,1630,1997,214,37844,155517,47437,95971,14968
2007-05-10,2007-03-22,2007-08-09,0.376276729398,0.707575124824,0.859244359877,0.566962705166,0.565753907688,0.853799428193,0.932120505282,0.721124333314,1792,652,1105,135,236,4763,1401,2115,302,511,8734,1630,1997,214,663,155517,47437,95971,14968,21469
2007-08-09,2007-05-10,2007-11-09,0.706359139237,0.835434606216,0.54969068326,0.869468287244,0.857551435084,0.913669679111,0.705648872627,0.934284676035,652,1105,135,236,305,1401,2115,302,511,601,1630,1997,214,663,507,47437,95971,14968,21469,23185
2007-11-09,2007-08-09,2008-02-29,0.472506573819,0.322362648413,0.481508697578,0.478812595311,0.669555579883,0.538436693598,0.67654532159,0.671800385073,1105,135,236,305,699,2115,302,511,601,1852,1997,214,663,507,2614,95971,14968,21469,23185,55344
2008-02-29,2007-11-09,2008-05-09,0.695088807294,0.799814394784,0.77671502364,0.499252289504,0.817423883391,0.887300984032,0.865678273569,0.700420281165,135,236,305,699,1589,302,511,601,1852,3494,214,663,507,2614,4092,14968,21469,23185,55344,125338
2008-05-09,2008-02-29,2008-08-11,0.427249458373,0.398117877957,0.954042157269,0.461995197201,0.626490779181,0.593437512073,0.965771070944,0.663871980136,236,305,699,1589,519,511,601,1852,3494,1868,663,507,2614,4092,2640,21469,23185,55344,125338,49303
2008-08-11,2008-05-09,2008-11-07,0.444328951588,0.742629253708,0.496772331812,0.754464027134,0.610016865772,0.862976501722,0.680752588947,0.872581411785,305,699,1589,519,790,601,1852,3494,1868,2889,507,2614,4092,2640,3894,23185,55344,125338,49303,71602
2008-11-07,2008-08-11,2009-02-27,0.501201306138,0.733365581023,0.444819641336,0.501412233774,0.725861607049,0.872897367174,0.670489946136,0.712769452133,699,1589,519,790,450,1852,3494,1868,2889,1349,2614,4092,2640,3894,1714,55344,125338,49303,71602,38948
2009-02-27,2008-11-07,2009-05-08,0.875404422959,0.605451096936,0.604939018023,0.766079886416,0.940074111487,0.740219007922,0.722676998264,0.895792804342,1589,519,790,450,1204,3494,1868,2889,1349,3061,4092,2640,3894,1714,3719,125338,49303,71602,38948,113478
2009-05-08,2009-02-27,2009-08-07,0.437169304758,0.434227521779,0.760834184371,0.867949426938,0.629158627206,0.599460786704,0.883662863534,0.934480814553,519,790,450,1204,217,1868,2889,1349,3061,665,2640,3894,1714,3719,675,49303,71602,38948,113478,22161
2009-08-07,2009-05-08,2009-11-06,0.217896413245,0.361399185388,0.410133348395,0.45077919007,0.355672943073,0.508707984557,0.535246045938,0.56116607978,790,450,1204,217,702,2889,1349,3061,665,6929,3894,1714,3719,675,2026,71602,38948,113478,22161,74025
2009-11-06,2009-08-07,2010-02-26,0.390808960114,0.423922665245,0.462162362704,0.98100261634,0.531039762752,0.54649305097,0.570990775735,0.988233505946,450,1204,217,702,748,1349,3061,665,6929,7595,1714,3719,675,2026,2379,38948,113478,22161,74025,82451
2010-02-26,2009-11-06,2010-05-07,0.677668102488,0.640963485754,0.913264748039,0.922061151099,0.782875189969,0.757667346726,0.925584745047,0.932674964041,1204,217,702,748,1808,3061,665,6929,7595,11063,3719,675,2026,2379,5520,113478,22161,74025,82451,183101
2010-05-07,2010-02-26,2010-08-06,0.191110815273,0.88177392631,0.887777275392,0.775563933506,0.248221945878,0.897350251736,0.897451399367,0.75746104923,217,702,748,1808,1141,665,6929,7595,11063,24246,675,2026,2379,5520,4540,22161,74025,82451,183101,153528
2010-08-06,2010-05-07,2010-11-05,0.8607561646,0.864115268193,0.720645564223,0.987147890711,0.868152812496,0.865236580186,0.694608447629,0.990733314774,702,748,1808,1141,1196,6929,7595,11063,24246,35825,2026,2379,5520,4540,3632,74025,82451,183101,153528,160092
2010-11-05,2010-08-06,2011-02-25,0.857395131197,0.711286710314,0.985814969201,0.997032228298,0.861688083246,0.688475804469,0.990398040515,0.998381432739,748,1808,1141,1196,1442,7595,11063,24246,35825,47880,2379,5520,4540,3632,4609,82451,183101,153528,160092,215178
2011-02-25,2010-11-05,2011-05-09,0.571997347301,0.233840722744,0.176885454573,0.185669020389,0.703851544399,0.279968516104,0.199740020092,0.205153962831,1808,1141,1196,1442,4435,11063,24246,35825,47880,7764,5520,4540,3632,4609,8870,183101,153528,160092,215178,369392
