filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-02-14,1995-11-14,1996-07-01,0.799644837833,0.212727483612,0.290645084666,0.813215531065,0.950864658989,0.397045962752,0.530193210802,0.900113743664,37,440,88,46,57,78,884,416,83,85,16,1367,506,17,16,4254,26830,9011,4417,4575
1996-07-01,1996-02-14,1996-08-14,0.339489173839,0.240470753448,0.526381940522,0.536266091912,0.524349324638,0.507802388541,0.732468899307,0.750068211703,440,88,46,57,106,884,416,83,85,149,1367,506,17,16,99,26830,9011,4417,4575,10558
1996-08-14,1996-07-01,1996-11-14,0.302183129995,0.665659167361,0.662198707914,0.597789514875,0.568844783347,0.844645699878,0.852029812958,0.791147252928,88,46,57,106,36,416,83,85,149,65,506,17,16,99,17,9011,4417,4575,10558,3825
1996-11-14,1996-08-14,1997-02-14,0.816934924182,0.689639466562,0.52136842298,0.760059637922,0.949793174501,0.847817801328,0.697816278007,0.851681804769,46,57,106,36,35,83,85,149,65,73,17,16,99,17,16,4417,4575,10558,3825,4109
1997-02-14,1996-11-14,1997-06-23,0.590510736604,0.400610014503,0.547053899746,0.600746426465,0.820678599458,0.633690999869,0.746716631456,0.765982118065,57,106,36,35,70,85,149,65,73,182,16,99,17,16,184,4575,10558,3825,4109,6407
1997-06-23,1997-02-14,1997-08-08,0.285420440341,0.179655997871,0.157332643897,0.21559821651,0.45375528425,0.349708085987,0.304130010303,0.388870223031,106,36,35,70,536,149,65,73,182,986,99,17,16,184,1604,10558,3825,4109,6407,33465
1997-08-08,1997-06-23,1997-11-14,0.79274490058,0.652361038358,0.486318309643,0.186607189336,0.950427502739,0.823064480241,0.72735047375,0.355130263577,36,35,70,536,57,65,73,182,986,80,17,16,184,1604,28,3825,4109,6407,33465,4573
1997-11-14,1997-08-08,1998-02-17,0.825396349597,0.51835525074,0.163702002862,0.733451054408,0.954066853511,0.743221260507,0.310184975139,0.849981367614,35,70,536,57,56,73,182,986,80,90,16,184,1604,28,27,4109,6407,33465,4573,5032
1998-02-17,1997-11-14,1998-06-26,0.868383242966,0.219407913567,0.542380686764,0.601019076785,0.957839779035,0.394226632659,0.755027676466,0.778364066517,70,536,57,56,81,182,986,80,90,174,184,1604,28,27,179,6407,33465,4573,5032,6985
1998-06-26,1998-02-17,1998-08-11,0.281580709363,0.597546185148,0.54589759181,0.447001654688,0.447054210623,0.804412925042,0.713147134759,0.671953919892,536,57,56,81,133,986,80,90,174,177,1604,28,27,179,113,33465,4573,5032,6985,12501
1998-08-11,1998-06-26,1998-11-13,0.781093512758,0.668641680419,0.534170633822,0.618013964586,0.939990138072,0.828980729625,0.751867646972,0.784559665195,57,56,81,133,44,80,90,174,177,93,28,27,179,113,28,4573,5032,6985,12501,4632
1998-11-13,1998-08-11,1999-02-16,0.788375041367,0.531565099622,0.529495428835,0.702649339779,0.932719774027,0.754313664196,0.720356105054,0.842756039711,56,81,133,44,55,90,174,177,93,112,27,179,113,28,25,5032,6985,12501,4632,5110
1999-02-16,1998-11-13,1999-06-29,0.622652133346,0.534010047206,0.689036473195,0.818833174794,0.8426690639,0.736960049171,0.841600277786,0.889332315328,81,133,44,55,55,174,177,93,112,94,179,113,28,25,24,6985,12501,4632,5110,5148
1999-06-29,1999-02-16,1999-08-12,0.283296065327,0.176369522087,0.177223585405,0.180338709009,0.460411909156,0.343019351054,0.337871209428,0.343910430237,133,44,55,55,515,177,93,112,94,1634,113,28,25,24,2474,12501,4632,5110,5148,43363
1999-08-12,1999-06-29,1999-11-15,0.636257545139,0.558617899862,0.561393159511,0.199667282815,0.80526186968,0.71844896489,0.718749948667,0.380814097026,44,55,55,515,48,93,112,94,1634,71,28,25,24,2474,51,4632,5110,5148,43363,4245
1999-11-15,1999-08-12,2000-02-14,0.174202577387,0.145446987671,0.512967831467,0.186116385117,0.315195086794,0.27686402186,0.662151774189,0.326759402172,55,55,515,48,211,112,94,1634,71,547,25,24,2474,51,830,5110,5148,43363,4245,15038
2000-02-14,1999-11-15,2000-06-29,0.559783525816,0.174447050504,0.61410586997,0.16164785349,0.774860008793,0.36317080374,0.819635100492,0.318180794901,55,515,48,211,59,94,1634,71,547,78,24,2474,51,830,49,5148,43363,4245,15038,4498
2000-06-29,2000-02-14,2000-08-11,0.280458194633,0.428494528777,0.143105665883,0.458497054594,0.48273546813,0.639108557045,0.290466138928,0.652355920962,515,48,211,59,292,1634,71,547,78,382,2474,51,830,49,329,43363,4245,15038,4498,22463
2000-08-11,2000-06-29,2000-08-14,0.100328189233,0.031358171967,0.0890053301924,0.163470820234,0.19646899599,0.0917219133612,0.187506590979,0.273732970385,48,211,59,292,3,71,547,78,382,1,51,830,49,329,9,4245,15038,4498,22463,374
2000-08-14,2000-08-11,2000-11-14,0.130725776653,0.517132693333,0.604527478844,0.0953491375624,0.293539611943,0.755766127707,0.783168276754,0.18880494993,211,59,292,3,141,547,78,382,1,222,830,49,329,9,70,15038,4498,22463,374,7402
