filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-11-15,1999-08-09,2000-03-30,0.355562227448,0.532796449107,0.683068803574,0.821722656594,0.593121669643,0.767427780098,0.895166894706,0.942195854984,107,291,109,129,144,271,705,396,489,558,397,290,142,163,216,10429,20787,7594,9722,9801
2000-03-30,1999-11-15,2000-04-28,0.455639075657,0.373445611401,0.413875869584,0.404004945206,0.73716755397,0.677052961644,0.698145486864,0.688304621322,291,109,129,144,386,705,396,489,558,1335,290,142,163,216,1164,20787,7594,9722,9801,29474
2000-04-28,2000-03-30,2000-05-15,0.326898081383,0.307310121433,0.310360840122,0.387270513888,0.582715952725,0.550512766251,0.56050871431,0.600755768214,109,129,144,386,128,396,489,558,1335,215,142,163,216,1164,84,7594,9722,9801,29474,6848
2000-05-15,2000-04-28,2000-08-09,0.614229232724,0.666183886088,0.420350713384,0.283963893388,0.839545715464,0.866603221426,0.66208706909,0.472030804877,129,144,386,128,162,489,558,1335,215,648,163,216,1164,84,303,9722,9801,29474,6848,10537
2000-08-09,2000-05-15,2000-11-09,0.649369651759,0.407035379039,0.276893940869,0.895498216474,0.856684780345,0.656390379781,0.463345468244,0.968481160323,144,386,128,162,166,558,1335,215,648,650,216,1164,84,303,318,9801,29474,6848,10537,10984
2000-11-09,2000-08-09,2000-11-14,0.394026213519,0.271352343062,0.826494592575,0.87121713263,0.651900201141,0.459173291941,0.944282628934,0.961988373198,386,128,162,166,169,1335,215,648,650,657,1164,84,303,318,335,29474,6848,10537,10984,11336
2000-11-14,2000-11-09,2001-03-28,0.115691902053,0.539559767061,0.587467159386,0.719290445982,0.227382563515,0.676317694548,0.702776137256,0.756842861937,128,162,166,169,39,215,648,650,657,101,84,303,318,335,75,6848,10537,10984,11336,3444
2001-03-28,2000-11-14,2001-05-15,0.634802319865,0.654289709713,0.703003035344,0.506325936241,0.835051973083,0.851065122842,0.873846354268,0.670536462975,162,166,169,39,374,648,650,657,101,949,303,318,335,75,504,10537,10984,11336,3444,23867
2001-05-15,2001-03-28,2001-08-14,0.68073771154,0.71048193331,0.389811340194,0.669093910697,0.901821433475,0.908881735386,0.607734239751,0.848256555785,166,169,39,374,155,650,657,101,949,582,318,335,75,504,276,10984,11336,3444,23867,10013
2001-08-14,2001-05-15,2001-11-14,0.622337790104,0.360334178448,0.602230467749,0.794516996979,0.865120853202,0.606962058653,0.81747490816,0.923970032181,169,39,374,155,159,657,101,949,582,643,335,75,504,276,308,11336,3444,23867,10013,11634
