filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-03-30,1998-11-05,1999-05-14,0.320503612249,0.203751551642,0.204502306689,0.172863705475,0.565876766779,0.441237723556,0.447740539336,0.364710180549,227,35,36,25,738,514,107,144,107,2586,1041,217,329,99,4359,24622,5909,8157,5617,72353
1999-05-14,1999-03-30,1999-08-13,0.716013313409,0.592013942488,0.742566778006,0.168892037371,0.882127221939,0.772055450683,0.91578075054,0.349357980178,35,36,25,738,18,107,144,107,2586,60,217,329,99,4359,57,5909,8157,5617,72353,4448
1999-08-13,1999-05-14,1999-11-15,0.245994701838,0.174472381792,0.205614137551,0.184092537272,0.407532769068,0.283570442131,0.46554188064,0.279720832719,36,25,738,18,378,144,107,2586,60,886,329,99,4359,57,2687,8157,5617,72353,4448,41353
1999-11-15,1999-08-13,2000-03-30,0.727289091084,0.16220017201,0.70809839686,0.174921699832,0.920060248773,0.336556483696,0.888544907174,0.276312111962,25,738,18,378,33,107,2586,60,886,103,99,4359,57,2687,141,5617,72353,4448,41353,8962
2000-03-30,1999-11-15,2000-05-15,0.262585565263,0.466029048951,0.202183607748,0.447024727843,0.450863344409,0.611085039461,0.305026623548,0.585192776229,738,18,378,33,318,2586,60,886,103,863,4359,57,2687,141,1154,72353,4448,41353,8962,36200
2000-05-15,2000-03-30,2000-08-14,0.624657918811,0.157258071396,0.558596016855,0.696887893759,0.794545801684,0.255488562701,0.734202530669,0.863989663166,18,378,33,318,25,60,886,103,863,182,57,2687,141,1154,150,4448,41353,8962,36200,7595
2000-08-14,2000-05-15,2000-11-14,0.219830777959,0.521614239503,0.637192954087,0.719430615771,0.341371821732,0.72907130246,0.82974438324,0.894123447319,378,33,318,25,77,886,103,863,182,315,2687,141,1154,150,321,41353,8962,36200,7595,13358
2000-11-14,2000-08-14,2001-04-02,0.420292158582,0.518821573614,0.51153449844,0.53967512896,0.585456382902,0.691419766006,0.674863804739,0.721376089759,33,318,25,77,323,103,863,182,315,898,141,1154,150,321,1496,8962,36200,7595,13358,27879
2001-04-02,2000-11-14,2001-05-15,0.864600988105,0.645786352911,0.620310554566,0.764377326749,0.944390609562,0.823807507448,0.818914676447,0.854297206909,318,25,77,323,465,863,182,315,898,1219,1154,150,321,1496,1680,36200,7595,13358,27879,45298
2001-05-15,2001-04-02,2001-08-13,0.649177343074,0.58295078998,0.563786001113,0.603781163721,0.833066326362,0.811023260684,0.782635846506,0.80614870652,25,77,323,465,82,182,315,898,1219,248,150,321,1496,1680,361,7595,13358,27879,45298,12052
2001-08-13,2001-05-15,2001-11-14,0.279808106607,0.319648487906,0.301305825876,0.301405125963,0.424611986264,0.529916982153,0.462031683309,0.483705199945,77,323,465,82,581,315,898,1219,248,1126,321,1496,1680,361,3420,13358,27879,45298,12052,58659
2001-11-14,2001-08-13,2002-03-27,0.344312518907,0.325953211325,0.318967280606,0.962356194754,0.558554718108,0.494666184613,0.510643751142,0.982174247246,323,465,82,581,532,898,1219,248,1126,1198,1496,1680,361,3420,3345,27879,45298,12052,58659,57339
2002-03-27,2001-11-14,2002-05-14,0.865994984518,0.58984621876,0.259308914974,0.289330914949,0.939364068177,0.772166451008,0.38376991448,0.420028136232,465,82,581,532,310,1219,248,1126,1198,833,1680,361,3420,3345,1098,45298,12052,58659,57339,39469
