filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-29,1994-11-10,1995-05-11,0.810186097241,0.297821502249,0.338389122355,0.364114871693,0.942286590088,0.56536521914,0.594997845751,0.619391044916,211,28,33,42,228,700,121,185,220,629,1323,85,170,203,1198,28537,3515,4503,5341,27983
1995-05-11,1995-03-29,1995-08-14,0.410163341088,0.472128655892,0.490260906556,0.44023706447,0.780486298967,0.82174385476,0.8148103402,0.629743052985,28,33,42,228,40,121,185,220,629,222,85,170,203,1198,288,3515,4503,5341,27983,5594
1995-08-14,1995-05-11,1995-11-13,0.452343926204,0.460370944195,0.387991059256,0.772165614822,0.819632319908,0.810243127299,0.612704150779,0.940779652486,33,42,228,40,42,185,220,629,222,265,170,203,1198,288,317,4503,5341,27983,5594,5721
1995-11-13,1995-08-14,1996-03-27,0.474325653402,0.378476356781,0.663110433248,0.753860312269,0.833172509301,0.611873190713,0.902929511622,0.930973953903,42,228,40,42,45,220,629,222,265,240,203,1198,288,317,289,5341,27983,5594,5721,6048
1996-03-27,1995-11-13,1996-05-10,0.605027434734,0.243860692217,0.238057044493,0.251675064184,0.758595957137,0.430964686955,0.422622632132,0.43570433489,228,40,42,45,460,629,222,265,240,1517,1198,288,317,289,3465,27983,5594,5721,6048,55539
1996-05-10,1996-03-27,1996-08-14,0.4038772719,0.403730034803,0.427638329947,0.320996114289,0.716816890428,0.714397731631,0.724562154457,0.532964359442,40,42,45,460,83,222,265,240,1517,366,288,317,289,3465,413,5594,5721,6048,55539,8550
1996-08-14,1996-05-10,1996-11-13,0.485080267393,0.49625990277,0.281013631914,0.703369551789,0.799003279406,0.797660888009,0.456647273075,0.855123526536,42,45,460,83,47,265,240,1517,366,353,317,289,3465,413,393,5721,6048,55539,8550,7425
1996-11-13,1996-08-14,1997-03-28,0.497762441858,0.266868663946,0.6009797026,0.765286651252,0.800388165239,0.45276505643,0.817922600464,0.920743016627,45,460,83,47,57,240,1517,366,353,378,289,3465,413,393,471,6048,55539,8550,7425,8165
1997-03-28,1996-11-13,1997-05-15,0.555953403237,0.435459676975,0.454723508107,0.49093741376,0.696148643701,0.707239411897,0.681469347667,0.690444777301,460,83,47,57,262,1517,366,353,378,754,3465,413,393,471,970,55539,8550,7425,8165,32634
1997-05-15,1997-03-28,1997-08-12,0.499356079242,0.587243228249,0.65195382145,0.526567844017,0.797016754582,0.867704182481,0.89363659135,0.706599339864,83,47,57,262,80,366,353,378,754,422,413,393,471,970,483,8550,7425,8165,32634,8580
1997-08-12,1997-05-15,1997-10-17,0.585687988276,0.621934562866,0.493534466071,0.81797571677,0.880523321939,0.886261190458,0.695186426565,0.947494805082,47,57,262,80,80,353,378,754,422,447,393,471,970,483,525,7425,8165,32634,8580,9573
1997-10-17,1997-08-12,1997-11-13,0.616489603835,0.662720423409,0.638712179328,0.589416779525,0.822047604419,0.775449731492,0.829544181295,0.81592588128,57,262,80,80,96,378,754,422,447,187,471,970,483,525,218,8165,32634,8580,9573,10876
1997-11-13,1997-10-17,1998-03-25,0.474758537233,0.754108661218,0.865813275727,0.570355996913,0.687659054325,0.929207817874,0.960724946272,0.812482626862,262,80,80,96,86,754,422,447,187,524,970,483,525,218,566,32634,8580,9573,10876,10233
1998-03-25,1997-11-13,1998-03-26,0.515849673179,0.552213576511,0.565560116928,0.559482275103,0.714940153857,0.720521274416,0.754474763903,0.721291870369,80,80,96,86,307,422,447,187,524,1198,483,525,218,566,1737,8580,9573,10876,10233,43934
1998-03-26,1998-03-25,1998-05-12,0.0848307200111,0.126044593276,0.0812023733061,0.181363163504,0.231720789316,0.260814685478,0.222776833296,0.379442675347,80,96,86,307,3,447,187,524,1198,4,525,218,566,1737,12,9573,10876,10233,43934,414
1998-05-12,1998-03-26,1998-08-13,0.390593381685,0.449204495498,0.563511795312,0.105901512521,0.593227494994,0.604808743407,0.718703786913,0.276284790267,96,86,307,3,202,187,524,1198,4,881,218,566,1737,12,1128,10876,10233,43934,414,20198
1998-08-13,1998-05-12,1998-11-02,0.396137929538,0.517657431097,0.116398483558,0.660677793392,0.61692381457,0.71374511154,0.300396429381,0.868117198655,86,307,3,202,206,524,1198,4,881,660,566,1737,12,1128,811,10233,43934,414,20198,18982
1998-11-02,1998-08-13,1999-03-24,0.592740486757,0.12037246644,0.411904624153,0.485321133833,0.782089455661,0.311860462866,0.596485783618,0.595260502166,307,3,202,206,132,1198,4,881,660,665,1737,12,1128,811,1073,43934,414,20198,18982,16602
1999-03-24,1998-11-02,1999-05-13,0.170943840192,0.446489274543,0.466280265965,0.640557926467,0.378556914687,0.646227415326,0.662959874147,0.807367324256,3,202,206,132,368,4,881,660,665,974,12,1128,811,1073,1579,414,20198,18982,16602,40708
1999-05-13,1999-03-24,1999-08-12,0.423255349807,0.465073987457,0.760264320943,0.673700814393,0.632196394482,0.632426555648,0.914387079417,0.82203458819,202,206,132,368,112,881,660,665,974,494,1128,811,1073,1579,861,20198,18982,16602,40708,15335
1999-08-12,1999-05-13,1999-11-10,0.456070902003,0.461731587576,0.541535677099,0.548576684898,0.660230442807,0.650662723457,0.748069001343,0.65183964069,206,132,368,112,79,660,665,974,494,345,811,1073,1579,861,341,18982,16602,40708,15335,9026
1999-11-10,1999-08-12,2000-03-29,0.337803897829,0.330761401335,0.379875651274,0.264521853439,0.5679778013,0.515571271151,0.592946276117,0.369939443744,132,368,112,79,391,665,974,494,345,991,1073,1579,861,341,2268,16602,40708,15335,9026,33116
2000-03-29,1999-11-10,2000-05-12,0.850821945917,0.609177110715,0.545868777144,0.294117889828,0.957388297263,0.769558999337,0.765545988504,0.465729525378,368,112,79,391,253,974,494,345,991,859,1579,861,341,2268,1343,40708,15335,9026,33116,39768
2000-05-12,2000-03-29,2000-08-11,0.372358173451,0.365244791883,0.245992322988,0.561293964869,0.566627900638,0.567124933655,0.430225060234,0.732713948974,112,79,391,253,149,494,345,991,859,394,861,341,2268,1343,599,15335,9026,33116,39768,16329
2000-08-11,2000-05-12,2000-11-14,0.526548729725,0.269470600558,0.496629193167,0.44105218966,0.744947791227,0.449657071585,0.708885003177,0.622679685038,79,391,253,149,144,345,991,859,394,355,341,2268,1343,599,438,9026,33116,39768,16329,12821
2000-11-14,2000-08-11,2001-04-17,0.204268124035,0.27314945583,0.26497909221,0.39683479445,0.417124117905,0.487758394685,0.490677991448,0.646081539647,391,253,149,144,323,991,859,394,355,1010,2268,1343,599,438,809,33116,39768,16329,12821,32831
2001-04-17,2000-11-14,2001-05-15,0.802207436602,0.523460410148,0.522137485388,0.315511326669,0.92240533759,0.725518908411,0.74677615622,0.548209859011,253,149,144,323,621,859,394,355,1010,2246,1343,599,438,809,2871,39768,16329,12821,32831,69207
2001-05-15,2001-04-17,2001-08-14,0.394915765627,0.552065711843,0.309539104308,0.660751915347,0.627170712739,0.801304905757,0.592156279928,0.843702182082,149,144,323,621,251,394,355,1010,2246,746,599,438,809,2871,713,16329,12821,32831,69207,21551
2001-08-14,2001-05-15,2001-11-14,0.387064169864,0.223856345474,0.544593295675,0.573327012604,0.657237718615,0.478216655331,0.789688823114,0.787323773777,144,323,621,251,271,355,1010,2246,746,1183,438,809,2871,713,1351,12821,32831,69207,21551,27273
2001-11-14,2001-08-14,2002-03-29,0.258928341638,0.635014013677,0.569404753123,0.561841363219,0.492567125127,0.843709825484,0.783236862633,0.78705237163,323,621,251,271,195,1010,2246,746,1183,812,809,2871,713,1351,1125,32831,69207,21551,27273,22666
2002-03-29,2001-11-14,2002-05-10,0.8019987719,0.545678976245,0.488807721943,0.65114015327,0.936643168388,0.791445008663,0.758851090171,0.830578044838,621,251,271,195,611,2246,746,1183,812,2196,2871,713,1351,1125,3067,69207,21551,27273,22666,72048
2002-05-10,2002-03-29,2002-08-14,0.537041981293,0.391521762428,0.47003254766,0.553402714961,0.82704048463,0.713970469829,0.739873412532,0.796132925703,251,271,195,611,79,746,1183,812,2196,395,713,1351,1125,3067,396,21551,27273,22666,72048,10194
2002-08-14,2002-05-10,2002-11-14,0.406948436765,0.467015981804,0.590412204589,0.636269492219,0.705877774286,0.720572082347,0.817615703905,0.847923684342,271,195,611,79,204,1183,812,2196,395,741,1351,1125,3067,396,793,27273,22666,72048,10194,22814
2002-11-14,2002-08-14,2003-03-31,0.419866247295,0.498028430722,0.493656124704,0.596928224952,0.696939194547,0.761041544412,0.763978873524,0.809308565276,195,611,79,204,258,812,2196,395,741,1052,1125,3067,396,793,1262,22666,72048,10194,22814,29839
2003-03-31,2002-11-14,2003-05-14,0.789777223242,0.556439968922,0.634528390679,0.58725598607,0.905110571964,0.811992042326,0.841084372355,0.819995988553,611,79,204,258,441,2196,395,741,1052,1890,3067,396,793,1262,2004,72048,10194,22814,29839,67296
2003-05-14,2003-03-31,2003-08-13,0.569816999679,0.619667786592,0.564043873825,0.700285919156,0.842515716324,0.853403766038,0.815783118016,0.872848871845,79,204,258,441,121,395,741,1052,1890,542,396,793,1262,2004,636,10194,22814,29839,67296,19565
2003-08-13,2003-05-14,2003-11-14,0.639584700164,0.554252370239,0.683348199367,0.826298498462,0.875529457702,0.817312941115,0.863586860716,0.935082721953,204,258,441,121,131,741,1052,1890,542,662,793,1262,2004,636,671,22814,29839,67296,19565,22384
2003-11-14,2003-08-13,2004-03-15,0.558083903815,0.672487410245,0.76301707199,0.841245448938,0.826150867625,0.862251157906,0.917286930247,0.945709685352,258,441,121,131,185,1052,1890,542,662,751,1262,2004,636,671,752,29839,67296,19565,22384,26677
2004-03-15,2003-11-14,2004-05-07,0.896397177408,0.655604840555,0.670213089883,0.687100795575,0.975790773196,0.854325628796,0.854751750915,0.862401865287,441,121,131,185,490,1890,542,662,751,1626,2004,636,671,752,1770,67296,19565,22384,26677,67761
2004-05-07,2004-03-15,2004-08-06,0.697773600199,0.654649368685,0.65585837761,0.680387707709,0.912831275765,0.875417420305,0.872687666251,0.859497958018,121,131,185,490,186,542,662,751,1626,670,636,671,752,1770,628,19565,22384,26677,67761,21394
