filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-10-28,1997-09-04,1998-01-27,0.585941756286,0.438864295302,0.343456810917,0.423667591918,0.822158045114,0.715773479499,0.606382050028,0.623481704744,30,37,48,153,32,12,36,20,90,16,65,91,143,117,21,2988,4051,4482,10942,2351
1998-01-27,1997-10-28,1998-04-28,0.609826800344,0.351258996023,0.415315709792,0.566392656958,0.834971763666,0.626491661577,0.654220341823,0.817831121746,37,48,153,32,35,36,20,90,16,24,91,143,117,21,25,4051,4482,10942,2351,3119
1998-04-28,1998-01-27,1998-09-11,0.195326128719,0.175053565993,0.17911335975,0.217135334434,0.435975268032,0.387639049106,0.401370691026,0.419603028108,48,153,32,35,119,20,90,16,24,355,143,117,21,25,819,4482,10942,2351,3119,14219
1998-09-11,1998-04-28,1998-10-28,0.859911250276,0.437099769247,0.440778739016,0.197874148035,0.969711320771,0.637140512247,0.666730383724,0.400815032573,153,32,35,119,177,90,16,24,355,122,117,21,25,819,130,10942,2351,3119,14219,12384
1998-10-28,1998-09-11,1999-01-26,0.328884639804,0.269822068898,0.253063680874,0.374555470294,0.505064770054,0.472786799877,0.516267422831,0.586470742999,32,35,119,177,113,16,24,355,122,296,21,25,819,130,628,2351,3119,14219,12384,8868
1999-01-26,1998-10-28,1999-04-27,0.581102836379,0.201601276373,0.491827609086,0.396980632085,0.84538367925,0.438475062515,0.711040299678,0.595966731871,35,119,177,113,129,24,355,122,296,44,25,819,130,628,87,3119,14219,12384,8868,4648
1999-04-27,1999-01-26,1999-09-13,0.186395575441,0.441979445931,0.278254182084,0.657014080823,0.406839657182,0.633986511201,0.43066380769,0.853055378748,119,177,113,129,65,355,122,296,44,36,819,130,628,87,29,14219,12384,8868,4648,3752
1999-09-13,1999-04-27,1999-10-26,0.395291417175,0.480852595257,0.345006275495,0.237589397061,0.525473873732,0.640884920426,0.527957478325,0.396363366834,177,113,129,65,578,122,296,44,36,641,130,628,87,29,1872,12384,8868,4648,3752,33706
1999-10-26,1999-09-13,2000-01-27,0.275315191639,0.518246049266,0.610316557611,0.231397845912,0.428490954546,0.775549467296,0.87501206128,0.385923825556,113,129,65,578,49,296,44,36,641,42,628,87,29,1872,27,8868,4648,3752,33706,3472
2000-01-27,1999-10-26,2000-04-25,0.367380921629,0.309723399016,0.549197290819,0.314846869134,0.602023315877,0.561668294366,0.669311718055,0.542742963446,129,65,578,49,118,44,36,641,42,168,87,29,1872,27,541,4648,3752,33706,3472,8910
2000-04-25,2000-01-27,2000-09-18,0.684408478798,0.221975373755,0.6321383476,0.333133536798,0.928310701345,0.373129815184,0.892309935265,0.551548092753,65,578,49,118,88,36,641,42,168,45,29,1872,27,541,45,3752,33706,3472,8910,3992
2000-09-18,2000-04-25,2000-10-24,0.566107570483,0.358996236382,0.357465402813,0.380696716678,0.716216648071,0.566747260592,0.571389646771,0.557677275067,578,49,118,88,318,641,42,168,45,482,1872,27,541,45,984,33706,3472,8910,3992,22038
2000-10-24,2000-09-18,2001-01-30,0.473713312444,0.332141497684,0.464493622594,0.68909456826,0.727964400448,0.563828651937,0.683843938726,0.840071243226,49,118,88,318,106,42,168,45,482,130,27,541,45,984,271,3472,8910,3992,22038,6451
2001-01-30,2000-10-24,2001-04-24,0.320122752483,0.612041387868,0.393815921586,0.598878474552,0.548177479764,0.869636461702,0.581454016713,0.770282648254,118,88,318,106,99,168,45,482,130,43,541,45,984,271,58,8910,3992,22038,6451,5702
2001-04-24,2001-01-30,2001-09-17,0.651000426323,0.38277073764,0.582908566783,0.829903413681,0.893585176666,0.5722730869,0.768177262667,0.950501881774,88,318,106,99,94,45,482,130,43,44,45,984,271,58,62,3992,22038,6451,5702,5625
2001-09-17,2001-04-24,2001-10-26,0.897911201615,0.71293014332,0.473650904628,0.475778796422,0.97161381717,0.860870623342,0.649878374762,0.643802419019,318,106,99,94,313,482,130,43,44,503,984,271,58,62,955,22038,6451,5702,5625,23269
2001-10-26,2001-09-17,2002-01-31,0.728670329838,0.300252156547,0.299242801095,0.751821049569,0.83428736609,0.451764002208,0.449943655204,0.853413845248,106,99,94,313,141,130,43,44,503,441,271,58,62,955,869,6451,5702,5625,23269,12654
2002-01-31,2001-10-26,2002-05-01,0.566969072191,0.532293567599,0.427990860009,0.329351117408,0.84506652358,0.820000374051,0.678710476049,0.525640565464,99,94,313,141,78,43,44,503,441,163,58,62,955,869,179,5702,5625,23269,12654,8062
2002-05-01,2002-01-31,2002-09-17,0.641731941089,0.449046733254,0.322300381355,0.638191559496,0.884940620538,0.66433222961,0.495288552253,0.882705521752,94,313,141,78,127,44,503,441,163,180,62,955,869,179,98,5625,23269,12654,8062,8280
2002-09-17,2002-05-01,2002-10-30,0.566777362904,0.396587600098,0.34278785295,0.358285715671,0.729425864903,0.591417032254,0.57774917199,0.539826751829,313,141,78,127,554,503,441,163,180,632,955,869,179,98,1408,23269,12654,8062,8280,34772
2002-10-30,2002-09-17,2003-01-30,0.330015244465,0.538671187909,0.621256534877,0.344141491142,0.486064774729,0.817668699632,0.847341707662,0.534641685535,141,78,127,554,58,441,163,180,632,117,869,179,98,1408,88,12654,8062,8280,34772,4853
2003-01-30,2002-10-30,2003-05-01,0.573843531671,0.631176077661,0.341842743708,0.813359892506,0.851163741299,0.870821617019,0.533136233651,0.932113259463,78,127,554,58,81,163,180,632,117,128,179,98,1408,88,95,8062,8280,34772,4853,6040
2003-05-01,2003-01-30,2003-09-15,0.519444472497,0.442910417466,0.597275570128,0.635877211274,0.756508373538,0.661307509926,0.771710140253,0.787105637872,127,554,58,81,152,180,632,117,128,289,98,1408,88,95,433,8280,34772,4853,6040,10433
2003-09-15,2003-05-01,2003-10-28,0.79457463305,0.310672715222,0.314283587081,0.481575436941,0.859358060239,0.476587557844,0.475646284716,0.662464257171,554,58,81,152,758,632,117,128,289,1082,1408,88,95,433,2899,34772,4853,6040,10433,57713
2003-10-28,2003-09-15,2004-01-29,0.690410127552,0.634334734881,0.546869916019,0.352759909136,0.907474201208,0.86502914551,0.763099680751,0.523607695795,58,81,152,758,72,117,128,289,1082,131,88,95,433,2899,109,4853,6040,10433,57713,6211
2004-01-29,2003-10-28,2004-04-29,0.405164954627,0.393673946859,0.449893130782,0.479131533288,0.683886619664,0.675402474002,0.715633674822,0.733453663846,81,152,758,72,156,128,289,1082,131,296,95,433,2899,109,486,6040,10433,57713,6211,13384
2004-04-29,2004-01-29,2004-09-03,0.555378427546,0.358132201156,0.745957565236,0.540350274198,0.7824710086,0.543577831656,0.913352880012,0.780064421217,152,758,72,156,135,289,1082,131,296,169,433,2899,109,486,118,10433,57713,6211,13384,8645
2004-09-03,2004-04-29,2004-11-05,0.661060284166,0.552907006399,0.472365550582,0.586713120381,0.809834612159,0.728797513001,0.746278420509,0.754158025845,758,72,156,135,390,1082,131,296,169,644,2899,109,486,118,1065,57713,6211,13384,8645,31218
2004-11-05,2004-09-03,2004-11-09,0.653390267486,0.473847187748,0.701144329961,0.842306958137,0.832980539491,0.739015623413,0.863133380925,0.902510706894,72,156,135,390,306,131,296,169,644,368,109,486,118,1065,350,6211,13384,8645,31218,22128
2004-11-09,2004-11-05,2005-01-27,0.416330514625,0.688214350941,0.561517440507,0.671263587195,0.683018068595,0.889605390632,0.73157556586,0.837602564393,156,135,390,306,86,296,169,644,368,124,486,118,1065,350,112,13384,8645,31218,22128,6337
2005-01-27,2004-11-09,2005-04-29,0.643315510968,0.523526435273,0.623435921133,0.74973001521,0.885803284652,0.721928147563,0.828900130605,0.914496159273,135,390,306,86,124,169,644,368,124,139,118,1065,350,112,177,8645,31218,22128,6337,8624
2005-04-29,2005-01-27,2005-09-02,0.521191096586,0.628821081479,0.750004562565,0.823175281414,0.714750757092,0.828912135651,0.923287263691,0.943457190732,390,306,86,124,133,644,368,124,139,155,1065,350,112,177,130,31218,22128,6337,8624,8260
2005-09-02,2005-04-29,2005-10-27,0.822072826273,0.624017275381,0.604796761561,0.626280620972,0.934221972606,0.80895597819,0.806432056599,0.808400714803,306,86,124,133,448,368,124,139,155,621,350,112,177,130,786,22128,6337,8624,8260,29272
2005-10-27,2005-09-02,2006-01-26,0.735275579842,0.626329714241,0.649991423036,0.61786221853,0.9210915408,0.852171352608,0.866118453104,0.809736030075,86,124,133,448,83,124,139,155,621,215,112,177,130,786,145,6337,8624,8260,29272,8247
2006-01-26,2005-10-27,2006-05-04,0.670132995202,0.640678722483,0.596813055714,0.796084232132,0.907674535267,0.885114871761,0.803358163947,0.913166782622,124,133,448,83,125,139,155,621,215,279,177,130,786,145,159,8624,8260,29272,8247,10434
2006-05-04,2006-01-26,2006-08-25,0.61888894746,0.589441740572,0.713225329767,0.731417306057,0.865864986071,0.820500518363,0.888231450824,0.900340373362,133,448,83,125,162,155,621,215,279,447,130,786,145,159,345,8260,29272,8247,10434,14072
2006-08-25,2006-05-04,2006-10-26,0.848807118527,0.632994086041,0.625440485293,0.630512746012,0.949037364896,0.819472642916,0.821429517924,0.824393976702,448,83,125,162,398,621,215,279,447,653,786,145,159,345,494,29272,8247,10434,14072,28440
2006-10-26,2006-08-25,2006-12-01,0.593375231215,0.510344710621,0.552461330952,0.556352671044,0.773626307212,0.711804936657,0.766710135167,0.741494048466,83,125,162,398,155,215,279,447,653,417,145,159,345,494,566,8247,10434,14072,28440,12581
2006-12-01,2006-10-26,2007-01-31,0.510633041115,0.552122857878,0.556827104973,0.997871221473,0.712682856532,0.766866587849,0.742738619205,0.999606057894,125,162,398,155,155,279,447,653,417,417,159,345,494,566,568,10434,14072,28440,12581,12637
2007-01-31,2006-12-01,2007-05-03,0.640762747408,0.643407384317,0.590487432751,0.592285687784,0.867382324519,0.824327061158,0.728029147226,0.729169192505,162,398,155,155,146,447,653,417,417,263,345,494,566,568,167,14072,28440,12581,12637,9942
2007-05-03,2007-01-31,2007-08-28,0.65007406813,0.568142644937,0.568048490402,0.801769951083,0.830360727779,0.7258396504,0.726665408372,0.925675711846,398,155,155,146,145,653,417,417,263,265,494,566,568,167,175,28440,12581,12637,9942,11008
2007-08-28,2007-05-03,2007-10-25,0.567985771356,0.568493934506,0.66003240942,0.701520938196,0.744982127987,0.746333440593,0.82607886679,0.846808462253,155,155,146,145,421,417,417,263,265,650,566,568,167,175,522,12581,12637,9942,11008,30118
2007-10-25,2007-08-28,2008-02-01,0.622835482202,0.677977542971,0.691842954412,0.676714802536,0.790674705616,0.872851192683,0.881186993482,0.855727471692,155,146,145,421,120,417,263,265,650,170,568,167,175,522,150,12637,9942,11008,30118,8665
2008-02-01,2007-10-25,2008-05-06,0.767619205288,0.709607355075,0.672638879381,0.812812377888,0.941574452222,0.899759288826,0.845048540941,0.916435730629,146,145,421,120,153,263,265,650,170,157,167,175,522,150,126,9942,11008,30118,8665,10055
2008-05-06,2008-02-01,2008-08-21,0.759487588427,0.64052397736,0.769794298761,0.838758887759,0.931624572204,0.823244245178,0.903647949732,0.939974003061,145,421,120,153,161,265,650,170,157,188,175,522,150,126,127,11008,30118,8665,10055,10591
