filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-02-13,1994-12-22,1995-05-12,0.601377259492,0.533952954554,0.555675695294,0.239947980346,0.892564815539,0.83252339262,0.846673420697,0.492002314084,26,24,25,142,25,12,9,6,188,1,7,7,8,561,9,1218,1285,1273,12825,1152
1995-05-12,1995-02-13,1995-08-14,0.623454359979,0.540573929265,0.244210442254,0.728445939849,0.892313087259,0.839192107196,0.499918047533,0.892786974776,24,25,142,25,26,9,6,188,1,2,7,8,561,9,10,1285,1273,12825,1152,1358
1995-08-14,1995-05-12,1995-12-21,0.640872506928,0.238161386916,0.661451103974,0.713340251908,0.898772804705,0.490509794483,0.881141863896,0.899970241775,25,142,25,26,17,6,188,1,2,4,8,561,9,10,10,1273,12825,1152,1358,1270
1995-12-21,1995-08-14,1996-02-14,0.559784823027,0.401903726285,0.409628334534,0.413450653334,0.725303316495,0.657276376433,0.66647528894,0.666105319641,142,25,26,17,116,188,1,2,4,47,561,9,10,10,77,12825,1152,1358,1270,7722
1996-02-14,1995-12-21,1996-05-14,0.64435827823,0.571672806714,0.630627469642,0.380599166258,0.905025396389,0.850245603354,0.872560228669,0.64726945866,25,26,17,116,25,1,2,4,47,3,9,10,10,77,8,1152,1358,1270,7722,1117
1996-05-14,1996-02-14,1996-08-14,0.687502843807,0.577302507489,0.371718253122,0.621586729594,0.926888439336,0.858692189428,0.641522917885,0.876801684194,26,17,116,25,23,2,4,47,3,3,10,10,77,8,10,1358,1270,7722,1117,1266
1996-08-14,1996-05-14,1996-12-19,0.222493048132,0.16592086547,0.203181190527,0.218637256312,0.530336693142,0.472863656745,0.516956432647,0.520937540793,17,116,25,23,50,4,47,3,3,49,10,77,8,10,112,1270,7722,1117,1266,3129
1996-12-19,1996-08-14,1997-02-13,0.790246892131,0.314702332273,0.311645921491,0.238898654477,0.903647236725,0.595190396111,0.590304997312,0.549728948465,116,25,23,50,157,47,3,3,49,68,77,8,10,112,220,7722,1117,1266,3129,9895
1997-02-13,1996-12-19,1997-05-15,0.595678328083,0.462003067844,0.183059100541,0.29268036039,0.900464274369,0.815561245266,0.499962392577,0.571309475863,25,23,50,157,19,3,3,49,68,7,8,10,112,220,8,1117,1266,3129,9895,1041
1997-05-15,1997-02-13,1997-08-14,0.181233750746,0.14379902857,0.233532423364,0.189364670062,0.390654922359,0.368327382237,0.465679169323,0.401114607425,23,50,157,19,67,3,49,68,7,70,10,112,220,8,258,1266,3129,9895,1041,4600
