filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-22,1994-11-09,1994-12-27,0.0449992599502,0.273392828527,0.227333548768,0.298327515203,0.165955343607,0.433207621391,0.364425286647,0.401533669689,1041,30,39,41,2,2004,38,49,45,0,4504,37,43,36,5,110404,2472,3263,3220,292
1994-12-27,1994-12-22,1995-03-22,0.260675529801,0.216820153748,0.284293690875,0.941879461301,0.430960772252,0.362580098508,0.399314843045,0.992904225467,30,39,41,2,2,38,49,45,0,1,37,43,36,5,6,2472,3263,3220,292,298
1995-03-22,1994-12-27,1995-05-15,0.167446244594,0.171834607327,0.0815283998028,0.0784239673121,0.356630369446,0.35863768662,0.190697676506,0.19091811641,39,41,2,2,1303,49,45,0,1,3000,43,36,5,6,7689,3263,3220,292,298,118180
1995-05-15,1995-03-22,1995-08-04,0.677531112166,0.273410570871,0.260474667332,0.172074486987,0.872271025489,0.416140070774,0.413680592549,0.360879641023,41,2,2,1303,22,45,0,1,3000,43,36,5,6,7689,37,3220,292,298,118180,2521
1995-08-04,1995-05-15,1995-11-08,0.221162411132,0.20934154817,0.170223291745,0.787437198853,0.352009194914,0.349854275329,0.36037177786,0.913059947297,2,2,1303,22,33,0,1,3000,43,52,5,6,7689,37,44,292,298,118180,2521,3631
1995-11-08,1995-08-04,1996-03-05,0.249686110147,0.16553605786,0.752715995047,0.81509050565,0.372342179297,0.349924616018,0.902870102151,0.93243375423,2,1303,22,33,36,1,3000,43,52,45,6,7689,37,44,44,298,118180,2521,3631,3614
1996-03-05,1995-11-08,1996-05-13,0.476306183332,0.289509764598,0.277353815253,0.275215393823,0.688084238739,0.492548542615,0.481804099675,0.471614199724,1303,22,33,36,749,3000,43,52,45,1891,7689,37,44,44,3169,118180,2521,3631,3614,63457
1996-05-13,1996-03-05,1996-08-12,0.734884430664,0.648686243572,0.650498261198,0.278517918208,0.929912230582,0.872374727585,0.867145315604,0.488875114351,22,33,36,749,28,43,52,45,1891,32,37,44,44,3169,19,2521,3631,3614,63457,2390
1996-08-12,1996-05-13,1996-11-08,0.720911619672,0.646612008953,0.268113842404,0.756116489441,0.924356975433,0.87547436209,0.468402107089,0.901851178031,33,36,749,28,31,52,45,1891,32,37,44,44,3169,19,20,3631,3614,63457,2390,2888
1996-11-08,1996-08-12,1997-03-07,0.72607164989,0.27830139554,0.741938104645,0.797358678856,0.920514804398,0.476894692556,0.900383749474,0.923389611544,36,749,28,31,38,45,1891,32,37,29,44,3169,19,20,21,3614,63457,2390,2888,2929
