filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2001-08-14,2001-05-03,2001-11-13,0.367408980273,0.713066610815,0.385360658467,0.461720525014,0.528170471104,0.8477786418,0.567620152186,0.558212549574,97,585,639,89,159,226,2836,1752,202,510,95,4131,2894,75,664,7647,61970,57248,6628,16370
2001-11-13,2001-08-14,2002-03-25,0.280058642501,0.838210919669,0.35936767803,0.354932851529,0.383275604076,0.933745759069,0.491198492711,0.511775328572,585,639,89,159,553,2836,1752,202,510,1330,4131,2894,75,664,2307,61970,57248,6628,16370,41863
2002-03-25,2001-11-13,2002-05-06,0.416668037691,0.579633884145,0.378165272718,0.398925330341,0.567841718456,0.756556085324,0.509937428942,0.547815094824,639,89,159,553,261,1752,202,510,1330,602,2894,75,664,2307,251,57248,6628,16370,41863,19876
2002-05-06,2002-03-25,2002-08-14,0.663130769042,0.375385155874,0.374764065897,0.726636690611,0.847600727885,0.501569067533,0.52100688488,0.841784769211,89,159,553,261,101,202,510,1330,602,341,75,664,2307,251,109,6628,16370,41863,19876,8623
2002-08-14,2002-05-06,2002-11-08,0.428263341193,0.387134051028,0.507984968602,0.553400284827,0.628509472366,0.585075318448,0.672865051175,0.69041446294,159,553,261,101,260,510,1330,602,341,1135,664,2307,251,109,1074,16370,41863,19876,8623,27588
2002-11-08,2002-08-14,2002-11-26,0.407248009335,0.606106925353,0.66922336986,0.591825536154,0.593243776485,0.785718835581,0.830491803953,0.744348747196,553,261,101,260,188,1330,602,341,1135,784,2307,251,109,1074,571,41863,19876,8623,27588,17960
2002-11-26,2002-11-08,2003-03-27,0.612228076264,0.679107302518,0.565567638961,0.939464262176,0.787146405244,0.838457858817,0.701936474142,0.974595193835,261,101,260,188,169,602,341,1135,784,656,251,109,1074,571,365,19876,8623,27588,17960,16289
2003-03-27,2002-11-26,2003-04-25,0.406684567078,0.43619847728,0.463480621637,0.429807122188,0.596176237561,0.681250480632,0.673933702172,0.617207857124,101,260,188,169,880,341,1135,784,656,2363,109,1074,571,365,4181,8623,27588,17960,16289,81372
2003-04-25,2003-03-27,2003-05-15,0.460047927721,0.628144930718,0.63709820503,0.606326259856,0.648225120915,0.804684142594,0.804551340631,0.735768243652,260,188,169,880,411,1135,784,656,2363,921,1074,571,365,4181,682,27588,17960,16289,81372,35090
2003-05-15,2003-04-25,2003-08-04,0.383417202012,0.315876983269,0.421853234518,0.383004279249,0.561552772864,0.463638967011,0.598335049946,0.50147472103,188,169,880,411,316,784,656,2363,921,1170,571,365,4181,682,1371,17960,16289,81372,35090,29329
