filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-03-21,1996-11-13,1997-04-03,0.252163346735,0.250626800476,0.117177354162,0.265891222914,0.458574176323,0.450570567452,0.295384888452,0.463120682185,17,22,6,32,635,15,20,12,24,1951,19,18,14,27,3496,2796,3552,564,4156,69384
1997-04-03,1997-03-21,1997-05-12,0.226591543577,0.309084514455,0.253655697113,0.119187728385,0.417319104591,0.537424357851,0.438629556214,0.28073445273,22,6,32,635,7,20,12,24,1951,4,18,14,27,3496,18,3552,564,4156,69384,514
1997-05-12,1997-04-03,1997-08-14,0.174933857644,0.649287978538,0.267534277563,0.252169911582,0.391171772307,0.855491416077,0.478096635461,0.455613671074,6,32,635,7,31,12,24,1951,4,32,14,27,3496,18,33,564,4156,69384,514,3699
1997-08-14,1997-05-12,1997-11-12,0.681670547907,0.270507729397,0.225040000778,0.782425040129,0.872342196083,0.474132469904,0.410004107323,0.89848095593,32,635,7,31,43,24,1951,4,32,51,27,3496,18,33,39,4156,69384,514,3699,4914
1997-11-12,1997-08-14,1998-03-20,0.274178822167,0.2299892241,0.758618656105,0.862012067807,0.475743438424,0.407136592292,0.885274717207,0.936557573295,635,7,31,43,50,1951,4,32,51,50,3496,18,33,39,45,69384,514,3699,4914,5189
1998-03-20,1997-11-12,1998-05-13,0.186907010407,0.474990573029,0.518798091513,0.546419999463,0.383458212031,0.734991817985,0.755683919755,0.77779756551,7,31,43,50,247,4,32,51,50,328,18,33,39,45,518,514,3699,4914,5189,29092
1998-05-13,1998-03-20,1998-05-29,0.78342430687,0.722130050069,0.722955617144,0.520326766028,0.936406576849,0.876786421381,0.879552697809,0.76400634395,31,43,50,247,50,32,51,50,328,31,33,39,45,518,39,3699,4914,5189,29092,4386
1998-05-29,1998-05-13,1998-08-11,0.171986872904,0.17678429272,0.196643594766,0.162312225748,0.360283048214,0.364106716995,0.382336763623,0.351935774954,43,50,247,50,7,51,50,328,31,16,39,45,518,39,32,4914,5189,29092,4386,939
1998-08-11,1998-05-29,1998-11-13,0.71358909547,0.502680959163,0.819671158547,0.160525266441,0.884284246382,0.747371644015,0.915260826495,0.340716552264,50,247,50,7,54,50,328,31,16,35,45,518,39,32,38,5189,29092,4386,939,5270
1998-11-13,1998-08-11,1999-03-19,0.511040531774,0.789865038027,0.175981236392,0.796471833417,0.762361036827,0.910778584737,0.372306002764,0.906734634484,247,50,7,54,58,328,31,16,35,53,518,39,32,38,41,29092,4386,939,5270,5578
