filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-10,1994-08-12,1995-03-27,0.168023251325,0.422507205122,0.474394149315,0.577200500286,0.343513446235,0.683049950092,0.799969354485,0.869565108434,2577,308,21,26,21,6447,527,34,67,70,18399,621,64,103,85,288014,36549,3030,3811,3493
1995-03-27,1994-11-10,1995-05-01,0.599086277599,0.317651156547,0.31922062197,0.330273515738,0.808721140009,0.608225280139,0.600587658616,0.590949948349,308,21,26,21,707,527,34,67,70,1643,621,64,103,85,4122,36549,3030,3811,3493,92929
1995-05-01,1995-03-27,1995-08-14,0.416197438635,0.428858765451,0.472288591378,0.310030873012,0.774374391241,0.784769659889,0.810670071133,0.576491546513,21,26,21,707,14,34,67,70,1643,36,64,103,85,4122,44,3030,3811,3493,92929,2434
1995-08-14,1995-05-01,1995-11-14,0.484852969999,0.462065854942,0.304479844287,0.530763813727,0.847572136781,0.82023468061,0.589011382916,0.847417154224,26,21,707,14,18,67,70,1643,36,54,103,85,4122,44,87,3811,3493,92929,2434,3164
1995-11-14,1995-08-14,1996-03-14,0.471988492912,0.305060250093,0.477612675237,0.557464671007,0.841365048799,0.595783730411,0.824619723508,0.868277671329,21,707,14,18,18,70,1643,36,54,48,85,4122,44,87,80,3493,92929,2434,3164,3224
1996-03-14,1995-11-14,1996-05-06,0.595373404275,0.29320839471,0.301470903275,0.314848390431,0.828785115201,0.551884309776,0.571883382131,0.587756219415,707,14,18,18,922,1643,36,54,48,2105,4122,44,87,80,4555,92929,2434,3164,3224,94955
1996-05-06,1996-03-14,1996-08-14,0.399422237749,0.361863525528,0.385695108419,0.317753292703,0.778241487965,0.742484142558,0.768580502342,0.618718287053,14,18,18,922,41,36,54,48,2105,117,44,87,80,4555,129,2434,3164,3224,94955,4902
1996-08-14,1996-05-06,1996-11-13,0.429457306614,0.409385134042,0.318852478475,0.454589626179,0.803046379702,0.790470829188,0.602411407961,0.815226962796,18,18,922,41,28,54,48,2105,117,91,87,80,4555,129,102,3164,3224,94955,4902,4308
1996-11-13,1996-08-14,1997-03-25,0.368323997629,0.368763369215,0.374541382309,0.482194128572,0.744289965223,0.68230520171,0.74921138642,0.793317189328,18,922,41,28,42,48,2105,117,91,181,80,4555,129,102,265,3224,94955,4902,4308,5794
1997-03-25,1996-11-13,1997-05-14,0.637136383169,0.201967611063,0.201198292098,0.315365761874,0.794489687123,0.407736094714,0.388127787367,0.540679703993,922,41,28,42,2755,2105,117,91,181,7276,4555,129,102,265,17125,94955,4902,4308,5794,287087
