filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-03-31,1996-11-13,1997-05-13,0.279615218,0.793283114958,0.470999662964,0.388961484009,0.572539363102,0.931779846962,0.727391768773,0.686100111959,44,92,24,67,114,184,137,28,98,159,288,67,21,229,113,5312,10008,3423,6637,12525
1997-05-13,1997-03-31,1997-08-13,0.126288407017,0.125661284467,0.138553234998,0.146342875916,0.325134639801,0.322607451754,0.398486489535,0.359166880938,92,24,67,114,118,137,28,98,159,420,67,21,229,113,1020,10008,3423,6637,12525,13840
1997-08-13,1997-05-13,1997-11-12,0.119858973976,0.141005904272,0.173042127111,0.209977433971,0.216467442648,0.269831834524,0.296891783957,0.410973790166,24,67,114,118,574,28,98,159,420,2153,21,229,113,1020,5494,3423,6637,12525,13840,70643
1997-11-12,1997-08-13,1998-03-31,0.249067198651,0.291771346969,0.243200942793,0.750562201885,0.436286779319,0.458062246792,0.458710896636,0.908033466422,67,114,118,574,172,98,159,420,2153,456,229,113,1020,5494,1300,6637,12525,13840,70643,19799
1998-03-31,1997-11-12,1998-05-15,0.750615397392,0.156690325034,0.195812502127,0.30722667956,0.924151017407,0.36514695261,0.31925432287,0.464869923825,114,118,574,172,130,159,420,2153,456,189,113,1020,5494,1300,132,12525,13840,70643,19799,14174
1998-05-15,1998-03-31,1998-08-14,0.153418488861,0.144038064227,0.263751845474,0.51539169686,0.356440733816,0.251447708991,0.409603692859,0.75145218035,118,574,172,130,21,420,2153,456,189,14,1020,5494,1300,132,24,13840,70643,19799,14174,3466
1998-08-14,1998-05-15,1998-11-16,0.184772099066,0.26083290036,0.240452201566,0.273192081798,0.321963935433,0.433849287096,0.475962541282,0.473689051399,574,172,130,21,91,2153,456,189,14,250,5494,1300,132,24,603,70643,19799,14174,3466,11954
1998-11-16,1998-08-14,1999-03-31,0.321518921574,0.342527770369,0.404593227706,0.321638134823,0.492059786251,0.629872707203,0.663722599016,0.603174213743,172,130,21,91,57,456,189,14,250,179,1300,132,24,603,337,19799,14174,3466,11954,7477
1999-03-31,1998-11-16,1999-05-14,0.597570176932,0.43905979338,0.230974800138,0.307600135825,0.729941436564,0.631077782023,0.413246946718,0.517667648117,130,21,91,57,214,189,14,250,179,558,132,24,603,337,711,14174,3466,11954,7477,26446
1999-05-14,1999-03-31,1999-08-13,0.629804041296,0.226061456762,0.392260925661,0.426808354718,0.835016227784,0.440449674691,0.648807857201,0.575806722267,21,91,57,214,21,14,250,179,558,27,24,603,337,711,33,3466,11954,7477,26446,3609
1999-08-13,1999-05-14,1999-11-15,0.204581420773,0.253522937939,0.831260949428,0.328012952445,0.367646235381,0.43734420914,0.904216654105,0.4384437039,91,57,214,21,80,250,179,558,27,258,603,337,711,33,453,11954,7477,26446,3609,12913
1999-11-15,1999-08-13,2000-03-30,0.264251289186,0.820629925737,0.313377446625,0.949441056918,0.43516721103,0.891080093608,0.421251929118,0.980936325348,57,214,21,80,95,179,558,27,258,274,337,711,33,453,443,7477,26446,3609,12913,13133
2000-03-30,1999-11-15,2000-05-12,0.674933597346,0.61276491592,0.401244627542,0.403394387448,0.775191371667,0.798262796798,0.540458229641,0.527296489477,214,21,80,95,171,558,27,258,274,270,711,33,453,443,173,26446,3609,12913,13133,16030
2000-05-12,2000-03-30,2000-08-14,0.655626183952,0.435716033828,0.437856355282,0.548687049217,0.87618211826,0.614969073566,0.606443475795,0.782841775897,21,80,95,171,51,27,258,274,270,55,33,453,443,173,74,3609,12913,13133,16030,4543
2000-08-14,2000-05-12,2000-11-14,0.334735400161,0.297394484324,0.494796550353,0.458694286561,0.497987909885,0.45482341572,0.749338690755,0.739269190205,80,95,171,51,68,258,274,270,55,88,453,443,173,74,201,12913,13133,16030,4543,7642
2000-11-14,2000-08-14,2001-03-30,0.167738586342,0.188588470163,0.177606170778,0.215908037027,0.253594633904,0.307732027951,0.315999378684,0.369742071429,95,171,51,68,220,274,270,55,88,747,443,173,74,201,1706,13133,16030,4543,7642,27466
2001-03-30,2000-11-14,2001-05-14,0.933446632731,0.540271276892,0.499954408046,0.191538247232,0.98577505107,0.772718144695,0.751451988796,0.309939796446,171,51,68,220,176,270,55,88,747,262,173,74,201,1706,157,16030,4543,7642,27466,16345
2001-05-14,2001-03-30,2001-08-13,0.638453133287,0.507706716213,0.205544358447,0.595251981404,0.868762089635,0.754908753813,0.3366269872,0.784796871718,51,68,220,176,36,55,88,747,262,16,74,201,1706,157,57,4543,7642,27466,16345,3819
2001-08-13,2001-05-14,2001-11-09,0.375323578735,0.179612320429,0.368458511087,0.381120942406,0.591816924477,0.305358334618,0.548339133007,0.549140120388,68,220,176,36,141,88,747,262,16,198,201,1706,157,57,418,7642,27466,16345,3819,11475
