filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-04-21,1995-03-27,1995-05-12,0.191866555052,0.0848982019872,0.14807977115,0.185163859425,0.290420408067,0.150943356961,0.235524708034,0.288857625939,61,610,129,812,2,313,1271,524,2186,1,458,5376,1039,4155,9,15111,86772,28870,114961,787
1995-05-12,1995-04-21,1995-08-08,0.227496673406,0.427048147162,0.561574831159,0.242267556647,0.362558420284,0.620401908346,0.740852041935,0.324451334962,610,129,812,2,73,1271,524,2186,1,246,5376,1039,4155,9,364,86772,28870,114961,787,14414
1995-08-08,1995-05-12,1995-11-06,0.960777014493,0.660965427842,0.142600146275,0.411324659667,0.979103560812,0.728349191924,0.231476543899,0.587721133628,129,812,2,73,128,524,2186,1,246,469,1039,4155,9,364,1021,28870,114961,787,14414,27752
1995-11-06,1995-08-08,1996-03-11,0.472152199776,0.214957360856,0.72463235246,0.378506421776,0.650506853412,0.286932200647,0.88209415392,0.550387103314,812,2,73,128,48,2186,1,246,469,233,4155,9,364,1021,284,114961,787,14414,27752,13646
1996-03-11,1995-11-06,1996-05-06,0.222731468297,0.490277178418,0.809311450366,0.446512748835,0.33718129083,0.686842810009,0.843336825234,0.619347878596,2,73,128,48,401,1,246,469,233,1363,9,364,1021,284,2727,787,14414,27752,13646,69707
1996-05-06,1996-03-11,1996-08-05,0.215290867922,0.625982376081,0.178410801941,0.537296503754,0.341550061797,0.765649787555,0.284356837387,0.64635110485,73,128,48,401,608,246,469,233,1363,1409,364,1021,284,2727,5364,14414,27752,13646,69707,95711
1996-08-05,1996-05-06,1996-11-04,0.371965334344,0.704813204116,0.430690904243,0.186709062824,0.53217373045,0.850015131135,0.592769633235,0.288878216156,128,48,401,608,58,469,233,1363,1409,300,1021,284,2727,5364,322,27752,13646,69707,95711,14409
1996-11-04,1996-08-05,1997-03-10,0.779111272027,0.421314476897,0.177088372519,0.842622233191,0.901866306866,0.588549095686,0.279627385195,0.925187569308,48,401,608,58,66,233,1363,1409,300,336,284,2727,5364,322,375,13646,69707,95711,14409,15532
1997-03-10,1996-11-04,1997-05-06,0.745390688277,0.438028637782,0.415453327278,0.415577927368,0.833618654499,0.562661016914,0.588197271658,0.587000976217,401,608,58,66,897,1363,1409,300,336,2357,2727,5364,322,375,5425,69707,95711,14409,15532,106659
1997-05-06,1997-03-10,1997-08-08,0.186117616762,0.733942765972,0.730959646371,0.424704678092,0.293010711508,0.882624751094,0.874525164773,0.594409221737,608,58,66,897,55,1409,300,336,2357,247,5364,322,375,5425,270,95711,14409,15532,106659,12228
1997-08-08,1997-05-06,1997-11-13,0.431274517683,0.384327532695,0.393601123075,0.419617384091,0.618000132462,0.583406393646,0.635860567451,0.587989325412,58,66,897,55,223,300,336,2357,247,919,322,375,5425,270,1320,14409,15532,106659,12228,36505
1997-11-13,1997-08-08,1998-03-10,0.813257981238,0.390772483141,0.759344679765,0.411939960608,0.949127074179,0.571408882545,0.8857753066,0.590351228365,66,897,55,223,88,336,2357,247,919,359,375,5425,270,1320,447,15532,106659,12228,36505,16626
1998-03-10,1997-11-13,1998-05-05,0.765109181856,0.492452243893,0.532913652252,0.471032835417,0.889103608448,0.659551008476,0.685437045955,0.6387828933,897,55,223,88,645,2357,247,919,359,2009,5425,270,1320,447,3368,106659,12228,36505,16626,96427
1998-05-05,1998-03-10,1998-08-05,0.799070820442,0.374310872532,0.678746168749,0.478220081014,0.940553766998,0.571543129965,0.853212871243,0.634078830727,55,223,88,645,60,247,919,359,2009,172,270,1320,447,3368,224,12228,36505,16626,96427,11931
1998-08-05,1998-05-05,1998-11-06,0.347309621486,0.40892619163,0.419644838362,0.436043042319,0.544896877514,0.558256127113,0.599830975702,0.556041466808,223,88,645,60,225,919,359,2009,172,584,1320,447,3368,224,1965,36505,16626,96427,11931,34244
1998-11-06,1998-08-05,1999-03-12,0.540899952617,0.423521769294,0.477757204837,0.851201430444,0.679198487882,0.606515426215,0.613867256406,0.928327395112,88,645,60,225,243,359,2009,172,584,539,447,3368,224,1965,1646,16626,96427,11931,34244,29475
1999-03-12,1998-11-06,1999-05-13,0.686712577738,0.551094546292,0.410374144489,0.438485645426,0.831325042692,0.696771393376,0.543040306133,0.5787039757,645,60,225,243,396,2009,172,584,539,890,3368,224,1965,1646,1452,96427,11931,34244,29475,51356
1999-05-13,1999-03-12,1999-08-13,0.754133374771,0.437776246006,0.462737681077,0.597650456611,0.928237577085,0.591638934019,0.6300785998,0.748114000499,60,225,243,396,72,172,584,539,890,182,224,1965,1646,1452,387,11931,34244,29475,51356,13019
1999-08-13,1999-05-13,1999-11-12,0.47798322905,0.448451719366,0.544417543912,0.700126709773,0.597120256107,0.614490692995,0.68569484954,0.852649925396,225,243,396,72,93,584,539,890,182,193,1965,1646,1452,387,299,34244,29475,51356,13019,14433
1999-11-12,1999-08-13,2000-03-15,0.531683865096,0.546025554915,0.67396398062,0.779233053755,0.667515560377,0.698262963308,0.847264969191,0.896511909449,243,396,72,93,111,539,890,182,193,202,1646,1452,387,299,337,29475,51356,13019,14433,15919
2000-03-15,1999-11-12,2000-05-12,0.745988613373,0.508224837287,0.465077703975,0.469682356736,0.835823192455,0.663192214406,0.59850418629,0.607689449907,396,72,93,111,586,890,182,193,202,1586,1452,387,299,337,3336,51356,13019,14433,15919,79321
