filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1998-08-14,1998-05-15,1998-11-16,0.526522222646,0.490388126101,0.546006707786,0.725932021387,0.840539610075,0.789952416274,0.782356920671,0.881910736213,31,30,103,26,38,58,54,218,43,40,36,28,288,35,34,2625,2797,11779,2973,3267
1998-11-16,1998-08-14,1999-03-26,0.467955239732,0.471436450185,0.563704688929,0.609471185795,0.793993409938,0.747759489519,0.802079828183,0.820165963145,30,103,26,38,47,54,218,43,40,102,28,288,35,34,150,2797,11779,2973,3267,4407
1999-03-26,1998-11-16,1999-05-14,0.877954669139,0.595956066726,0.609464688159,0.532698337424,0.971327040381,0.813740888238,0.80865745227,0.762386075834,103,26,38,47,107,218,43,40,102,189,288,35,34,150,205,11779,2973,3267,4407,11573
1999-05-14,1999-03-26,1999-08-13,0.578696994294,0.506128186922,0.480138289849,0.534374371757,0.848508097702,0.783532072584,0.759278919661,0.763501442035,26,38,47,107,24,43,40,102,189,33,35,34,150,205,18,2973,3267,4407,11573,2850
1999-08-13,1999-05-14,1999-11-12,0.125114206569,0.171715425458,0.124310212091,0.165559832542,0.31541686887,0.356740272181,0.305413362193,0.337947405234,38,47,107,24,125,40,102,189,33,394,34,150,205,18,608,3267,4407,11573,2850,10872
1999-11-12,1999-08-13,2000-03-30,0.328627983862,0.316994770633,0.240067536292,0.192402001692,0.500222784927,0.493852917201,0.361646489218,0.288299189117,47,107,24,125,48,102,189,33,394,183,150,205,18,608,398,4407,11573,2850,10872,8624
2000-03-30,1999-11-12,2000-05-11,0.894168847847,0.539694771513,0.136696531493,0.26823704792,0.969875321644,0.772877505634,0.316145043658,0.432217397874,107,24,125,48,115,189,33,394,183,191,205,18,608,398,252,11573,2850,10872,8624,12024
2000-05-11,2000-03-30,2000-08-14,0.122201639711,0.227966628686,0.254936359052,0.170529447102,0.258647673483,0.366995666479,0.305669567106,0.288271328006,24,125,48,115,148,33,394,183,191,498,18,608,398,252,1363,2850,10872,8624,12024,18467
2000-08-14,2000-05-11,2000-11-14,0.144671402474,0.20393294103,0.573711322388,0.142011193334,0.32898569865,0.35237074244,0.767899957851,0.273410801214,125,48,115,148,20,394,183,191,498,16,608,398,252,1363,32,10872,8624,12024,18467,2556
2000-11-14,2000-08-14,2001-03-14,0.225151153607,0.568740680902,0.132177504328,0.838521563845,0.363772808996,0.758830121707,0.261448023695,0.917365661267,48,115,148,20,21,183,191,498,16,15,398,252,1363,32,29,8624,12024,18467,2556,2498
2001-03-14,2000-11-14,2001-04-05,0.601842091028,0.213875869786,0.376106506344,0.37297373001,0.814319930605,0.363549842964,0.622666538343,0.613117465735,115,148,20,21,150,191,498,16,15,307,252,1363,32,29,540,12024,18467,2556,2498,16283
2001-04-05,2001-03-14,2001-05-15,0.040146607533,0.0831664398109,0.0745874645857,0.29314710105,0.109704103827,0.16497852603,0.15550945353,0.369014261828,148,20,21,150,7,498,16,15,307,14,1363,32,29,540,46,18467,2556,2498,16283,1136
2001-05-15,2001-04-05,2001-08-14,0.532038934975,0.535644579344,0.370732141641,0.104492751815,0.77205582563,0.771394065394,0.603530730894,0.190877937983,20,21,150,7,16,16,15,307,14,14,32,29,540,46,17,2556,2498,16283,1136,2246
2001-08-14,2001-05-15,2001-11-13,0.477548235605,0.341262151651,0.103339436756,0.640190907807,0.745172363407,0.596572961877,0.193869962198,0.817435790294,21,150,7,16,18,15,307,14,14,24,29,540,46,17,20,2498,16283,1136,2246,2498
2001-11-13,2001-08-14,2002-03-29,0.322403711074,0.102786665926,0.533569179459,0.685277900611,0.60254248803,0.202136743819,0.760420066515,0.858762736777,150,7,16,18,18,307,14,14,24,35,540,46,17,20,31,16283,1136,2246,2498,3055
2002-03-29,2001-11-13,2002-05-14,0.31066300076,0.433654241228,0.435491519488,0.477474117762,0.343704102388,0.651866462102,0.649950239632,0.675893719841,7,16,18,18,117,14,14,24,35,367,46,17,20,31,340,1136,2246,2498,3055,14603
2002-05-14,2002-03-29,2002-08-14,0.603648920522,0.46647111216,0.528464467871,0.577754554357,0.812122739631,0.709654160744,0.725444132932,0.753942719266,16,18,18,117,18,14,24,35,367,58,17,20,31,340,36,2246,2498,3055,14603,3780
2002-08-14,2002-05-14,2002-11-13,0.585072059531,0.518333510662,0.521309224248,0.781287460807,0.807863431092,0.736577880122,0.721238155138,0.889436415773,18,18,117,18,16,24,35,367,58,63,20,31,340,36,39,2498,3055,14603,3780,4039
2002-11-13,2002-08-14,2003-03-28,0.514738012342,0.464057724248,0.65201193334,0.704015783172,0.75857829154,0.710744308566,0.840337765032,0.871491506228,18,117,18,16,28,35,367,58,63,96,31,340,36,39,89,3055,14603,3780,4039,5266
2003-03-28,2002-11-13,2003-05-14,0.80728842121,0.490315707454,0.487142734081,0.488428215826,0.941643066229,0.722941545178,0.706043134335,0.731408316554,117,18,16,28,148,367,58,63,96,443,340,36,39,89,545,14603,3780,4039,5266,18043
2003-05-14,2003-03-28,2003-08-13,0.604076222311,0.519178344189,0.576003758096,0.528804952126,0.831589659126,0.771161352601,0.81768301329,0.730241572423,18,16,28,148,21,58,63,96,443,62,36,39,89,545,50,3780,4039,5266,18043,4406
2003-08-13,2003-05-14,2003-11-13,0.667439862191,0.526856809312,0.505065949008,0.757501593116,0.863157256465,0.810741336562,0.715515795467,0.877049066949,16,28,148,21,21,63,96,443,62,72,39,89,545,50,80,4039,5266,18043,4406,4817
2003-11-13,2003-08-13,2004-03-12,0.61898819993,0.481725793347,0.729509752409,0.756814335487,0.867671934205,0.702158821718,0.869024471389,0.886854020041,28,148,21,21,26,96,443,62,72,64,89,545,50,80,49,5266,18043,4406,4817,4705
2004-03-12,2003-11-13,2004-05-07,0.708931037766,0.426525559214,0.434044979931,0.442222746858,0.917809795352,0.689750589605,0.691384353021,0.684469680706,148,21,21,26,180,443,62,72,64,391,545,50,80,49,553,18043,4406,4817,4705,17765
2004-05-07,2004-03-12,2004-08-06,0.529277416609,0.472004856543,0.457178476336,0.375823890429,0.811177951807,0.759570080446,0.747070508783,0.673403444342,21,21,26,180,47,62,72,64,391,91,50,80,49,553,202,4406,4817,4705,17765,5949
2004-08-06,2004-05-07,2004-11-08,0.301426725402,0.232043044198,0.240863402206,0.329040099968,0.472201705318,0.413295314644,0.419016635123,0.489207401419,21,26,180,47,106,72,64,391,91,282,80,49,553,202,660,4817,4705,17765,5949,14558
2004-11-08,2004-08-06,2005-03-14,0.748500488247,0.408537156059,0.540672300668,0.287182475686,0.91611567445,0.668518649608,0.784599496074,0.451605643125,26,180,47,106,25,64,391,91,282,80,49,553,202,660,44,4705,17765,5949,14558,4677
2005-03-14,2004-11-08,2005-05-06,0.742923685554,0.452562910596,0.248936777578,0.554369224412,0.922239191527,0.707252042649,0.410588507491,0.738337933772,180,47,106,25,152,391,91,282,80,418,553,202,660,44,380,17765,5949,14558,4677,17247
2005-05-06,2005-03-14,2005-08-08,0.620023084583,0.257401211222,0.683693971112,0.620585027746,0.849552927986,0.411271535344,0.859281559935,0.79031543374,47,106,25,152,23,91,282,80,418,63,202,660,44,380,46,5949,14558,4677,17247,4600
2005-08-08,2005-05-06,2005-11-03,0.27529232861,0.230461599103,0.242515104382,0.27193577686,0.426554890356,0.469336712408,0.484954294244,0.502537224987,106,25,152,23,286,282,80,418,63,577,660,44,380,46,560,14558,4677,17247,4600,17288
2005-11-03,2005-08-08,2006-03-15,0.835712986951,0.564148245353,0.757921638132,0.268478538321,0.948670124016,0.756538967025,0.889775886928,0.49951853016,25,152,23,286,29,80,418,63,577,86,44,380,46,560,42,4677,17247,4600,17288,5119
2006-03-15,2005-11-03,2006-05-08,0.938345978554,0.609750292852,0.248332384052,0.57749587012,0.985395034803,0.785572965093,0.490394681432,0.759946705022,152,23,286,29,176,418,63,577,86,432,380,46,560,42,354,17247,4600,17288,5119,17824
2006-05-08,2006-03-15,2006-08-04,0.877026266812,0.260454862413,0.699609511613,0.590259806702,0.962275786498,0.505090501006,0.859150843698,0.764896191552,23,286,29,176,24,63,577,86,432,74,46,560,42,354,50,4600,17288,5119,17824,5176
2006-08-04,2006-05-08,2006-11-03,0.303453774148,0.685938720456,0.572180999294,0.763217501746,0.538723316317,0.86179506428,0.755501130064,0.879895922883,286,29,176,24,25,577,86,432,74,83,560,42,354,50,52,17288,5119,17824,5176,5749
2006-11-03,2006-08-04,2007-02-27,0.857599390397,0.560625508873,0.716704004852,0.739703288676,0.959682991663,0.757262080963,0.858942953311,0.873565421598,29,176,24,25,42,86,432,74,83,120,42,354,50,52,53,5119,17824,5176,5749,6219
2007-02-27,2006-11-03,2007-05-04,0.944781874144,0.595002720826,0.595526842313,0.608892642799,0.983074305815,0.769036607279,0.770503660828,0.775551668296,176,24,25,42,188,432,74,83,120,462,354,50,52,53,366,17824,5176,5749,6219,18894
2007-05-04,2007-02-27,2007-08-06,0.849367767598,0.682767026571,0.693693364348,0.608843009288,0.952150441732,0.851777044712,0.853999080934,0.779728736772,24,25,42,188,33,74,83,120,462,79,50,52,53,366,52,5176,5749,6219,18894,5516
2007-08-06,2007-05-04,2007-11-02,0.863871268174,0.660002681543,0.571629528522,0.750392329466,0.958055228637,0.84713653741,0.75765783017,0.87373056185,25,42,188,33,36,83,120,462,79,90,52,53,366,52,53,5749,6219,18894,5516,5796
2007-11-02,2007-08-06,2008-02-27,0.870477479935,0.560371318676,0.739113855604,0.738014080106,0.963417521527,0.747019732892,0.869231629975,0.869902860797,42,188,33,36,38,120,462,79,90,102,53,366,52,53,53,6219,18894,5516,5796,5771
2008-02-27,2007-11-02,2008-05-05,0.886592303257,0.572015843387,0.544509660592,0.537353587271,0.96620214232,0.76796856795,0.74765151196,0.738508287341,188,33,36,38,234,462,79,90,102,569,366,52,53,53,586,18894,5516,5796,5771,21670
2008-05-05,2008-02-27,2008-08-05,0.872732680226,0.691103479683,0.689956076305,0.591697639542,0.964623442422,0.854167449617,0.852476401471,0.778510066742,33,36,38,234,52,79,90,102,569,93,52,53,53,586,60,5516,5796,5771,21670,6111
2008-08-05,2008-05-05,2008-11-05,0.884784347504,0.667065034371,0.552993844723,0.78819508466,0.967810650429,0.847082981058,0.748072280683,0.88373284328,36,38,234,52,54,90,102,569,93,102,53,53,586,60,61,5796,5771,21670,6111,6435
2008-11-05,2008-08-05,2009-02-26,0.882945242246,0.544870081979,0.779337347675,0.75537837228,0.965355818253,0.741854519702,0.880981679184,0.873211807573,38,234,52,54,58,102,569,93,102,102,53,586,60,61,59,5771,21670,6111,6435,6366
2009-02-26,2008-11-05,2009-05-08,0.770231957425,0.499445526771,0.470105071677,0.465486429792,0.931119081673,0.724847546918,0.699203741033,0.693092918013,234,52,54,58,256,569,93,102,102,761,586,60,61,59,835,21670,6111,6435,6366,26591
