filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-05-14,1996-04-01,1996-08-14,0.771446570379,0.663157305794,0.65132926981,0.538845699675,0.944126115418,0.884685011878,0.882230326348,0.785673032172,14,15,15,68,20,18,18,18,95,20,16,16,16,109,16,1786,1912,1896,8950,2064
1996-08-14,1996-05-14,1996-11-14,0.799917378937,0.668815643599,0.523179476331,0.797569393743,0.955625908048,0.894845075278,0.766571962105,0.920709143944,15,15,68,20,20,18,18,95,20,20,16,16,109,16,16,1912,1896,8950,2064,2080
1996-11-14,1996-08-14,1997-03-31,0.79230757971,0.5139382767,0.769301944415,0.813183290669,0.952457923933,0.767402374141,0.918141250463,0.933307866523,15,68,20,20,21,18,95,20,20,20,16,109,16,16,16,1896,8950,2064,2080,2065
1997-03-31,1996-11-14,1997-05-15,0.621879749534,0.375738510735,0.367898502503,0.360098946958,0.880590906493,0.706138281713,0.689162365306,0.6886824956,68,20,20,21,117,95,20,20,20,306,109,16,16,16,409,8950,2064,2080,2065,13566
1997-05-15,1997-03-31,1997-08-14,0.788437660347,0.672043870037,0.660000064887,0.359436265006,0.958038218781,0.890315299393,0.890101614722,0.704707381265,20,20,21,117,21,20,20,20,306,25,16,16,16,409,18,2064,2080,2065,13566,2224
1997-08-14,1997-05-15,1997-11-14,0.798982019129,0.671909498915,0.357557478576,0.809194291716,0.956429707747,0.900505472937,0.69554176732,0.928584396731,20,21,117,21,19,20,20,306,25,25,16,16,409,18,18,2080,2065,13566,2224,2257
1997-11-14,1997-08-14,1998-03-31,0.817302458734,0.343431489126,0.696791745217,0.719876193435,0.955690587849,0.693007101359,0.905845632688,0.921205423791,21,117,21,19,25,20,306,25,25,28,16,409,18,18,19,2065,13566,2224,2257,2369
1998-03-31,1997-11-14,1998-05-15,0.599411519812,0.459617756528,0.461357399436,0.440833903001,0.853548925064,0.713690601967,0.70811153583,0.701952641671,117,21,19,25,84,306,25,25,28,135,409,18,18,19,188,13566,2224,2257,2369,11093
1998-05-15,1998-03-31,1998-08-14,0.794670899399,0.680862636524,0.638252635734,0.463612224408,0.952899982109,0.896515133449,0.885702675501,0.706568769776,21,19,25,84,18,25,25,28,135,27,18,18,19,188,17,2224,2257,2369,11093,2364
1998-08-14,1998-05-15,1998-11-16,0.809665100577,0.653975158978,0.456215075876,0.777598680198,0.945364312036,0.885355957572,0.686971528567,0.907754836759,19,25,84,18,19,25,28,135,27,25,18,19,188,17,17,2257,2369,11093,2364,2404
1998-11-16,1998-08-14,1999-03-31,0.679125139191,0.423704921301,0.670041924901,0.708734005325,0.921278541801,0.708763200426,0.89092152604,0.902207329206,25,84,18,19,25,28,135,27,25,36,19,188,17,17,18,2369,11093,2364,2404,2949
1999-03-31,1998-11-16,1999-05-17,0.856569364132,0.526577711374,0.517746991214,0.526293675756,0.952093939745,0.766850687017,0.744520343007,0.778318040374,84,18,19,25,77,135,27,25,36,138,188,17,17,18,114,11093,2364,2404,2949,10506
1999-05-17,1999-03-31,1999-08-16,0.739620262428,0.641024816507,0.68399229931,0.62139056132,0.923276466169,0.861030501261,0.891418700914,0.818405995706,18,19,25,77,24,27,25,36,138,40,17,17,18,114,20,2364,2404,2949,10506,2942
1999-08-16,1999-05-17,1999-11-15,0.78751150986,0.662183897865,0.569710550525,0.753588866253,0.931847038487,0.878486572456,0.783196582012,0.903260324382,19,25,77,24,22,25,36,138,40,55,17,18,114,20,30,2404,2949,10506,2942,3176
1999-11-15,1999-08-16,2000-03-29,0.767473139671,0.590009284943,0.719692629231,0.739258855292,0.933444929597,0.786595188217,0.89658849976,0.905846901052,25,77,24,22,22,36,138,40,55,45,18,114,20,30,33,2949,10506,2942,3176,3302
2000-03-29,1999-11-15,2000-05-15,0.945716146357,0.583141948121,0.540073528774,0.536555841419,0.990711739211,0.810835933502,0.77726289009,0.776150002634,77,24,22,22,75,138,40,55,45,119,114,20,30,33,103,10506,2942,3176,3302,10058
2000-05-15,2000-03-29,2000-08-14,0.847546918171,0.677216359917,0.648286096862,0.604539896349,0.964417203141,0.878039132399,0.872657102333,0.799227335416,24,22,22,75,28,40,55,45,119,32,20,30,33,103,20,2942,3176,3302,10058,2978
2000-08-14,2000-05-15,2000-11-14,0.795380285212,0.695607401715,0.555453384019,0.764098412635,0.952230626661,0.889120703099,0.764512702165,0.90624629143,22,22,75,28,26,55,45,119,32,37,30,33,103,20,31,3176,3302,10058,2978,3306
2000-11-14,2000-08-14,2001-04-02,0.799544361129,0.538013526257,0.757803797038,0.728824174172,0.946845913538,0.755254111346,0.912459453773,0.904627412673,22,75,28,26,28,45,119,32,37,34,33,103,20,31,22,3302,10058,2978,3306,3165
2001-04-02,2000-11-14,2001-05-15,0.943461296321,0.600470230554,0.556835987095,0.546996810455,0.989450543972,0.802520382389,0.768402441018,0.76030439242,75,28,26,28,86,119,32,37,34,122,103,20,31,22,122,10058,2978,3306,3165,10472
2001-05-15,2001-04-02,2001-08-14,0.907791814659,0.709247318698,0.724473663265,0.615928073533,0.980532647875,0.894298778517,0.904174665784,0.802109653177,28,26,28,86,27,32,37,34,122,32,20,31,22,122,21,2978,3306,3165,10472,2935
2001-08-14,2001-05-15,2001-11-14,0.852387999118,0.701488559082,0.559172902125,0.7762265998,0.968074587451,0.897386157831,0.761120184085,0.906581330416,26,28,86,27,29,37,34,122,32,34,31,22,122,21,21,3306,3165,10472,2935,3167
2001-11-14,2001-08-14,2002-04-01,0.854392382926,0.530617079395,0.713012376719,0.72776053578,0.967684607833,0.762926257923,0.89506992235,0.901799932412,28,86,27,29,31,34,122,32,34,40,22,122,21,21,22,3165,10472,2935,3167,3411
2002-04-01,2001-11-14,2002-05-15,0.944079248436,0.613216360323,0.572189062583,0.565422163567,0.987032266732,0.803678251292,0.76580258972,0.77622474545,86,27,29,31,97,122,32,34,40,138,122,21,21,22,115,10472,2935,3167,3411,11235
2002-05-15,2002-04-01,2002-08-14,0.815390563127,0.682369095649,0.687902976123,0.593637616338,0.954797885415,0.876483568383,0.883663371555,0.799208349836,27,29,31,97,33,32,34,40,138,49,21,21,22,115,23,2935,3167,3411,11235,3506
2002-08-14,2002-05-15,2002-11-14,0.844183844376,0.662582202622,0.556492856876,0.782279512825,0.957955818918,0.874979983583,0.758623524989,0.893778698475,29,31,97,33,35,34,40,138,49,52,21,22,115,23,23,3167,3411,11235,3506,3882
2002-11-14,2002-08-14,2003-03-28,0.397438983872,0.295668269026,0.362821085117,0.363779604602,0.706867336493,0.604079906999,0.67120152647,0.67097201947,31,97,33,35,88,40,138,49,52,261,22,115,23,23,396,3411,11235,3506,3882,8530
2003-03-28,2002-11-14,2003-05-15,0.916708502834,0.611163748087,0.577373684802,0.331257105056,0.975195227599,0.798314891422,0.762653651166,0.630377166677,97,33,35,88,122,138,49,52,261,206,115,23,23,396,162,11235,3506,3882,8530,14226
2003-05-15,2003-03-28,2003-08-14,0.7497154682,0.610413166919,0.361256460603,0.69103279182,0.908474711044,0.823243983143,0.685468299721,0.843136829873,33,35,88,122,37,49,52,261,206,59,23,23,396,162,31,3506,3882,8530,14226,4538
2003-08-14,2003-05-15,2003-11-13,0.782102222804,0.329188681907,0.640568210225,0.768629252715,0.906704014576,0.670354070743,0.804926821847,0.897615217801,35,88,122,37,37,52,261,206,59,65,23,396,162,31,31,3882,8530,14226,4538,5019
2003-11-13,2003-08-14,2004-03-15,0.701219853011,0.497492733995,0.575677924952,0.614201920181,0.862771641994,0.757914755499,0.835253179736,0.854761808043,88,122,37,37,62,261,206,59,65,97,396,162,31,31,147,8530,14226,4538,5019,6825
2004-03-15,2003-11-13,2004-05-10,0.914190273236,0.655220723146,0.639914979255,0.505757680703,0.981348772916,0.836838949987,0.810334003042,0.764090789966,122,37,37,62,140,206,59,65,97,212,162,31,31,147,139,14226,4538,5019,6825,14532
2004-05-10,2004-03-15,2004-08-06,0.805778831131,0.702850920924,0.537136058738,0.712469448722,0.947925731509,0.881773708577,0.823850068246,0.852509001881,37,37,62,140,61,59,65,97,212,78,31,31,147,139,31,4538,5019,6825,14532,5244
2004-08-06,2004-05-10,2004-11-08,0.851134538095,0.523680952338,0.661333549598,0.800896790901,0.957603733969,0.818750053159,0.810645565886,0.906011122651,37,62,140,61,64,65,97,212,78,84,31,147,139,31,31,5019,6825,14532,5244,5573
