filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2005-08-15,2005-05-10,2005-11-14,0.559679596386,0.562860161342,0.618076730854,0.845801459132,0.772611004857,0.786479690388,0.810953394726,0.917127594487,67,81,238,86,83,107,133,430,114,113,44,47,314,52,62,7391,9033,20309,7360,7890
2005-11-14,2005-08-15,2006-03-13,0.625946791989,0.580463637036,0.72161194474,0.72587253863,0.824971029678,0.787563510549,0.8581598632,0.855574609706,81,238,86,83,90,133,430,114,113,123,47,314,52,62,59,9033,20309,7360,7890,8178
2006-03-13,2005-11-14,2006-05-10,0.706401915423,0.641539426678,0.610367166189,0.631835989023,0.841003477927,0.806001701823,0.766825327938,0.784353403723,238,86,83,90,291,430,114,113,123,555,314,52,62,59,224,20309,7360,7890,8178,22912
2006-05-10,2006-03-13,2006-08-09,0.688130725139,0.616219905285,0.661019350479,0.682073097542,0.857010804897,0.780906095676,0.815013781367,0.826636033804,86,83,90,291,87,114,113,123,555,119,52,62,59,224,56,7360,7890,8178,22912,8472
2006-08-09,2006-05-10,2006-11-08,0.696900085105,0.614535290248,0.629563356872,0.782473483266,0.859780660714,0.793211133745,0.791008987153,0.869911141685,83,90,291,87,78,113,123,555,119,121,62,59,224,56,56,7890,8178,22912,8472,8554
2006-11-08,2006-08-09,2007-02-28,0.777579720573,0.628387497238,0.752058067649,0.726511976259,0.911162806526,0.793204488901,0.86359977235,0.845035243949,90,291,87,78,77,123,555,119,121,124,59,224,56,56,63,8178,22912,8472,8554,8884
2007-02-28,2006-11-08,2007-03-20,0.561760713235,0.418525781869,0.388989816498,0.393155142679,0.796723536288,0.669526674004,0.642513575864,0.646384233484,291,87,78,77,347,555,119,121,124,1233,224,56,56,63,1145,22912,8472,8554,8884,34396
2007-03-20,2007-02-28,2007-05-09,0.228051104828,0.210547811404,0.211191465044,0.299233456069,0.399852248648,0.380787291042,0.381692068268,0.482479420473,87,78,77,347,55,119,121,124,1233,189,56,56,63,1145,370,8472,8554,8884,34396,5983
2007-05-09,2007-03-20,2007-08-08,0.703363316926,0.712173037176,0.425443348043,0.239465218783,0.840703977711,0.846383410174,0.668564629949,0.407123500246,78,77,347,55,68,121,124,1233,189,100,56,63,1145,370,58,8554,8884,34396,5983,8206
2007-08-08,2007-05-09,2007-11-07,0.643440426671,0.386050364105,0.220141798077,0.774258270604,0.81160597252,0.634709441689,0.384864548716,0.871434800941,77,347,55,68,70,124,1233,189,100,108,63,1145,370,58,83,8884,34396,5983,8206,9221
2007-11-07,2007-08-08,2008-02-29,0.398492032669,0.283445619074,0.716676379901,0.736208788977,0.668046453056,0.457591356535,0.864488635474,0.871351962364,347,55,68,70,78,1233,189,100,108,147,1145,370,58,83,169,34396,5983,8206,9221,10603
2008-02-29,2007-11-07,2008-05-07,0.416576857976,0.448175704836,0.425033896628,0.459026647785,0.597421887253,0.634623198142,0.612640449994,0.661403570775,55,68,70,78,497,189,100,108,147,1685,370,58,83,169,2053,5983,8206,9221,10603,49300
2008-05-07,2008-02-29,2008-08-08,0.84340814128,0.706873793555,0.684165374668,0.45631514243,0.937136335951,0.836703755236,0.847919515139,0.642834060696,68,70,78,497,103,100,108,147,1685,157,58,83,169,2053,84,8206,9221,10603,49300,10007
2008-08-08,2008-05-07,2008-11-05,0.874348217806,0.66081617524,0.431867280665,0.800505833611,0.949042464894,0.834910749249,0.622229754055,0.874322776879,70,78,497,103,92,108,147,1685,157,160,83,169,2053,84,83,9221,10603,49300,10007,10258
2008-11-05,2008-08-08,2009-02-27,0.811483471954,0.45324248184,0.782680556297,0.761569730037,0.940248049579,0.645296901574,0.875001677754,0.867307751558,78,497,103,92,100,147,1685,157,160,202,169,2053,84,83,134,10603,49300,10007,10258,11205
