filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-08-11,1995-08-08,1995-11-02,0.227467928521,0.317929757296,0.87049547719,0.351725439061,0.3905317046,0.490528876708,0.968124544925,0.499586889104,74,8,2,6,2,40,6,4,7,4,23,8,12,9,11,5148,873,321,1068,319
1995-11-02,1995-08-11,1996-03-18,0.664536584732,0.407696032242,0.739122204027,0.416544372213,0.892155245875,0.556022152539,0.898345558352,0.557541026311,8,2,6,2,9,6,4,7,4,8,8,12,9,11,10,873,321,1068,319,977
1996-03-18,1995-11-02,1996-04-29,0.225574470378,0.338355407641,0.22686223124,0.362822313043,0.393671277094,0.625356199357,0.390479574724,0.629493330536,2,6,2,9,68,4,7,4,8,37,12,9,11,10,23,321,1068,319,977,5501
1996-04-29,1996-03-18,1996-07-31,0.5265547632,0.410970858453,0.604334843793,0.351755084073,0.825366971099,0.57292997356,0.865469015599,0.638516454371,6,2,9,68,10,7,4,8,37,12,9,11,10,23,10,1068,319,977,5501,992
1996-07-31,1996-04-29,1996-10-30,0.387060233637,0.561107862498,0.342895993984,0.635997224288,0.541450567731,0.833913956974,0.631371311797,0.876974375631,2,9,68,10,8,4,8,37,12,10,11,10,23,10,11,319,977,5501,992,1177
1996-10-30,1996-07-31,1997-03-17,0.659655213222,0.340369758681,0.651481806714,0.810625971919,0.88957169569,0.610403175051,0.883726285933,0.921681471459,9,68,10,8,8,8,37,12,10,9,10,23,10,11,10,977,5501,992,1177,1086
1997-03-17,1996-10-30,1997-05-05,0.688609815289,0.362011473126,0.356661905449,0.3593557331,0.865634411125,0.65533632112,0.655303472963,0.640275655871,68,10,8,8,70,37,12,10,9,52,23,10,11,10,34,5501,992,1177,1086,6556
1997-05-05,1997-03-17,1997-07-25,0.702996440849,0.67503701599,0.723796672778,0.389711533676,0.928525562613,0.892309256615,0.905538126031,0.678706215161,10,8,8,70,7,12,10,9,52,8,10,11,10,34,10,992,1177,1086,6556,1027
1997-07-25,1997-05-05,1997-10-30,0.747502256117,0.634971201342,0.334210560732,0.783147257375,0.916633640354,0.858982057195,0.650202983345,0.894279940639,8,8,70,7,9,10,9,52,8,10,11,10,34,10,11,1177,1086,6556,1027,1296
1997-10-30,1997-07-25,1998-03-16,0.678947323663,0.327344697362,0.772905842349,0.851227861869,0.891005821665,0.636819955199,0.879532628569,0.921688322029,8,70,7,9,9,9,52,8,10,9,10,34,10,11,10,1086,6556,1027,1296,1206
1998-03-16,1997-10-30,1998-04-17,0.837666134677,0.381778236438,0.328358935875,0.332234753519,0.970285448538,0.674720438727,0.643123680813,0.634384611743,70,7,9,9,62,52,8,10,9,55,34,10,11,10,34,6556,1027,1296,1206,6649
1998-04-17,1998-03-16,1998-07-20,0.616577837685,0.475332075043,0.499011522336,0.375437683592,0.897675192476,0.802419826954,0.805110383883,0.669048508713,7,9,9,62,13,8,10,9,55,16,10,11,10,34,13,1027,1296,1206,6649,1266
1998-07-20,1998-04-17,1998-11-05,0.647443889811,0.528914390138,0.360569178894,0.686031338811,0.887239209038,0.819716944013,0.652765496004,0.893578705905,9,9,62,13,12,10,9,55,16,15,11,10,34,13,12,1296,1206,6649,1266,1426
1998-11-05,1998-07-20,1999-03-15,0.454084893939,0.364476693408,0.529511400126,0.593484520862,0.770271735528,0.714635994789,0.816556341946,0.820958523757,9,62,13,12,13,9,55,16,15,32,10,34,13,12,12,1206,6649,1266,1426,1979
1999-03-15,1998-11-05,1999-04-16,0.776806613719,0.396936551473,0.378505676428,0.52598249093,0.946799047774,0.681993666938,0.65729934255,0.776033732228,62,13,12,13,61,55,16,15,32,79,34,13,12,12,37,6649,1266,1426,1979,7138
1999-04-16,1999-03-15,1999-07-23,0.500830557335,0.453864906072,0.78996547872,0.571446256035,0.802376407588,0.743469959948,0.913142943203,0.811439340374,13,12,13,61,8,16,15,32,79,36,13,12,12,37,14,1266,1426,1979,7138,1889
1999-07-23,1999-04-16,1999-10-27,0.574139264553,0.723241337401,0.531321482579,0.80621440785,0.813564211503,0.891845639798,0.796248140544,0.927372557843,12,13,61,8,9,15,32,79,36,41,12,12,37,14,15,1426,1979,7138,1889,2259
1999-10-27,1999-07-23,2000-03-13,0.718635664052,0.520374017306,0.764038651206,0.867224959024,0.910131791519,0.79298497503,0.912095149528,0.948704331159,13,61,8,9,15,32,79,36,41,47,12,37,14,15,14,1979,7138,1889,2259,2379
