filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-10-28,1994-08-05,1995-03-23,0.191729457908,0.428205152813,0.145852761552,0.649066263755,0.345968123908,0.832735955606,0.290553392906,0.896398695982,345,23,134,19,16,1209,42,615,26,28,3596,18,1594,22,20,57041,2858,21216,2972,2621
1995-03-23,1994-10-28,1995-04-25,0.164318818712,0.303505973778,0.177734816186,0.185048563582,0.384462439452,0.589102624319,0.390469287744,0.390526093814,23,134,19,16,295,42,615,26,28,843,18,1594,22,20,2496,2858,21216,2972,2621,41115
1995-04-25,1995-03-23,1995-08-11,0.11119811332,0.421455209094,0.334818575905,0.142450237905,0.296217744208,0.760091238902,0.732755061655,0.366976026317,134,19,16,295,20,615,26,28,843,13,1594,22,20,2496,26,21216,2972,2621,41115,2429
1995-08-11,1995-04-25,1995-10-25,0.15747256697,0.124944145735,0.36363994857,0.155704955676,0.307086171688,0.24442445121,0.556515646328,0.334417146571,19,16,295,20,113,26,28,843,13,447,22,20,2496,26,1526,2972,2621,41115,2429,25672
1995-10-25,1995-08-11,1996-03-27,0.106200708849,0.50012469448,0.087403971189,0.219078901595,0.212192084185,0.744636451755,0.191967467421,0.35572401333,16,295,20,113,232,28,843,13,447,888,20,2496,26,1526,2224,2621,41115,2429,25672,28572
1996-03-27,1995-10-25,1996-04-26,0.461978693485,0.152650807577,0.297016800084,0.675199188709,0.734072090344,0.336853386434,0.450925429168,0.796411393639,295,20,113,232,440,843,13,447,888,1408,2496,26,1526,2224,3716,41115,2429,25672,28572,58761
1996-04-26,1996-03-27,1996-08-08,0.315892966038,0.112013138591,0.104075603482,0.193020191954,0.726882383866,0.22381060391,0.200623851544,0.348635443427,20,113,232,440,27,13,447,888,1408,25,26,1526,2224,3716,13,2429,25672,28572,58761,2273
1996-08-08,1996-04-26,1996-11-07,0.143736973176,0.0999266309571,0.188709287038,0.595077708279,0.261757059972,0.190468429102,0.342937321067,0.873743622496,113,232,440,27,24,447,888,1408,25,30,1526,2224,3716,13,26,25672,28572,58761,2273,2884
1996-11-07,1996-08-08,1997-03-28,0.414690476085,0.336090355385,0.149389416624,0.158919579667,0.701895390132,0.59320618926,0.316302068509,0.31324647013,232,440,27,24,128,888,1408,25,30,214,2224,3716,13,26,925,28572,58761,2273,2884,13761
1997-03-28,1996-11-07,1997-05-02,0.664655628867,0.227707444904,0.239555692911,0.234839206953,0.854230734137,0.422070564859,0.43336126121,0.480275104014,440,27,24,128,355,1408,25,30,214,1106,3716,13,26,925,3064,58761,2273,2884,13761,51724
1997-05-02,1997-03-28,1997-08-06,0.168821940474,0.17754670527,0.252886009248,0.574820176609,0.315695059071,0.318275535571,0.513857750785,0.823798912325,27,24,128,355,183,25,30,214,1106,548,13,26,925,3064,1612,2273,2884,13761,51724,20913
1997-08-06,1997-05-02,1997-11-13,0.396031205587,0.196753081977,0.515405296884,0.544579235515,0.671243683434,0.407765125151,0.717436052981,0.691107516687,24,128,355,183,48,30,214,1106,548,98,26,925,3064,1612,270,2884,13761,51724,20913,6559
