filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-04-13,1999-01-13,1999-08-16,0.229530358601,0.239014817174,0.615549552573,0.180660316167,0.424835207012,0.471737685645,0.845928748912,0.352499608867,266,353,30,319,44,624,588,69,858,121,1292,1017,50,1797,63,21531,30290,3725,29057,5162
1999-08-16,1999-04-13,1999-10-13,0.719099200467,0.289964224617,0.121407279275,0.302092880276,0.832830737175,0.535520113437,0.307482802248,0.527711201974,353,30,319,44,326,588,69,858,121,288,1017,50,1797,63,462,30290,3725,29057,5162,21966
1999-10-13,1999-08-16,2000-01-14,0.590009926858,0.131517945015,0.569458524064,0.323819725363,0.845301036273,0.311904233968,0.779495310556,0.574625611148,30,319,44,326,32,69,858,121,288,88,50,1797,63,462,66,3725,29057,5162,21966,3854
2000-01-14,1999-10-13,2000-04-13,0.240321959638,0.317117900263,0.247233606726,0.382432506954,0.458968066381,0.54777227919,0.51136644683,0.608212652466,319,44,326,32,75,858,121,288,88,156,1797,63,462,66,333,29057,5162,21966,3854,7266
2000-04-13,2000-01-14,2000-08-02,0.344962414478,0.229406209413,0.323129364271,0.827739848531,0.58312123811,0.494868414684,0.578214000843,0.911015649768,44,326,32,75,86,121,288,88,156,119,63,462,66,333,282,5162,21966,3854,7266,6793
2000-08-02,2000-04-13,2000-10-11,0.466275562264,0.216075836998,0.460294412447,0.485426217742,0.676878628265,0.418879772797,0.65333432496,0.662388697719,326,32,75,86,576,288,88,156,119,667,462,66,333,282,1360,21966,3854,7266,6793,34678
2000-10-11,2000-08-02,2001-01-12,0.402957964342,0.415607106349,0.314218829278,0.279747195954,0.71612408579,0.634769270861,0.567562396087,0.495574317299,32,75,86,576,36,88,156,119,667,34,66,333,282,1360,60,3854,7266,6793,34678,3871
2001-01-12,2000-10-11,2001-04-13,0.335768626406,0.302241445375,0.268616090095,0.510403265967,0.615584719751,0.578508292747,0.493668034514,0.783149939141,75,86,576,36,41,156,119,667,34,46,333,282,1360,60,57,7266,6793,34678,3871,4166
2001-04-13,2001-01-12,2001-07-24,0.389373867043,0.238113917573,0.457267600848,0.525700956639,0.63128312244,0.425784424105,0.728491105686,0.780442622729,86,576,36,41,47,119,667,34,46,53,282,1360,60,57,29,6793,34678,3871,4166,4486
2001-07-24,2001-04-13,2001-10-15,0.710643493648,0.394758721238,0.311612939647,0.316462983768,0.859189205523,0.599126628098,0.567756469718,0.525030201736,576,36,41,47,333,667,34,46,53,343,1360,60,57,29,682,34678,3871,4166,4486,25065
2001-10-15,2001-07-24,2002-01-14,0.226144430986,0.115049929475,0.0982431568936,0.227176529407,0.361918339415,0.276675760791,0.233648066263,0.383091893956,36,41,47,333,448,34,46,53,343,1111,60,57,29,682,2825,3871,4166,4486,25065,40869
2002-01-14,2001-10-15,2002-04-12,0.50049807503,0.408084204701,0.313482183813,0.121803650044,0.817006878526,0.709654136605,0.563462738595,0.251605110129,41,47,333,448,65,46,53,343,1111,103,57,29,682,2825,53,4166,4486,25065,40869,5349
2002-04-12,2002-01-14,2002-07-19,0.465426306612,0.324442627712,0.130207069003,0.648091393503,0.781638972695,0.592893530756,0.28168970388,0.862279179057,47,333,448,65,63,53,343,1111,103,101,29,682,2825,53,106,4486,25065,40869,5349,6047
2002-07-19,2002-04-12,2002-07-22,0.757231877444,0.146147974198,0.415430899673,0.442814718308,0.895546553193,0.300160324603,0.656528304929,0.689869077075,333,448,65,63,380,343,1111,103,101,362,682,2825,53,106,531,25065,40869,5349,6047,27062
2002-07-22,2002-07-19,2002-10-11,0.060650548984,0.115805256278,0.116517849846,0.176644167321,0.168671036453,0.261235403465,0.268844874034,0.295729861376,448,65,63,380,4,1111,103,101,362,3,2825,53,106,531,14,40869,5349,6047,27062,473
2002-10-11,2002-07-22,2003-01-13,0.122157871494,0.151168744483,0.189525163816,0.0852052000887,0.27201841968,0.326080387367,0.366578267776,0.227038430231,65,63,380,4,449,103,101,362,3,1727,53,106,531,14,2764,5349,6047,27062,473,57224
2003-01-13,2002-10-11,2003-03-21,0.339972558372,0.342808549431,0.110141733096,0.163461987274,0.671252095612,0.629875794113,0.292707966954,0.378225113993,63,380,4,449,90,101,362,3,1727,157,106,531,14,2764,159,6047,27062,473,57224,9479
2003-03-21,2003-01-13,2003-07-17,0.405586434994,0.138893049347,0.231194421502,0.439899088755,0.682803425183,0.311992821738,0.443553567338,0.736619190222,380,4,449,90,86,362,3,1727,157,206,531,14,2764,159,169,27062,473,57224,9479,9344
2003-07-17,2003-03-21,2003-09-19,0.158643566664,0.203497669942,0.379930427758,0.425902802419,0.287968520668,0.403145294246,0.644235316855,0.691979652948,4,449,90,86,654,3,1727,157,206,534,14,2764,159,169,872,473,57224,9479,9344,35242
2003-09-19,2003-07-17,2003-12-19,0.15828848259,0.396164566683,0.536676131098,0.429818509273,0.322199985955,0.709880127944,0.794967518815,0.657372465204,449,90,86,654,78,1727,157,206,534,93,2764,159,169,872,80,57224,9479,9344,35242,6664
2003-12-19,2003-09-19,2004-03-18,0.379253995585,0.444730303477,0.398269679418,0.613351701827,0.718582704479,0.747625827773,0.667960360934,0.81823054014,90,86,654,78,123,157,206,534,93,130,159,169,872,80,245,9479,9344,35242,6664,9644
2004-03-18,2003-12-19,2004-07-16,0.481899343192,0.346746817143,0.490538126635,0.570130530843,0.764572932973,0.618575577119,0.740634376579,0.812163749857,86,654,78,123,103,206,534,93,130,145,169,872,80,245,396,9344,35242,6664,9644,11485
2004-07-16,2004-03-18,2004-07-21,0.778691440984,0.484292046418,0.447176098614,0.416660940755,0.926105928892,0.715552270498,0.699300762175,0.668086577082,654,78,123,103,506,534,93,130,145,341,872,80,245,396,619,35242,6664,9644,11485,29244
2004-07-21,2004-07-16,2004-09-24,0.530179299891,0.443618347546,0.411172555484,0.645029243993,0.742732767048,0.673649785432,0.647298672761,0.780684193948,78,123,103,506,101,93,130,145,341,125,80,245,396,619,115,6664,9644,11485,29244,8049
