filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-03-29,1998-11-13,1999-05-14,0.688753823985,0.390435456688,0.388560417694,0.396021939768,0.824714444627,0.597846398301,0.578284536785,0.605101142598,388,24,35,90,479,480,58,109,225,1023,992,67,74,93,2863,40355,6429,7645,10619,74328
1999-05-14,1999-03-29,1999-08-13,0.607323693796,0.541603347123,0.623439312252,0.394385704105,0.885107623004,0.826973003518,0.873779254797,0.601157996332,24,35,90,479,48,58,109,225,1023,126,67,74,93,2863,75,6429,7645,10619,74328,7449
1999-08-13,1999-05-14,1999-11-12,0.571968336719,0.593994282559,0.371050147272,0.735368122287,0.860202741338,0.864311266205,0.584771855741,0.89242168175,35,90,479,48,83,109,225,1023,126,199,74,93,2863,75,167,7645,10619,74328,7449,9913
1999-11-12,1999-08-13,2000-03-29,0.611117970306,0.38383246468,0.69536527314,0.734392118687,0.890767328453,0.605013440041,0.889967969819,0.907542457531,90,479,48,83,77,225,1023,126,199,269,93,2863,75,167,181,10619,74328,7449,9913,10790
2000-03-29,1999-11-12,2000-04-28,0.889118851246,0.370915679898,0.360893057477,0.407330235588,0.961368497901,0.613398697438,0.598772974071,0.635679591818,479,48,83,77,575,1023,126,199,269,1119,2863,75,167,181,2741,74328,7449,9913,10790,70619
2000-04-28,2000-03-29,2000-05-12,0.158081087982,0.139443019974,0.142841659458,0.265593455696,0.318558930055,0.290496399585,0.288588647558,0.403209607674,48,83,77,575,3,126,199,269,1119,2,75,167,181,2741,16,7449,9913,10790,70619,1117
2000-05-12,2000-04-28,2000-08-14,0.487433482133,0.530189861261,0.419160949585,0.165667136782,0.785695534311,0.820677245591,0.629240643344,0.304538317199,83,77,575,3,44,199,269,1119,2,94,167,181,2741,16,125,9913,10790,70619,1117,8100
2000-08-14,2000-05-12,2000-11-14,0.530628190366,0.408263697722,0.156742956436,0.680800506015,0.829011188724,0.615648437201,0.289637313705,0.888900384772,77,575,3,44,54,269,1119,2,94,105,181,2741,16,125,187,10790,70619,1117,8100,8621
2000-11-14,2000-08-14,2001-03-28,0.432234705234,0.163713106453,0.699622286618,0.748785301484,0.622245634092,0.286873477585,0.887202997947,0.911365375122,575,3,44,54,57,1119,2,94,105,79,2741,16,125,187,99,70619,1117,8100,8621,8106
2001-03-28,2000-11-14,2001-04-16,0.259927832694,0.394725475614,0.392995578952,0.415072281069,0.401043144546,0.613015743301,0.599962425727,0.603183043809,3,44,54,57,437,2,94,105,79,962,16,125,187,99,2431,1117,8100,8621,8106,63664
2001-04-16,2001-03-28,2001-05-15,0.395988415337,0.394261432358,0.416317986773,0.999111699995,0.614444923607,0.601408400109,0.604464389279,0.99965322761,44,54,57,437,437,94,105,79,962,962,125,187,99,2431,2432,8100,8621,8106,63664,63574
2001-05-15,2001-04-16,2001-08-10,0.613866022947,0.666299919821,0.401439229208,0.402764646046,0.854171592436,0.869864061019,0.603037451562,0.604520631837,54,57,437,437,49,105,79,962,962,95,187,99,2431,2432,138,8621,8106,63664,63574,8717
2001-08-10,2001-05-15,2001-11-13,0.627767896288,0.362682041813,0.363875109173,0.713411278566,0.846168199276,0.563297754588,0.564766370921,0.879176748958,57,437,437,49,53,79,962,962,95,131,99,2431,2432,138,130,8106,63664,63574,8717,10186
2001-11-13,2001-08-10,2002-04-01,0.375940264985,0.377084122552,0.708272018284,0.742251303975,0.576934237264,0.578276683378,0.889840506947,0.894274988542,437,437,49,53,72,962,962,95,131,179,2431,2432,138,130,139,63664,63574,8717,10186,11163
2002-04-01,2001-11-13,2002-05-15,0.778423332498,0.419509360076,0.385717900539,0.40857487972,0.899990152272,0.607703842931,0.570483558228,0.588928870673,437,49,53,72,1022,962,95,131,179,2593,2432,138,130,139,5730,63574,8717,10186,11163,135358
