filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-02-27,1995-10-23,1996-04-22,0.810308620869,0.279061385377,0.286655995351,0.286306927605,0.957732360176,0.509236198407,0.489758931072,0.481364403512,61,5,6,5,78,42,2,5,5,63,69,5,5,5,69,5796,1043,1172,1134,6414
1996-04-22,1996-02-27,1996-07-22,0.858934019745,0.604858851496,0.635701288708,0.291600914114,0.97244488745,0.842841138801,0.861598688571,0.511676624552,5,6,5,78,5,2,5,5,63,4,5,5,5,69,5,1043,1172,1134,6414,996
1996-07-22,1996-04-22,1996-10-21,0.87611049121,0.717927042416,0.265990689955,0.655145711236,0.968109629691,0.890615049077,0.470507692486,0.865486115636,6,5,78,5,6,5,5,63,4,3,5,5,69,5,7,1172,1134,6414,996,1070
1996-10-21,1996-07-22,1997-02-18,0.848092649513,0.265224987257,0.671791340499,0.776892576991,0.962821184149,0.475217454749,0.880095332175,0.910022891893,5,78,5,6,7,5,63,4,3,3,5,69,5,7,5,1134,6414,996,1070,1081
1997-02-18,1996-10-21,1997-04-22,0.910981361842,0.286505291384,0.267921378548,0.266958438325,0.982319689096,0.506938840127,0.466404099429,0.472081037376,78,5,6,7,77,63,4,3,3,58,69,5,7,5,74,6414,996,1070,1081,6369
1997-04-22,1997-02-18,1997-07-22,0.786169960803,0.588501892085,0.611500842274,0.275182449379,0.953564404639,0.844777794926,0.861716791899,0.520576208442,5,6,7,77,4,4,3,3,58,6,5,7,5,74,7,996,1070,1081,6369,1097
1997-07-22,1997-04-22,1997-10-21,0.762811727648,0.624597209017,0.269560190199,0.647034272293,0.933474647437,0.8588595472,0.495531464239,0.851364450795,6,7,77,4,5,3,3,58,6,9,7,5,74,7,7,1070,1081,6369,1097,1281
1997-10-21,1997-07-22,1998-02-20,0.789206096915,0.285665518927,0.646194977399,0.78883296147,0.937801640167,0.504356220867,0.863220922561,0.906592913916,7,77,4,5,5,3,58,6,9,8,5,74,7,7,7,1081,6369,1097,1281,1194
1998-02-20,1997-10-21,1998-04-21,0.808580567532,0.301593140787,0.303207707774,0.31770026026,0.952301690791,0.540325512143,0.51890133234,0.527707684682,77,4,5,5,89,58,6,9,8,70,74,7,7,7,65,6369,1097,1281,1194,6969
1998-04-21,1998-02-20,1998-07-21,0.664466455221,0.534801529201,0.606150171571,0.32978108078,0.897308158729,0.806398295976,0.846039369729,0.563744372437,4,5,5,89,6,6,9,8,70,5,7,7,7,65,5,1097,1281,1194,6969,1152
1998-07-21,1998-04-21,1998-10-20,0.742149133915,0.652318682345,0.316098215394,0.631387977522,0.927512747689,0.874031316642,0.522007556602,0.86265877386,5,5,89,6,5,9,8,70,5,6,7,7,65,5,5,1281,1194,6969,1152,1149
1998-10-20,1998-07-21,1999-02-23,0.706798950982,0.311033966257,0.577088539445,0.669277832323,0.911884095651,0.56387348023,0.84963042582,0.879763117938,5,89,6,5,8,8,70,5,6,13,7,65,5,5,5,1194,6969,1152,1149,1332
1999-02-23,1998-10-20,1999-04-20,0.834735899507,0.346667762277,0.314165473501,0.373559642681,0.96412783424,0.560063440499,0.51172496778,0.574408498886,89,6,5,8,63,70,5,6,13,55,65,5,5,5,67,6969,1152,1149,1332,6598
1999-04-20,1999-02-23,1999-07-20,0.692031524827,0.543947687712,0.613525226598,0.42472148782,0.902967212854,0.817035048045,0.863100773434,0.656418410317,6,5,8,63,9,5,6,13,55,11,5,5,5,67,6,1152,1149,1332,6598,1385
1999-07-20,1999-04-20,1999-10-19,0.714855521679,0.638063504525,0.428023757535,0.75079700087,0.907237793088,0.873113022123,0.639387065018,0.894462532421,5,8,63,9,8,6,13,55,11,10,5,5,67,6,5,1149,1332,6598,1385,1384
1999-10-19,1999-07-20,2000-02-28,0.705665346249,0.425655325351,0.725332301562,0.816442604927,0.919577089414,0.65012196257,0.89426887223,0.929463853938,8,63,9,8,7,13,55,11,10,11,5,67,6,5,5,1332,6598,1385,1384,1432
2000-02-28,1999-10-19,2000-04-25,0.514875420603,0.251303930051,0.250180459577,0.259532928821,0.721470995178,0.505035906929,0.485776106266,0.507011632895,63,9,8,7,99,55,11,10,11,155,67,6,5,5,448,6598,1385,1384,1432,12122
2000-04-25,2000-02-28,2000-07-25,0.573262945808,0.524631087979,0.530202466045,0.292046624126,0.856823942006,0.813828621706,0.820470828105,0.520457346374,9,8,7,99,9,11,10,11,155,3,6,5,5,448,9,1385,1384,1432,12122,1377
2000-07-25,2000-04-25,2000-10-24,0.658512545991,0.528405646342,0.235618390407,0.634910171416,0.872708674201,0.807080582976,0.435516207973,0.845920201398,8,7,99,9,12,10,11,155,3,4,5,5,448,9,6,1384,1432,12122,1377,1432
2000-10-24,2000-07-25,2001-02-27,0.653613208546,0.252858326696,0.711903008331,0.784505989476,0.880101288313,0.451916814446,0.887085651996,0.912673035455,7,99,9,12,11,11,155,3,4,3,5,448,9,6,6,1432,12122,1377,1432,1333
2001-02-27,2000-10-24,2001-04-24,0.58953591197,0.401914223636,0.34883690257,0.367586560459,0.793678165441,0.638997504351,0.551189012443,0.567199079899,99,9,12,11,101,155,3,4,3,99,448,9,6,6,154,12122,1377,1432,1333,8652
2001-04-24,2001-02-27,2001-07-24,0.723697330807,0.580436672823,0.650471712797,0.389018527822,0.916696217164,0.816722646108,0.854412386733,0.649492746437,9,12,11,101,16,3,4,3,99,11,9,6,6,154,13,1377,1432,1333,8652,1455
2001-07-24,2001-04-24,2001-10-23,0.79175180318,0.649851715015,0.346061739374,0.670553867458,0.930873521673,0.858104486173,0.556515527861,0.855167521247,12,11,101,16,20,4,3,99,11,12,6,6,154,13,9,1432,1333,8652,1455,1516
2001-10-23,2001-07-24,2002-02-27,0.730224340001,0.356932208638,0.688410537203,0.822317904441,0.901562709529,0.580144807688,0.873269892357,0.935184216164,11,101,16,20,17,3,99,11,12,12,6,154,13,9,9,1333,8652,1455,1516,1494
2002-02-27,2001-10-23,2002-04-23,0.489031118092,0.24908471779,0.221688217271,0.234409992327,0.681860376796,0.452291638439,0.378770259807,0.400260838517,101,16,20,17,254,99,11,12,12,511,154,13,9,9,698,8652,1455,1516,1494,17413
