filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-03,1994-11-03,1995-05-12,0.84157240175,0.496636410614,0.529377689157,0.518522189954,0.958512748608,0.722150009217,0.730293690779,0.7412847714,103,19,14,13,109,139,15,15,23,162,81,5,7,8,94,10311,1576,1604,1797,9543
1995-05-12,1995-03-03,1995-08-14,0.774688350277,0.688868791302,0.676252749827,0.518567349555,0.932757464785,0.860129401471,0.873464357532,0.741913338004,19,14,13,109,9,15,15,23,162,27,5,7,8,94,12,1576,1604,1797,9543,1601
1995-08-14,1995-05-12,1995-11-14,0.857756523794,0.699892639281,0.520972450228,0.72527230817,0.972987904039,0.89540031805,0.731589721064,0.874697660799,14,13,109,9,11,15,23,162,27,20,7,8,94,12,7,1604,1797,9543,1601,1638
1995-11-14,1995-08-14,1996-02-28,0.78378645414,0.506176823868,0.682396964322,0.732538178367,0.950591125893,0.741831839656,0.873349038313,0.89413475176,13,109,9,11,15,23,162,27,20,20,8,94,12,7,9,1797,9543,1601,1638,1814
1996-02-28,1995-11-14,1996-05-10,0.904443513375,0.503291821488,0.505035073363,0.507675994491,0.980785984823,0.729798490981,0.718080201273,0.736473533393,109,9,11,15,126,162,27,20,20,156,94,12,7,9,97,9543,1601,1638,1814,9896
1996-05-10,1996-02-28,1996-08-13,0.713312050855,0.606615553356,0.610133480605,0.478673648796,0.920889471807,0.843195453067,0.860550799862,0.722456129819,9,11,15,126,17,27,20,20,156,14,12,7,9,97,12,1601,1638,1814,9896,1992
1996-08-13,1996-05-10,1996-11-14,0.757310464246,0.636300006017,0.514658987449,0.692898275298,0.937904966158,0.865230125436,0.730818980302,0.883276710641,11,15,126,17,16,20,20,156,14,15,7,9,97,12,13,1638,1814,9896,1992,2061
1996-11-14,1996-08-13,1997-03-04,0.750748225326,0.505564588965,0.691640311334,0.780679915002,0.942423874774,0.730189581692,0.902839851527,0.921813746398,15,126,17,16,15,20,156,14,15,16,9,97,12,13,8,1814,9896,1992,2061,1951
1997-03-04,1996-11-14,1997-05-14,0.81529804227,0.427095916862,0.449581362483,0.450099422229,0.94815946906,0.69037666345,0.689980877622,0.691196951895,126,17,16,15,261,156,14,15,16,185,97,12,13,8,115,9896,1992,2061,1951,14549
1997-05-14,1997-03-04,1997-08-14,0.701246577976,0.629365629643,0.648087774548,0.430833054951,0.932850530744,0.857001090967,0.880301630883,0.675547892336,17,16,15,261,14,14,15,16,185,10,12,13,8,115,12,1992,2061,1951,14549,1756
1997-08-14,1997-05-14,1997-11-14,0.756946434733,0.676512845822,0.432231754044,0.718076131327,0.945214714317,0.894070772139,0.66842532092,0.875999985963,16,15,261,14,17,15,16,185,10,12,13,8,115,12,9,2061,1951,14549,1756,1886
1997-11-14,1997-08-14,1998-03-12,0.692935671519,0.429637367218,0.672712958548,0.731872994477,0.909692064705,0.663500484605,0.859815487154,0.873259108009,15,261,14,17,20,16,185,10,12,14,8,115,12,9,8,1951,14549,1756,1886,1882
1998-03-12,1997-11-14,1998-05-15,0.813556459407,0.468805272292,0.482992239538,0.47926311332,0.953925631996,0.70079039279,0.699538991315,0.691931326736,261,14,17,20,137,185,10,12,14,158,115,12,9,8,111,14549,1756,1886,1882,11880
1998-05-15,1998-03-12,1998-08-14,0.572905206255,0.513921899253,0.551544338089,0.437759498085,0.848222744198,0.774456244802,0.807814821828,0.674254919004,14,17,20,137,28,10,12,14,158,27,12,9,8,111,13,1756,1886,1882,11880,2484
1998-08-14,1998-05-15,1998-11-13,0.571494971418,0.54090036081,0.446728136078,0.617238325191,0.832735639171,0.810298768898,0.678505599327,0.857265986565,17,20,137,28,30,12,14,158,27,20,9,8,111,13,11,1886,1882,11880,2484,2643
1998-11-13,1998-08-14,1999-02-16,0.597816428691,0.438211157144,0.594856604519,0.782915965287,0.85688181044,0.677639051747,0.85544524573,0.913475613775,20,137,28,30,34,14,158,27,20,28,8,111,13,11,12,1882,11880,2484,2643,2741
1999-02-16,1998-11-13,1999-02-17,0.853962078426,0.462632633073,0.50644241489,0.508588058222,0.962909470116,0.690048998149,0.706553345769,0.707130905988,137,28,30,34,147,158,27,20,28,214,111,13,11,12,112,11880,2484,2643,2741,13637
1999-02-17,1999-02-16,1999-03-30,0.461037842068,0.505891041783,0.508185879868,0.998703771564,0.689813260273,0.705964766079,0.706607940882,0.999855570245,28,30,34,147,147,27,20,28,214,214,13,11,12,112,113,2484,2643,2741,13637,13636
1999-03-30,1999-02-17,1999-05-14,0.248102739253,0.243186438197,0.587155090337,0.586721769899,0.442310729792,0.439429308285,0.70929861085,0.70928824869,30,34,147,147,13,20,28,214,214,39,11,12,112,113,25,2643,2741,13637,13636,2075
1999-05-14,1999-03-30,1999-08-06,0.649367127363,0.479327688673,0.480254902796,0.233840852619,0.861605000776,0.689618457139,0.689934589602,0.43146345751,34,147,147,13,34,28,214,214,39,35,12,112,113,25,54,2741,13637,13636,2075,3258
1999-08-06,1999-05-14,1999-11-12,0.489554901405,0.489139407542,0.246127822796,0.681244539815,0.699636043144,0.699122340306,0.453040113167,0.863469404627,147,147,13,34,40,214,214,39,35,58,112,113,25,54,17,13637,13636,2075,3258,3464
1999-11-12,1999-08-06,2000-03-30,0.49719237401,0.244306258937,0.676474997475,0.839266213156,0.705062071629,0.446025757449,0.864069796106,0.93737907001,147,13,34,40,39,214,39,35,58,64,113,25,54,17,15,13636,2075,3258,3464,3513
2000-03-30,1999-11-12,2000-05-15,0.472705342765,0.432653030231,0.485242940293,0.492604821998,0.657166453514,0.677580590143,0.714002739451,0.718694728795,13,34,40,39,242,39,35,58,64,257,25,54,17,15,139,2075,3258,3464,3513,17428
