filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2001-11-14,2001-08-14,2002-03-21,0.329300508213,0.451629923757,0.512853030246,0.311924742327,0.590407909852,0.745212752702,0.761475883739,0.462092128936,158,17,21,84,34,331,65,47,154,121,409,27,25,491,24,16644,2356,2380,9259,3382
2002-03-21,2001-11-14,2002-05-15,0.344977417916,0.288472381346,0.64921940555,0.303804718227,0.571857802264,0.531631142242,0.772865817457,0.53833773636,17,21,84,34,340,65,47,154,121,663,27,25,491,24,1304,2356,2380,9259,3382,29502
2002-05-15,2002-03-21,2002-08-14,0.553623376647,0.245951282249,0.454358615012,0.311544549912,0.83258287189,0.427195400118,0.753298553067,0.524792229057,21,84,34,340,41,47,154,121,663,75,25,491,24,1304,28,2380,9259,3382,29502,2759
2002-08-14,2002-05-15,2002-11-14,0.303192444902,0.449452625989,0.320012951712,0.545081172953,0.47830249497,0.759627034615,0.551968865588,0.776362183896,84,34,340,41,49,154,121,663,75,202,491,24,1304,28,131,9259,3382,29502,2759,4352
2002-11-14,2002-08-14,2003-03-31,0.553181634838,0.323079810261,0.505281575851,0.605167321506,0.822593392968,0.556567183117,0.746268831023,0.814340173945,34,340,41,49,46,121,663,75,202,237,24,1304,28,131,137,3382,29502,2759,4352,5771
2003-03-31,2002-11-14,2003-05-15,0.818163176447,0.342853035207,0.378882296545,0.411521424264,0.953332089866,0.54464229634,0.592425513659,0.613825507143,340,41,49,46,359,663,75,202,237,886,1304,28,131,137,1197,29502,2759,4352,5771,33170
2003-05-15,2003-03-31,2003-08-14,0.53436644966,0.480485652067,0.550641834256,0.47250206012,0.765950830559,0.736432364299,0.793430802768,0.694205305896,41,49,46,359,51,75,202,237,886,192,28,131,137,1197,142,2759,4352,5771,33170,5823
2003-08-14,2003-05-15,2003-11-14,0.652077195134,0.520074486143,0.452780553812,0.729934233249,0.857936687791,0.787993939347,0.666900902741,0.87768506451,49,46,359,51,60,202,237,886,192,192,131,137,1197,142,160,4352,5771,33170,5823,6790
2003-11-14,2003-08-14,2004-03-15,0.658427991148,0.429829322712,0.685856493773,0.754354254552,0.878615337027,0.643461817346,0.854086505023,0.879843340534,46,359,51,60,57,237,886,192,192,210,137,1197,142,160,177,5771,33170,5823,6790,7053
2004-03-15,2003-11-14,2004-05-10,0.814581661329,0.530730099565,0.534785371058,0.514002270828,0.924346020854,0.75626997545,0.734472479168,0.706718633658,359,51,60,57,311,886,192,192,210,716,1197,142,160,177,849,33170,5823,6790,7053,27396
