filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-05-12,1995-02-24,1995-08-03,0.873713748043,0.804952553184,0.799268248491,0.542350113372,0.970775238092,0.927383325389,0.924843782055,0.770137426706,25,29,34,141,39,26,28,34,150,22,41,41,43,140,47,2138,2427,2500,8771,2098
1995-08-03,1995-05-12,1995-11-09,0.769290018376,0.712991467543,0.503751069724,0.833182141743,0.944866036376,0.906247071197,0.760106619488,0.93452640832,29,34,141,39,56,28,34,150,22,26,41,43,140,47,48,2427,2500,8771,2098,2630
1995-11-09,1995-08-03,1996-02-28,0.749840184332,0.490452684839,0.779762738861,0.808625534731,0.941673916284,0.760055794065,0.922859697677,0.934764294714,34,141,39,56,53,34,150,22,26,37,43,140,47,48,52,2500,8771,2098,2630,2710
1996-02-28,1995-11-09,1996-05-14,0.633952242003,0.361199707008,0.33974642001,0.339932103629,0.838110568476,0.615880480643,0.606500273208,0.609554786479,141,39,56,53,286,150,22,26,37,436,140,47,48,52,622,8771,2098,2630,2710,17595
1996-05-14,1996-02-28,1996-08-13,0.726791223494,0.64134385068,0.628051648583,0.443296248315,0.923471086199,0.868703571436,0.864890043657,0.677720649374,39,56,53,286,44,22,26,37,436,41,47,48,52,622,85,2098,2630,2710,17595,2877
1996-08-13,1996-05-14,1996-11-14,0.691519612101,0.631529073354,0.384384384809,0.685917766628,0.905097500617,0.868473065462,0.65300464242,0.878890734238,56,53,286,44,50,26,37,436,41,64,48,52,622,85,101,2630,2710,17595,2877,3426
1996-11-14,1996-08-13,1997-03-14,0.74040934636,0.370076015751,0.74549113977,0.817908684916,0.938120375948,0.61555202237,0.903671798673,0.920674811667,53,286,44,50,46,37,436,41,64,52,52,622,85,101,56,2710,17595,2877,3426,2839
1997-03-14,1996-11-14,1997-05-08,0.446467526476,0.25681560978,0.270857458029,0.233347044781,0.717288873386,0.495128163942,0.513608198138,0.445497837228,286,44,50,46,446,436,41,64,52,1132,622,85,101,56,2056,17595,2877,3426,2839,38222
1997-05-08,1997-03-14,1997-08-14,0.701313412894,0.659928803627,0.720520999316,0.231877012136,0.914118676031,0.877708059195,0.906957469396,0.446906809603,44,50,46,446,31,41,64,52,1132,42,85,101,56,2056,77,2877,3426,2839,38222,2680
1997-08-14,1997-05-08,1997-09-04,0.627293016164,0.62572258407,0.227564573358,0.683936400001,0.867678497624,0.854809154102,0.459523276714,0.870854341966,50,46,446,31,49,64,52,1132,42,62,101,56,2056,77,81,3426,2839,38222,2680,4201
1997-09-04,1997-08-14,1997-11-14,0.626841619028,0.229634855203,0.683978299748,0.99623348621,0.854914916092,0.463332655484,0.87026818968,0.998613764469,46,446,31,49,50,52,1132,42,62,68,56,2056,77,81,83,2839,38222,2680,4201,4307
