filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-08-12,1995-03-29,0.370858663361,0.037399506633,0.555272186016,0.755766119801,0.708711991706,0.152175480259,0.816427885035,0.89969515451,329,16,44,71,61,361,34,31,51,70,128,111,11,17,30,14283,1181,2414,3481,3779
1995-03-29,1994-11-14,1995-05-11,0.098520906571,0.24827056063,0.293980413718,0.30874658624,0.255043732352,0.487719495601,0.543264177352,0.548488599848,16,44,71,61,840,34,31,51,70,718,111,11,17,30,992,1181,2414,3481,3779,33880
1995-05-11,1995-03-29,1995-08-11,0.546252380923,0.444227214658,0.44768978815,0.262127505245,0.879137417799,0.77847030958,0.779932227627,0.502706714962,44,71,61,840,39,31,51,70,718,45,11,17,30,992,44,2414,3481,3779,33880,2842
1995-08-11,1995-05-11,1995-11-13,0.554485892007,0.506513218657,0.294244530281,0.586807416188,0.869791118342,0.819061048718,0.52933466819,0.844276472299,71,61,840,39,50,51,70,718,45,47,17,30,992,44,39,3481,3779,33880,2842,3724
1995-11-13,1995-08-11,1996-03-15,0.520755062931,0.306048143095,0.508006432126,0.630199765511,0.848720527932,0.547078839287,0.796405110874,0.860447083305,61,840,39,50,65,70,718,45,47,108,30,992,44,39,70,3779,33880,2842,3724,4734
1996-03-15,1995-11-13,1996-04-29,0.579460781102,0.334107232667,0.393605173071,0.468248725498,0.806286658971,0.625541478851,0.67619422171,0.723372156009,840,39,50,65,494,718,45,47,108,512,992,44,39,70,420,33880,2842,3724,4734,23016
1996-04-29,1996-03-15,1996-08-14,0.532880571716,0.518271637103,0.528262980338,0.398946967402,0.855052922537,0.819962974821,0.818983721804,0.670364387857,39,50,65,494,42,45,47,108,512,59,44,39,70,420,25,2842,3724,4734,23016,3538
1996-08-14,1996-04-29,1996-11-08,0.151509386206,0.145116410683,0.202370789863,0.164162682245,0.305574000105,0.31537263713,0.385730255224,0.330677502939,50,65,494,42,170,47,108,512,59,501,39,70,420,25,1235,3724,4734,23016,3538,19232
1996-11-08,1996-08-14,1997-03-26,0.637909639251,0.430487637121,0.572190524491,0.174438551681,0.898947492968,0.695218972521,0.83171918149,0.323165510516,65,494,42,170,61,108,512,59,501,92,70,420,25,1235,20,4734,23016,3538,19232,4253
1997-03-26,1996-11-08,1997-05-15,0.711147749555,0.40542114354,0.195324159387,0.475321674882,0.923606209545,0.691776427512,0.377207627047,0.728060476848,494,42,170,61,470,512,59,501,92,359,420,25,1235,20,296,23016,3538,19232,4253,20042
1997-05-15,1997-03-26,1997-08-05,0.38829792874,0.277112038898,0.350551149125,0.506175760667,0.593231816165,0.47769798369,0.550063116897,0.70185441683,42,170,61,470,72,59,501,92,359,183,25,1235,20,296,279,3538,19232,4253,20042,7809
1997-08-05,1997-05-15,1997-11-14,0.17465318182,0.57857966076,0.446666249849,0.413854391026,0.336154654806,0.846571945616,0.718473577508,0.571642941113,170,61,470,72,47,501,92,359,183,72,1235,20,296,279,23,19232,4253,20042,7809,4326
1997-11-14,1997-08-05,1998-03-18,0.646873410472,0.453346101136,0.399822884725,0.674832516248,0.907204636215,0.738385224326,0.595425498508,0.878774535862,61,470,72,47,38,92,359,183,72,95,20,296,279,23,33,4253,20042,7809,4326,4396
1998-03-18,1997-11-14,1998-05-13,0.463906570532,0.487019071855,0.238397599956,0.256171791978,0.672970849323,0.702779053547,0.429818201015,0.456509821799,470,72,47,38,889,359,183,72,95,1402,296,279,23,33,2297,20042,7809,4326,4396,48947
1998-05-13,1998-03-18,1998-08-13,0.393994374012,0.560042673256,0.627011804383,0.269329882019,0.6094092349,0.827677952362,0.860706703096,0.48330796007,72,47,38,889,23,183,72,95,1402,112,279,23,33,2297,61,7809,4326,4396,48947,3949
1998-08-13,1998-05-13,1998-10-30,0.616217765322,0.594108411614,0.266320931282,0.744544118281,0.881968992691,0.856758376803,0.477537239129,0.903458233867,47,38,889,23,32,72,95,1402,112,104,23,33,2297,61,64,4326,4396,48947,3949,4455
1998-10-30,1998-08-13,1999-03-25,0.584719347981,0.270395363664,0.652078972797,0.709329633169,0.871484875579,0.513271405501,0.879202950052,0.893018494442,38,889,23,32,52,95,1402,112,104,140,33,2297,61,64,93,4396,48947,3949,4455,5446
1999-03-25,1998-10-30,1999-05-17,0.403476980611,0.315213097432,0.317554929449,0.332467817758,0.663856657736,0.615332653664,0.609624700369,0.628557749939,889,23,32,52,511,1402,112,104,140,764,2297,61,64,93,1021,48947,3949,4455,5446,30689
1999-05-17,1999-03-25,1999-08-10,0.627534435962,0.570727342576,0.593812532785,0.340268852205,0.89373325998,0.845510092349,0.869815692936,0.627346162345,23,32,52,511,48,112,104,140,764,105,61,64,93,1021,68,3949,4455,5446,30689,4581
1999-08-10,1999-05-17,1999-11-15,0.654436900305,0.593131602817,0.342506319263,0.757284187726,0.909078468328,0.86887823727,0.622937689944,0.905048321095,32,52,511,48,55,104,140,764,105,130,64,93,1021,68,96,4455,5446,30689,4581,5785
1999-11-15,1999-08-10,2000-03-30,0.63200910722,0.350852121591,0.727228729841,0.802770491498,0.901452692212,0.632428579499,0.897430336804,0.925810511077,52,511,48,55,77,140,764,105,130,165,93,1021,68,96,101,5446,30689,4581,5785,6134
2000-03-30,1999-11-15,2000-05-11,0.269287089352,0.169583210349,0.170924559323,0.181006558268,0.487832707004,0.339062098155,0.333789293725,0.342140030261,511,48,55,77,1537,764,105,130,165,1491,1021,68,96,101,2409,30689,4581,5785,6134,66025
2000-05-11,2000-03-30,2000-08-14,0.645594171201,0.572910483979,0.570053220671,0.166415183449,0.904123642754,0.842636347189,0.841267965224,0.330765531854,48,55,77,1537,50,105,130,165,1491,75,68,96,101,2409,46,4581,5785,6134,66025,4283
2000-08-14,2000-05-11,2000-11-14,0.297569870625,0.272832950733,0.660080446726,0.287183836325,0.530647014166,0.510360268517,0.811940971254,0.501877512535,55,77,1537,50,208,130,165,1491,75,353,96,101,2409,46,303,5785,6134,66025,4283,13882
2000-11-14,2000-08-14,2001-03-29,0.389002823056,0.366078709187,0.348696884335,0.336034996496,0.701146082407,0.581998657868,0.649845914982,0.625247524435,77,1537,50,208,223,165,1491,75,353,354,101,2409,46,303,480,6134,66025,4283,13882,12404
2001-03-29,2000-11-14,2001-05-15,0.472476931751,0.41075943451,0.441629725138,0.385131875397,0.662184769187,0.688882346787,0.713459035519,0.707682909903,1537,50,208,223,547,1491,75,353,354,706,2409,46,303,480,727,66025,4283,13882,12404,29495
2001-05-15,2001-03-29,2001-05-16,0.629724927142,0.248796162745,0.320331135195,0.440986144917,0.890984393464,0.483669287115,0.629183464614,0.704002677998,50,208,223,547,73,75,353,354,706,139,46,303,480,727,43,4283,13882,12404,29495,5526
2001-05-16,2001-05-15,2001-08-14,0.121230503883,0.148746113577,0.212569117146,0.331962526893,0.279382633842,0.33545842617,0.411366798468,0.471554942359,208,223,547,73,3,353,354,706,139,8,303,480,727,43,10,13882,12404,29495,5526,426
2001-08-14,2001-05-16,2001-11-07,0.460254654792,0.537057291881,0.41584636517,0.184311809294,0.738870026759,0.806047153157,0.645466691359,0.351005143424,223,547,73,3,252,354,706,139,8,367,480,727,43,10,354,12404,29495,5526,426,12321
2001-11-07,2001-08-14,2002-03-11,0.397796954604,0.167581938839,0.0864811582727,0.412551787971,0.610374144451,0.330488562021,0.217783256158,0.646194706161,547,73,3,252,578,706,139,8,367,1413,727,43,10,354,2262,29495,5526,426,12321,50084
2002-03-11,2001-11-07,2002-05-15,0.266406300888,0.125015213918,0.342815578118,0.335532356656,0.525702723355,0.317292406281,0.624065011386,0.587977864175,73,3,252,578,746,139,8,367,1413,1900,43,10,354,2262,2817,5526,426,12321,50084,56804
2002-05-15,2002-03-11,2002-08-14,0.0984988140714,0.220044019912,0.22722613602,0.366450252226,0.27502657621,0.465666804876,0.445010617068,0.647070422564,3,252,578,746,135,8,367,1413,1900,464,10,354,2262,2817,966,426,12321,50084,56804,17200
2002-08-14,2002-05-15,2002-11-14,0.373717885785,0.139334067073,0.27336781734,0.253276799989,0.62137886919,0.281558135138,0.495368156883,0.468902683392,252,578,746,135,43,367,1413,1900,464,293,354,2262,2817,966,91,12321,50084,56804,17200,7799
2002-11-14,2002-08-14,2003-03-11,0.374645539035,0.390329699408,0.55753127406,0.157410804394,0.551599653509,0.640779271503,0.747872385075,0.296691844544,578,746,135,43,791,1413,1900,464,293,2755,2262,2817,966,91,6726,50084,56804,17200,7799,99725
2003-03-11,2002-11-14,2003-05-13,0.457676432487,0.271088644996,0.556040388774,0.22374100913,0.670944559254,0.492467411641,0.764432633901,0.371251785733,746,135,43,791,367,1900,464,293,2755,928,2817,966,91,6726,383,56804,17200,7799,99725,30886
