filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2006-02-09,2005-11-10,2006-05-11,0.592652193437,0.530564144433,0.457887976908,0.606960859187,0.762889598543,0.709473504946,0.626619265404,0.754071469632,160,129,432,135,266,590,433,997,598,798,472,357,771,400,1172,18292,14764,48526,15894,27922
2006-05-11,2006-02-09,2006-08-23,0.793342997903,0.549763450859,0.800704574003,0.60789226806,0.904844977701,0.688389401467,0.899481030955,0.744267779812,129,432,135,266,169,433,997,598,798,570,357,771,400,1172,373,14764,48526,15894,27922,17507
2006-08-23,2006-05-11,2006-11-09,0.960616089217,0.59557547128,0.485648847389,0.579251630998,0.98635148636,0.734436812944,0.641576635799,0.704209307955,432,135,266,169,442,997,598,798,570,1259,771,400,1172,373,974,48526,15894,27922,17507,52624
2006-11-09,2006-08-23,2007-02-07,0.828676731011,0.558005300255,0.774214929087,0.571265516529,0.941380570335,0.726177842046,0.886301382303,0.704524102021,135,266,169,442,149,598,798,570,1259,516,400,1172,373,974,413,15894,27922,17507,52624,15288
2007-02-07,2006-11-09,2007-05-09,0.640157552804,0.776132315374,0.549620768991,0.809214227618,0.770795551106,0.891952899047,0.687429815714,0.906927222844,266,169,442,149,159,798,570,1259,516,550,1172,373,974,413,388,27922,17507,52624,15288,15802
2007-05-09,2007-02-07,2007-08-23,0.641874405097,0.459884455805,0.605560028775,0.600437610902,0.780014377768,0.618778441901,0.755324530425,0.746430619619,169,442,149,159,274,570,1259,516,550,812,373,974,413,388,1292,17507,52624,15288,15802,28109
2007-08-23,2007-05-09,2007-11-08,0.829960830728,0.587321552801,0.567296046585,0.515338301796,0.927363800812,0.718826917039,0.69977565928,0.669254012176,442,149,159,274,500,1259,516,550,812,1408,974,413,388,1292,1469,52624,15288,15802,28109,60912
2007-11-08,2007-08-23,2008-02-06,0.834125186975,0.773420967932,0.582392615922,0.595619200402,0.948321308495,0.896481072801,0.737566474849,0.711609716668,149,159,274,500,122,516,550,812,1408,546,413,388,1292,1469,385,15288,15802,28109,60912,14479
2008-02-06,2007-11-08,2008-05-08,0.643007288136,0.866597752858,0.480916947297,0.599401925803,0.784257293459,0.927652904238,0.640091960479,0.749030675277,159,274,500,122,233,550,812,1408,546,781,388,1292,1469,385,1123,15802,28109,60912,14479,25260
2008-05-08,2008-02-06,2008-08-13,0.641088193325,0.574040814723,0.802573378051,0.612681813067,0.786770816185,0.698121729819,0.898690546977,0.755356886721,274,500,122,233,151,812,1408,546,781,636,1292,1469,385,1123,454,28109,60912,14479,25260,17427
2008-08-13,2008-05-08,2008-11-06,0.796940551193,0.546461058479,0.421242053875,0.548228840721,0.90669816988,0.672790349233,0.577525374074,0.666524657878,500,122,233,151,476,1408,546,781,636,1372,1469,385,1123,454,1136,60912,14479,25260,17427,55049
2008-11-06,2008-08-13,2009-02-06,0.861939276604,0.574985458991,0.791058580824,0.533993366291,0.94936613029,0.730502071521,0.88282269757,0.648671991368,122,233,151,476,106,546,781,636,1372,547,385,1123,454,1136,356,14479,25260,17427,55049,13537
2009-02-06,2008-11-06,2009-05-07,0.603915913621,0.684866042199,0.465974828204,0.714859731889,0.772479243805,0.83780393477,0.62252604823,0.843470533172,233,151,476,106,207,781,636,1372,547,893,1123,454,1136,356,844,25260,17427,55049,13537,21262
2009-05-07,2009-02-06,2009-08-12,0.618246584611,0.393031622569,0.561869717478,0.542599371162,0.759843657548,0.544672427184,0.707885819055,0.712771388772,151,476,106,207,266,636,1372,547,893,1016,454,1136,356,844,1239,17427,55049,13537,21262,29869
2009-08-12,2009-05-07,2009-11-05,0.973804946962,0.541008640405,0.494401158277,0.417303872025,0.990141969641,0.659871929238,0.645208525116,0.562773409481,476,106,207,266,425,1372,547,893,1016,1323,1136,356,844,1239,914,55049,13537,21262,29869,55674
2009-11-05,2009-08-12,2010-02-04,0.288544027692,0.245570931047,0.194383311939,0.19243949824,0.410394848569,0.379884022303,0.319423281991,0.30133858119,106,207,266,425,204,547,893,1016,1323,3752,356,844,1239,914,820,13537,21262,29869,55674,35222
2010-02-04,2009-11-05,2010-05-05,0.306808278753,0.21118606516,0.209724189284,0.963564490556,0.435059316946,0.344033378441,0.326931501938,0.974168281533,207,266,425,204,184,893,1016,1323,3752,3935,844,1239,914,820,858,21262,29869,55674,35222,36372
