filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-22,1994-11-10,1995-05-10,0.799692349002,0.33930438873,0.392046036931,0.278307212418,0.894860620918,0.59055369847,0.611715192235,0.489203662044,244,38,30,25,294,330,79,63,33,597,557,100,148,23,1344,15229,3463,4404,2849,23597
1995-05-10,1995-03-22,1995-08-11,0.439272813406,0.436395383244,0.498148673673,0.322474818858,0.765739489244,0.71886924793,0.77916106717,0.570914013632,38,30,25,294,31,79,63,33,597,72,100,148,23,1344,110,3463,4404,2849,23597,3519
1995-08-11,1995-05-10,1995-09-27,0.52051335879,0.621857582477,0.257969732085,0.599149867867,0.765351978832,0.859811166979,0.470493445846,0.806470850988,30,25,294,31,23,63,33,597,72,51,148,23,1344,110,25,4404,2849,23597,3519,2940
1995-09-27,1995-08-11,1995-11-13,0.120405775886,0.133312432411,0.122645424031,0.121399255794,0.265608670469,0.272374812485,0.298232101264,0.265980234413,25,294,31,23,7,33,597,72,51,2,23,1344,110,25,7,2849,23597,3519,2940,312
1995-11-13,1995-09-27,1996-03-15,0.280525575915,0.755703298344,0.385304746966,0.0804866503651,0.545583129203,0.862058311818,0.650585132479,0.228133648988,294,31,23,7,61,597,72,51,2,172,1344,110,25,7,247,23597,3519,2940,312,6186
1996-03-15,1995-11-13,1996-05-14,0.409337169336,0.494160786687,0.202667279749,0.320720227805,0.722830767303,0.757428889472,0.317035555559,0.610320218356,31,23,7,61,100,72,51,2,172,106,110,25,7,247,102,3519,2940,312,6186,9329
1996-05-14,1996-03-15,1996-08-12,0.575704956553,0.141260922393,0.330707519898,0.489130547274,0.829808273854,0.299854401609,0.617519653234,0.740217922845,23,7,61,100,24,51,2,172,106,30,25,7,247,102,18,2940,312,6186,9329,2405
1996-08-12,1996-05-14,1996-11-06,0.121905098131,0.326300393177,0.473402125254,0.738111468947,0.258844531154,0.624753071212,0.727944618002,0.864980949167,7,61,100,24,27,2,172,106,30,48,7,247,102,18,18,312,6186,9329,2405,2967
1996-11-06,1996-08-12,1997-02-18,0.329274694748,0.410982243659,0.511453775675,0.57594561833,0.642972976056,0.706152579282,0.750672981434,0.785906452654,61,100,24,27,35,172,106,30,48,66,247,102,18,18,141,6186,9329,2405,2967,4610
1997-02-18,1996-11-06,1997-05-07,0.721537798611,0.370578088603,0.373598459513,0.407113425137,0.878030467321,0.647959121795,0.644038740897,0.677436999776,100,24,27,35,147,106,30,48,66,201,102,18,18,141,541,9329,2405,2967,4610,13709
1997-05-07,1997-02-18,1997-07-30,0.673731108182,0.542197341763,0.462867718244,0.38498202441,0.898608380843,0.811292497165,0.735270076844,0.669771531951,24,27,35,147,26,30,48,66,201,14,18,18,141,541,11,2405,2967,4610,13709,2673
1997-07-30,1997-05-07,1997-10-29,0.581220294901,0.423796169568,0.369186604539,0.716896500209,0.854055983372,0.720188678032,0.660333843674,0.875618785534,27,35,147,26,50,48,66,201,14,15,18,141,541,11,16,2967,4610,13709,2673,3358
1997-10-29,1997-07-30,1998-03-11,0.32539894369,0.293865588483,0.284843602344,0.277474588526,0.575049631426,0.544624951253,0.497010733319,0.483569765933,35,147,26,50,135,66,201,14,15,306,141,541,11,16,518,4610,13709,2673,3358,12689
1998-03-11,1997-10-29,1998-05-11,0.430311740779,0.204046593597,0.192450780091,0.422485667466,0.629664230219,0.40317826684,0.382206984447,0.649357839638,147,26,50,135,508,201,14,15,306,2092,541,11,16,518,3822,13709,2673,3358,12689,58874
1998-05-11,1998-03-11,1998-08-12,0.654448755673,0.511291750383,0.233587851735,0.205397354729,0.904224741131,0.804852674823,0.480992054465,0.408071810328,26,50,135,508,29,14,15,306,2092,26,11,16,518,3822,11,2673,3358,12689,58874,3035
1998-08-12,1998-05-11,1998-11-10,0.55866629423,0.299289211158,0.325427313853,0.530115602463,0.817363427121,0.549896379984,0.516640289633,0.781691003854,50,135,508,29,57,15,306,2092,26,49,16,518,3822,11,147,3358,12689,58874,3035,5233
1998-11-10,1998-08-12,1999-03-19,0.219085870554,0.185086124752,0.579830020889,0.570413928897,0.464278597811,0.386494536456,0.847040207298,0.822454241082,135,508,29,57,40,306,2092,26,49,56,518,3822,11,147,24,12689,58874,3035,5233,3788
1999-03-19,1998-11-10,1999-04-28,0.736122357428,0.213008821344,0.324698701898,0.217594079039,0.858535857998,0.436737089047,0.536612082949,0.425502249834,508,29,57,40,324,2092,26,49,56,1065,3822,11,147,24,1896,58874,3035,5233,3788,38219
1999-04-28,1999-03-19,1999-07-29,0.297644531717,0.359718616317,0.280915716656,0.41595949682,0.52455822728,0.569511997221,0.49818354034,0.569776521011,29,57,40,324,82,26,49,56,1065,268,11,147,24,1896,455,3035,5233,3788,38219,7960
1999-07-29,1999-04-28,1999-11-03,0.464497104718,0.444014086325,0.199294644054,0.349981577538,0.75052858543,0.797363994848,0.386153323192,0.501972515589,57,40,324,82,24,49,56,1065,268,60,147,24,1896,455,14,5233,3788,38219,7960,3659
1999-11-03,1999-07-29,2000-03-21,0.411435882173,0.308299583459,0.649696496582,0.635523511652,0.730209792119,0.493003909484,0.769706792403,0.791070849889,40,324,82,24,50,56,1065,268,60,177,24,1896,455,14,231,3788,38219,7960,3659,5832
2000-03-21,1999-11-03,2000-05-04,0.470828883655,0.604930211123,0.330444857256,0.542269869515,0.654684103913,0.76613401023,0.569425452488,0.752749205079,324,82,24,50,217,1065,268,60,177,571,1896,455,14,231,927,38219,7960,3659,5832,21413
2000-05-04,2000-03-21,2000-07-26,0.442726032214,0.501126199018,0.50738550044,0.585547661511,0.627646147157,0.754309511639,0.748893041353,0.776492884679,82,24,50,217,23,268,60,177,571,67,455,14,231,927,102,7960,3659,5832,21413,3801
2000-07-26,2000-05-04,2000-11-03,0.475354499422,0.363731024521,0.304263617241,0.41194798467,0.769177200678,0.674619861347,0.59037920687,0.699663759225,24,50,217,23,68,60,177,571,67,178,14,231,927,102,231,3659,5832,21413,3801,6465
2000-11-03,2000-07-26,2001-03-15,0.545132524787,0.355760016616,0.583521816218,0.517006408868,0.789351621471,0.594247412381,0.791044609377,0.784903371226,50,217,23,68,41,177,571,67,178,34,231,927,102,231,12,5832,21413,3801,6465,4109
2001-03-15,2000-11-03,2001-05-08,0.630993790459,0.477679341326,0.323565871671,0.419425730807,0.85534913316,0.767172352345,0.645486014072,0.681331539984,217,23,68,41,187,571,67,178,34,311,927,102,231,12,631,21413,3801,6465,4109,17780
2001-05-08,2001-03-15,2001-08-10,0.543477896096,0.365026840214,0.595490641438,0.426132095244,0.821691814597,0.706328014385,0.860433234628,0.723409977868,23,68,41,187,33,67,178,34,311,59,102,231,12,631,27,3801,6465,4109,17780,3598
2001-08-10,2001-05-08,2001-11-02,0.289284608208,0.175928379345,0.252452372425,0.213456482746,0.510284911446,0.328745776061,0.407517915425,0.347700672816,68,41,187,33,433,178,34,311,59,625,231,12,631,27,1308,6465,4109,17780,3598,23562
2001-11-02,2001-08-10,2002-03-22,0.689759451577,0.414193794444,0.760186862516,0.224648330061,0.922545796331,0.681051006764,0.906543176287,0.350987837282,41,187,33,433,39,34,311,59,625,60,12,631,27,1308,34,4109,17780,3598,23562,4718
2002-03-22,2001-11-02,2002-05-02,0.632023767177,0.467555104123,0.319224762488,0.485457316327,0.887228601118,0.713734786645,0.45614667243,0.67870779753,187,33,433,39,307,311,59,625,60,781,631,27,1308,34,1145,17780,3598,23562,4718,27961
2002-05-02,2002-03-22,2002-08-12,0.531453580547,0.183897885849,0.509730898289,0.542666034325,0.831367713573,0.361522034239,0.773813044406,0.803888328251,33,433,39,307,66,59,625,60,781,257,27,1308,34,1145,230,3598,23562,4718,27961,6542
2002-08-12,2002-05-02,2002-10-30,0.314181858601,0.342331654999,0.619500225141,0.376580640049,0.469456356053,0.572466166756,0.825900442546,0.670276306663,433,39,307,66,148,625,60,781,257,646,1308,34,1145,230,972,23562,4718,27961,6542,17327
2002-10-30,2002-08-12,2003-03-26,0.652818500107,0.475431870788,0.528574683843,0.429821292954,0.88687907394,0.718444767203,0.808372050552,0.624253036083,39,307,66,148,81,60,781,257,646,202,34,1145,230,972,108,4718,27961,6542,17327,8944
2003-03-26,2002-10-30,2003-05-07,0.584257324045,0.385367023243,0.405702307049,0.517801541182,0.762209997425,0.653334228023,0.601474993103,0.716672187077,307,66,148,81,235,781,257,646,202,454,1145,230,972,108,504,27961,6542,17327,8944,24710
2003-05-07,2003-03-26,2003-07-30,0.367872114873,0.254779541627,0.52572137217,0.54002596974,0.624620469795,0.462169299671,0.727994315977,0.706494636147,66,148,81,235,52,257,646,202,454,174,230,972,108,504,42,6542,17327,8944,24710,7250
2003-07-30,2003-05-07,2003-11-03,0.268615390687,0.478543486798,0.482293466195,0.677649738002,0.464181884196,0.703517850803,0.655016409751,0.816535286752,148,81,235,52,86,646,202,454,174,187,972,108,504,42,45,17327,8944,24710,7250,9536
