filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-16,1994-08-10,1994-11-21,0.48901950075,0.125075769528,0.187328230473,0.844802219074,0.766923099484,0.313052712178,0.453264184681,0.96064629679,175,191,73,45,44,379,1082,89,144,148,615,1593,112,84,90,15072,21296,7586,3531,3673
1994-11-21,1994-11-16,1995-03-09,0.0337421225614,0.0813722753565,0.127097468149,0.136266029107,0.11262885656,0.192311023345,0.216649189362,0.226742151094,191,73,45,44,2,1082,89,144,148,0,1593,112,84,90,6,21296,7586,3531,3673,313
1995-03-09,1994-11-21,1995-05-15,0.269320906643,0.448700513743,0.449447785972,0.129854475641,0.577790677939,0.730396087883,0.730940861053,0.246375774567,73,45,44,2,130,89,144,148,0,278,112,84,90,6,557,7586,3531,3673,313,12839
1995-05-15,1995-03-09,1995-06-27,0.563497680678,0.564525576686,0.176506292217,0.4281743932,0.857372829111,0.866188950497,0.285470444928,0.695931949744,45,44,2,130,13,144,148,0,278,103,84,90,6,557,66,3531,3673,313,12839,2082
1995-06-27,1995-05-15,1995-08-15,0.178568712074,0.0834372766133,0.254313509199,0.157655013446,0.441257327327,0.197945332526,0.569136335549,0.41164543598,44,2,130,13,65,148,0,278,103,65,90,6,557,66,98,3673,313,12839,2082,7885
1995-08-15,1995-06-27,1995-11-03,0.142790684017,0.430297672658,0.750080052012,0.155828063915,0.239271031905,0.702027130059,0.915555735337,0.409403933393,2,130,13,65,21,0,278,103,65,124,6,557,66,98,75,313,12839,2082,7885,2661
1995-11-03,1995-08-15,1996-03-21,0.398557478137,0.659710693851,0.153072850657,0.740556823245,0.68543275203,0.883513505631,0.407767441291,0.91172098258,130,13,65,21,29,278,103,65,124,125,557,66,98,75,74,12839,2082,7885,2661,2870
1996-03-21,1995-11-03,1996-05-13,0.344881362624,0.213255074703,0.352474969378,0.380500713355,0.630819755567,0.508027194054,0.634834903371,0.647314586283,13,65,21,29,303,103,65,124,125,627,66,98,75,74,756,2082,7885,2661,2870,18400
1996-05-13,1996-03-21,1996-06-26,0.169584480943,0.561164148477,0.599836091276,0.392944897848,0.443547242313,0.859386342008,0.876677774004,0.681843280656,65,21,29,303,22,65,124,125,627,110,98,75,74,756,81,7885,2661,2870,18400,2710
1996-06-26,1996-05-13,1996-08-13,0.142906841148,0.144201107029,0.209528401835,0.159761995675,0.370658421895,0.375084636385,0.480492079324,0.405503435351,21,29,303,22,21,124,125,627,110,18,75,74,756,81,79,2661,2870,18400,2710,6853
1996-08-13,1996-06-26,1996-11-12,0.625143027281,0.384559047269,0.783166688135,0.14881877507,0.889411087472,0.668496170218,0.932995966368,0.383864832678,29,303,22,21,32,125,627,110,18,125,74,756,81,79,92,2870,18400,2710,6853,3178
1996-11-12,1996-08-13,1997-03-21,0.157372624167,0.248825309556,0.0951675445912,0.318153250818,0.313864904228,0.422936240091,0.251796163805,0.448271033104,303,22,21,32,5,627,110,18,125,4,756,81,79,92,8,18400,2710,6853,3178,326
1997-03-21,1996-11-12,1997-05-09,0.213883070555,0.14003817787,0.222799932206,0.109299112492,0.526682448344,0.442690790706,0.520163612006,0.290497680742,22,21,32,5,266,110,18,125,4,673,81,79,92,8,1404,2710,6853,3178,326,23527
1997-05-09,1997-03-21,1997-06-17,0.153631772343,0.510477211397,0.218156327965,0.235120484987,0.399374060661,0.825117394189,0.378047877979,0.531616366568,21,32,5,266,17,18,125,4,673,121,79,92,8,1404,125,6853,3178,326,23527,2819
1997-06-17,1997-05-09,1997-08-12,0.136155876995,0.0878485287329,0.134361482097,0.141279030825,0.347776088508,0.228900629472,0.424064117761,0.362215356009,32,5,266,17,27,125,4,673,121,19,92,8,1404,125,68,3178,326,23527,2819,7929
1997-08-12,1997-06-17,1997-11-05,0.228237949317,0.226951787547,0.749474892075,0.144275305234,0.389812453142,0.523623619518,0.928099777488,0.363310079487,5,266,17,27,16,4,673,121,19,123,8,1404,125,68,125,326,23527,2819,7929,2784
1997-11-05,1997-08-12,1998-03-18,0.223689226681,0.72074655386,0.14530844393,0.798026382577,0.523231164119,0.924616787519,0.364700261427,0.944103129701,266,17,27,16,21,673,121,19,123,119,1404,125,68,125,130,23527,2819,7929,2784,2881
1998-03-18,1997-11-05,1998-05-05,0.319624622271,0.179081696763,0.320806746973,0.34236664619,0.604007573787,0.441259353258,0.596452492198,0.608189706457,17,27,16,21,259,121,19,123,119,493,125,68,125,130,1070,2819,7929,2784,2881,20663
1998-05-05,1998-03-18,1998-06-26,0.144017646585,0.572095719222,0.636513002183,0.365317361043,0.365724315431,0.857833164573,0.87937749414,0.618199117683,27,16,21,259,19,19,123,119,493,123,68,125,130,1070,130,7929,2784,2881,20663,2806
1998-06-26,1998-05-05,1998-08-04,0.0905221525208,0.090139253887,0.115171127157,0.0923606866031,0.313667871323,0.310879405366,0.364147807919,0.31992010556,16,21,259,19,20,123,119,493,123,58,125,130,1070,130,69,2784,2881,20663,2806,5282
1998-08-04,1998-06-26,1998-11-10,0.576164483064,0.35115485737,0.748606540133,0.0904521741875,0.86823708308,0.608901862223,0.922563892896,0.310937414557,21,259,19,20,16,119,493,123,58,110,130,1070,130,69,110,2881,20663,2806,5282,3062
1998-11-10,1998-08-04,1999-03-18,0.342237110901,0.671895554116,0.0860901206619,0.804597370682,0.613642639908,0.900691233142,0.299891643263,0.941416023939,259,19,20,16,25,493,123,58,110,113,1070,130,69,110,119,20663,2806,5282,3062,3733
1999-03-18,1998-11-10,1999-05-18,0.152671684948,0.0522533943239,0.157126893667,0.166070154456,0.485011793487,0.280760604514,0.482904863423,0.500525577982,19,20,16,25,387,123,58,110,113,705,130,69,110,119,1475,2806,5282,3062,3733,30270
