filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-24,1994-11-03,1995-05-15,0.813950058833,0.397475981943,0.378765433768,0.40360278068,0.948565489392,0.650856134871,0.643457921092,0.65514746752,294,22,52,50,186,554,95,125,159,537,398,68,28,82,302,21959,2742,3545,3646,18293
1995-05-15,1995-03-24,1995-08-11,0.581425146566,0.454730736154,0.501729777626,0.399767437195,0.880791060477,0.809147067948,0.836116179785,0.636468982738,22,52,50,186,24,95,125,159,537,39,68,28,82,302,11,2742,3545,3646,18293,1951
1995-08-11,1995-05-15,1995-11-13,0.496763470718,0.491217662024,0.425000042361,0.615314119368,0.849712457368,0.844262876556,0.662952434038,0.878361600281,52,50,186,24,43,125,159,537,39,121,28,82,302,11,75,3545,3646,18293,1951,3104
1995-11-13,1995-08-11,1995-11-14,0.560779030422,0.421413235494,0.65874688247,0.728505527941,0.882486002119,0.657512290825,0.898461972695,0.926640766058,50,186,24,43,50,159,537,39,121,87,82,302,11,75,25,3646,18293,1951,3104,2905
1995-11-14,1995-11-13,1996-03-20,0.167825707542,0.316079295104,0.374585543743,0.421804006578,0.279839770743,0.413730263716,0.486759105658,0.503926121045,186,24,43,50,2,537,39,121,87,0,302,11,75,25,7,18293,1951,3104,2905,441
1996-03-20,1995-11-14,1996-05-14,0.39729733918,0.408549560129,0.427945819936,0.180266733692,0.64486467324,0.667747216433,0.668869716771,0.295689520911,24,43,50,2,192,39,121,87,0,445,11,75,25,7,282,1951,3104,2905,441,18139
1996-05-14,1996-03-20,1996-08-14,0.523136145747,0.604584950809,0.317753636458,0.407042237598,0.838704870674,0.865358897873,0.439738006827,0.660616737589,43,50,2,192,27,121,87,0,445,74,75,25,7,282,36,3104,2905,441,18139,2316
1996-08-14,1996-05-14,1996-11-14,0.606239572529,0.417037479927,0.381122564099,0.607090106983,0.872632384561,0.504972599918,0.633574589599,0.86937000895,50,2,192,27,46,87,0,445,74,29,25,7,282,36,8,2905,441,18139,2316,2755
1996-11-14,1996-08-14,1997-03-21,0.431498096062,0.402395517961,0.597704181137,0.711274489663,0.519564853924,0.648833953443,0.868407543271,0.914532508753,2,192,27,46,45,0,445,74,29,66,7,282,36,8,37,441,18139,2316,2755,3108
1997-03-21,1996-11-14,1997-05-13,0.895552115748,0.414613210693,0.393747326086,0.42336407539,0.979792085715,0.664200323322,0.639104069837,0.657563245331,192,27,46,45,189,445,74,29,66,350,282,36,8,37,269,18139,2316,2755,3108,18527
1997-05-13,1997-03-21,1997-07-30,0.638240107675,0.56965781271,0.572190142821,0.396410481758,0.909255698846,0.867445348973,0.865202084022,0.651168075337,27,46,45,189,27,74,29,66,350,24,36,8,37,269,13,2316,2755,3108,18527,2168
1997-07-30,1997-05-13,1997-10-24,0.694647425517,0.640919600514,0.393822699082,0.645976571676,0.927165229889,0.890361867714,0.646514313971,0.885518020323,46,45,189,27,49,29,66,350,24,44,8,37,269,13,25,2755,3108,18527,2168,3075
1997-10-24,1997-07-30,1998-03-27,0.696643927181,0.378217715985,0.610486155592,0.698994791163,0.92288355362,0.624456294087,0.880622776854,0.911611666556,45,189,27,49,44,66,350,24,44,35,37,269,13,25,9,3108,18527,2168,3075,2771
1998-03-27,1997-10-24,1998-05-12,0.806385724943,0.37978554935,0.382611919811,0.370734742657,0.938590382527,0.652784419975,0.655863896362,0.628920647253,189,27,49,44,240,350,24,44,35,517,269,13,25,9,504,18527,2168,3075,2771,22693
1998-05-12,1998-03-27,1998-07-31,0.671506594522,0.573185996836,0.53453543364,0.401619261864,0.917389959732,0.847121777018,0.834855716316,0.662244924527,27,49,44,240,25,24,44,35,517,38,13,25,9,504,24,2168,3075,2771,22693,2250
1998-07-31,1998-05-12,1998-11-12,0.684218065175,0.562557785637,0.395214769269,0.669015510772,0.909440433813,0.854501586653,0.651462348987,0.888631764027,49,44,240,25,44,44,35,517,38,30,25,9,504,24,26,3075,2771,22693,2250,2887
1998-11-12,1998-07-31,1999-03-25,0.617803825567,0.382036687351,0.600248139394,0.707027643116,0.895614073238,0.646062171818,0.877771419362,0.915044442597,44,240,25,44,48,35,517,38,30,23,9,504,24,26,9,2771,22693,2250,2887,2839
1999-03-25,1998-11-12,1999-05-11,0.793063334264,0.399199856476,0.396708981108,0.41933487959,0.931097240955,0.656273831324,0.650318571392,0.662807847816,240,25,44,48,233,517,38,30,23,381,504,24,26,9,293,22693,2250,2887,2839,21378
1999-05-11,1999-03-25,1999-08-11,0.66206258744,0.560122435161,0.585323103553,0.419069125781,0.914683965095,0.85803495757,0.877330200271,0.66637104722,25,44,48,233,19,38,30,23,381,17,24,26,9,293,8,2250,2887,2839,21378,2152
