filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-03-21,1997-02-25,1997-04-25,0.401937390614,0.0915906894484,0.245578118641,0.16050995318,0.665369216152,0.243104048053,0.422657584249,0.282362252668,24,80,308,264,247,26,296,1035,847,303,15,566,2218,1871,197,1506,8740,26318,19854,13850
1997-04-25,1997-03-21,1997-07-25,0.098005351255,0.173469804418,0.085900635408,0.404629687586,0.253043008586,0.305422881309,0.175002941677,0.657504370211,80,308,264,247,23,296,1035,847,303,29,566,2218,1871,197,15,8740,26318,19854,13850,1583
1997-07-25,1997-04-25,1997-10-31,0.174254487223,0.0754056082047,0.35256768974,0.664317783657,0.30267245745,0.156128708974,0.607088232332,0.836892733241,308,264,247,23,28,1035,847,303,29,35,2218,1871,197,15,15,26318,19854,13850,1583,1844
1997-10-31,1997-07-25,1998-03-31,0.425425552219,0.180190882451,0.241964161457,0.252608620318,0.673791456535,0.404712463304,0.447981997899,0.432916762576,264,247,23,28,59,847,303,29,35,154,1871,197,15,15,262,19854,13850,1583,1844,5273
1998-03-31,1997-10-31,1998-05-15,0.762464662004,0.370801632716,0.343892989605,0.215725288472,0.897161922573,0.60000023534,0.580658288284,0.432887946456,247,23,28,59,283,303,29,35,154,429,197,15,15,262,489,13850,1583,1844,5273,17805
1998-05-15,1998-03-31,1998-08-12,0.628233783785,0.521059744711,0.211845256418,0.372103519588,0.895067449608,0.791995923042,0.446624533859,0.600117257587,23,28,59,283,19,29,35,154,429,33,15,15,262,489,17,1583,1844,5273,17805,1591
1998-08-12,1998-05-15,1998-11-13,0.637267020017,0.202710052122,0.364817634288,0.711451157138,0.893591510869,0.427622420433,0.596832892884,0.853552468853,28,59,283,19,20,35,154,429,33,40,15,262,489,17,21,1844,5273,17805,1591,1923
1998-11-13,1998-08-12,1999-03-22,0.226375265006,0.327977300912,0.627487962535,0.652854398432,0.474520596225,0.565021828783,0.853415115472,0.836086073746,59,283,19,20,23,154,429,33,40,43,262,489,17,21,22,5273,17805,1591,1923,2064
1999-03-22,1998-11-13,1999-05-14,0.658219063725,0.304925809497,0.302929224576,0.316246575039,0.895625728226,0.574688251175,0.573526825275,0.555912516775,283,19,20,23,413,429,33,40,43,586,489,17,21,22,622,17805,1591,1923,2064,21429
1999-05-14,1999-03-22,1999-06-23,0.604499233121,0.491653526089,0.658690832578,0.371367808023,0.872310230473,0.777248807896,0.853443335928,0.639020846831,19,20,23,413,25,33,40,43,586,53,17,21,22,622,23,1591,1923,2064,21429,2281
1999-06-23,1999-05-14,1999-08-13,0.294200093794,0.293243307949,0.726780311609,0.354237566935,0.510677848004,0.48279396772,0.885531308437,0.564946943474,20,23,413,25,423,40,43,586,53,761,21,22,622,23,1169,1923,2064,21429,2281,28730
1999-08-13,1999-06-23,1999-11-12,0.660828382533,0.350906395967,0.709629789888,0.334697046994,0.844619076429,0.620733814965,0.875367563526,0.54691571514,23,413,25,423,26,43,586,53,761,56,22,622,23,1169,25,2064,21429,2281,28730,2394
1999-11-12,1999-08-13,2000-03-30,0.314013422989,0.486863188829,0.310286899748,0.577635619566,0.59662184747,0.751574522095,0.535200837795,0.797141110803,413,25,423,26,44,586,53,761,56,84,622,23,1169,25,41,21429,2281,28730,2394,3562
2000-03-30,1999-11-12,2000-05-15,0.160814352905,0.305155461315,0.165389277464,0.182912815724,0.457806020767,0.607037895801,0.449039242072,0.456436511415,25,423,26,44,512,53,761,56,84,1163,23,1169,25,41,1432,2281,28730,2394,3562,31866
2000-05-15,2000-03-30,2000-08-14,0.261188496211,0.404154062186,0.486481545457,0.192439732355,0.464508630936,0.716153160023,0.747516421049,0.455112155686,423,26,44,512,37,761,56,84,1163,62,1169,25,41,1432,18,28730,2394,3562,31866,2414
2000-08-14,2000-05-15,2000-11-09,0.361647696077,0.393611121061,0.171325223369,0.544564849546,0.698438468425,0.693399509587,0.443383684783,0.759157731864,26,44,512,37,47,56,84,1163,62,72,25,41,1432,18,33,2394,3562,31866,2414,3242
