filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-01-09,1994-10-11,1995-04-11,0.575786486164,0.431570179226,0.171419006047,0.549549645533,0.880379952712,0.800257376916,0.365098517453,0.85740881022,15,20,383,18,17,6,15,781,16,13,7,7,1972,6,6,1347,1631,31765,1474,1714
1995-04-11,1995-01-09,1995-08-16,0.31906667208,0.27956064994,0.346120980166,0.410457182517,0.68001226583,0.494142289076,0.687427528869,0.717707834002,20,383,18,17,50,15,781,16,13,89,7,1972,6,6,139,1631,31765,1474,1714,3603
1995-08-16,1995-04-11,1995-10-10,0.712715458926,0.203841487544,0.222033541316,0.385766965117,0.864710617973,0.443075118592,0.462219119611,0.60064248065,383,18,17,50,234,781,16,13,89,464,1972,6,6,139,1315,31765,1474,1714,3603,23891
1995-10-10,1995-08-16,1996-01-08,0.50064149526,0.440518558428,0.337941842451,0.222586622553,0.848095780338,0.799993979228,0.703625383007,0.458411370826,18,17,50,234,21,16,13,89,464,12,6,6,139,1315,8,1474,1714,3603,23891,1285
1996-01-08,1995-10-10,1996-04-08,0.585269944199,0.346256753778,0.230544582917,0.593738994306,0.889111560958,0.702486673228,0.461440256559,0.866995160943,17,50,234,21,26,13,89,464,12,15,6,139,1315,8,6,1714,3603,23891,1285,1598
1996-04-08,1996-01-08,1996-08-23,0.36782808672,0.214145293525,0.522174002674,0.538496448989,0.733700577217,0.450972097718,0.853788804535,0.844267081147,50,234,21,26,40,89,464,12,15,19,139,1315,8,6,9,3603,23891,1285,1598,1665
1996-08-23,1996-04-08,1996-10-03,0.414177076265,0.221689564856,0.221223472808,0.21852867665,0.64838524598,0.517751487619,0.5005209062,0.51386916539,234,21,26,40,240,464,12,15,19,383,1315,8,6,9,531,23891,1285,1598,1665,20866
1996-10-03,1996-08-23,1996-12-05,0.481908100822,0.438607437229,0.411544348787,0.206117395525,0.835779647674,0.796266264146,0.808759798863,0.487991592247,21,26,40,240,25,12,15,19,383,7,8,6,9,531,7,1285,1598,1665,20866,1529
1996-12-05,1996-10-03,1997-01-07,0.177411495912,0.17172362513,0.197570976162,0.173202544447,0.407937186766,0.41689922559,0.391765115544,0.416399407787,26,40,240,25,3,15,19,383,7,3,6,9,531,7,10,1598,1665,20866,1529,465
1997-01-07,1996-12-05,1997-04-03,0.411866266708,0.204600948414,0.547756354977,0.165589760141,0.80110611848,0.492881162561,0.861071561138,0.403400869471,40,240,25,3,21,19,383,7,3,13,9,531,7,10,8,1665,20866,1529,465,1648
