filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2002-01-14,2001-10-12,2002-04-05,0.562829633915,0.499661260129,0.214903088604,0.712584416871,0.839941855081,0.765983772804,0.419261317144,0.86119821935,15,19,427,22,27,43,49,941,54,61,17,17,1885,21,24,3076,3587,37322,3478,4078
2002-04-05,2002-01-14,2002-05-10,0.59215912654,0.294773883184,0.63637163568,0.697613570234,0.846838954882,0.496620546911,0.836838294479,0.856341437757,19,427,22,27,43,49,941,54,61,69,17,1885,21,24,72,3587,37322,3478,4078,4618
2002-05-10,2002-04-05,2002-08-28,0.180624697906,0.538262561261,0.59628520965,0.729074960188,0.370482306529,0.742591113004,0.74615987406,0.834635706047,427,22,27,43,10,941,54,61,69,28,1885,21,24,72,17,37322,3478,4078,4618,2117
2002-08-28,2002-05-10,2002-10-11,0.340927452503,0.329556318913,0.395592760264,0.29297951267,0.568799812507,0.536109948807,0.596095565469,0.496132486926,22,27,43,10,523,54,61,69,28,1401,21,24,72,17,1991,3478,4078,4618,2117,38347
2002-10-11,2002-08-28,2003-01-13,0.477072777585,0.493452161074,0.400022759219,0.372563481782,0.736560173316,0.748016957458,0.647851484464,0.586378271363,27,43,10,523,38,61,69,28,1401,133,24,72,17,1991,36,4078,4618,2117,38347,4813
2003-01-13,2002-10-11,2003-04-04,0.428486376849,0.286068381675,0.538114166079,0.557668733814,0.690905841505,0.543013180499,0.740294321862,0.753513347061,43,10,523,38,64,69,28,1401,133,200,72,17,1991,36,282,4618,2117,38347,4813,7795
2003-04-04,2003-01-13,2003-08-26,0.288563522992,0.376381449044,0.446246034089,0.391079778207,0.473801115134,0.573490584923,0.58081422206,0.59913389167,10,523,38,64,92,28,1401,133,200,226,17,1991,36,282,368,2117,38347,4813,7795,10451
2003-08-26,2003-04-04,2003-10-10,0.594175106494,0.505088948201,0.446738341791,0.39771629061,0.770058230413,0.742982013471,0.703884170152,0.589184147216,523,38,64,92,282,1401,133,200,226,594,1991,36,282,368,573,38347,4813,7795,10451,25301
2003-10-10,2003-08-26,2004-01-14,0.376892837108,0.321019755633,0.898708380033,0.402597206506,0.560517812823,0.564641127912,0.955640672775,0.598571253934,38,64,92,282,87,133,200,226,594,262,36,282,368,573,386,4813,7795,10451,25301,10534
2004-01-14,2003-10-10,2004-04-01,0.437054444666,0.245259065386,0.331477545796,0.263574644768,0.630205018654,0.461712522941,0.528090508779,0.475073118563,64,92,282,87,257,200,226,594,262,828,282,368,573,386,1343,7795,10451,25301,10534,27618
2004-04-01,2004-01-14,2004-08-10,0.19184223007,0.244407903734,0.194976129905,0.161983186972,0.513205322687,0.62249247631,0.503748104226,0.463885998541,92,282,87,257,129,226,594,262,828,486,368,573,386,1343,465,10451,25301,10534,27618,13326
2004-08-10,2004-04-01,2004-10-04,0.621320907049,0.400017437298,0.316587031312,0.268179235384,0.805186415361,0.577167110683,0.516524549026,0.620658038284,282,87,257,129,434,594,262,828,486,1061,573,386,1343,465,1061,25301,10534,27618,13326,31184
2004-10-04,2004-08-10,2004-12-28,0.382894597843,0.223911950009,0.249895621286,0.522141995319,0.564541950165,0.416925274811,0.630008110301,0.697539434184,87,257,129,434,70,262,828,486,1061,158,386,1343,465,1061,54,10534,27618,13326,31184,6918
2004-12-28,2004-10-04,2005-04-01,0.260586623722,0.236286171548,0.501081673772,0.684863724006,0.450777207429,0.614932908474,0.690154301399,0.822063955521,257,129,434,70,82,828,486,1061,158,215,1343,465,1061,54,157,27618,13326,31184,6918,9067
2005-04-01,2004-12-28,2005-08-15,0.284013739247,0.445985311424,0.678638288122,0.65748683583,0.669468261384,0.633096789487,0.827761379465,0.799452578274,129,434,70,82,74,486,1061,158,215,194,465,1061,54,157,72,13326,31184,6918,9067,8461
2005-08-15,2005-04-01,2005-10-07,0.762034794062,0.587797417126,0.548036277405,0.522076145585,0.907163181665,0.779896911693,0.741763273362,0.70957430043,434,70,82,74,310,1061,158,215,194,622,1061,54,157,72,642,31184,6918,9067,8461,25753
2005-10-07,2005-08-15,2006-01-03,0.757564129322,0.588834685648,0.593925549979,0.655207191316,0.929209028594,0.787541796064,0.79148205572,0.814113225105,70,82,74,310,86,158,215,194,622,241,54,157,72,642,87,6918,9067,8461,25753,8852
2006-01-03,2005-10-07,2006-04-07,0.746448886423,0.55598466379,0.528935512141,0.683653732504,0.901093848401,0.787859411311,0.728974424313,0.840465327239,82,74,310,86,55,215,194,622,241,172,157,72,642,87,74,9067,8461,25753,8852,8292
2006-04-07,2006-01-03,2006-08-04,0.729223761277,0.529194950189,0.650008159887,0.706988528321,0.909592554636,0.747402734524,0.833033806498,0.856322308517,74,310,86,55,62,194,622,241,172,212,72,642,87,74,89,8461,25753,8852,8292,9164
2006-08-04,2006-04-07,2006-10-06,0.784463529047,0.667329695531,0.581551825796,0.572479006612,0.884292530801,0.824224195278,0.754292579612,0.750191392456,310,86,55,62,250,622,241,172,212,466,642,87,74,89,223,25753,8852,8292,9164,22088
2006-10-06,2006-08-04,2007-01-08,0.714387601213,0.590817612769,0.57831172474,0.645714554722,0.868718530418,0.774684950568,0.765519761973,0.774781539742,86,55,62,250,54,241,172,212,466,144,87,74,89,223,66,8852,8292,9164,22088,8745
2007-01-08,2006-10-06,2007-04-06,0.755536653254,0.502115976573,0.52976591293,0.654732000749,0.879138581042,0.722650374354,0.684690510354,0.794362687081,55,62,250,54,62,172,212,466,144,178,74,89,223,66,144,8292,9164,22088,8745,10259
2007-04-06,2007-01-08,2007-07-30,0.740222668238,0.562064018226,0.679123641798,0.632924295702,0.874012193029,0.71862371726,0.82476638501,0.802554029797,62,250,54,62,61,212,466,144,178,167,89,223,66,144,74,9164,22088,8745,10259,10445
2007-07-30,2007-04-06,2007-10-04,0.761492539908,0.567849415925,0.510715265133,0.514840108541,0.8602327061,0.707417403592,0.658612723699,0.656850884099,250,54,62,61,361,466,144,178,167,746,223,66,144,74,728,22088,8745,10259,10445,32555
2007-10-04,2007-07-30,2008-01-08,0.886026408942,0.637073858088,0.689339257724,0.592209027637,0.968728628983,0.789752353537,0.828588200608,0.721474957763,54,62,61,361,67,144,178,167,746,151,66,144,74,728,80,8745,10259,10445,32555,9226
2008-01-08,2007-10-04,2008-04-02,0.896245849416,0.636591937771,0.494067171324,0.698944605527,0.956154406484,0.817074135967,0.643668452608,0.820455189134,62,61,361,67,85,178,167,746,151,175,144,74,728,80,89,10259,10445,32555,9226,10873
2008-04-02,2008-01-08,2008-07-30,0.904797276815,0.47327782172,0.663888082785,0.639332098228,0.969434870734,0.626690761918,0.796012330898,0.799531266947,61,361,67,85,80,167,746,151,175,170,74,728,80,89,101,10445,32555,9226,10873,10835
2008-07-30,2008-04-02,2008-10-08,0.476834849705,0.360916820975,0.311161397191,0.301068293449,0.627064490003,0.515554077225,0.468343820016,0.456280395944,361,67,85,80,500,746,151,175,170,1819,728,80,89,101,2387,32555,9226,10873,10835,54463
2008-10-08,2008-07-30,2009-01-08,0.856678821295,0.625685192556,0.605034656081,0.371894327628,0.95137195517,0.7857588939,0.767225992789,0.531427958984,67,85,80,500,69,151,175,170,1819,154,80,89,101,2387,83,9226,10873,10835,54463,10534
2009-01-08,2008-10-08,2009-04-06,0.880508057729,0.570411305498,0.315679816508,0.688229866266,0.955824540609,0.772915651578,0.482589538412,0.820215101666,85,80,500,69,65,175,170,1819,154,175,89,101,2387,83,86,10873,10835,54463,10534,10771
2009-04-06,2009-01-08,2009-07-28,0.459159784689,0.366800389968,0.389966810795,0.380192880497,0.581119448027,0.532570287759,0.535658805716,0.525923079374,80,500,69,65,290,170,1819,154,175,1019,101,2387,83,86,1224,10835,54463,10534,10771,27095
2009-07-28,2009-04-06,2009-10-06,0.922571469477,0.388565861418,0.345509979778,0.424987386254,0.96929703094,0.558467692358,0.512392804205,0.589378999583,500,69,65,290,447,1819,154,175,1019,1524,2387,83,86,1224,2007,54463,10534,10771,27095,47116
2009-10-06,2009-07-28,2010-01-08,0.808389052474,0.649842972193,0.386479823995,0.403463798211,0.930626435706,0.806598793227,0.536356733529,0.571088512732,69,65,290,447,60,154,175,1019,1524,146,83,86,1224,2007,91,10534,10771,27095,47116,9910
2010-01-08,2009-10-06,2010-04-01,0.842027254994,0.356739561288,0.358861295763,0.751006920397,0.928114841993,0.521260574453,0.535582303323,0.865659643167,65,290,447,60,58,175,1019,1524,146,184,86,1224,2007,91,92,10771,27095,47116,9910,10623
2010-04-01,2010-01-08,2010-07-28,0.449428579583,0.363323498655,0.740567910173,0.769633340254,0.58125545835,0.539367797065,0.863753757638,0.885056282858,290,447,60,58,60,1019,1524,146,184,215,1224,2007,91,92,83,27095,47116,9910,10623,10534
2010-07-28,2010-04-01,2010-10-12,0.561037248858,0.618756952054,0.598477880598,0.604562128669,0.699315372149,0.80706959476,0.790305681046,0.791771228027,447,60,58,60,252,1524,146,184,215,719,2007,91,92,83,466,47116,9910,10623,10534,28144
2010-10-12,2010-07-28,2011-01-10,0.0998416103312,0.0883404730375,0.0884770905957,0.0885084551681,0.177508549316,0.163552138614,0.163427546207,0.174001402328,60,58,60,252,275,146,184,215,719,6950,91,92,83,466,1160,9910,10623,10534,28144,46538
2011-01-10,2010-10-12,2011-04-01,0.395740667747,0.339467959821,0.306046895911,0.261972521078,0.668817782653,0.620429828338,0.609498262659,0.272798436549,58,60,252,275,170,184,215,719,6950,593,92,83,466,1160,425,10623,10534,28144,46538,31174
2011-04-01,2011-01-10,2011-07-25,0.410549867635,0.314139115943,0.256438544215,0.968221715299,0.682031931507,0.617123601474,0.267135219887,0.967345474033,60,252,275,170,180,215,719,6950,593,629,83,466,1160,425,495,10534,28144,46538,31174,33112
2011-07-25,2011-04-01,2011-10-11,0.434209814971,0.114154367142,0.39343264221,0.404394941389,0.643642912492,0.192973711614,0.682394412086,0.689132382133,252,275,170,180,582,719,6950,593,629,1264,466,1160,425,495,1553,28144,46538,31174,33112,61632
2011-10-11,2011-07-25,2012-01-06,0.0963495470839,0.274864649076,0.278843893768,0.684337180992,0.163362123213,0.481080193236,0.483864612942,0.691765667338,275,170,180,582,1546,6950,593,629,1264,4340,1160,425,495,1553,10768,46538,31174,33112,61632,182767
2012-01-06,2011-10-11,2012-04-02,0.341357901529,0.332180121664,0.928987887025,0.695512857059,0.588131028272,0.572607041012,0.915610893858,0.683343836408,170,180,582,1546,637,593,629,1264,4340,910,425,495,1553,10768,2132,31174,33112,61632,182767,65500
2012-04-02,2012-01-06,2012-07-27,0.347948508512,0.927538818298,0.698300360191,0.988725192209,0.596009829797,0.916456473372,0.690225491683,0.988409729327,180,582,1546,637,676,629,1264,4340,910,1171,495,1553,10768,2132,2264,33112,61632,182767,65500,69026
2012-07-27,2012-04-02,2012-09-28,0.946888038407,0.696889979922,0.984218718412,0.982165034502,0.945562059431,0.691335558202,0.980790048118,0.979200504257,582,1546,637,676,1114,1264,4340,910,1171,2343,1553,10768,2132,2264,3534,61632,182767,65500,69026,109905
2012-09-28,2012-07-27,2012-10-02,0.69688599732,0.984189436913,0.982139466576,0.999904772409,0.69133840933,0.98076301225,0.979170393305,0.999975561075,1546,637,676,1114,1114,4340,910,1171,2343,2347,10768,2132,2264,3534,3548,182767,65500,69026,109905,109970
2012-10-02,2012-09-28,2013-01-08,0.9336750641,0.934213195045,0.93453288014,0.934534177871,0.930958428503,0.934168534001,0.932666982033,0.932663535306,637,676,1114,1114,911,910,1171,2343,2347,2735,2132,2264,3534,3548,5130,65500,69026,109905,109970,104511
