filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-27,1994-11-14,1995-05-15,0.711160976801,0.337691416363,0.339017731094,0.322475540558,0.889851648368,0.586996498016,0.575563389338,0.580415106054,85,10,16,23,92,87,5,6,7,171,50,7,5,5,212,6921,1244,1374,1514,8866
1995-05-15,1995-03-27,1995-08-14,0.659178418056,0.527307790877,0.502982627743,0.328408227976,0.892360639387,0.820208431673,0.819153242306,0.602836291568,10,16,23,92,10,5,6,7,171,9,7,5,5,212,5,1244,1374,1514,8866,1180
1995-08-14,1995-05-15,1995-11-09,0.578970122022,0.471916623552,0.275508875619,0.572094459733,0.871411641178,0.812860132478,0.527900944232,0.813213371331,16,23,92,10,13,6,7,171,9,23,5,5,212,5,5,1374,1514,8866,1180,1423
1995-11-09,1995-08-14,1996-03-25,0.19675855644,0.311435654916,0.257405469383,0.250929683666,0.345009169537,0.45900199261,0.395219715867,0.352597896413,23,92,10,13,51,7,171,9,23,86,5,212,5,5,335,1514,8866,1180,1423,5084
1996-03-25,1995-11-09,1996-05-13,0.830208971043,0.304419784563,0.275971413006,0.298829978883,0.937894289529,0.553366361482,0.494836371905,0.415682049345,92,10,13,51,111,171,9,23,86,198,212,5,5,335,272,8866,1180,1423,5084,9374
1996-05-13,1996-03-25,1996-08-14,0.720572832848,0.511312865071,0.241122614942,0.313865334157,0.929275791867,0.793344179278,0.381558180352,0.568215937516,10,13,51,111,7,9,23,86,198,9,5,5,335,272,5,1180,1423,5084,9374,1215
1996-08-14,1996-05-13,1996-11-12,0.618328535809,0.213781306485,0.28629130846,0.733886098388,0.889305503541,0.351546014115,0.530756941524,0.887310464885,13,51,111,7,11,23,86,198,9,10,5,335,272,5,5,1423,5084,9374,1215,1373
1996-11-12,1996-08-14,1997-03-24,0.226771505295,0.285074157515,0.660551637254,0.719092424898,0.356369393047,0.528837494264,0.858508888256,0.899769409973,51,111,7,11,12,86,198,9,10,14,335,272,5,5,5,5084,9374,1215,1373,1527
1997-03-24,1996-11-12,1997-05-13,0.697900541457,0.366887679819,0.341410639273,0.366344790167,0.84622216648,0.663555502217,0.627718060925,0.643070524742,111,7,11,12,69,198,9,10,14,100,272,5,5,5,49,9374,1215,1373,1527,7320
1997-05-13,1997-03-24,1997-08-12,0.631575161618,0.458748282055,0.477509441448,0.340085655147,0.878598403858,0.772442859284,0.777586511297,0.645200500002,7,11,12,69,11,9,10,14,100,6,5,5,5,49,9,1215,1373,1527,7320,1494
1997-08-12,1997-05-13,1997-11-12,0.529698507451,0.490635706027,0.345033062571,0.508844686492,0.845707910001,0.814423783004,0.656997024094,0.783625184018,11,12,69,11,21,10,14,100,6,12,5,5,49,9,5,1373,1527,7320,1494,2107
1997-11-12,1997-08-12,1998-03-24,0.589012594368,0.351003490635,0.538973389058,0.722864540219,0.880923776157,0.662728203672,0.80174152291,0.903594317826,12,69,11,21,19,14,100,6,12,23,5,49,9,5,5,1527,7320,1494,2107,2056
1998-03-24,1997-11-12,1998-05-13,0.60894584776,0.30047267185,0.306356339036,0.3089192092,0.766930139737,0.554518397089,0.564006272938,0.540791791383,69,11,21,19,130,100,6,12,23,197,49,9,5,5,383,7320,1494,2107,2056,12146
1998-05-13,1998-03-24,1998-08-12,0.275088203999,0.218950172156,0.224808310134,0.376554022357,0.504110215046,0.43261675613,0.425007062846,0.589065792505,11,21,19,130,63,6,12,23,197,142,9,5,5,383,276,1494,2107,2056,12146,5785
1998-08-12,1998-05-13,1998-11-12,0.465680718792,0.440075117638,0.358027021102,0.314704536887,0.794680983948,0.772884943604,0.621449449491,0.520054456606,21,19,130,63,23,12,23,197,142,45,5,5,383,276,61,2107,2056,12146,5785,2738
1998-11-12,1998-08-12,1999-03-26,0.344082220359,0.354114886182,0.388281823003,0.35898118096,0.590288740718,0.585293697331,0.608132902024,0.587924829105,19,130,63,23,123,23,197,142,45,151,5,383,276,61,251,2056,12146,5785,2738,5479
1999-03-26,1998-11-12,1999-05-12,0.556967853947,0.666422451038,0.26569188336,0.629414133644,0.711119849145,0.788088928111,0.475821787608,0.777980839941,130,63,23,123,468,197,142,45,151,570,383,276,61,251,903,12146,5785,2738,5479,21821
1999-05-12,1999-03-26,1999-08-13,0.211887534004,0.375877585058,0.275818812983,0.228822721216,0.404510230434,0.727283362097,0.543258373686,0.433852571017,63,23,123,468,37,142,45,151,570,21,276,61,251,903,6,5785,2738,5479,21821,2205
1999-08-13,1999-05-12,1999-11-12,0.368735405704,0.240217608219,0.182103111571,0.618945458752,0.701986212025,0.497354400465,0.355257502912,0.856855923809,23,123,468,37,51,45,151,570,21,44,61,251,903,6,7,2738,5479,21821,2205,3297
1999-11-12,1999-08-13,2000-03-22,0.266483430141,0.189731560628,0.604882874378,0.805139612323,0.519202507122,0.359591177925,0.861326913607,0.933015402509,123,468,37,51,49,151,570,21,44,33,251,903,6,7,7,5479,21821,2205,3297,3219
2000-03-22,1999-11-12,2000-05-11,0.860166077455,0.244800129959,0.210593578374,0.22536665911,0.929401667038,0.462088950265,0.390065774319,0.39630768275,468,37,51,49,348,570,21,44,33,481,903,6,7,7,935,21821,2205,3297,3219,20249
2000-05-11,2000-03-22,2000-08-11,0.221240572098,0.169116210645,0.181272249268,0.670785883592,0.40528284439,0.337721837373,0.34665183657,0.744920697934,37,51,49,348,68,21,44,33,481,138,6,7,7,935,434,2205,3297,3219,20249,6570
2000-08-11,2000-05-11,2000-11-13,0.458055637958,0.429384804139,0.217921590995,0.245666469322,0.825370268945,0.790228334812,0.389589303933,0.364524031323,51,49,348,68,55,44,33,481,138,47,7,7,935,434,12,3297,3219,20249,6570,3208
2000-11-13,2000-08-11,2001-03-21,0.469859699963,0.209685851876,0.231197627157,0.70479262268,0.820784042865,0.38173433079,0.36028673859,0.896709048696,49,348,68,55,50,33,481,138,47,52,7,935,434,12,12,3219,20249,6570,3208,2979
2001-03-21,2000-11-13,2001-05-14,0.74907508845,0.760891960144,0.32454647845,0.333900116933,0.853832320877,0.823466092626,0.53766031735,0.540055206415,348,68,55,50,173,481,138,47,52,242,935,434,12,12,494,20249,6570,3208,2979,14118
2001-05-14,2001-03-21,2001-08-13,0.370016091103,0.321697801786,0.321926269066,0.438663200493,0.529508845422,0.558787956229,0.559053745449,0.678434392843,68,55,50,173,82,138,47,52,242,145,434,12,12,494,153,6570,3208,2979,14118,5276
2001-08-13,2001-05-14,2001-11-13,0.293542918461,0.267055334801,0.686312018707,0.403360967003,0.516725655349,0.490567462648,0.825898377391,0.584395175212,55,50,173,82,123,47,52,242,145,266,12,12,494,153,475,3208,2979,14118,5276,9019
2001-11-13,2001-08-13,2002-03-20,0.541212607788,0.314074797871,0.413227572465,0.447118579693,0.871375203894,0.551468642395,0.610820357615,0.559281350605,50,173,82,123,52,52,242,145,266,110,12,494,153,475,16,2979,14118,5276,9019,3495
2002-03-20,2001-11-13,2002-05-13,0.635291802906,0.787862600336,0.402899283852,0.323267733854,0.776577060822,0.90440545449,0.566525232862,0.505055001791,173,82,123,52,271,242,145,266,110,448,494,153,475,16,598,14118,5276,9019,3495,17958
2002-05-13,2002-03-20,2002-08-13,0.449481981026,0.312916082436,0.532288984452,0.354457262409,0.688678037365,0.532735234575,0.818532566213,0.585366938769,82,123,52,271,40,145,266,110,448,76,153,475,16,598,20,5276,9019,3495,17958,3211
