filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-24,1994-11-14,1995-05-05,0.663005162529,0.378755109581,0.389890978251,0.418780741055,0.848791491807,0.653578635178,0.641044306732,0.656315993291,124,10,16,20,261,308,66,95,110,509,171,45,49,52,750,11492,2390,2933,3033,19122
1995-05-05,1995-03-24,1995-08-04,0.726651010774,0.62360536758,0.636159750116,0.390998075201,0.918697033193,0.833604757707,0.849494920935,0.667556202314,10,16,20,261,14,66,95,110,509,63,45,49,52,750,40,2390,2933,3033,19122,2467
1995-08-04,1995-05-05,1995-11-14,0.689081285212,0.613802412303,0.373024919038,0.628020365789,0.904033525326,0.856880701281,0.631450961284,0.850518288801,16,20,261,14,21,95,110,509,63,89,49,52,750,40,48,2933,3033,19122,2467,3030
1995-11-14,1995-08-04,1996-03-11,0.279877112096,0.354479428437,0.258304316298,0.31137081191,0.476300035608,0.596764021874,0.471601592998,0.470773799709,20,261,14,21,141,110,509,63,89,386,52,750,40,48,888,3033,19122,2467,3030,11176
1996-03-11,1995-11-14,1996-05-14,0.756193186601,0.282889952041,0.290940905585,0.499918949183,0.906915860735,0.55223792436,0.527233918805,0.700832398749,261,14,21,141,286,509,63,89,386,474,750,40,48,888,1035,19122,2467,3030,11176,19161
1996-05-14,1996-03-11,1996-07-29,0.54765130779,0.549097129827,0.297505217984,0.312479504553,0.841062830432,0.806162599253,0.465218810782,0.530279385683,14,21,141,286,10,63,89,386,474,29,40,48,888,1035,25,2467,3030,11176,19161,2013
1996-07-29,1996-05-14,1996-11-13,0.593145838944,0.285373629993,0.295116348043,0.721472198875,0.860572022045,0.472477210067,0.524072275459,0.875570447743,21,141,286,10,25,89,386,474,29,43,48,888,1035,25,30,3030,11176,19161,2013,3090
1996-11-13,1996-07-29,1997-03-28,0.576199854846,0.517915439308,0.496341608381,0.542554211451,0.728211221346,0.702889784564,0.674145020534,0.707472017998,141,286,10,25,44,386,474,29,43,101,888,1035,25,30,306,11176,19161,2013,3090,6071
1997-03-28,1996-11-13,1997-05-14,0.736030044208,0.273473942204,0.274541508333,0.388271693194,0.878062511996,0.445925020482,0.45468457922,0.579973432858,286,10,25,44,392,474,29,43,101,770,1035,25,30,306,1682,19161,2013,3090,6071,28494
1997-05-14,1997-03-28,1997-08-13,0.461135357425,0.383193773641,0.333798634979,0.293287335787,0.720426539925,0.671500571543,0.600218943457,0.517711627843,10,25,44,392,19,29,43,101,770,60,25,30,306,1682,160,2013,3090,6071,28494,4432
1997-08-13,1997-05-14,1997-11-12,0.645579302063,0.419682847954,0.280493997144,0.529682378408,0.877187985155,0.651270529259,0.472803399519,0.745617551798,25,44,392,19,29,43,101,770,60,49,30,306,1682,160,36,3090,6071,28494,4432,4234
1997-11-12,1997-08-13,1998-02-24,0.494703282367,0.293353587728,0.521599716323,0.838110269063,0.703470101488,0.477674790339,0.748234684576,0.932709404275,44,392,19,29,25,101,770,60,49,50,306,1682,160,36,35,6071,28494,4432,4234,4156
1998-02-24,1997-11-12,1998-03-18,0.695372269479,0.312658814136,0.361797248702,0.388646467106,0.838906071555,0.550084418358,0.571140859173,0.585826022703,392,19,29,25,183,770,60,49,50,358,1682,160,36,35,590,28494,4432,4234,4156,18999
1998-03-18,1998-02-24,1998-05-07,0.376118364173,0.470142451141,0.509599782678,0.670200952329,0.641944596001,0.70372637323,0.730518626186,0.819559330188,19,29,25,183,202,60,49,50,358,268,160,36,35,590,150,4432,4234,4156,18999,15129
