filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-24,1994-11-09,1995-05-12,0.673950093584,0.242876154634,0.272736115931,0.25303751114,0.860401354769,0.500412636132,0.516948795697,0.489838085498,85,31,5,21,96,122,47,10,30,161,189,116,7,13,517,10725,2774,1896,2164,13541
1995-05-12,1995-03-24,1995-08-16,0.638044231382,0.404929485938,0.403988223171,0.276826082057,0.861164743572,0.751882571913,0.757474156627,0.539591176457,31,5,21,96,29,47,10,30,161,32,116,7,13,517,95,2774,1896,2164,13541,2529
1995-08-16,1995-05-12,1995-11-15,0.561939777716,0.509192063819,0.257122494009,0.434238833063,0.853328502145,0.828171225943,0.487016483848,0.760780819422,5,21,96,29,20,10,30,161,32,45,7,13,517,95,9,1896,2164,13541,2529,2191
1995-11-15,1995-08-16,1996-03-29,0.563027275037,0.257770440166,0.440608634964,0.691056977296,0.87288879103,0.484126866305,0.771854123402,0.899187853653,21,96,29,20,23,30,161,32,45,36,13,517,95,9,10,2164,13541,2529,2191,2128
1996-03-29,1995-11-15,1996-05-14,0.658673123044,0.29425594948,0.300946334415,0.303962002786,0.829460404807,0.562141739343,0.501934690881,0.504608026399,96,29,20,23,139,161,32,45,36,335,517,95,9,10,554,13541,2529,2191,2128,14279
1996-05-14,1996-03-29,1996-08-14,0.681501980479,0.367436947784,0.367339341492,0.319195040713,0.895033640609,0.702250919456,0.711527807747,0.605402573198,29,20,23,139,29,32,45,36,335,33,95,9,10,554,94,2529,2191,2128,14279,2296
1996-08-14,1996-05-14,1996-11-13,0.563192673773,0.483357260219,0.26495933917,0.408005284477,0.852232704305,0.810689732892,0.493078176593,0.739526193885,20,23,139,29,18,45,36,335,33,28,9,10,554,94,8,2191,2128,14279,2296,1982
1996-11-13,1996-08-14,1997-03-28,0.522364771945,0.249426673135,0.395349415115,0.610116097456,0.853020014891,0.475020419319,0.737193116884,0.885701715646,23,139,29,18,14,36,335,33,28,19,10,554,94,8,10,2128,14279,2296,1982,1802
1997-03-28,1996-11-13,1997-05-13,0.734296281323,0.298409614936,0.283226799398,0.268538386674,0.876802523855,0.58177886902,0.520720789549,0.510331835184,139,29,18,14,102,335,33,28,19,157,554,94,8,10,307,14279,2296,1982,1802,12290
1997-05-13,1997-03-28,1997-08-13,0.478578299291,0.48497253187,0.498872648029,0.288108973145,0.799365097207,0.819443130876,0.838052875068,0.532971660848,29,18,14,102,18,33,28,19,157,13,94,8,10,307,9,2296,1982,1802,12290,1598
1997-08-13,1997-05-13,1997-11-07,0.426403489395,0.374163683321,0.27385430562,0.388831088855,0.763922211216,0.723783016851,0.550384947602,0.719728440175,18,14,102,18,33,28,19,157,13,51,8,10,307,9,117,1982,1802,12290,1598,2802
1997-11-07,1997-08-13,1998-03-27,0.579340912532,0.271251900875,0.52192573218,0.457920130133,0.905224506077,0.505885579923,0.83118748367,0.732186563029,14,102,18,33,13,19,157,13,51,12,10,307,9,117,7,1802,12290,1598,2802,1805
1998-03-27,1997-11-07,1998-05-13,0.620203729206,0.197794805681,0.238275286326,0.18149319564,0.820972926201,0.421557971587,0.504086464415,0.390358380548,102,18,33,13,245,157,13,51,12,554,307,9,117,7,1037,12290,1598,2802,1805,20752
1998-05-13,1998-03-27,1998-08-12,0.147017122137,0.15076306552,0.11813326629,0.74231704191,0.317032662476,0.349522827444,0.282697569057,0.786798111277,18,33,13,245,120,13,51,12,554,229,9,117,7,1037,433,1598,2802,1805,20752,7827
1998-08-12,1998-05-13,1998-11-12,0.397483895099,0.42338615199,0.204237118292,0.156136111295,0.745492421564,0.780131253941,0.4209448297,0.304326636915,33,13,245,120,24,51,12,554,229,28,117,7,1037,433,18,2802,1805,20752,7827,2373
1998-11-12,1998-08-12,1999-03-29,0.486741559003,0.212479072558,0.146488438904,0.630856288251,0.827597236847,0.453303263847,0.318067274467,0.857606125776,13,245,120,24,34,12,554,229,28,37,7,1037,433,18,16,1805,20752,7827,2373,2873
1999-03-29,1998-11-12,1999-05-12,0.416430142307,0.243883285429,0.160523277622,0.182137168496,0.65473038953,0.421660142208,0.353835567635,0.390773350792,245,120,24,34,522,554,229,28,37,1572,1037,433,18,16,3735,20752,7827,2373,2873,57032
1999-05-12,1999-03-29,1999-08-11,0.17193050608,0.443838774748,0.580793329758,0.190686039868,0.365222234213,0.770100117916,0.83621186453,0.394489099294,120,24,34,522,21,229,28,37,1572,37,433,18,16,3735,28,7827,2373,2873,57032,2741
1999-08-11,1999-05-12,1999-11-10,0.228330500582,0.214140555683,0.295783226164,0.249097699881,0.410850403614,0.38885034797,0.51536034832,0.410649988254,24,34,522,21,68,28,37,1572,37,190,18,16,3735,28,468,2373,2873,57032,2741,10158
1999-11-10,1999-08-11,2000-03-24,0.614985742127,0.174173145385,0.572393564329,0.2458937172,0.87457576062,0.34730459101,0.802256309031,0.374449706183,34,522,21,68,25,37,1572,37,190,35,16,3735,28,468,12,2873,57032,2741,10158,3288
2000-03-24,1999-11-10,2000-05-17,0.451977255146,0.220931262015,0.293133417165,0.22203308019,0.727272280831,0.454537035934,0.487121215957,0.418296351086,522,21,68,25,357,1572,37,190,35,761,3735,28,468,12,1635,57032,2741,10158,3288,35068
2000-05-17,2000-03-24,2000-08-16,0.406117546782,0.171819669392,0.487262049971,0.225147970839,0.787363037353,0.352755428542,0.809704300758,0.431260568297,21,68,25,357,20,37,190,35,761,43,28,468,12,1635,26,2741,10158,3288,35068,3083
2000-08-16,2000-05-17,2000-10-30,0.952779854285,0.194865387273,0.289854498553,0.251204045843,0.982773673054,0.367266957516,0.480790878235,0.390129336351,68,25,357,20,64,190,35,761,43,202,468,12,1635,26,487,10158,3288,35068,3083,10469
2000-10-30,2000-08-16,2001-04-02,0.497811089595,0.220133074098,0.65056976249,0.249248135583,0.846130208588,0.436416556067,0.885931488472,0.394782367764,25,357,20,64,30,35,761,43,202,76,12,1635,26,487,31,3288,35068,3083,10469,4089
2001-04-02,2000-10-30,2001-05-16,0.426562362519,0.191703552131,0.224998610426,0.193690104412,0.66253733125,0.38333862685,0.363666072048,0.392515390315,357,20,64,30,725,761,43,202,76,2202,1635,26,487,31,4374,35068,3083,10469,4089,71821
2001-05-16,2001-04-02,2001-08-14,0.555099572343,0.1751333489,0.466615890398,0.192209775042,0.839699697263,0.332600904,0.780133009095,0.382790952542,20,64,30,725,26,43,202,76,2202,68,26,487,31,4374,28,3083,10469,4089,71821,3224
2001-08-14,2001-05-16,2001-11-08,0.204786778025,0.431828396602,0.248676734154,0.639576753907,0.355030936637,0.722859112384,0.456672800128,0.788785780196,64,30,725,26,32,202,76,2202,68,104,487,31,4374,28,46,10469,4089,71821,3224,4514
2001-11-08,2001-08-14,2002-03-29,0.395744035313,0.333953708035,0.495584111518,0.591259222277,0.732976934545,0.61145388528,0.742274386961,0.822270890798,30,725,26,32,63,76,2202,68,104,215,31,4374,28,46,217,4089,71821,3224,4514,7174
2002-03-29,2001-11-08,2002-05-15,0.926192527484,0.247523882674,0.308879845509,0.392078881571,0.967829230433,0.450494304768,0.52537129078,0.666412936692,725,26,32,63,553,2202,68,104,215,1590,4374,28,46,217,2856,71821,3224,4514,7174,54475
2002-05-15,2002-03-29,2002-08-13,0.509440981724,0.528694877857,0.484878782843,0.339776556025,0.783375444651,0.801521230618,0.782453849845,0.552449564712,26,32,63,553,40,68,104,215,1590,122,28,46,217,2856,36,3224,4514,7174,54475,4937
