filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-08-12,1994-12-13,0.24438057651,0.835937904211,0.58123405114,0.848681465976,0.405089689088,0.933161612324,0.805354190254,0.944776859333,776,30,42,29,32,2259,124,135,98,153,4736,59,59,63,87,91789,3943,5610,4099,4545
1994-12-13,1994-11-14,1995-03-31,0.748201263199,0.390563513113,0.658098353154,0.64069194586,0.85957475689,0.641263828665,0.805893327018,0.808729823342,30,42,29,32,15,124,135,98,153,43,59,59,63,87,18,3943,5610,4099,4545,1697
1995-03-31,1994-12-13,1995-05-15,0.363330581833,0.340736938589,0.354024284457,0.286246068801,0.568814128939,0.574098572402,0.577620001043,0.521291361945,42,29,32,15,126,135,98,153,43,462,59,63,87,18,317,5610,4099,4545,1697,20054
1995-05-15,1995-03-31,1995-08-14,0.696703929481,0.70467472849,0.525041394527,0.298828127528,0.878240125367,0.88006117207,0.759334328296,0.522957577188,29,32,15,126,48,98,153,43,462,116,63,87,18,317,67,4099,4545,1697,20054,6425
1995-08-14,1995-05-15,1995-11-13,0.60064665673,0.426176613515,0.265040036909,0.740294248687,0.831169867405,0.718540292121,0.508541411212,0.885157577229,32,15,126,48,31,153,43,462,116,71,87,18,317,67,43,4545,1697,20054,6425,3721
1995-11-13,1995-08-14,1995-11-14,0.432056287285,0.276427960905,0.777088872519,0.869711307035,0.711591014022,0.518552486143,0.899871586975,0.93564756093,15,126,48,31,30,43,462,116,71,61,18,317,67,43,41,1697,20054,6425,3721,3259
1995-11-14,1995-11-13,1996-04-01,0.109000381263,0.0683336864043,0.0628760443304,0.0669777035935,0.286848541825,0.185298965625,0.176456830551,0.183793667942,126,48,31,30,25,462,116,71,61,27,317,67,43,41,24,20054,6425,3721,3259,3075
1996-04-01,1995-11-14,1996-05-10,0.230996309204,0.237666078581,0.231990316255,0.155229502804,0.414600598086,0.416265804914,0.411161710078,0.367573355199,48,31,30,25,194,116,71,61,27,608,67,43,41,24,956,6425,3721,3259,3075,31367
1996-05-10,1996-04-01,1996-08-09,0.528170995815,0.609259908042,0.0917308817604,0.249615801594,0.780234083351,0.820838704645,0.243425577705,0.456484269613,31,30,25,194,21,71,61,27,608,67,43,41,24,956,56,3721,3259,3075,31367,2482
1996-08-09,1996-05-10,1996-11-12,0.52703831055,0.0565071397718,0.213788287206,0.524226515237,0.803551004149,0.16632960499,0.397922825973,0.789510208398,30,25,194,21,27,61,27,608,67,77,41,24,956,56,57,3259,3075,31367,2482,2857
