filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-29,1994-11-10,1995-05-11,0.715896780399,0.320425770281,0.319366301964,0.338459193218,0.895207019045,0.629135463655,0.631892684183,0.625295132949,77,12,13,10,86,110,19,21,8,202,119,12,15,9,389,8920,1304,1443,1285,12299
1995-05-11,1995-03-29,1995-05-16,0.611051863224,0.545031054887,0.631901578234,0.356307811633,0.896095674248,0.840646751775,0.866365498318,0.648780279701,12,13,10,86,10,19,21,8,202,5,12,15,9,389,5,1304,1443,1285,12299,1258
1995-05-16,1995-05-11,1995-07-27,0.208006192506,0.246842023565,0.156345201905,0.257075887501,0.393214991735,0.413972830143,0.308894177044,0.428053031886,13,10,86,10,2,21,8,202,5,2,15,9,389,5,7,1443,1285,12299,1258,246
1995-07-27,1995-05-16,1995-11-14,0.21256287657,0.273862833771,0.265176313956,0.113894037924,0.348152073951,0.470867634026,0.367234028434,0.217239986166,10,86,10,2,41,8,202,5,2,62,9,389,5,7,307,1285,12299,1258,246,4949
1995-11-14,1995-07-27,1996-02-06,0.351551672753,0.63693208239,0.224551082952,0.252600535951,0.661561166683,0.850966804122,0.391267166909,0.364055955762,86,10,2,41,14,202,5,2,62,17,389,5,7,307,10,12299,1258,246,4949,1603
1996-02-06,1995-11-14,1996-05-14,0.42091861958,0.154198149529,0.198284621101,0.431721768723,0.671029196081,0.276758146459,0.333608799571,0.704990498438,10,2,41,14,75,5,2,62,17,108,5,7,307,10,102,1258,246,4949,1603,9566
1996-05-14,1996-02-06,1996-08-13,0.135422322411,0.190999401413,0.244260955506,0.223194642565,0.328152461668,0.408001484674,0.519342738674,0.480878956057,2,41,14,75,17,2,62,17,108,62,7,307,10,102,112,246,4949,1603,9566,3491
1996-08-13,1996-05-14,1996-11-14,0.259774456155,0.566617188246,0.416691024711,0.290010897622,0.388468053869,0.833223919604,0.672774495569,0.530909012344,41,14,75,17,10,62,17,108,62,14,307,10,102,112,7,4949,1603,9566,3491,1485
1996-11-14,1996-08-13,1997-03-26,0.243339799509,0.197401512073,0.181792825372,0.251547423651,0.504695994034,0.427078179608,0.508650761032,0.486703598043,14,75,17,10,37,17,108,62,14,111,10,102,112,7,266,1603,9566,3491,1485,5010
1997-03-26,1996-11-14,1997-05-14,0.912479997375,0.233257714432,0.434667046685,0.217363975768,0.980330264176,0.487863805415,0.682972027986,0.440091868081,75,17,10,37,88,108,62,14,111,117,102,112,7,266,101,9566,3491,1485,5010,10094
1997-05-14,1997-03-26,1997-07-21,0.286681977024,0.639267076516,0.268829804546,0.497045997024,0.549699303793,0.847324915399,0.491325920997,0.726925865266,17,10,37,88,13,62,14,111,117,15,112,7,266,101,8,3491,1485,5010,10094,1677
1997-07-21,1997-05-14,1997-08-14,0.422667009476,0.217691532775,0.598480964554,0.512086873124,0.662967826873,0.423111135577,0.773802459589,0.71970268953,10,37,88,13,17,14,111,117,15,23,7,266,101,8,13,1485,5010,10094,1677,2060
1997-08-14,1997-07-21,1997-11-07,0.259656347254,0.474242318161,0.77461382749,0.495463530112,0.48709706065,0.710173150359,0.895315916181,0.715530404395,37,88,13,17,13,111,117,15,23,15,266,101,8,13,8,5010,10094,1677,2060,1774
1997-11-07,1997-08-14,1998-03-31,0.228890863293,0.184126438372,0.152813401955,0.182509075298,0.401197969413,0.332847414309,0.301697896768,0.332847404953,88,13,17,13,216,117,15,23,15,954,101,8,13,8,2174,10094,1677,2060,1774,30461
1998-03-31,1997-11-07,1998-05-14,0.273604254516,0.294373591426,0.264740698077,0.347201224756,0.430775852341,0.45622703748,0.425875493673,0.533359067729,13,17,13,216,329,15,23,15,954,767,8,13,8,2174,1485,1677,2060,1774,30461,29707
1998-05-14,1998-03-31,1998-05-21,0.429044129947,0.59066242418,0.185324151759,0.316576027187,0.674127572305,0.800657194442,0.340582943546,0.471834745516,17,13,216,329,21,23,15,954,767,21,13,8,2174,1485,15,2060,1774,30461,29707,2317
1998-05-21,1998-05-14,1998-05-26,0.446117995666,0.176076385974,0.276728179862,0.748263745296,0.670821024514,0.368930620188,0.461244026312,0.81533072397,13,216,329,21,10,15,954,767,21,9,8,2174,1485,15,16,1774,30461,29707,2317,1166
1998-05-26,1998-05-21,1998-07-22,0.165686368501,0.249879986844,0.20539409711,0.209305679711,0.327150303805,0.371961421984,0.389579853904,0.439744653771,216,329,21,10,5,954,767,21,9,12,2174,1485,15,16,36,30461,29707,2317,1166,926
1998-07-22,1998-05-26,1998-08-10,0.250466287542,0.204630010095,0.209517550336,0.992916025593,0.372629278512,0.387834815962,0.439459650077,0.998438144137,329,21,10,5,5,767,21,9,12,12,1485,15,16,36,36,29707,2317,1166,926,921
1998-08-10,1998-07-22,1998-08-19,0.705803823642,0.549970280558,0.22766031088,0.227694943582,0.873088617394,0.730416224446,0.410533667664,0.410208218178,21,10,5,5,24,21,9,12,12,26,15,16,36,36,18,2317,1166,926,921,2927
1998-08-19,1998-08-10,1998-11-13,0.279766329997,0.183120708591,0.182916158734,0.827894927972,0.51427873431,0.351737878164,0.350836984058,0.908241509295,10,5,5,24,14,9,12,12,26,15,16,36,36,18,12,1166,926,921,2927,1704
1998-11-13,1998-08-19,1999-02-12,0.159338720041,0.15988466651,0.213118930228,0.15708507675,0.315828121898,0.316915446092,0.371750673174,0.279658186422,5,5,24,14,215,12,12,26,15,1039,36,36,18,12,2194,926,921,2927,1704,31319
1999-02-12,1998-11-13,1999-03-29,0.179802218882,0.578981592453,0.483028843046,0.213184573332,0.379074073733,0.812375559135,0.732591197403,0.361432146662,5,24,14,215,23,12,26,15,1039,69,36,18,12,2194,19,921,2927,1704,31319,3033
1999-03-29,1999-02-12,1999-05-14,0.23936388994,0.19700205623,0.332642123805,0.220608936937,0.380059598766,0.317225230882,0.500378529146,0.363016104776,24,14,215,23,570,26,15,1039,69,1553,18,12,2194,19,3177,2927,1704,31319,3033,54861
1999-05-14,1999-03-29,1999-08-13,0.285145977753,0.284163318469,0.38901183584,0.287687904102,0.47230717816,0.46531632427,0.52659153734,0.418968910553,14,215,23,570,52,15,1039,69,1553,152,12,2194,19,3177,340,1704,31319,3033,54861,7923
1999-08-13,1999-05-14,1999-11-15,0.180354064668,0.651839061654,0.206531736821,0.463783296586,0.322640534441,0.824032992593,0.32459847555,0.576143350907,215,23,570,52,30,1039,69,1553,152,98,2194,19,3177,340,26,31319,3033,54861,7923,4250
1999-11-15,1999-08-13,2000-03-30,0.191423866139,0.318440143143,0.29245822377,0.204293040008,0.346422412045,0.486305368666,0.480185832677,0.334292452743,23,570,52,30,309,69,1553,152,98,1041,19,3177,340,26,2302,3033,54861,7923,4250,35036
2000-03-30,1999-11-15,2000-05-11,0.348813024482,0.345034261409,0.482034233827,0.208678010973,0.436108766735,0.547267785922,0.742097562026,0.337488830427,570,52,30,309,141,1553,152,98,1041,304,3177,340,26,2302,266,54861,7923,4250,35036,16060
2000-05-11,2000-03-30,2000-08-09,0.341339995079,0.516390449568,0.187482278044,0.602039830684,0.507998988405,0.7354266802,0.302328256986,0.777645094329,52,30,309,141,34,152,98,1041,304,76,340,26,2302,266,55,7923,4250,35036,16060,4126
2000-08-09,2000-05-11,2000-11-13,0.556864850757,0.18342206242,0.589213944687,0.870632073473,0.794308142531,0.304079609718,0.787358917625,0.947831541259,30,309,141,34,37,98,1041,304,76,62,26,2302,266,55,50,4250,35036,16060,4126,4257
2000-11-13,2000-08-09,2001-03-09,0.154776915732,0.183261303663,0.201113428822,0.20828799254,0.353597123337,0.392355050478,0.380549341488,0.388191640951,309,141,34,37,137,1041,304,76,62,318,2302,266,55,50,664,35036,16060,4126,4257,14486
2001-03-09,2000-11-13,2001-05-04,0.485292710665,0.300922995501,0.302671897864,0.162187955787,0.611905455798,0.453036516861,0.460261463075,0.353303507857,141,34,37,137,401,304,76,62,318,1238,266,55,50,664,1607,16060,4126,4257,14486,31651
2001-05-04,2001-03-09,2001-08-03,0.366999556378,0.358334014269,0.151128710647,0.306578596653,0.606484726843,0.606248277359,0.377283522314,0.551337319182,34,37,137,401,81,76,62,318,1238,216,55,50,664,1607,485,4126,4257,14486,31651,10009
2001-08-03,2001-05-04,2001-11-13,0.227755903721,0.0885166267873,0.251354539601,0.278536098817,0.374895173049,0.204591394793,0.400724540947,0.522397839083,37,137,401,81,669,62,318,1238,216,788,50,664,1607,485,1149,4257,14486,31651,10009,24841
2001-11-13,2001-08-03,2002-03-18,0.169716614743,0.267183787315,0.342228726962,0.168364889687,0.377471285205,0.443865435394,0.5770245592,0.274162238112,137,401,81,669,51,318,1238,216,788,62,664,1607,485,1149,47,14486,31651,10009,24841,5038
2002-03-18,2001-11-13,2002-05-08,0.436000291067,0.357230468249,0.261167578941,0.28903652303,0.565642312153,0.601912749614,0.389514144382,0.423261956518,401,81,669,51,491,1238,216,788,62,1165,1607,485,1149,47,2302,31651,10009,24841,5038,45729
2002-05-08,2002-03-18,2002-06-06,0.338233848357,0.161204137304,0.663747431711,0.318919040522,0.579662891397,0.26459188496,0.869180564264,0.446915910111,81,669,51,491,43,216,788,62,1165,75,485,1149,47,2302,48,10009,24841,5038,45729,5025
2002-06-06,2002-05-08,2002-08-12,0.202051971138,0.543912020566,0.503327628463,0.56153488573,0.328664875686,0.772208032081,0.567427335889,0.778708536885,669,51,491,43,145,788,62,1165,75,338,1149,47,2302,48,233,24841,5038,45729,5025,16108
2002-08-12,2002-06-06,2002-11-14,0.27583926638,0.335284104826,0.332593457459,0.280659979097,0.521935479346,0.570922500696,0.550488680432,0.516760566903,51,491,43,145,112,62,1165,75,338,433,47,2302,48,233,656,5038,45729,5025,16108,13849
2002-11-14,2002-08-12,2003-02-20,0.412565518235,0.266589175441,0.252295935952,0.32906002828,0.585158435815,0.398493006752,0.395709120802,0.569692251363,491,43,145,112,258,1165,75,338,433,926,2302,48,233,656,1701,45729,5025,16108,13849,28941
2003-02-20,2002-11-14,2003-05-15,0.544810029474,0.774287213379,0.318307979872,0.311952505602,0.776599435038,0.932002047613,0.57608707424,0.471739307199,43,145,112,258,155,75,338,433,926,584,48,233,656,1701,587,5025,16108,13849,28941,20561
2003-05-15,2003-02-20,2003-07-07,0.480544806672,0.307388197731,0.295940410523,0.551469900563,0.71423059475,0.544411154281,0.444987299105,0.756750457538,145,112,258,155,53,338,433,926,584,137,233,656,1701,587,111,16108,13849,28941,20561,7546
2003-07-07,2003-05-15,2003-08-12,0.299776006687,0.280666711205,0.537986909821,0.980039983102,0.539456546679,0.428571592292,0.748869569851,0.98904552539,112,258,155,53,47,433,926,584,137,130,656,1701,587,111,104,13849,28941,20561,7546,7002
2003-08-12,2003-07-07,2003-11-12,0.265955664683,0.50127229481,0.763872185003,0.750411467905,0.424988960979,0.726692757427,0.880071742624,0.872434161783,258,155,53,47,51,926,584,137,130,137,1701,587,111,104,118,28941,20561,7546,7002,7895
2003-11-12,2003-08-12,2004-03-15,0.331232251249,0.299303403195,0.293745062897,0.317835093296,0.45707403454,0.392106164679,0.39035355192,0.395500439477,155,53,47,51,359,584,137,130,137,1051,587,111,104,118,2067,20561,7546,7002,7895,33412
2004-03-15,2003-11-12,2004-05-10,0.459146230222,0.444814888277,0.471045144397,0.423513279811,0.69949511324,0.690936638816,0.69859224601,0.579505198781,53,47,51,359,259,137,130,137,1051,712,111,104,118,2067,837,7546,7002,7895,33412,25723
2004-05-10,2004-03-15,2004-08-04,0.586932087463,0.586683669301,0.300363140829,0.508290097957,0.825770698434,0.788559650643,0.413322688102,0.686828538408,47,51,359,259,51,130,137,1051,712,155,104,118,2067,837,146,7002,7895,33412,25723,6502
2004-08-04,2004-05-10,2004-11-08,0.285585204599,0.282847529232,0.359996365587,0.309451125405,0.441952622974,0.390348298353,0.559396494835,0.412215673256,51,359,259,51,471,137,1051,712,155,698,118,2067,837,146,1103,7895,33412,25723,6502,22865
2004-11-08,2004-08-04,2005-03-15,0.32483897322,0.453278881096,0.754104814366,0.295478429699,0.45280318337,0.657536612713,0.882761308423,0.405083691045,359,259,51,471,56,1051,712,155,698,156,2067,837,146,1103,142,33412,25723,6502,22865,7970
2005-03-15,2004-11-08,2005-05-03,0.438009367987,0.308226117552,0.240773878823,0.313886072086,0.702579970607,0.511780428561,0.425033049935,0.518218446665,259,51,471,56,445,712,155,698,156,1395,837,146,1103,142,1857,25723,6502,22865,7970,42312
2005-05-03,2005-03-15,2005-08-02,0.699708220361,0.286884169993,0.638248288583,0.376111251844,0.896844314294,0.434910444508,0.828830945463,0.575589470112,51,471,56,445,70,155,698,156,1395,143,146,1103,142,1857,182,6502,22865,7970,42312,8466
2005-08-02,2005-05-03,2005-11-01,0.277487181512,0.48960868848,0.341799416315,0.594729542966,0.447889908553,0.730229301052,0.595724305992,0.784104625253,471,56,445,70,124,698,156,1395,143,256,1103,142,1857,182,462,22865,7970,42312,8466,12891
2005-11-01,2005-08-02,2006-02-14,0.441181176465,0.453713375497,0.488494326859,0.66124233413,0.637046891224,0.706845751671,0.655367074009,0.774403611466,56,445,70,124,355,156,1395,143,256,826,142,1857,182,462,1573,7970,42312,8466,12891,25745
2006-02-14,2005-11-01,2006-05-02,0.422688503043,0.629370784412,0.518609752993,0.452106558496,0.620842236637,0.791741629807,0.706903587665,0.602393145199,445,70,124,355,235,1395,143,256,826,488,1857,182,462,1573,326,42312,8466,12891,25745,23513
2006-05-02,2006-02-14,2006-08-09,0.516385088383,0.412512672445,0.538604706569,0.464046867557,0.734705979677,0.66622187525,0.736803675063,0.667389244244,70,124,355,235,240,143,256,826,488,497,182,462,1573,326,385,8466,12891,25745,23513,16300
2006-08-09,2006-05-02,2006-10-30,0.584639651024,0.532813926937,0.626138068922,0.540473380052,0.80204384278,0.728422863493,0.788232136928,0.754897783088,124,355,235,240,155,256,826,488,497,390,462,1573,326,385,454,12891,25745,23513,16300,17171
2006-10-30,2006-08-09,2007-02-13,0.493929199689,0.691815105888,0.516966441776,0.748181896986,0.650158201192,0.83219380518,0.702689622925,0.851136142367,355,235,240,155,141,826,488,497,390,285,1573,326,385,454,168,25745,23513,16300,17171,14014
2007-02-13,2006-10-30,2007-05-01,0.672648058992,0.716127580735,0.541800809725,0.571637293316,0.858152322858,0.824612660008,0.763396440908,0.760896795634,235,240,155,141,455,488,497,390,285,940,326,385,454,168,605,23513,16300,17171,14014,36587
2007-05-01,2007-02-13,2007-08-06,0.550190649325,0.693725820546,0.787264858152,0.600219429993,0.745585735921,0.834517817222,0.895148653951,0.774893351435,240,155,141,455,120,497,390,285,940,188,385,454,168,605,156,16300,17171,14014,36587,12281
2007-08-06,2007-05-01,2007-10-30,0.600068055952,0.569980450158,0.483458798793,0.640811163649,0.823304276581,0.763955446737,0.737039725009,0.796065288768,155,141,455,120,187,390,285,940,188,550,454,168,605,156,798,17171,14014,36587,12281,21647
2007-10-30,2007-08-06,2008-02-12,0.418289434232,0.359892065849,0.421434208792,0.391717048743,0.578286911424,0.558680165798,0.557292291811,0.58032573928,141,455,120,187,676,285,940,188,550,1178,168,605,156,798,1763,14014,36587,12281,21647,37633
2008-02-12,2007-10-30,2008-02-13,0.225118669356,0.186102437565,0.31471644755,0.222349118012,0.41755588421,0.336251524189,0.542499081688,0.391435215057,455,120,187,676,1086,940,188,550,1178,4056,605,156,798,1763,7207,36587,12281,21647,37633,126034
2008-02-13,2008-02-12,2008-04-29,0.46276374041,0.324573746068,0.269990005433,0.105431296217,0.576011897406,0.471570123432,0.373419508588,0.184760678565,120,187,676,1086,15,188,550,1178,4056,49,156,798,1763,7207,72,12281,21647,37633,126034,3106
2008-04-29,2008-02-13,2008-08-05,0.439482654761,0.453631020814,0.263802325418,0.318876761825,0.670182143179,0.64745346456,0.463204294752,0.423477506906,187,676,1086,15,423,550,1178,4056,49,944,798,1763,7207,72,1138,21647,37633,126034,3106,28468
2008-08-05,2008-04-29,2008-11-04,0.387368797156,0.207515664456,0.335689458794,0.508671942044,0.528394223933,0.359926644245,0.405080751836,0.620659421717,676,1086,15,423,312,1178,4056,49,944,677,1763,7207,72,1138,388,37633,126034,3106,28468,25346
2008-11-04,2008-08-05,2009-02-27,0.209132938054,0.330169816964,0.487612749183,0.860633577849,0.362826873755,0.396491102902,0.605620937456,0.916815311507,1086,15,423,312,316,4056,49,944,677,678,7207,72,1138,388,340,126034,3106,28468,25346,25671
