filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-01,1994-10-05,1995-04-20,0.107646271343,0.145857938853,0.144671500701,0.144671500701,0.271604692852,0.28977685984,0.282301114643,0.282301114643,85,16,17,17,125,35,4,4,4,437,196,9,9,9,1084,8446,1734,2048,2048,15203
1995-04-20,1994-12-01,1995-05-26,0.316105174357,0.309426208676,0.309426208676,0.22083477176,0.56165752472,0.55687824332,0.55687824332,0.394004832193,16,17,17,125,152,4,4,4,437,146,9,9,9,1084,543,1734,2048,2048,15203,13341
1995-05-26,1995-04-20,1995-08-29,0.620304685947,0.620304685947,0.128833594577,0.299840899475,0.849100712158,0.849100712158,0.284045857628,0.547981405145,17,17,125,152,12,4,4,437,146,3,9,9,1084,543,6,2048,2048,15203,13341,1620
1995-08-29,1995-05-26,1995-11-30,0.122852805914,0.0371976177149,0.103315264572,0.145441680632,0.179497598484,0.0800110671496,0.172188998201,0.205877651062,17,125,152,12,0,4,437,146,3,0,9,1084,543,6,1,2048,15203,13341,1620,66
1995-11-30,1995-08-29,1996-04-08,0.133602746827,0.282416726676,0.715087337243,0.128859705105,0.283478427277,0.519046252493,0.88849805107,0.194527706711,125,152,12,0,12,437,146,3,0,2,1084,543,6,1,8,15203,13341,1620,66,1737
1996-04-08,1995-11-30,1996-05-30,0.454317471873,0.169561050033,0.0619447756186,0.164836198473,0.65771238608,0.389358018396,0.126111366914,0.37337018653,152,12,0,12,204,146,3,0,2,515,543,6,1,8,1448,13341,1620,66,1737,23759
1996-05-30,1996-04-08,1996-08-27,0.734252265891,0.162907949049,0.670442513247,0.179059311386,0.921508757773,0.234635830345,0.865343142391,0.389686930263,12,0,12,204,10,3,0,2,515,3,6,1,8,1448,6,1620,66,1737,23759,1364
1996-08-27,1996-05-30,1996-09-09,0.023340300149,0.0568211798308,0.418903180141,0.0601621338507,0.0495769990537,0.135000057784,0.580611605636,0.137427856512,0,12,204,10,715,0,2,515,3,2551,1,8,1448,6,6319,66,1737,23759,1364,76802
1996-09-09,1996-08-27,1996-11-22,0.0571016036735,0.419005774616,0.0605191478753,0.999997028623,0.135696154655,0.58093558041,0.138275911654,0.999992894825,12,204,10,715,717,2,515,3,2551,2551,8,1448,6,6319,6320,1737,23759,1364,76802,76892
1996-11-22,1996-09-09,1997-04-22,0.16764262964,0.65730657628,0.0786815968003,0.0789678638282,0.391115804636,0.863201106072,0.176737100862,0.177456588873,204,10,715,717,10,515,3,2551,2551,2,1448,6,6319,6320,7,23759,1364,76802,76892,1814
1997-04-22,1996-11-22,1997-06-02,0.389102803328,0.0823322265489,0.0825607572376,0.386868087273,0.665365858549,0.173052336222,0.173662443743,0.671244165118,10,715,717,10,120,3,2551,2551,2,78,6,6319,6320,7,193,1364,76802,76892,1814,10246
1997-06-02,1997-04-22,1997-08-28,0.0614933886856,0.0618250784002,0.657882200429,0.391129497218,0.144354951258,0.145177818712,0.876520534819,0.685913942891,715,717,10,120,14,2551,2551,2,78,2,6319,6320,7,193,6,76802,76892,1814,10246,1583
1997-08-28,1997-06-02,1997-12-02,0.0590915029309,0.58546362187,0.371458256143,0.659161111862,0.137376056221,0.831930710409,0.655982573558,0.860555104788,717,10,120,14,18,2551,2,78,2,5,6320,7,193,6,9,76892,1814,10246,1583,2016
1997-12-02,1997-08-28,1998-04-23,0.589562956032,0.377661309594,0.627159250881,0.655716524708,0.865046656012,0.675179082707,0.868068906356,0.867326643132,10,120,14,18,20,2,78,2,5,10,7,193,6,9,24,1814,10246,1583,2016,2101
1998-04-23,1997-12-02,1998-06-01,0.689679411916,0.313100759496,0.314062585909,0.332160611496,0.858778627381,0.584346987474,0.591032277435,0.594342494065,120,14,18,20,157,78,2,5,10,177,193,6,9,24,550,10246,1583,2016,2101,16184
1998-06-01,1998-04-23,1998-09-01,0.596669017431,0.495615932711,0.53437020536,0.39196944609,0.872904062892,0.783606813269,0.827170002681,0.639521311556,14,18,20,157,10,2,5,10,177,7,6,9,24,550,6,1583,2016,2101,16184,1827
1998-09-01,1998-06-01,1998-12-08,0.304855173536,0.227977783468,0.485772778085,0.317217470692,0.514157025461,0.451562303044,0.664543043222,0.478352741896,18,20,157,10,54,5,10,177,7,64,9,24,550,6,287,2016,2101,16184,1827,5688
1998-12-08,1998-09-01,1999-01-11,0.58639146402,0.373769483331,0.73546657966,0.302277447518,0.867787513057,0.640993709719,0.905594625852,0.478397234934,20,157,10,54,13,10,177,7,64,25,24,550,6,287,12,2101,16184,1827,5688,2461
1999-01-11,1998-12-08,1999-04-19,0.373801923995,0.735409966762,0.302288689345,0.998884528465,0.641112377596,0.90558620072,0.478462674844,0.999862338223,157,10,54,13,13,177,7,64,25,25,550,6,287,12,12,16184,1827,5688,2461,2461
1999-04-19,1999-01-11,1999-06-03,0.140184630033,0.211969683331,0.139593348061,0.139656958618,0.319934971306,0.394162213063,0.315871591873,0.316051644947,10,54,13,13,406,7,64,25,25,1094,6,287,12,12,2648,1827,5688,2461,2461,40161
1999-06-03,1999-04-19,1999-08-27,0.786705388105,0.39765676354,0.397712683586,0.174256118029,0.871379814375,0.643071357346,0.643255612754,0.369111466507,54,13,13,406,42,64,25,25,1094,51,287,12,12,2648,138,5688,2461,2461,40161,3881
1999-08-27,1999-06-03,1999-12-03,0.655045511379,0.655058196934,0.123120400225,0.402192007282,0.872975372924,0.873088155859,0.296211542607,0.651676826651,13,13,406,42,14,25,25,1094,51,30,12,12,2648,138,13,2461,2461,40161,3881,2478
1999-12-03,1999-08-27,2000-04-21,0.121600416105,0.291374743842,0.167114592587,0.117403841212,0.270675193552,0.54750658233,0.344294567098,0.260042867338,13,406,42,14,127,25,1094,51,30,509,12,2648,138,13,1271,2461,40161,3881,2478,19760
2000-04-21,1999-12-03,2000-05-25,0.318694525764,0.339516942903,0.31463246069,0.257101125189,0.51501899055,0.641155773009,0.612841493111,0.417278656718,406,42,14,127,152,1094,51,30,509,101,2648,138,13,1271,433,40161,3881,2478,19760,13950
2000-05-25,2000-04-21,2000-08-24,0.375200115048,0.561996709836,0.111169757604,0.354946250211,0.641019210077,0.818728026149,0.258612177412,0.621506179822,42,14,127,152,6,51,30,509,101,5,138,13,1271,433,9,3881,2478,19760,13950,1788
2000-08-24,2000-05-25,2000-11-22,0.457384371632,0.147902084906,0.345982964283,0.423200795587,0.707282855998,0.315380919485,0.628947894941,0.65919083163,14,127,152,6,35,30,509,101,5,35,13,1271,433,9,134,2478,19760,13950,1788,3604
2000-11-22,2000-08-24,2001-04-23,0.109297096322,0.323819426595,0.708643949312,0.457750269353,0.254010039768,0.594362548218,0.902665205158,0.677148394562,127,152,6,35,9,509,101,5,35,7,1271,433,9,134,10,19760,13950,1788,3604,2005
2001-04-23,2000-11-22,2001-05-29,0.577528604776,0.265831448393,0.29522533722,0.241787375148,0.755565745243,0.467615474573,0.512478960162,0.438350217139,152,6,35,9,312,101,5,35,7,565,433,9,134,10,1419,13950,1788,3604,2005,27032
2001-05-29,2001-04-23,2001-08-27,0.610715867854,0.328432137286,0.58918659689,0.229298835431,0.87843793674,0.60324303478,0.833368668319,0.428873214786,6,35,9,312,13,5,35,7,565,13,9,134,10,1419,13,1788,3604,2005,27032,1991
2001-08-27,2001-05-29,2001-11-28,0.339525075788,0.417639346279,0.362817482216,0.46118254915,0.615356132876,0.698943095529,0.655886144497,0.682933031102,35,9,312,13,27,35,7,565,13,76,134,10,1419,13,94,3604,2005,27032,1991,3326
2001-11-28,2001-08-27,2002-04-19,0.255732446155,0.694789907387,0.220231822387,0.418305825638,0.41007930273,0.818850694896,0.356877145085,0.718155936035,9,312,13,27,132,7,565,13,76,234,10,1419,13,94,402,2005,27032,1991,3326,7792
2002-04-19,2001-11-28,2002-06-04,0.541001789891,0.306090859056,0.286238149284,0.283808999255,0.738416261211,0.60566176965,0.603668270395,0.501310901278,312,13,27,132,216,565,13,76,234,163,1419,13,94,402,349,27032,1991,3326,7792,17057
