filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-30,1994-11-14,1995-05-12,0.844890591037,0.40599618016,0.395162948159,0.415517722033,0.971308363216,0.703706018159,0.68510308291,0.71067314827,88,15,20,15,91,203,22,49,48,193,158,9,25,19,144,11723,1533,1946,1928,11593
1995-05-12,1995-03-30,1995-08-14,0.600171676245,0.458206295059,0.473238680546,0.410308739755,0.905151885667,0.786410563579,0.798825179613,0.686078998972,15,20,15,91,13,22,49,48,193,18,9,25,19,144,11,1533,1946,1928,11593,1361
1995-08-14,1995-05-12,1995-11-14,0.614119719354,0.455710547747,0.399872522226,0.603409352377,0.901404800646,0.796169784207,0.67937698567,0.844391541401,20,15,91,13,9,49,48,193,18,23,25,19,144,11,11,1946,1928,11593,1361,1586
1995-11-14,1995-08-14,1996-03-27,0.542980805011,0.406217264197,0.590935289786,0.634735016688,0.887099981876,0.68343904472,0.849362825351,0.849627365999,15,91,13,9,13,48,193,18,23,31,19,144,11,11,11,1928,11593,1361,1586,1661
1996-03-27,1995-11-14,1996-05-14,0.852462691321,0.409764365055,0.408196101381,0.429568974268,0.971948328918,0.687768642356,0.682774188595,0.69331631077,91,13,9,13,85,193,18,23,31,214,144,11,11,11,122,11593,1361,1586,1661,11305
1996-05-14,1996-03-27,1996-08-13,0.666911721776,0.530285617139,0.545707781214,0.440404466212,0.924584854555,0.826566958046,0.845833988517,0.726060033016,13,9,13,85,16,18,23,31,214,20,11,11,11,122,9,1361,1586,1661,11305,1502
1996-08-13,1996-05-14,1996-11-14,0.626401471548,0.484108661382,0.413074775067,0.553289099738,0.893615449811,0.803889941696,0.715648103231,0.831674135866,9,13,85,16,23,23,31,214,20,37,11,11,122,9,19,1586,1661,11305,1502,1857
1996-11-14,1996-08-13,1997-03-26,0.630533166237,0.41021175822,0.562031130638,0.572508498275,0.910098282659,0.692931952458,0.845558768588,0.840462296239,13,85,16,23,21,31,214,20,37,37,11,122,9,19,14,1661,11305,1502,1857,1720
1997-03-26,1996-11-14,1997-05-13,0.834924326272,0.433875507819,0.424064525691,0.434079500023,0.970839462927,0.716637002829,0.715514797826,0.696546807342,85,16,23,21,84,214,20,37,37,195,122,9,19,14,132,11305,1502,1857,1720,10525
1997-05-13,1997-03-26,1997-08-12,0.661161600075,0.473785198431,0.514032133541,0.415720177324,0.930530031126,0.804555983936,0.833197432262,0.702006138002,16,23,21,84,11,20,37,37,195,17,9,19,14,132,8,1502,1857,1720,10525,1472
1997-08-12,1997-05-13,1997-11-13,0.0812025239459,0.0741695438341,0.0980261834207,0.0823827326636,0.207330368438,0.197629295016,0.22380127404,0.215302998338,23,21,84,11,190,37,37,195,17,546,19,14,132,8,1803,1857,1720,10525,1472,24246
1997-11-13,1997-08-12,1998-03-30,0.609597037754,0.418601041979,0.521476472926,0.0840797795651,0.907719718406,0.695992940357,0.834817494819,0.207512149147,21,84,11,190,15,37,195,17,546,27,14,132,8,1803,19,1720,10525,1472,24246,1805
1998-03-30,1997-11-13,1998-05-14,0.841344577732,0.411408013467,0.0999165482198,0.416139134324,0.971403993549,0.697489613447,0.223612676663,0.692152262674,84,11,190,15,90,195,17,546,27,180,132,8,1803,19,125,10525,1472,24246,1805,11419
1998-05-14,1998-03-30,1998-08-13,0.598410996281,0.0798045025658,0.50328432372,0.439451888985,0.898148841286,0.211477040314,0.823728418707,0.721913637362,11,190,15,90,14,17,546,27,180,36,8,1803,19,125,8,1472,24246,1805,11419,1635
1998-08-13,1998-05-14,1998-11-13,0.0856125568265,0.476957426892,0.422601984792,0.618448533685,0.211527212824,0.804910241408,0.706929467388,0.854321774232,190,15,90,14,20,546,27,180,36,38,1803,19,125,8,10,24246,1805,11419,1635,2048
1998-11-13,1998-08-13,1999-03-29,0.543850563793,0.413736285548,0.525374909666,0.56195933336,0.868376767453,0.718736579075,0.840483487213,0.837629701804,15,90,14,20,23,27,180,36,38,50,19,125,8,10,9,1805,11419,1635,2048,2479
1999-03-29,1998-11-13,1999-05-14,0.727969938226,0.376511259399,0.369211859482,0.401790818955,0.925977269089,0.67710822659,0.668655597805,0.697677233753,90,14,20,23,158,180,36,38,50,261,125,8,10,9,298,11419,1635,2048,2479,15593
