filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-05-15,1997-03-28,1997-08-14,0.880250411867,0.363819741755,0.374626260023,0.388394861114,0.9648282076,0.515016407826,0.531175835022,0.56620607983,99,62,72,773,117,209,119,226,2001,182,344,81,129,4575,369,7947,4203,5534,73798,8385
1997-08-14,1997-05-15,1997-11-14,0.365934372655,0.278196549767,0.370816228788,0.437429759643,0.547606270488,0.467520959084,0.560313926518,0.609190655109,62,72,773,117,121,119,226,2001,182,280,81,129,4575,369,837,4203,5534,73798,8385,11616
1997-11-14,1997-08-14,1998-03-27,0.202769739814,0.35129248846,0.368253853425,0.300444906922,0.321383585531,0.55497479384,0.524462798987,0.44038242278,72,773,117,121,346,226,2001,182,280,1037,129,4575,369,837,1275,5534,73798,8385,11616,20257
1998-03-27,1997-11-14,1998-05-15,0.52129293898,0.622328403383,0.648889148739,0.524339819224,0.696357092141,0.773344907688,0.742921938687,0.633515835775,773,117,121,346,548,2001,182,280,1037,1037,4575,369,837,1275,1620,73798,8385,11616,20257,38162
1998-05-15,1998-03-27,1998-08-14,0.478528546567,0.311522823038,0.20116937627,0.488122033452,0.639787661253,0.490053903403,0.323832455989,0.668091104197,117,121,346,548,81,182,280,1037,1037,100,369,837,1275,1620,93,8385,11616,20257,38162,4752
1998-08-14,1998-05-15,1998-11-16,0.549568482932,0.223574934308,0.512365766861,0.621368202494,0.706306099988,0.356171024174,0.704899013697,0.778166643739,121,346,548,81,89,280,1037,1037,100,179,837,1275,1620,93,199,11616,20257,38162,4752,7415
1998-11-16,1998-08-14,1999-03-26,0.366875826695,0.622103742325,0.546670376257,0.617756969245,0.517221845468,0.786032038898,0.702906792079,0.769008547714,346,548,81,89,138,1037,1037,100,179,224,1275,1620,93,199,313,20257,38162,4752,7415,10270
1999-03-26,1998-11-16,1999-05-17,0.844292565171,0.455989863544,0.49453168532,0.58599641446,0.936120984508,0.63430666086,0.672708307664,0.74982520551,548,81,89,138,597,1037,100,179,224,1160,1620,93,199,313,1905,38162,4752,7415,10270,44108
1999-05-17,1999-03-26,1999-08-13,0.79773429499,0.568608870778,0.553500337051,0.489163907635,0.950641294897,0.758710613261,0.704751306785,0.653796237866,81,89,138,597,86,100,179,224,1160,139,93,199,313,1905,111,4752,7415,10270,44108,5607
1999-08-13,1999-05-17,1999-11-12,0.73402643331,0.533277675673,0.429364983893,0.712303642281,0.87774716519,0.689750190595,0.590158217582,0.817271495793,89,138,597,86,87,179,224,1160,139,162,199,313,1905,111,111,7415,10270,44108,5607,6307
