filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-30,1994-11-09,1995-04-13,0.56241460262,0.2402167289,0.68679357629,0.427601421501,0.686181569083,0.421981913064,0.841420417348,0.598772512632,225,14,102,38,284,223,18,145,41,585,178,21,439,158,1049,13772,1679,7699,3781,24290
1995-04-13,1995-03-30,1995-05-09,0.169428161967,0.103572391482,0.113433446591,0.19940833477,0.375192328854,0.234535141614,0.266861063436,0.337332755991,14,102,38,284,3,18,145,41,585,3,21,439,158,1049,10,1679,7699,3781,24290,412
1995-05-09,1995-04-13,1995-08-08,0.221462210148,0.319091305276,0.296719089932,0.148364723713,0.403648322648,0.566656022439,0.504457386453,0.349282217631,102,38,284,3,10,145,41,585,3,40,439,158,1049,10,36,7699,3781,24290,412,1876
1995-08-08,1995-05-09,1995-10-27,0.338366657881,0.29876673113,0.12408967544,0.614729722745,0.581808612071,0.507620778736,0.306815859844,0.84868372083,38,284,3,10,14,41,585,3,40,70,158,1049,10,36,54,3781,24290,412,1876,2475
1995-10-27,1995-08-08,1995-10-31,0.287982644184,0.12188347246,0.505441201385,0.6473128644,0.518096376339,0.309106125939,0.821980585633,0.869205884201,284,3,10,14,18,585,3,40,70,50,1049,10,36,54,82,24290,412,1876,2475,2733
1995-10-31,1995-10-27,1996-04-01,0.310131261906,0.152201205635,0.115006937048,0.136264870147,0.592369068442,0.293668434079,0.238286483128,0.266075279475,3,10,14,18,2,3,40,70,50,0,10,36,54,82,8,412,1876,2475,2733,228
1996-04-01,1995-10-31,1996-05-15,0.38028525322,0.378751697686,0.367928993003,0.0989536296587,0.694961098995,0.693709443201,0.691405294368,0.187590864671,10,14,18,2,118,40,70,50,0,207,36,54,82,8,112,1876,2475,2733,228,11436
1996-05-15,1996-04-01,1996-08-07,0.160853547024,0.161345273596,0.0764280923285,0.208749696948,0.408031944888,0.420389528029,0.19017512605,0.448869586188,14,18,2,118,117,70,50,0,207,85,54,82,8,112,183,2475,2733,228,11436,4846
1996-08-07,1996-05-15,1996-11-13,0.396133293836,0.143137575442,0.447244660563,0.262223985521,0.741178841749,0.250703494386,0.729703669751,0.459809855459,18,2,118,117,14,50,0,207,85,39,82,8,112,183,20,2733,228,11436,4846,2375
1996-11-13,1996-08-07,1997-03-31,0.145215984584,0.436664879708,0.236312178121,0.722932246547,0.258746597548,0.745445812216,0.456414832333,0.898099838181,2,118,117,14,19,0,207,85,39,50,8,112,183,20,19,228,11436,4846,2375,2651
1997-03-31,1996-11-13,1997-05-14,0.681502751067,0.30588836519,0.409026335767,0.400954889255,0.828540674203,0.59288011815,0.647451732908,0.660931582014,118,117,14,19,221,207,85,39,50,387,112,183,20,19,544,11436,4846,2375,2651,16374
