filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-02,1994-11-07,1995-05-08,0.717550423052,0.135900819021,0.191110086957,0.339235040925,0.919434746423,0.312044625199,0.393763362119,0.634447793426,301,143,108,34,229,297,178,204,27,199,513,289,467,15,338,17627,5917,8193,2182,14462
1995-05-08,1995-03-02,1995-08-09,0.53935863589,0.219655412748,0.169930715395,0.146312620403,0.753501433399,0.4652757036,0.3693876417,0.321532607592,143,108,34,229,56,178,204,27,199,89,289,467,15,338,166,5917,8193,2182,14462,4446
1995-08-09,1995-05-08,1995-11-09,0.248724370626,0.0707591697046,0.145434513352,0.122932399136,0.474738862187,0.181688994363,0.314124395819,0.271014717522,108,34,229,56,651,204,27,199,89,952,467,15,338,166,2832,8193,2182,14462,4446,42581
1995-11-09,1995-08-09,1996-02-27,0.201144069705,0.208784995271,0.125921027119,0.168772250003,0.504722774832,0.551735391815,0.336487980333,0.438045929866,34,229,56,651,72,27,199,89,952,159,15,338,166,2832,417,2182,14462,4446,42581,6669
1996-02-27,1995-11-09,1996-05-08,0.885178517591,0.150213528696,0.144413943948,0.216042665443,0.977803736975,0.322353251759,0.313314092766,0.557713507906,229,56,651,72,237,199,89,952,159,178,338,166,2832,417,338,14462,4446,42581,6669,14524
1996-05-08,1996-02-27,1996-08-14,0.210631187011,0.184983736104,0.163019476377,0.170126331318,0.391134042248,0.374150258598,0.3929199931,0.33530848961,56,651,72,237,36,89,952,159,178,82,166,2832,417,338,309,4446,42581,6669,14524,5201
1996-08-14,1996-05-08,1996-11-07,0.312487488501,0.204120410233,0.318441035415,0.183457933255,0.494850632296,0.55488562252,0.636405420222,0.365467898314,651,72,237,36,83,952,159,178,82,87,2832,417,338,309,227,42581,6669,14524,5201,4933
1996-11-07,1996-08-14,1997-02-28,0.209612141511,0.362129978352,0.199946685282,0.49249977407,0.496897939335,0.648919348439,0.348832514249,0.700410704161,72,237,36,83,60,159,178,82,87,41,417,338,309,227,10,6669,14524,5201,4933,2710
1997-02-28,1996-11-07,1997-05-13,0.684814570776,0.237782182994,0.315483248727,0.371059505356,0.869918584168,0.439196282354,0.60733769305,0.632399769024,237,36,83,60,294,178,82,87,41,215,338,309,227,10,439,14524,5201,4933,2710,16844
1997-05-13,1997-02-28,1997-08-14,0.160434024651,0.0614280036992,0.063108906356,0.108319381276,0.365760218532,0.179965179909,0.176314235749,0.288601005108,36,83,60,294,94,82,87,41,215,287,309,227,10,439,692,5201,4933,2710,16844,11869
1997-08-14,1997-05-13,1997-11-07,0.561596257037,0.408437519969,0.297320122951,0.0671929817243,0.856864127608,0.711135773494,0.601984259171,0.196239899083,83,60,294,94,93,87,41,215,287,101,227,10,439,692,172,4933,2710,16844,11869,4766
1997-11-07,1997-08-14,1998-02-26,0.633802110604,0.358074504106,0.0682477024945,0.471409189748,0.914664765652,0.647206641772,0.187034582297,0.731221661058,60,294,94,93,70,41,215,287,101,41,10,439,692,172,10,2710,16844,11869,4766,2964
1998-02-26,1997-11-07,1998-05-12,0.730428152447,0.0743935105263,0.343625485872,0.465767134886,0.89150364111,0.20250637322,0.635919946018,0.717197977375,294,94,93,70,253,215,287,101,41,213,439,692,172,10,379,16844,11869,4766,2964,15855
