filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-02-14,1994-12-22,1995-02-24,0.519587589026,0.452525264561,0.437757475779,0.28952893011,0.835909139954,0.758045354454,0.750716971002,0.518385002733,9,11,10,100,12,28,25,19,165,11,24,20,18,241,12,1222,1283,1228,11481,1119
1995-02-24,1995-02-14,1995-05-15,0.451184110657,0.437174355055,0.289314131226,0.998224226418,0.757514615768,0.750314248182,0.518257213347,0.99954425763,11,10,100,12,12,25,19,165,11,11,20,18,241,12,13,1283,1228,11481,1119,1119
1995-05-15,1995-02-24,1995-08-14,0.457960637264,0.284511543787,0.726572000045,0.724991616982,0.774556184222,0.526856698217,0.886698440786,0.886235487021,10,100,12,12,16,19,165,11,11,9,18,241,12,13,12,1228,11481,1119,1119,1222
1995-08-14,1995-05-15,1995-12-22,0.277276215387,0.646244648747,0.645598800204,0.700944287899,0.523203243559,0.852602284965,0.852368289601,0.889473195344,100,12,12,16,12,165,11,11,9,9,241,12,13,12,12,11481,1119,1119,1222,1216
1995-12-22,1995-08-14,1996-02-13,0.306844579759,0.306601877512,0.30291536766,0.301996515932,0.530171143647,0.530014166373,0.53614943818,0.533013810604,12,12,16,12,140,11,11,9,9,197,12,13,12,12,245,1119,1119,1222,1216,11839
1996-02-13,1995-12-22,1996-05-08,0.604069564427,0.506444208194,0.528395473631,0.301329366859,0.868267229119,0.802357660405,0.810601757887,0.550020925485,12,16,12,140,11,11,9,9,197,16,13,12,12,245,24,1119,1222,1216,11839,1143
1996-05-08,1996-02-13,1996-08-14,0.614900141302,0.543035859782,0.292685134405,0.557342022373,0.864340465432,0.81346984558,0.535275569705,0.840309511896,16,12,140,11,15,9,9,197,16,14,12,12,245,24,18,1222,1216,11839,1143,1261
1996-08-14,1996-05-08,1996-12-27,0.658993314298,0.290991104655,0.549077456858,0.62770001927,0.883556099744,0.534008224491,0.830795217219,0.869026280115,12,140,11,15,15,9,197,16,14,12,12,245,24,18,14,1216,11839,1143,1261,1167
1996-12-27,1996-08-14,1997-02-14,0.443178268726,0.176572570497,0.190799312662,0.178334741104,0.614765813095,0.366530479978,0.38404978349,0.362787631338,140,11,15,15,312,197,16,14,12,599,245,24,18,14,1430,11839,1143,1261,1167,26234
1997-02-14,1996-12-27,1997-05-13,0.586245974883,0.506282056933,0.504291553781,0.209059617912,0.855207061363,0.785899066665,0.76065168574,0.399701454093,11,15,15,312,15,16,14,12,599,26,24,18,14,1430,26,1143,1261,1167,26234,1500
