filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-02-13,1994-11-14,1995-05-15,0.260655134496,0.595850603158,0.112039808919,0.134925213056,0.387339994931,0.812987836277,0.233570131786,0.222541844311,33,11,909,77,17,97,1,1159,279,31,221,7,1860,718,33,3397,1009,42766,9830,1528
1995-05-15,1995-02-13,1995-09-08,0.651336470799,0.112845510942,0.134742734372,0.772173861703,0.864887920415,0.236714017643,0.224073272945,0.903100379105,11,909,77,17,19,1,1159,279,31,29,7,1860,718,33,34,1009,42766,9830,1528,1561
1995-09-08,1995-05-15,1995-11-14,0.733140879665,0.273323671581,0.226000478976,0.226976127048,0.845163708793,0.473490209152,0.41375574716,0.413484013086,909,77,17,19,184,1159,279,31,29,429,1860,718,33,34,645,42766,9830,1528,1561,18833
1995-11-14,1995-09-08,1996-02-09,0.117533369544,0.391657837405,0.392287626644,0.18335184766,0.222064303924,0.705342221266,0.70537438511,0.376425647919,77,17,19,184,10,279,31,29,429,14,718,33,34,645,19,9830,1528,1561,18833,1077
1996-02-09,1995-11-14,1996-05-02,0.489824991407,0.40494891165,0.182473586525,0.639216576086,0.788696336361,0.71340636253,0.384623830262,0.852738837108,17,19,184,10,14,31,29,429,14,12,33,34,645,19,19,1528,1561,18833,1077,1211
1996-05-02,1996-02-09,1996-09-18,0.174624273397,0.224578271138,0.197268130145,0.218956237051,0.355094308936,0.45084091518,0.368807681514,0.377477466983,19,184,10,14,66,29,429,14,12,95,34,645,19,19,351,1561,18833,1077,1211,5915
1996-09-18,1996-05-02,1996-11-08,0.860889016148,0.15888695858,0.157043307131,0.311381462102,0.920001415907,0.321699450257,0.325499796574,0.5754902433,184,10,14,66,363,429,14,12,95,724,645,19,19,351,1364,18833,1077,1211,5915,28672
1996-11-08,1996-09-18,1997-02-11,0.540795241926,0.431949230276,0.170807993923,0.171960695933,0.876158823058,0.792146632724,0.363361112692,0.339811716973,10,14,66,363,13,14,12,95,724,23,19,19,351,1364,41,1077,1211,5915,28672,1246
1997-02-11,1996-11-08,1997-05-09,0.0593236758995,0.146503262418,0.193786313251,0.0582200876766,0.143755662286,0.331877874664,0.361199174905,0.141894386674,14,66,363,13,208,12,95,724,23,722,19,351,1364,41,2039,1211,5915,28672,1246,27261
1997-05-09,1997-02-11,1997-08-29,0.209877132998,0.170286612669,0.502458518174,0.0696087943528,0.411027643354,0.352232965945,0.819439780163,0.153586758585,66,363,13,208,19,95,724,23,722,11,351,1364,41,2039,14,5915,28672,1246,27261,1384
1997-08-29,1997-05-09,1997-09-04,0.691397457722,0.123030022021,0.187858307932,0.13616228059,0.83911581305,0.263887988558,0.369981500807,0.27854678842,363,13,208,19,745,724,23,722,11,832,1364,41,2039,14,1586,28672,1246,27261,1384,34564
