filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-10,1994-11-09,1995-05-10,0.60194128004,0.337760694416,0.332191456708,0.311185227742,0.745994866675,0.567885498508,0.532360147379,0.545603945167,128,20,17,42,360,62,10,4,23,429,75,6,8,11,678,9960,1665,1709,2287,19141
1995-05-10,1995-03-10,1995-07-28,0.256651914983,0.20708258549,0.192654759383,0.368048633684,0.457431951026,0.387151025314,0.381547496983,0.556483128124,20,17,42,360,41,10,4,23,429,84,6,8,11,678,272,1665,1709,2287,19141,4632
1995-07-28,1995-05-10,1995-11-09,0.257389707877,0.207749896283,0.372853968803,0.958418762616,0.447344545496,0.412019491586,0.56805615604,0.978352634276,17,42,360,41,43,4,23,429,84,90,8,11,678,272,270,1709,2287,19141,4632,4758
1995-11-09,1995-07-28,1996-03-13,0.255099714184,0.398899959609,0.900480996125,0.910153468916,0.479998023832,0.614437575211,0.953269994283,0.957531230044,42,360,41,43,58,23,429,84,90,110,11,678,272,270,267,2287,19141,4632,4758,5440
1996-03-13,1995-11-09,1996-05-08,0.655153359088,0.288115876496,0.299950311463,0.350130277294,0.803730374984,0.463311067709,0.484645391876,0.550738442498,360,41,43,58,169,429,84,90,110,204,678,272,270,267,257,19141,4632,4758,5440,12866
1996-05-08,1996-03-13,1996-08-08,0.260655922014,0.251914384453,0.290243979612,0.451248194805,0.447640874651,0.450551637332,0.506451364084,0.694657968983,41,43,58,169,10,84,90,110,204,17,272,270,267,257,12,4632,4758,5440,12866,1885
1996-08-08,1996-05-08,1996-11-06,0.255607075116,0.278910597568,0.410888953987,0.652242810732,0.480173737544,0.522643606349,0.696238527317,0.864195684611,43,58,169,10,14,90,110,204,17,15,270,267,257,12,14,4758,5440,12866,1885,2157
1996-11-06,1996-08-08,1997-03-17,0.272779522839,0.417957116598,0.660102364448,0.673584669824,0.489519609732,0.686443344453,0.867833898193,0.886105809909,58,169,10,14,19,110,204,17,15,18,267,257,12,14,13,5440,12866,1885,2157,2046
1997-03-17,1996-11-06,1997-05-07,0.775113352819,0.378299044201,0.360023924598,0.36654477105,0.902460645704,0.636344832267,0.643352395276,0.625559107332,169,10,14,19,212,204,17,15,18,410,257,12,14,13,682,12866,1885,2157,2046,17432
1997-05-07,1997-03-17,1997-08-04,0.647719957813,0.47667093617,0.49318175672,0.371923579021,0.884916196131,0.78601109106,0.780374491406,0.628494735627,10,14,19,212,9,17,15,18,410,9,12,14,13,682,12,1885,2157,2046,17432,1687
